ts,open,high,low,close,volume
1768435200,2,2.1,1.76,1.889,682218.57
1768521600,1.885,1.965,1.784,1.862,612966.29
1768608000,1.861,2.1,1.821,1.934,969791.5
1768694400,1.933,2.034,1.792,1.792,355209.39
1768780800,1.788,1.833,1.63,1.667,875974.36
1768867200,1.667,1.718,1.523,1.637,1738569.98
1768953600,1.647,1.802,1.611,1.74,686430.92
1769040000,1.739,1.83,1.723,1.759,724482.4
1769126400,1.759,1.897,1.663,1.705,969783.81
1769212800,1.7,1.869,1.631,1.82,985769.77
1769299200,1.817,1.838,1.537,1.573,1129765.62
1769385600,1.572,1.81,1.559,1.704,831215.24
1769472000,1.708,1.998,1.696,1.938,840713.32
1769558400,1.938,2.026,1.839,1.99,1203274
1769644800,1.98,1.992,1.565,1.611,1055491.93
1769731200,1.609,1.836,1.548,1.716,773029.37
1769817600,1.718,1.731,1.36,1.575,817487.82
1769904000,1.576,1.645,1.43,1.522,1099821.63
1769990400,1.517,1.662,1.497,1.609,683747.68
1770076800,1.609,1.751,1.474,1.478,1274380.1
1770163200,1.478,1.598,1.429,1.574,962707.93
1770249600,1.571,1.612,1.361,1.443,1526197.26
1770336000,1.444,1.756,1.33,1.664,763922.39
1770422400,1.654,1.691,1.59,1.628,264383.93
1770508800,1.626,1.726,1.602,1.62,319190.89
1770595200,1.619,1.656,1.498,1.551,416852.34
1770681600,1.548,1.553,1.449,1.47,545277.47
1770768000,1.469,1.474,1.323,1.421,708813.52
1770854400,1.42,1.513,1.376,1.427,606255.04
1770940800,1.431,1.654,1.414,1.598,363334.12
1771027200,1.598,1.709,1.567,1.647,639235.01
1771113600,1.646,1.743,1.551,1.68,873641.3
1771200000,1.68,1.707,1.579,1.686,470782.23
1771286400,1.685,1.69,1.535,1.589,795453.6
1771372800,1.588,1.593,1.439,1.446,464703.76
1771459200,1.447,1.53,1.441,1.476,643263.3
1771545600,1.477,1.547,1.429,1.533,506582.34
1771632000,1.531,1.55,1.476,1.514,224655.41
1771718400,1.516,1.522,1.431,1.447,215355.38
1771804800,1.447,1.455,1.358,1.386,525824.61
1771891200,1.385,1.454,1.324,1.431,388045.54
1771977600,1.431,1.511,1.302,1.456,1828146.4
1772064000,1.457,1.509,1.411,1.428,559386.18
1772150400,1.424,1.439,1.34,1.357,474549.41
1772236800,1.357,1.409,1.29,1.38,947758.33
1772323200,1.379,1.449,1.344,1.359,530000.54
1772409600,1.359,1.45,1.349,1.357,537027.66
1772496000,1.358,1.366,1.294,1.298,389960.12
1772582400,1.299,1.394,1.25,1.374,1657902.92
1772668800,1.374,1.381,1.191,1.206,758238.72
1772755200,1.204,1.232,1.071,1.14,760859.48
1772841600,1.14,1.161,1.115,1.129,217836.37
1772928000,1.13,1.133,1.015,1.019,697758.82
1773014400,1.021,1.068,0.99,1.019,1196089.69
1773100800,1.019,1.087,1.014,1.051,925857.05
1773187200,1.05,1.075,0.999,1.074,383366.9
1773273600,1.074,1.158,1.046,1.152,351125.57
1773360000,1.152,1.209,1.094,1.098,461723.63
1773446400,1.1,1.13,1.065,1.107,204517.88
1773532800,1.106,1.123,1.082,1.087,151615.32
1773619200,1.087,1.187,1.075,1.165,1137337.72
1773705600,1.158,1.33,1.089,1.295,1727904.25
1773792000,1.295,1.298,1.147,1.213,1208966.65
1773878400,1.212,1.227,1.1,1.195,833744.04
1773964800,1.192,1.222,1.052,1.064,347923.44
1774051200,1.064,1.097,1.032,1.053,258021.25
1774137600,1.05,1.058,0.934,0.942,377363.03
1774224000,0.943,0.983,0.908,0.955,999196.77
1774310400,0.957,1.02,0.938,1.01,656898.42
1774396800,1.011,1.026,0.977,0.994,763490.52
1774483200,0.994,0.997,0.897,0.911,543710.44
1774569600,0.91,0.917,0.83,0.883,608151.71
1774656000,0.884,0.886,0.85,0.857,301334.49
1774742400,0.859,0.869,0.811,0.826,174061.46
1774828800,0.827,0.847,0.785,0.801,208326.46
1774915200,0.8,0.885,0.779,0.869,535996.12
1775001600,0.871,0.924,0.851,0.89,905079.79
1775088000,0.891,0.999,0.82,0.95,2369462.52
1775174400,0.952,1.042,0.911,0.99,969541.03
1775260800,0.991,1.037,0.939,0.986,517690.61
1775347200,0.983,1.017,0.941,1.016,433839.03
1775433600,1.007,1.102,0.987,1.026,925039.81
1775520000,1.028,1.131,1.011,1.073,1516991.41
1775606400,1.077,1.112,0.967,1.001,1437744.81
1775692800,1.001,1.055,0.974,1.016,861026
1775779200,1.013,1.187,1.01,1.139,1345096.13
1775865600,1.135,1.233,1.13,1.205,872472.91
1775952000,1.204,1.216,1.036,1.094,1289886.45
1776038400,1.093,1.158,1.062,1.146,745592.52
1776124800,1.146,1.163,1.006,1.029,517820.33
1776211200,1.03,1.091,1,1.043,904806.74
1776297600,1.042,1.091,1.009,1.045,549457.37
1776384000,1.039,1.134,1.003,1.047,1027949.54
1776470400,1.047,1.052,0.975,0.98,639393.5
1776556800,0.979,0.981,0.887,0.892,1290270.12
1776643200,0.895,0.927,0.891,0.9,313391.13
1776729600,0.903,0.92,0.868,0.899,502218.53
1776816000,0.899,0.944,0.876,0.876,383486.14
1776902400,0.874,0.932,0.855,0.925,484575.22
1776988800,0.927,0.963,0.926,0.943,260361.51
1777075200,0.939,0.941,0.899,0.927,148132.74
1777161600,0.928,0.94,0.903,0.916,123295.01
1777248000,0.913,0.933,0.849,0.858,184658.49
1777334400,0.856,0.905,0.83,0.897,497979.21
1777420800,0.898,0.978,0.884,0.948,908001.64
1777507200,0.946,0.964,0.872,0.887,265513.16
1777593600,0.887,0.937,0.881,0.905,590543.3
1777680000,0.901,0.913,0.879,0.909,186487.02
1777766400,0.905,0.945,0.889,0.925,256947.27
1777852800,0.927,0.972,0.903,0.904,315914.99
1777939200,0.905,1.02,0.9,0.967,1251182.97
1778025600,0.966,1.004,0.931,0.956,517523.97
1778112000,0.952,1.012,0.92,0.989,993479.15
1778198400,0.988,1.081,0.979,1.075,332332.25
1778284800,1.075,1.197,1.041,1.051,717046.62
1778371200,1.052,1.096,1.02,1.062,503933.38
1778457600,1.062,1.065,0.987,0.999,337768.21
1778544000,1.001,1.003,0.922,0.929,427838.08
1778630400,0.927,0.95,0.889,0.898,333874.77
1778716800,0.899,0.92,0.877,0.918,240238.76
1778803200,0.92,0.935,0.845,0.857,529899.43
