ts,open,high,low,close,volume
1561593600,2.80099,2.80099,2.05,2.3198,308183.77
1561680000,2.3198,3.6,2.2,3.18477,5414054.62
1561766400,3.18398,5.1,2.92001,3.80122,26561760.85
1561852800,3.84892,4.2499,3.20101,3.4195,12033409.56
1561939200,3.3806,3.9888,2.831,3.62996,12314761.84
1562025600,3.62992,3.95,3.07771,3.73703,11342995.07
1562112000,3.73803,3.85,3.44414,3.4906,5765830.58
1562198400,3.49051,3.61,3.222,3.46181,4281577.7
1562284800,3.46181,3.74662,3.41047,3.64999,4530449.5
1562371200,3.63693,3.667,3.4555,3.48569,2546458.72
1562457600,3.4856,3.53,3.25331,3.31098,2866735.36
1562544000,3.307,3.6188,3.27,3.34401,3374903.21
1562630400,3.35927,3.40909,2.95,3.07752,6316539.26
1562716800,3.08771,3.32769,2.83401,3.11687,6452929.72
1562803200,3.11665,3.15269,2.7,2.77789,4483964.32
1562889600,2.77789,3.37,2.58107,3.18405,7278976.86
1562976000,3.18405,3.3,3.05,3.16923,4587568.59
1563062400,3.15377,3.238,2.74058,2.78799,4298552.87
1563148800,2.78078,2.85612,2.59,2.70834,4497543.15
1563235200,2.70059,2.79,2.15,2.18128,5881284.42
1563321600,2.19177,2.605,2.053,2.41131,6487598.83
1563408000,2.41129,2.84,2.34733,2.67353,6801138.26
1563494400,2.67866,2.76,2.516,2.61545,2265888.48
1563580800,2.61704,2.7375,2.5912,2.64817,2295540.32
1563667200,2.64817,2.67431,2.4635,2.53736,1339613.24
1563753600,2.53344,2.58759,2.358,2.4009,1514934.28
1563840000,2.40403,2.53628,2.25,2.35031,2564541.15
1563926400,2.34929,2.51,2.275,2.40575,3094628.92
1564012800,2.40216,2.52259,2.36101,2.36101,1719586.17
1564099200,2.36617,2.42942,2.328,2.40999,823233.1
1564185600,2.40998,2.46412,2.19819,2.2429,2319970.59
1564272000,2.24292,2.27879,2.10849,2.2139,1416797.4
1564358400,2.21722,2.257,2.11011,2.13195,1556059.47
1564444800,2.12987,2.19,2,2.07301,2643612.54
1564531200,2.073,2.2441,2.0701,2.214,1955182.66
1564617600,2.214,2.23555,2.11501,2.16548,1458818.21
1564704000,2.1658,2.489,2.13321,2.42132,3619993.44
1564790400,2.42132,2.76493,2.36,2.42309,5618150.53
1564876800,2.42132,2.6,2.385,2.51992,2654050.59
1564963200,2.52067,2.66,2.4468,2.46271,2624935.1
1565049600,2.45103,2.51,2.301,2.465,3119693.39
1565136000,2.46999,2.49,2.33546,2.38206,1749603.82
1565222400,2.3826,2.39889,2.26,2.27264,2294921.83
1565308800,2.27265,2.295,2.14634,2.1692,2268534.09
1565395200,2.16833,2.45,2.13683,2.32251,2863973.63
1565481600,2.32911,2.479,2.28509,2.40904,2002811.13
1565568000,2.41625,2.46999,2.33627,2.38515,1304614.32
1565654400,2.3875,2.45,2.307,2.41396,1552118.06
1565740800,2.41799,2.5844,2.16,2.28605,4097683.93
1565827200,2.28353,2.44266,2.1666,2.42265,2429423.66
1565913600,2.41914,2.45,2.23001,2.31153,1880517.3
1566000000,2.31105,2.42,2.28401,2.40716,1047725.02
1566086400,2.40705,2.56507,2.374,2.50823,1858237.72
1566172800,2.50488,2.62,2.45,2.49507,2009663.71
1566259200,2.49508,2.55,2.34296,2.36609,1714947.7
1566345600,2.36322,2.37553,2.15,2.21134,2560011.89
1566432000,2.215,2.29884,2.1475,2.217,1380104.14
1566518400,2.21998,2.3495,2.17596,2.244,1731165.48
1566604800,2.244,2.26805,2.15627,2.17621,996653.12
1566691200,2.171,2.19898,2.03133,2.08829,1831541.75
1566777600,2.088,2.175,2.05001,2.075,1540837.73
1566864000,2.075,2.17485,2.01073,2.11229,1548469.35
1566950400,2.11228,2.11228,1.86,1.89759,2522814.91
1567036800,1.89755,1.94,1.72217,1.78068,3175897.98
1567123200,1.77904,1.91799,1.744,1.8,1276751.42
1567209600,1.8,1.85882,1.73473,1.78126,1053179.67
1567296000,1.78435,1.80198,1.72234,1.7799,850471.34
1567382400,1.7785,1.899,1.73555,1.833,1676868.62
1567468800,1.833,1.94495,1.81993,1.85059,1215327.54
1567555200,1.85311,1.86471,1.7463,1.78442,1275088.4
1567641600,1.7878,1.865,1.77298,1.794,967308.25
1567728000,1.79692,1.83,1.68,1.72196,1572206.69
1567814400,1.7225,1.80979,1.71259,1.77821,675228.15
1567900800,1.77796,1.9,1.76561,1.82997,1327272.34
1567987200,1.82987,1.8794,1.76302,1.79356,1144494.82
1568073600,1.79355,1.83388,1.7777,1.80122,643278.63
1568160000,1.79991,1.82533,1.72,1.73188,1131344.06
1568246400,1.73189,1.74544,1.7,1.71134,1143040.21
1568332800,1.71287,1.72365,1.44294,1.58457,5930276.14
1568419200,1.58035,1.64199,1.53529,1.56998,1484524.34
1568505600,1.57,1.64199,1.56242,1.61381,764584.23
1568592000,1.61438,1.638,1.55,1.589,1019209.64
1568678400,1.58415,1.68859,1.56,1.62707,2010690.12
1568764800,1.627,1.94999,1.627,1.80999,3508267.48
1568851200,1.80948,1.99333,1.73852,1.878,5428629.77
1568937600,1.87624,1.88,1.76004,1.82052,1864194.36
1569024000,1.82348,1.88,1.79202,1.88,1278502.59
1569110400,1.88,1.88497,1.78001,1.8194,1129793.51
1569196800,1.8194,1.88999,1.78092,1.80177,1998677.82
