ts,open,high,low,close,volume
1695146400,6.84,6.862,6.829,6.842,80950.13
1695150000,6.837,6.848,6.79,6.84,65986.63
1695153600,6.836,6.836,6.786,6.83,73533
1695157200,6.832,6.87,6.784,6.864,36689.86
1695160800,6.859,6.89,6.849,6.886,32462.62
1695164400,6.887,6.969,6.84,6.846,102961.35
1695168000,6.851,6.86,6.814,6.849,62009.84
1695171600,6.85,6.979,6.843,6.966,65829.1
1695175200,6.964,6.984,6.926,6.964,143785.9
1695178800,6.964,6.997,6.9,6.933,102564.74
1695182400,6.925,6.945,6.892,6.892,66334.05
1695186000,6.898,6.956,6.893,6.915,31304.19
1695189600,6.916,6.918,6.832,6.84,65336.95
1695193200,6.839,6.84,6.778,6.803,60910.01
1695196800,6.802,6.853,6.788,6.838,53320.25
1695200400,6.843,6.878,6.761,6.814,57208.83
1695204000,6.814,6.822,6.76,6.8,147530.42
1695207600,6.801,6.839,6.786,6.829,35633.1
1695211200,6.829,6.836,6.743,6.794,61790.48
1695214800,6.794,6.902,6.794,6.867,121833.99
1695218400,6.868,6.924,6.861,6.889,165537.62
1695222000,6.888,6.935,6.856,6.92,52075.44
1695225600,6.92,6.932,6.893,6.919,64303.89
1695229200,6.921,6.946,6.899,6.922,73154.48
1695232800,6.925,7.051,6.902,6.919,274386.75
1695236400,6.921,6.955,6.801,6.877,136479.24
1695240000,6.877,6.895,6.835,6.889,60007.61
1695243600,6.888,6.969,6.882,6.955,81991.51
1695247200,6.958,6.97,6.916,6.921,36940.2
1695250800,6.919,6.926,6.895,6.904,23919.36
1695254400,6.907,6.949,6.856,6.881,116207.42
1695258000,6.884,6.888,6.816,6.857,93985.75
1695261600,6.856,6.892,6.824,6.842,41140.63
1695265200,6.837,6.878,6.831,6.878,28382.25
1695268800,6.877,6.878,6.825,6.825,18084.71
1695272400,6.825,6.86,6.801,6.838,28465.84
1695276000,6.838,6.844,6.803,6.825,42513.31
1695279600,6.826,6.829,6.785,6.799,25666.94
1695283200,6.798,6.826,6.755,6.776,139460.37
1695286800,6.775,6.781,6.715,6.727,134662.5
1695290400,6.723,6.753,6.683,6.685,103721.52
1695294000,6.688,6.728,6.677,6.704,35674.58
1695297600,6.703,6.745,6.691,6.696,107897.46
1695301200,6.697,6.7,6.598,6.653,441756.11
1695304800,6.648,6.74,6.642,6.731,131821.61
1695308400,6.732,6.783,6.726,6.746,54884.66
1695312000,6.746,6.746,6.708,6.715,38356.1
1695315600,6.714,6.757,6.713,6.749,25608.4
