ts,open,high,low,close,volume
1757138400,22.166,22.283,22.073,22.276,133350.12
1757160000,22.276,22.332,22.022,22.09,246556.95
1757181600,22.086,22.307,21.876,22.193,272356.56
1757203200,22.198,22.474,22.188,22.381,147614.88
1757224800,22.381,22.466,22.138,22.375,202804.16
1757246400,22.374,22.467,22.188,22.188,257352.99
1757268000,22.186,22.608,22.116,22.456,225155.67
1757289600,22.455,22.786,22.229,22.477,253055.99
1757311200,22.484,23.198,22.33,22.979,564900.13
1757332800,22.988,23.305,22.897,23.001,539426.89
1757354400,23.002,23.189,22.843,23.053,244846.48
1757376000,23.043,23.313,22.857,23.298,360596.54
1757397600,23.308,23.82,23.282,23.526,469742.03
1757419200,23.522,23.771,22.82,22.946,625921.32
1757440800,22.94,23.195,22.896,23.05,182248.96
1757462400,23.049,23.455,22.886,23.393,296921.69
1757484000,23.395,23.665,23.268,23.357,218658.6
1757505600,23.361,23.933,23.347,23.613,557113.97
1757527200,23.611,23.648,23.206,23.569,190308.68
1757548800,23.564,23.865,23.436,23.752,182553.75
1757570400,23.75,23.9,23.69,23.772,148375.72
1757592000,23.774,24.275,23.314,23.732,595171.87
1757613600,23.73,24.501,23.695,24.468,370512.52
1757635200,24.472,24.832,24.363,24.794,532507.85
1757656800,24.795,24.805,24.296,24.323,205613.85
1757678400,24.321,24.838,24.169,24.831,579924.02
1757700000,24.829,25.344,24.8,25.147,918962.88
1757721600,25.145,25.312,24.942,25.083,271602.24
1757743200,25.085,25.65,25.078,25.305,356272.64
1757764800,25.305,25.415,24.451,24.789,648733.28
1757786400,24.786,24.991,24.675,24.898,181377.57
1757808000,24.9,25.037,24.486,24.85,232487.65
1757829600,24.85,24.901,24.336,24.38,126782.49
1757851200,24.379,24.498,23.854,24.235,387086.57
1757872800,24.238,24.411,24.053,24.104,172718.87
1757894400,24.102,24.44,23.915,24.436,191357.8
1757916000,24.432,24.436,23.175,23.432,387059.99
1757937600,23.43,23.455,22.986,23.28,629281.92
1757959200,23.259,23.874,23.174,23.567,405616.3
1757980800,23.566,23.638,23.157,23.545,191967.36
1758002400,23.546,23.762,23.324,23.626,153555.34
1758024000,23.626,23.748,23.096,23.571,300586.6
1758045600,23.574,23.757,23.441,23.491,218946.56
1758067200,23.491,23.64,23.207,23.428,238607.26
1758088800,23.429,23.622,23.051,23.086,197145.91
1758110400,23.085,23.376,22.77,22.871,467619.27
1758132000,22.871,24.25,22.76,23.998,844026.95
1758153600,24,24.199,23.835,23.947,311916.11
1758175200,23.95,24.425,23.687,24.205,237588.9
1758196800,24.21,24.595,24.061,24.575,461339.37
1758218400,24.567,24.74,24.353,24.636,553356.69
1758240000,24.64,24.884,24.238,24.515,585831.45
1758261600,24.514,24.859,23.812,23.853,444704.13
1758283200,23.851,23.994,23.341,23.404,505386.19
1758304800,23.403,23.681,23.281,23.484,214317.89
1758326400,23.483,23.664,23.358,23.487,122418.14
1758348000,23.486,23.596,23.158,23.305,189787.07
1758369600,23.303,23.594,23.109,23.361,193589.91
1758391200,23.36,23.465,23.243,23.344,113292.66
1758412800,23.346,23.438,23.25,23.438,107410.88
1758434400,23.439,23.494,23.043,23.126,127504.32
1758456000,23.124,23.276,22.913,23.15,157582.52
1758477600,23.152,23.21,22.925,22.966,127978.67
1758499200,22.961,23.059,21.69,21.719,717927.37
1758520800,21.718,21.727,20.301,21.215,828152.42
1758542400,21.218,21.627,21.154,21.232,480529.23
1758564000,21.23,21.693,21.128,21.675,456448.23
1758585600,21.67,21.781,21.192,21.52,285435.87
1758607200,21.521,21.9,21.508,21.807,257218.03
1758628800,21.798,22.057,21.646,21.709,370028.33
1758650400,21.711,21.868,21.482,21.52,335681.04
1758672000,21.521,21.717,20.962,21.686,334743.49
1758693600,21.688,21.882,21.571,21.784,612933.49
1758715200,21.787,21.975,21.56,21.914,270493.98
1758736800,21.913,21.928,21.565,21.615,216952.86
1758758400,21.614,21.667,20.921,21.186,486456.94
1758780000,21.183,21.207,20.718,20.753,424697.18
1758801600,20.755,21.156,19.888,19.983,1097608.6
1758823200,19.981,20.671,19.836,20.155,577999.54
1758844800,20.155,20.647,20.106,20.319,298639.8
1758866400,20.322,20.55,19.95,20.192,324383.53
1758888000,20.189,21.134,20.01,21.123,673994.06
1758909600,21.122,21.258,20.868,21.083,376622.56
1758931200,21.081,21.161,20.981,21.03,215159.48
1758952800,21.031,21.116,20.834,20.999,131194.39
1758974400,20.998,21.066,20.737,20.845,108900.49
1758996000,20.845,21.099,20.756,20.927,91233.63
1759017600,20.926,20.954,20.653,20.759,144553.02
1759039200,20.759,20.808,20.515,20.574,121563.84
1759060800,20.568,21.329,20.44,21.147,252311.21
1759082400,21.148,21.722,21.11,21.679,383654.85
1759104000,21.682,21.691,21.255,21.345,165888.19
1759125600,21.344,21.414,21.073,21.2,158014.92
1759147200,21.202,22.27,20.921,21.494,681094.26
1759168800,21.494,21.91,21.412,21.739,327509.02
1759190400,21.738,21.883,21.451,21.547,278536.49
1759212000,21.537,21.708,21.246,21.422,183541.96
1759233600,21.421,21.515,20.974,21.051,382968.2
1759255200,21.052,21.693,20.998,21.322,453313.33
1759276800,21.319,21.581,21.069,21.316,253001.94
1759298400,21.319,22.3,21.135,22.242,398765.01
1759320000,22.242,22.518,22.125,22.323,474067.01
1759341600,22.322,22.644,22.264,22.59,443982.51
1759363200,22.589,22.864,22.433,22.734,283259.96
1759384800,22.733,22.854,22.385,22.415,204595.64
1759406400,22.416,22.807,21.941,22.745,581513.13
1759428000,22.746,23.16,22.664,22.791,388391.03
1759449600,22.794,22.891,22.475,22.512,241806.58
1759471200,22.514,22.547,22.246,22.287,174087.77
1759492800,22.288,23.1,22.111,22.341,819394.24
1759514400,22.343,22.749,22.258,22.52,279582.59
1759536000,22.519,22.631,22.163,22.241,222874.5
1759557600,22.241,22.298,21.781,21.859,139877.08
1759579200,21.856,22.184,21.79,21.91,255647.85
1759600800,21.911,22.157,21.877,22.031,115302.2
1759622400,22.032,22.655,21.95,22.536,333608.2
1759644000,22.536,22.94,22.492,22.749,324275.32
1759665600,22.748,22.765,22.216,22.261,234401.97
1759687200,22.257,22.358,21.89,22.007,261741.93
1759708800,22.01,22.213,21.52,21.879,444249.92
1759730400,21.878,22.248,21.857,22.124,197234.82
1759752000,22.127,23.437,22.127,23.299,667372.46
1759773600,23.298,23.609,23.271,23.37,484937.28
1759795200,23.371,23.734,23.226,23.44,302286.52
1759816800,23.437,23.47,22.579,22.883,281206.77
1759838400,22.879,23.101,21.839,21.95,825345.15
1759860000,21.95,22.204,21.784,21.81,396060.14
1759881600,21.817,22.163,21.642,21.837,287681.4
1759903200,21.835,22.17,21.686,22.073,256479.95
1759924800,22.073,22.578,21.829,22.497,431752.19
1759946400,22.497,22.671,22.332,22.636,442579.17
1759968000,22.638,22.676,21.957,22.389,316272.8
1759989600,22.397,22.403,21.597,21.738,305361.91
1760011200,21.74,22.047,21.331,21.8,483740.91
1760032800,21.8,22.142,21.69,22.007,232915.5
1760054400,22.009,22.6,21.988,22.588,322961.96
1760076000,22.589,22.779,22.265,22.413,213535.19
1760097600,22.413,22.8,20.727,21.155,1359312.19
1760119200,21.16,21.175,15,17.372,3551684.81
1760140800,17.364,18.172,16.969,17.585,1453471.62
1760162400,17.584,18.537,17.513,18.07,946839.6
1760184000,18.067,18.172,17.417,18.015,665742.14
1760205600,18.014,18.02,16.622,17.215,954285.32
1760227200,17.215,17.466,16.697,17.346,602248.56
1760248800,17.345,17.576,17.194,17.402,340830.17
1760270400,17.398,19.385,17.228,19.091,1538245.84
1760292000,19.087,19.442,18.836,19.015,1048852.42
1760313600,19.009,19.328,18.774,19.2,769852
1760335200,19.201,19.788,19.009,19.216,857322.18
1760356800,19.214,19.896,19.085,19.864,1804964.94
1760378400,19.86,20.199,19.695,19.861,709423.12
1760400000,19.862,20.081,18.92,19.024,892946.85
1760421600,19.022,19.143,18.09,18.599,1062114.7
1760443200,18.6,19.379,18.156,19.016,1581504.63
1760464800,19.019,19.196,18.634,19.116,946049.99
1760486400,19.11,19.258,18.849,19,624912.29
1760508000,19,19.255,18.592,18.697,488005.25
1760529600,18.696,18.753,17.85,18.147,837496.51
1760551200,18.147,18.266,17.736,18.058,679466.2
1760572800,18.062,18.21,17.924,18.023,433584.66
