ts,open,high,low,close,volume
1746576000,4.6,4.73,4.48,4.63,30752.33
1746662400,4.64,5.22,4.61,5.2,80269.907
1746748800,5.21,5.67,5.17,5.54,139874.635
1746835200,5.54,6.34,5.41,6.26,202197.431
1746921600,6.27,6.4,5.8,5.98,126817.352
1747008000,5.98,6.3,5.59,6.02,95624.269
1747094400,6.01,6.45,5.62,6.28,66209.741
1747180800,6.27,6.7,5.99,6.16,81770.424
1747267200,6.15,6.27,5.54,5.69,87239.072
1747353600,5.67,6,5.52,5.55,42240.978
1747440000,5.55,5.56,5.25,5.34,44586.948
1747526400,5.33,5.81,5.21,5.67,41936.813
1747612800,5.68,5.71,5.12,5.32,64342.519
1747699200,5.32,5.48,5.18,5.38,36010.197
1747785600,5.39,5.71,5.29,5.6,60801.392
1747872000,5.58,6.08,5.56,6.04,80540.693
1747958400,6.02,6.17,5.37,5.41,58080.55
1748044800,5.38,5.63,5.36,5.46,20972.371
1748131200,5.45,5.51,5.09,5.46,34111.899
1748217600,5.46,5.6,5.38,5.48,25856.816
1748304000,5.49,5.73,5.21,5.59,51082.529
1748390400,5.59,5.71,5.3,5.55,67386.664
1748476800,5.54,5.77,5.4,5.48,54828.012
1748563200,5.47,14.2,5.16,11.73,5424090.533
1748649600,11.73,13.2,8.66,9.7,3545219.042
1748736000,9.68,9.94,8.37,8.93,993219.966
1748822400,8.93,9.01,8.02,8.45,797934.842
1748908800,8.45,8.74,7.7,7.87,594583.262
1748995200,7.88,10.8,7.54,10.45,1829938.319
1749081600,10.44,10.67,7.84,7.88,1503498.117
1749168000,7.89,8.13,7.09,7.21,718703.556
1749254400,7.2,7.81,7.2,7.54,414080.307
1749340800,7.54,8.49,7.5,7.9,830893.56
1749427200,7.89,8.19,7.46,8.08,349420.236
1749513600,8.08,8.83,7.86,8.2,612675.563
1749600000,8.21,8.36,7.66,7.69,200497.51
1749686400,7.68,8.34,7.26,7.37,341905.792
1749772800,7.36,7.4,6.73,7.01,315888.978
1749859200,7.01,7.25,6.63,6.81,126937.731
1749945600,6.82,6.99,6.71,6.91,122467.612
1750032000,6.9,7,6.44,6.47,186387.591
1750118400,6.46,6.62,6.14,6.27,179216.969
1750204800,6.27,6.46,6.02,6.29,179582.29
1750291200,6.29,6.39,6.13,6.19,137376.524
1750377600,6.19,6.37,5.81,5.88,238898.802
1750464000,5.88,6.12,5.51,5.66,87086.45
1750550400,5.67,5.71,5.31,5.48,158249.079
1750636800,5.47,6.15,5.31,6.11,180550.582
1750723200,6.11,6.79,5.99,6.06,284677.576
1750809600,6.07,6.17,5.64,5.66,136681.993
1750896000,5.66,5.82,5.46,5.53,111837.018
1750982400,5.53,6.61,5.45,6.06,475457.684
1751068800,6.06,6.06,5.76,5.9,165336.775
1751155200,5.9,7.03,5.89,6.62,604444.628
1751241600,6.62,6.77,6.15,6.18,164130.733
1751328000,6.18,6.28,5.91,6.12,97742.592
1751414400,6.13,6.5,5.9,6.31,72322.608
1751500800,6.32,6.45,6.14,6.28,56683.695
1751587200,6.29,6.31,5.89,5.99,62284.566
1751673600,5.99,6.94,5.96,6.28,232711.135
1751760000,6.29,6.31,6.03,6.22,64112.219
1751846400,6.23,6.32,6.02,6.08,55231.257
1751932800,6.08,6.18,5.98,6.17,43751.491
1752019200,6.18,6.32,6.07,6.29,68224.916
1752105600,6.29,6.76,6.24,6.72,83833.131
1752192000,6.72,7.06,6.51,6.6,259593.276
1752278400,6.59,6.75,6.32,6.47,70374.38
1752364800,6.46,6.76,6.45,6.57,146652.517
1752451200,6.57,7.08,6.54,6.77,160124.947
1752537600,6.77,6.98,6.18,6.97,98160.98
1752624000,6.96,7.24,6.76,7.07,100372.52
1752710400,7.07,7.27,6.79,7.24,113362.625
1752796800,7.23,7.8,7.1,7.28,99835.544
1752883200,7.28,7.35,7.01,7.27,23677.177
1752969600,7.27,7.71,7.21,7.61,68246.321
1753056000,7.62,7.95,7.41,7.8,93540.861
1753142400,7.8,7.9,7.28,7.73,67347.539
1753228800,7.73,7.73,6.72,7.01,106306.414
1753315200,7,7.18,6.46,6.83,135175.467
1753401600,6.83,6.97,6.52,6.92,85579.904
1753488000,6.9,6.96,6.79,6.83,65665.042
1753574400,6.84,7.26,6.81,7.22,48588.27
1753660800,7.22,7.39,6.66,6.71,70750.414
1753747200,6.71,6.95,6.48,6.6,73573.722
1753833600,6.6,6.64,6.19,6.56,71788.345
1753920000,6.56,6.76,6.19,6.22,51257.144
1754006400,6.22,6.24,5.77,5.96,71727.628
1754092800,5.97,6.05,5.75,5.86,55050.014
1754179200,5.88,6.14,5.76,6.1,29955.746
1754265600,6.09,6.48,6.09,6.47,47415.202
1754352000,6.46,6.48,6,6.11,35372.069
1754438400,6.11,6.29,5.98,6.23,31943.662
1754524800,6.23,6.57,6.15,6.57,59556.119
1754611200,6.55,6.79,6.48,6.72,62459.256
1754697600,6.73,7.01,6.58,6.93,55656.261
1754784000,6.93,7.08,6.67,6.87,58514.891
1754870400,6.88,7.28,6.37,6.43,72757.96
1754956800,6.44,6.98,6.3,6.92,64938.217
1755043200,6.92,7.18,6.79,7.13,58254.148
1755129600,7.13,7.22,6.37,6.5,63072.801
1755216000,6.49,6.67,6.2,6.42,42408.123
1755302400,6.44,6.93,6.4,6.81,64650.124
1755388800,6.82,7.42,6.76,6.77,199499.2
1755475200,6.81,6.88,6.31,6.34,88250.439
1755561600,6.34,6.41,6.05,6.11,52522.858
1755648000,6.12,6.47,6.05,6.43,33182.927
1755734400,6.43,6.47,6.19,6.27,32965.699
1755820800,6.28,6.87,6.01,6.85,65577.406
1755907200,6.84,6.85,6.57,6.77,22001.281
1755993600,6.77,6.86,6.52,6.62,28800.097
1756080000,6.63,6.69,5.76,5.92,64255.832
1756166400,5.91,7.04,5.87,6.72,205336.325
1756252800,6.72,8.9,6.48,7.36,1308202.087
1756339200,7.34,9.61,7.24,7.67,1047134.61
1756425600,7.65,8.27,6.81,6.93,226105.988
1756512000,6.94,7.42,6.75,7.12,163990.54
1756598400,7.13,7.23,6.84,6.85,45397.811
1756684800,6.84,6.92,6.48,6.62,82155.624
1756771200,6.6,6.98,6.57,6.71,59476.538
1756857600,6.7,7.49,6.61,7.18,118479.591
1756944000,7.16,7.16,6.54,6.62,49726.286
1757030400,6.63,6.98,6.63,6.84,43774.053
1757116800,6.84,7.39,6.8,6.95,96485.194
1757203200,6.95,7.22,6.9,6.96,37348.713
1757289600,6.96,7.13,6.92,7.05,62083.89
1757376000,7.06,7.32,6.93,7.11,80872.606
1757462400,7.11,7.2,6.95,7.07,53176.67
1757548800,7.07,7.3,7.01,7.19,65496.397
1757635200,7.18,7.35,7.05,7.34,34710.212
1757721600,7.34,7.49,7.17,7.34,38756.079
1757808000,7.33,7.35,6.97,7,21442.812
1757894400,6.99,7.06,6.63,6.74,29980.555
1757980800,6.75,6.84,6.62,6.78,34922.038
1758067200,6.77,7.14,6.68,7.07,23169.688
1758153600,7.08,7.24,6.97,7.16,66212.822
1758240000,7.17,7.2,6.72,6.75,38032.654
1758326400,6.76,6.92,6.69,6.88,30950.429
1758412800,6.87,6.92,6.67,6.71,34981.274
1758499200,6.72,6.75,6,6.3,72405.04
1758585600,6.31,6.47,6.13,6.28,51892.176
1758672000,6.29,6.38,6.13,6.2,52476.63
1758758400,6.2,6.2,5.77,5.89,64364.864
1758844800,5.9,6.14,5.88,6.13,40618.012
1758931200,6.12,6.13,6.02,6.02,18662.793
1759017600,6.03,6.2,5.91,6.19,31202.242
1759104000,6.19,6.24,6.02,6.15,56189.202
1759190400,6.15,6.16,5.89,6.05,27925.049
1759276800,6.06,6.74,6.01,6.5,87220.542
1759363200,6.5,6.8,6.46,6.6,65643.484
1759449600,6.6,6.73,6.48,6.65,42188.109
1759536000,6.65,6.67,6.4,6.47,32096.786
1759622400,6.48,6.67,6.37,6.41,33756.915
1759708800,6.4,6.73,6.39,6.64,18883.483
1759795200,6.65,6.66,6.25,6.28,22085.693
1759881600,6.28,6.49,6.23,6.47,9912.223
1759968000,6.48,6.48,6.1,6.24,18002.092
1760054400,6.26,6.75,4.05,4.84,198641.782
1760140800,4.83,5.34,4.49,4.67,205531.732
1760227200,4.68,5.34,4.52,5.3,130085.662
1760313600,5.29,5.6,5.19,5.57,90946.672
1760400000,5.57,5.59,5.02,5.37,53192.532
1760486400,5.36,5.55,5.09,5.19,26032.236
1760572800,5.17,5.29,4.92,4.97,47300.485
1760659200,4.98,5.03,4.61,4.87,47627.682
1760745600,4.88,5.01,4.86,4.93,18592.496
1760832000,4.93,5.14,4.86,5.04,48343.464
1760918400,5.03,5.29,4.97,5.16,40637.785
1761004800,5.16,5.29,4.94,4.94,46595.469
1761091200,4.97,5,4.66,4.8,45577.081
1761177600,4.81,4.98,4.81,4.92,11451.209
1761264000,4.92,5.22,4.92,5.16,105629.969
1761350400,5.16,5.16,5,5.06,32829.839
1761436800,5.06,5.27,5.02,5.22,32324.104
1761523200,5.21,5.37,5.01,5.06,98891.713
1761609600,5.05,5.17,4.86,4.96,36675.229
1761696000,4.96,5.08,4.82,4.96,63268.51
1761782400,4.94,5.01,4.43,4.61,60620.109
1761868800,4.62,4.77,4.61,4.7,61100.546
1761955200,4.7,6.05,4.68,5.43,600909.062
1762041600,5.42,6.75,5.37,5.68,846961.049
1762128000,5.66,5.66,4.68,4.9,198655.114
1762214400,4.88,5.33,4.59,4.82,355263.183
1762300800,4.8,5.3,4.58,5.07,223947.371
1762387200,5.06,5.55,4.96,5.3,233200.072
1762473600,5.29,5.8,5.1,5.65,273325.316
1762560000,5.65,5.76,5.34,5.4,101890.241
1762646400,5.37,5.42,5.13,5.35,42895.496
1762732800,5.35,5.5,5.12,5.3,99151.734
1762819200,5.28,5.61,4.92,5.1,119242.62
1762905600,5.12,5.31,4.84,4.99,68115.608
1762992000,5,5.04,4.66,4.77,57740.197
1763078400,4.76,4.78,4.49,4.55,86088.893
1763164800,4.56,4.71,4.55,4.67,64839.926
1763251200,4.67,4.67,4.37,4.49,52409.361
1763337600,4.48,4.93,4.34,4.38,127127.23
1763424000,4.38,4.54,4.29,4.45,57697.717
1763510400,4.44,4.47,4.18,4.34,57867.043
1763596800,4.35,4.65,4.22,4.3,118979.504
1763683200,4.31,4.45,3.89,4.04,100541.057
1763769600,4.05,4.14,3.78,3.98,47824.515
1763856000,3.98,4.14,3.96,3.99,31759.843
1763942400,3.98,4.17,3.92,4.11,40706.852
1764028800,4.11,4.12,3.98,4.12,60368.435
1764115200,4.11,4.41,3.97,4.14,86495.042
1764201600,4.14,4.25,4.1,4.18,63806.257
1764288000,4.19,4.23,4.06,4.12,29496.796
1764374400,4.12,4.12,3.98,4.01,18982.274
1764460800,4.01,4.09,3.98,4,8382.528
1764547200,4.01,4.01,3.63,3.78,59971.309
1764633600,3.77,4.02,3.68,3.92,99689.483
1764720000,3.93,4.08,3.91,4.05,91498.311
1764806400,4.05,4.07,3.85,3.91,43652.828
1764892800,3.91,3.94,3.69,3.75,56571.336
1764979200,3.75,3.91,3.71,3.86,43169.929
1765065600,3.85,3.88,3.67,3.76,27223.559
1765152000,3.76,3.9,3.76,3.8,33544.017
1765238400,3.81,4.01,3.73,3.92,46111.924
1765324800,3.92,3.96,3.76,3.81,47864.17
1765411200,3.8,3.8,3.57,3.68,53354.324
1765497600,3.68,3.72,3.44,3.56,25713.61
1765584000,3.57,3.67,3.56,3.64,10289.484
1765670400,3.63,3.65,3.43,3.48,15569.72
1765756800,3.48,3.53,3.21,3.33,62967.967
1765843200,3.33,3.36,3.24,3.32,16888.229
1765929600,3.31,3.37,3.11,3.15,55485.192
1766016000,3.15,3.23,2.97,3.02,86389.293
1766102400,3.02,3.19,2.97,3.13,51229.944
1766188800,3.13,3.17,3.09,3.16,27162.048
1766275200,3.16,3.19,2.98,3.09,25878.608
1766361600,3.09,3.14,3,3.02,10691.998
1766448000,3.02,3.03,2.92,2.94,38597.903
1766534400,2.93,2.94,2.84,2.91,41111.007
1766620800,2.91,2.93,2.81,2.81,27757.438
1766707200,2.81,2.9,2.78,2.82,29181.808
1766793600,2.82,3.27,2.82,3,297413
1766880000,3,3,2.87,2.89,54882.25
1766966400,2.88,2.99,2.83,2.84,80779.829
1767052800,2.84,3.04,2.82,3.01,54755.753
