ts,open,high,low,close,volume
1660521600,63.16,65.33,59.69,60.69,294060.71378685
1660608000,60.68,61.77,60,61.33,216069.56972249
1660694400,61.31,64.72,59.7,60.52,315548.29203837
1660780800,60.54,61.7,59.35,60,199009.08307393
1660867200,60.02,60.17,53.24,54.02,400034.06454746
1660953600,54.02,55.62,52.62,54.1,256113.87418522
1661040000,54.1,56.01,53.81,55.68,153009.31307956
1661126400,55.69,57.45,52.3,57.22,289740.68930539
1661212800,57.23,57.73,53.92,57.1,206534.48143913
1661299200,57.11,57.68,55.57,56.46,214320.94862065
1661385600,56.47,57.52,55.82,56.62,166742.69276617
1661472000,56.61,58.31,52.11,52.71,246245.46968792
1661558400,52.69,53.47,51.69,53.03,223788.86020548
1661644800,53.03,56.02,52.46,53.38,222124.76604475
1661731200,53.4,56.7,52.52,55.79,253205.7343034
1661817600,55.79,56.24,51.85,53.01,236552.45512532
1661904000,53.02,55.27,53.01,53.84,214506.62973223
1661990400,53.84,57.8,53.2,57.56,366065.90423686
1662076800,57.58,62.41,56.48,61.02,418279.82771373
1662163200,60.99,62.23,59.54,60.19,246138.16826108
1662249600,60.19,61.01,58.61,60.93,204252.6362682
1662336000,60.92,61.63,59.26,60.45,243892.24896458
1662422400,60.44,62.75,54,54.12,514825.82735209
1662508800,54.09,58.3,52.93,57.3,311494.17667765
1662595200,57.29,58.61,56.06,57.99,277243.44031406
1662681600,57.97,61.94,57.7,61.15,281920.53105442
1662768000,61.16,64.72,60.59,63.32,294861.73112029
1662854400,63.32,64.46,61.37,62.18,184144.10818344
1662940800,62.17,63.24,60.09,61.41,253330.96620714
1663027200,61.38,67.48,58.31,59.1,433040.24879016
1663113600,59.08,61.2,58.2,60.2,268067.11192327
1663200000,60.2,60.84,55.84,56.34,329792.22462048
1663286400,56.34,56.92,54.62,55.93,302148.26640893
1663372800,55.93,58.42,55.8,57.84,136846.75592239
1663459200,57.82,57.85,52.32,52.65,207761.21538631
1663545600,52.66,53.73,50.01,52.89,298289.44269123
1663632000,52.89,53.85,50.86,52.34,359088.50945206
1663718400,52.33,55.55,50.23,51.08,467465.94994286
1663804800,51.08,54.1,50.63,53.59,195685.98026218
1663891200,53.6,55.34,51.39,55.23,315176.26939393
1663977600,55.23,55.95,53.16,53.43,198768.42274208
1664064000,53.42,54.41,52.27,52.55,157616.23977951
1664150400,52.53,53.72,51.88,53.44,189471.42240123
1664236800,53.45,55.55,51.81,52.67,212062.62597564
1664323200,52.68,53.83,51.01,53.28,174959.16163942
1664409600,53.29,54.15,52.24,53.98,177220.7104928
1664496000,53.98,55.11,52.85,53.48,188715.26063499
1664582400,53.48,53.83,52.46,52.93,144736.24122538
1664668800,52.92,53.47,51.66,51.82,142432.91658221
1664755200,51.81,54.35,51.48,54.18,167745.23230467
1664841600,54.17,55.75,53.87,55.32,171104.92033802
1664928000,55.3,55.33,53.31,54.64,182188.57770398
1665014400,54.65,55.07,53.35,53.56,193197.23243802
1665100800,53.55,53.86,52.28,52.86,159998.27537395
1665187200,52.84,53.55,52.41,52.82,122173.33073261
1665273600,52.8,54.02,52.7,53.93,102347.74590926
1665360000,53.91,54.48,52.49,52.63,166555.34641594
1665446400,52.64,52.65,51.11,52.01,152019.49440837
1665532800,52.01,52.97,51.63,52.23,144633.42428794
1665619200,52.23,52.52,48.33,51.09,258038.9301401
1665705600,51.08,52.58,50.91,51.32,134602.69692645
1665792000,51.31,51.68,50.25,50.4,94158.31392327
1665878400,50.39,51.82,50.3,51.45,87522.34978072
1665964800,51.45,52.17,51.04,51.84,112048.53039671
1666051200,51.86,52.23,50.76,51.88,131250.62485695
1666137600,51.86,52.01,50.75,50.92,118631.53824869
1666224000,50.92,52.11,50.56,51.22,119793.53383618
1666310400,51.23,51.82,49.55,51.64,139663.60429082
