ts,open,high,low,close,volume
1504828800,80.23,82.25,68.12,73.7,1111755.62901859
1504915200,73.71,74.5,69.1,71.27,436602.37846644
1505001600,71.27,71.44,65.02,67.44,570164.66091764
1505088000,67.45,71.55,65.5,68.28,429326.53614126
1505174400,68.29,71.93,65.02,66,611134.49104279
1505260800,66,66.46,57.74,61.8,1130672.24832382
1505347200,61.81,62.6,45.1,45.42,1684511.7205506
1505433600,45.42,62.41,33.56,52.29,3159261.16267743
1505520000,52.28,59,50.35,52.47,905035.71502383
1505606400,52.47,54.1,47.87,51.37,592123.2248644
1505692800,51.37,58,51.36,56.3,892632.49378619
1505779200,56.3,56.86,51.38,52.95,622960.04801723
1505865600,52.95,54.6,51.11,51.57,354336.67811832
1505952000,51.58,52.5,45.18,46.61,852377.57872023
1506038400,46.65,49.72,45,47.81,694947.73730701
1506124800,47.83,50.33,46.45,49.41,332503.66789484
1506211200,49.4,49.58,47.06,47.7,239726.283377
1506297600,47.71,53.52,47.52,52.22,506469.76133829
1506384000,52.22,54.41,51.5,52.34,365151.3481447
1506470400,52.34,57.45,52.32,56.88,604496.92869584
1506556800,56.89,57.11,54.07,54.87,466215.26717765
1506643200,54.87,54.87,50.35,52.62,562849.25968209
1506729600,52.62,55.92,52.54,55.26,261761.56719374
1506816000,55.26,55.33,53.5,54.69,209353.77956626
1506902400,54.7,55.08,52.58,53.37,247848.01744737
1506988800,53.37,53.59,51.35,52.15,237685.87486817
1507075200,52.15,53,50.5,51.16,215611.53680266
1507161600,51.16,51.94,50.25,51.67,171878.89137037
1507248000,51.67,52.73,51.4,52.12,150728.51064168
1507334400,52.12,52.95,51.6,52.57,120581.74176358
1507420800,52.58,54.79,52.4,53.27,211464.64509389
1507507200,53.27,53.41,48.15,50.04,465258.29470985
1507593600,50.04,51.48,49.51,50.4,204493.93048201
1507680000,50.41,51,50.22,50.81,101226.69982139
1507766400,50.81,59.58,50.66,59.58,937812.72856896
1507852800,59.55,60.96,55.25,58.9,858105.59944679
1507939200,58.9,66.85,58.3,63.94,737614.48787311
1508025600,63.89,69.59,62.06,65.51,804268.45184031
1508112000,65.52,66.4,62.33,64.72,378161.52074137
1508198400,64.72,64.99,58.51,59.19,433723.78342293
1508284800,59.2,61.85,52.9,60.67,843146.55962508
1508371200,60.68,61.42,58.34,59.84,387551.35965277
1508457600,59.84,62.2,58.52,60.12,351861.58777365
1508544000,60.13,60.38,56.2,58.14,325825.46567236
1508630400,58.15,58.89,56.12,56.75,204786.90017057
1508716800,56.75,56.75,52.45,54.76,450602.74197022
1508803200,54.75,59.19,52.5,55.61,545094.36616611
1508889600,55.61,56.96,53.55,56.36,280808.56257943
1508976000,56.36,57.16,54.75,55.56,160315.18695515
1509062400,55.56,56.15,54.75,55.24,129495.65054542
1509148800,55.25,55.88,54,54.52,98216.94190939
1509235200,54.53,58,54.26,56.59,207083.18768587
1509321600,56.59,58.39,55.85,56.44,192554.17564693
1509408000,56.21,56.81,55.4,55.41,178273.90995509
1509494400,55.41,55.6,52.82,53,243999.16532137
1509580800,53,54.85,50.25,54.35,579982.0338999
1509667200,54.36,56.36,53.96,56.19,327613.09660843
1509753600,56.19,56.3,54.62,55.09,162855.94871579
1509840000,55.12,55.53,54.25,54.67,157524.57412166
1509926400,54.67,55.85,53.37,54.6,226534.71425651
1510012800,54.61,63.71,54.6,60.61,778986.97961875
1510099200,60.61,64.3,59.6,62.46,835181.58759677
1510185600,62.43,67.24,61.89,64.4,643670.07600206
1510272000,64.4,65.94,56.13,59.32,851660.87031764
1510358400,59.31,63.99,59.02,62.49,474600.72899705
1510444800,62.5,62.6,57.08,58.81,601022.9657797
1510531200,58.82,62.42,58.23,61.24,375566.44196294
1510617600,61.24,63.57,60.56,62.33,356954.02729043
1510704000,62.29,65.43,62.2,63.3,386656.39625125
1510790400,63.3,72.5,62.52,70.56,897472.38915577
1510876800,70.56,71.46,65.52,67.5,812037.51177371
1510963200,67.51,69.99,65.62,69.35,354121.78749131
1511049600,69.36,73.4,68.55,71.7,543753.16855135
1511136000,71.7,73.25,71.13,72.62,412885.65855884
1511222400,72.62,73,68,70,722069.7499309
1511308800,70,72.32,70,72.31,329603.57950226
1511395200,72.26,77.96,71.07,73.3,741428.34740885
1511481600,73.31,77.7,72.51,77.54,538366.46039049
1511568000,77.54,89.88,77.24,89.13,1068198.79325939
1511654400,89.14,89.21,84.11,86.62,736573.45794874
1511740800,86.61,93.89,86.4,91.38,930958.03960602
1511827200,91.36,94.88,89.96,94.49,591986.38829207
1511913600,94.49,103.54,76.01,86.7,1767195.72809484
1512000000,86.7,93.5,78,85.82,1094419.48945078
1512086400,85.86,100.77,82,100.16,1414239.41150093
1512172800,100.17,104.75,98.1,99.65,851099.24168469
1512259200,99.65,107.49,97,101.2,853094.33301575
1512345600,101.21,104.5,95.36,104.28,633093.29419253
1512432000,104.28,104.29,101.01,101.01,491730.59407565
1512518400,101.01,103.9,97.75,100.01,826067.51030605
1512604800,100.01,102.48,95.01,97.96,1016793.43972173
1512691200,97.95,144.75,95.8,128.97,2681038.29117077
1512777600,128.96,199,128.96,160.94,4042653.59362598
1512864000,160.94,160.95,135.45,150.99,1428847.12641115
1512950400,150.63,235,149.95,218.6,2891195.07350556
1513036800,218.57,420,213.3,352.08,4638912.67044234
1513123200,352.07,372.55,275,312.89,2475964.15157288
1513209600,312.89,324.62,256.1,283.8,1553107.45854306
1513296000,283.8,322.97,252.22,303.79,1850280.0270205
1513382400,303.86,314.97,280,306.87,869179.38698688
1513468800,306.87,334.87,303.24,324.74,1013207.50039729
1513555200,324.75,366.9,305.77,359.4,1242480.40016702
1513641600,359.4,380,324.67,350.66,1553392.36013527
1513728000,350.66,350.66,275,305.59,1624307.37291199
1513814400,305.59,327.99,291,311,711275.99526854
1513900800,311,311.89,144,267.79,3530405.85799184
1513987200,267.8,321.85,261,293.03,1011737.15361652
1514073600,293.02,295.99,254,278.81,723852.73234947
1514160000,278.81,287.4,271.12,273.52,302604.24667817
1514246400,273.53,286.99,273.17,280.14,373021.64161991
1514332800,280.14,286.46,252.81,264.4,486832.00268581
1514419200,264.39,266,223.59,251.18,765207.39190859
1514505600,251.19,259.5,236.5,245.79,469238.86221673
1514592000,245.79,246,206,216.04,635258.13535641
1514678400,216.03,237.88,210,227.17,451904.50476352
1514764800,227.18,232.29,217.66,225.22,258043.95090406
1514851200,225.22,262,225.21,253.31,732904.03891412
1514937600,253.3,258.54,240.56,244.99,456949.06911089
1515024000,244.99,245,226.79,238.91,534974.87384034
1515110400,238.91,251.97,236.24,246.23,505568.28877083
1515196800,246.23,304,245,279.42,915363.20001039
1515283200,279.42,286.95,265.24,272.06,383043.95294283
1515369600,272.13,273.77,231.42,255.21,590692.55461678
1515456000,255.21,258.75,238.75,246.89,405246.69947596
1515542400,246.9,249.67,232.51,248.81,458501.85564627
1515628800,248.82,253.42,219.07,226.91,614793.41335418
1515715200,226.91,241.99,220.2,235.52,333942.02663852
1515801600,235.52,263,235.51,258,388832.37921673
1515888000,258.01,268,233.82,237.89,382712.59815237
1515974400,237.89,244.2,231.11,232.51,214971.74502817
1516060800,232.51,233.23,146.6,191.13,1433426.06802905
1516147200,191.13,216,135,189,1688826.08247414
1516233600,189,211,176.31,192.6,828745.06899416
1516320000,192.59,203,187.1,192.5,406267.09343323
1516406400,192.5,214.88,192.5,210.91,367598.0996152
1516492800,210.91,211.09,183.12,191.25,350699.10130519
1516579200,191.25,194.7,165.5,179.42,457260.81445448
1516665600,179.43,186.03,165.01,178.27,358927.10260303
1516752000,178.27,184.69,172.23,180.6,263765.92119283
1516838400,180.59,184.8,175,178.86,231200.57959733
1516924800,178.86,181.71,166.15,175.71,272640.80171337
1517011200,175.71,182,173.96,179.65,174090.42528258
1517097600,179.65,192.47,178.65,191.12,229183.01528325
1517184000,191.12,191.12,175.56,179.57,211220.26042352
1517270400,179.57,179.9,158.2,164.25,405258.93221781
1517356800,164.24,166.5,155,161.9,326536.67159524
1517443200,161.9,164.9,125,140.6,809943.94260377
1517529600,140.6,141.34,100.2,130.69,1256777.86825348
1517616000,130.63,166.6,120.12,160.97,933344.89303879
1517702400,161.06,175,137,147.5,1167419.62317858
1517788800,147.51,153.87,112,124.98,1337480.26378748
1517875200,124.97,147.98,103.65,141.5,1850025.85374769
1517961600,142,160,130.6,137.8,994657.02957885
1518048000,137.81,151,136.65,149,495092.83029876
1518134400,149.09,164.38,142.09,164.1,543153.86015828
1518220800,164.11,169.49,148.02,155.08,647749.76124265
1518307200,155.08,155.78,142.26,149.26,336009.03408389
