ts,open,high,low,close,volume
1695146400,67.53,67.75,67.36,67.45,4511.37927989
1695150000,67.44,67.67,67.33,67.62,3764.59061563
1695153600,67.62,67.62,67.11,67.31,5604.96416103
1695157200,67.33,67.37,66.9,67.32,3553.91605607
1695160800,67.33,67.51,67.13,67.38,5103.24363993
1695164400,67.36,67.49,67.25,67.29,2467.63159792
1695168000,67.3,67.33,66.62,67.03,8549.79883768
1695171600,67,67.45,66.96,67.43,5490.96472753
1695175200,67.42,67.88,66.79,66.89,8793.91452165
1695178800,66.9,67.14,66.63,66.86,7266.47304657
1695182400,66.85,66.95,66.65,66.67,3833.89475902
1695186000,66.66,66.78,66.42,66.47,3623.86105452
1695189600,66.48,66.66,66.24,66.54,4738.44056984
1695193200,66.53,66.66,66.38,66.54,9097.90637152
1695196800,66.52,66.6,66.14,66.51,6811.44310233
1695200400,66.52,66.55,65.24,65.73,11765.79090893
1695204000,65.72,65.78,65.42,65.63,6692.17923717
1695207600,65.65,65.69,65.47,65.48,5375.61928341
1695211200,65.49,65.54,64.54,64.8,17466.10453063
1695214800,64.79,64.88,64.22,64.7,24922.59558255
1695218400,64.73,64.96,64.33,64.5,14505.66122503
1695222000,64.5,64.83,64.29,64.79,11354.56821822
1695225600,64.79,64.91,64.59,64.78,7465.77096171
1695229200,64.78,65.14,64.72,65,7734.16237294
1695232800,65.02,65.57,64.7,65.16,12688.85995867
1695236400,65.14,65.2,63.28,64.1,22879.83328658
1695240000,64.1,64.51,64.1,64.51,8797.93734142
1695243600,64.49,64.93,64.37,64.69,16616.8370755
1695247200,64.68,64.76,64.46,64.48,6476.25145425
1695250800,64.49,64.65,64.36,64.55,5502.22157467
1695254400,64.58,65.03,64.47,64.77,6222.72858395
1695258000,64.76,64.83,64.42,64.6,2630.72203487
1695261600,64.6,64.85,64.46,64.62,4762.16751368
1695265200,64.6,64.98,64.6,64.92,2848.3746328
1695268800,64.92,64.94,64.65,64.69,4797.98821734
1695272400,64.72,64.72,64.22,64.51,3984.5342813
1695276000,64.48,64.51,64.15,64.5,2762.4931203
1695279600,64.5,64.5,64.14,64.29,2776.37731009
1695283200,64.29,64.44,63.91,63.96,3660.18127199
1695286800,63.94,64.11,63.5,63.83,9767.73267062
1695290400,63.82,63.95,62.92,63.01,9290.64013045
1695294000,62.96,63.54,62.94,63.53,5137.9687605
1695297600,63.52,63.84,63.37,63.76,9714.89412953
1695301200,63.76,63.82,63.21,63.69,8704.10542777
1695304800,63.7,64.68,63.63,64.57,22970.25738017
1695308400,64.57,64.79,64.39,64.48,12297.62841363
1695312000,64.48,64.98,64.43,64.64,27357.74323394
1695315600,64.64,64.87,64.55,64.55,9951.41666587
1695319200,64.55,64.79,64.46,64.78,5844.8344743
1695322800,64.78,64.82,64.49,64.52,3898.31810217
1695326400,64.54,64.8,64.38,64.77,10349.58677002
1695330000,64.78,64.9,64.52,64.89,7165.36984642
1695333600,64.87,64.89,64.47,64.52,5734.10277311
1695337200,64.53,64.8,64.52,64.71,3754.72831753
1695340800,64.71,64.98,63.96,64.93,11459.70308363
1695344400,64.92,65.35,64.66,65.24,8979.5446372
1695348000,65.24,65.88,64.74,64.74,13813.66481246
1695351600,64.73,65.17,64.73,65.06,3965.74852035
1695355200,65.09,65.18,64.88,64.93,5828.54148051
1695358800,64.94,64.94,64.51,64.78,4504.21944691
1695362400,64.8,64.8,64.49,64.69,2576.24298085
1695366000,64.7,64.92,64.53,64.86,4233.01742967
1695369600,64.85,65.48,64.8,65.12,12485.67166542
1695373200,65.11,65.44,64.88,65.02,17631.61162616
1695376800,65.04,65.16,64.7,64.71,7159.94245478
1695380400,64.74,64.87,64.65,64.8,4713.17792279
1695384000,64.78,64.94,64.69,64.71,2583.33297008
1695387600,64.71,64.79,64.4,64.64,6067.81818609
1695391200,64.63,64.81,64.5,64.8,7152.61387277
1695394800,64.8,64.98,64.51,64.51,3031.99899336
1695398400,64.51,64.62,64.1,64.27,5916.79878851
1695402000,64.28,64.39,64.11,64.33,4323.82230674
1695405600,64.33,64.71,64.26,64.68,3224.75149014
1695409200,64.67,64.81,64.39,64.41,4535.92768096
1695412800,64.42,64.48,64.16,64.23,3378.09173753
1695416400,64.21,64.52,64.05,64.52,2873.14925337
1695420000,64.52,64.58,64.18,64.41,4786.31515815
1695423600,64.4,64.42,64.12,64.37,3364.00692335
1695427200,64.38,64.77,64.38,64.71,4604.69811771
1695430800,64.7,65.04,64.47,64.89,16332.99773525
1695434400,64.88,64.9,64.49,64.63,4213.06875813
1695438000,64.67,64.88,64.5,64.73,2520.99649455
1695441600,64.73,64.97,64.61,64.8,3052.49828943
1695445200,64.8,64.87,64.53,64.56,3801.01740772
1695448800,64.57,64.69,64.54,64.63,1671.0240679
1695452400,64.64,64.85,64.58,64.82,2434.39682729
1695456000,64.83,65.05,64.68,64.92,7618.57897659
1695459600,64.91,65.07,64.82,65,1993.41710141
1695463200,64.99,65.03,64.86,64.87,1210.179885
1695466800,64.85,64.89,64.75,64.8,905.13449892
1695470400,64.79,64.95,64.77,64.82,2479.15668537
1695474000,64.82,64.91,64.73,64.78,2027.93999322
1695477600,64.78,64.91,64.72,64.84,3454.19024852
1695481200,64.83,64.91,64.62,64.77,3797.27378803
1695484800,64.77,64.99,64.66,64.97,2542.89973423
1695488400,64.97,65.2,64.86,65.11,3290.31846373
1695492000,65.1,65.27,65,65.03,1452.84691488
1695495600,65.03,65.21,65.01,65.12,2131.12643417
1695499200,65.11,65.16,64.99,65.02,1598.5379225
1695502800,65.02,65.12,64.99,65.02,1472.57562681
1695506400,65.01,65.07,64.89,64.91,1975.28037995
1695510000,64.9,65.12,64.86,65.09,1755.58796413
1695513600,65.08,65.12,64.82,64.92,3310.14362991
1695517200,64.93,64.93,64.74,64.87,3395.37325164
1695520800,64.87,65,64.83,64.93,1324.87122846
1695524400,64.93,64.93,64.78,64.79,1148.72312734
1695528000,64.79,64.85,64.58,64.71,2210.95903375
1695531600,64.72,64.73,64.49,64.57,2142.01601647
1695535200,64.58,64.6,64.42,64.56,1417.99810289
1695538800,64.56,64.68,64.51,64.63,962.07198405
1695542400,64.62,64.8,64.59,64.8,846.56423499
1695546000,64.8,64.86,64.73,64.81,544.1163375
1695549600,64.8,64.83,64.68,64.71,1105.61988048
1695553200,64.72,64.76,64.59,64.65,947.48815241
1695556800,64.66,64.79,64.56,64.67,2537.16668576
1695560400,64.69,64.8,64.64,64.7,2237.6694726
1695564000,64.7,64.77,64.64,64.75,1001.40408313
1695567600,64.75,64.77,64.53,64.72,1324.57447721
1695571200,64.72,64.75,64.61,64.73,1599.29261196
1695574800,64.72,65.03,64.63,64.89,2196.61926366
1695578400,64.91,65.04,64.35,64.67,6366.10144227
1695582000,64.67,64.67,64.02,64.31,4607.5633402
1695585600,64.3,64.39,64.03,64.32,3351.31011618
1695589200,64.31,64.35,64.17,64.35,1823.02214922
1695592800,64.35,64.35,64.17,64.22,1970.25453371
1695596400,64.21,64.21,63.26,63.56,13000.96407898
1695600000,63.57,63.72,62.57,63.72,10759.40513741
1695603600,63.72,64.22,63.67,63.82,4759.35092018
1695607200,63.8,64.25,63.77,64.21,2117.43192104
1695610800,64.2,64.47,64.2,64.24,3467.96499187
