ts,open,high,low,close,volume
1757138400,111.36,111.79,111.2,111.72,6696.36471351
1757160000,111.71,112.41,111.26,111.99,17293.31891184
1757181600,111.98,112.46,111.54,112.13,19562.89873883
1757203200,112.16,113.71,112.16,113.59,15932.95745241
1757224800,113.59,114.38,113.31,114.22,14074.67272606
1757246400,114.21,115.4,114.17,114.29,26434.20516281
1757268000,114.3,115.21,113.95,114.92,23058.32709612
1757289600,114.93,115.51,112.73,113,43855.16587673
1757311200,112.99,113.8,111.93,113.33,25612.17143712
1757332800,113.34,113.94,112.49,112.79,40925.84310056
1757354400,112.78,113.26,111.92,112.76,23782.48322815
1757376000,112.76,113.94,111.62,113.04,26129.95562149
1757397600,113.06,114.69,112.97,113.47,25768.1260663
1757419200,113.49,114,110.81,111.66,34367.05747983
1757440800,111.66,112.28,111.5,111.93,21589.36830997
1757462400,111.95,113.24,111.54,112.83,19418.25842809
1757484000,112.85,113.3,112.51,113.01,10460.63622777
1757505600,113.01,118.74,112.97,116.48,78014.32440457
1757527200,116.47,117.75,114.9,117.68,35188.7672266
1757548800,117.64,117.82,116.04,116.32,23733.86166981
1757570400,116.31,117.7,116.25,116.97,15537.44646185
1757592000,116.98,117.59,112.98,114.85,59896.99155647
1757613600,114.84,116.19,113.75,115.87,21173.53511123
1757635200,115.88,116.98,114.8,116.32,35014.79903589
1757656800,116.32,116.52,115.4,115.46,14593.05000315
1757678400,115.44,117.78,114.97,117.51,32857.54347142
1757700000,117.49,118.36,116.99,118.12,40412.64233563
1757721600,118.11,118.62,117.47,118.45,34212.76661342
1757743200,118.45,120.71,118.39,120.69,24580.99679953
1757764800,120.69,121,117.89,120,57371.54391109
1757786400,120,120.25,118.79,119.31,34048.53671034
1757808000,119.3,119.41,115.98,117.52,48576.16846052
1757829600,117.51,117.61,115.51,115.59,13168.92773528
1757851200,115.59,116.07,114.02,115.44,30881.90933977
1757872800,115.46,116.18,114.84,115.15,16624.95903721
1757894400,115.17,116.79,114.63,116.7,16610.91850531
1757916000,116.69,116.73,112.48,113.95,40982.05750391
1757937600,113.94,114.14,112.05,113.13,43212.99266644
1757959200,113.13,113.84,112.73,113.77,21204.52550379
1757980800,113.77,114.51,112.05,114.27,30298.91010681
1758002400,114.27,115.24,113.63,114.37,22955.3851895
1758024000,114.36,115.85,113.26,115.22,33486.01658352
1758045600,115.21,115.63,114.77,115.09,26312.60629065
1758067200,115.08,115.92,113.82,114.81,21089.3580912
1758088800,114.8,115.5,113.98,114.22,11723.05125315
1758110400,114.21,115.33,113.42,113.83,25757.03028261
1758132000,113.8,117.63,113.1,117.06,50750.36203032
1758153600,117.06,118.14,116.7,116.91,33549.05428661
1758175200,116.9,116.99,114.94,115.8,26734.65234624
1758196800,115.81,118.41,115.43,118.25,31143.6601309
1758218400,118.24,119.16,117.66,118.26,40579.55509907
1758240000,118.26,119.53,116.37,117.43,59364.10406257
1758261600,117.43,117.88,115.56,115.82,24082.40363558
1758283200,115.81,116.61,114.5,114.58,33633.70385479
1758304800,114.57,114.7,113.44,114.11,21473.79346296
1758326400,114.1,114.94,113.56,114.73,21884.08151976
1758348000,114.71,115.38,113.48,114.05,21485.98853453
1758369600,114.03,114.98,113.51,114.25,16419.1051682
1758391200,114.24,114.5,113.69,113.99,14847.70553323
1758412800,113.99,114.9,113.78,114.88,12589.4592715
1758434400,114.9,116.32,114.55,114.82,17453.74627884
1758456000,114.81,115.97,114.65,115.94,16456.98462484
1758477600,115.92,116.02,114.02,114.08,19167.29659136
1758499200,114.05,114.57,109.47,109.52,51436.61667322
1758520800,109.49,109.63,102.55,105.75,108717.60945021
1758542400,105.74,106.81,104.71,105.47,46324.27146325
1758564000,105.46,106.26,104.63,105.77,31686.93689455
1758585600,105.76,106.73,104.42,105.82,34127.55169567
1758607200,105.8,106.76,105.7,106.59,14300.74934687
1758628800,106.58,107.3,105.35,105.59,28197.76056462
1758650400,105.59,106.8,105.57,106.09,23448.22412322
1758672000,106.11,107.64,104.57,107.3,35410.82503303
1758693600,107.28,107.49,106.3,107.24,39685.78527038
1758715200,107.23,107.73,106,106.76,32406.40276744
1758736800,106.74,106.76,105.51,105.57,23967.70802501
1758758400,105.58,105.9,103.32,104.65,38524.74211556
1758780000,104.63,104.71,102.87,103.49,23398.36129003
1758801600,103.5,105.33,100.31,100.93,57479.63133253
1758823200,100.92,103.81,100.52,102.36,43600.21083157
1758844800,102.37,103.97,102.36,103.02,22172.10898001
1758866400,103.02,103.67,101.04,101.99,20509.29882584
1758888000,101.97,104.85,101.36,104.79,37801.22733756
1758909600,104.78,104.98,103.84,104.63,18895.08601071
1758931200,104.63,104.63,103.54,103.88,15383.69348321
1758952800,103.89,104.55,103.38,104.02,12443.70810148
1758974400,104.02,104.99,103.99,104.64,16830.05885417
