ts,open,high,low,close,volume
1660176000,1.0731,1.0887,1.0446,1.0532,3907903.87
1660262400,1.053,1.07,1.0275,1.0695,2284003
1660348800,1.0693,1.098,1.0571,1.0626,3272750.63
1660435200,1.0632,1.1292,1.053,1.0711,6645556.49
1660521600,1.0717,1.1164,1.0348,1.0528,7860297.54
1660608000,1.0524,1.0661,1.0229,1.0279,4753642.36
1660694400,1.0281,1.0579,0.9602,0.9701,6801063.13
1660780800,0.9704,0.9919,0.9008,0.9242,4432422.41
1660867200,0.9242,0.9274,0.8307,0.842,8686256.64
1660953600,0.8418,0.8659,0.8111,0.8325,4608505.58
1661040000,0.8323,0.8625,0.8256,0.8524,2695851
1661126400,0.8527,0.8539,0.8022,0.8309,4824070.07
1661212800,0.8311,0.8381,0.8037,0.8365,3578833.41
1661299200,0.8364,0.8573,0.8115,0.8321,5456436.92
1661385600,0.8318,0.8537,0.8241,0.8381,3814911.72
1661472000,0.8378,0.8479,0.7646,0.7767,10562521.96
1661558400,0.7765,0.7808,0.7552,0.777,8831301.51
1661644800,0.777,0.7922,0.7452,0.7506,4647046.76
1661731200,0.7506,0.8002,0.7387,0.7965,4860632.52
1661817600,0.7964,0.806,0.7515,0.7727,5472134.87
1661904000,0.7728,0.7985,0.7682,0.773,4046880.48
1661990400,0.7722,0.7815,0.7491,0.7803,3984439.88
1662076800,0.7806,0.7999,0.7658,0.7753,4655583.89
1662163200,0.7755,0.7897,0.7621,0.7883,3265295.68
1662249600,0.7885,0.8225,0.7819,0.8084,4467004.55
1662336000,0.8082,0.8143,0.7793,0.7896,4565904.62
1662422400,0.7895,0.8139,0.7274,0.7374,6496345.96
1662508800,0.7371,0.7717,0.7218,0.764,3705113.29
1662595200,0.7641,0.7758,0.7496,0.7728,3493857.92
1662681600,0.7731,0.8217,0.7719,0.8063,5253682.66
1662768000,0.8062,0.832,0.7993,0.814,6999856.08
1662854400,0.8143,0.822,0.7922,0.8039,3412912.12
1662940800,0.8038,0.823,0.783,0.7944,5510141.31
1663027200,0.7951,0.803,0.7275,0.7309,6211084.88
1663113600,0.7306,0.7493,0.7193,0.7424,3931243.85
1663200000,0.7427,0.7453,0.709,0.7195,3019583.49
1663286400,0.7198,0.7461,0.7103,0.741,2769304.94
1663372800,0.7411,0.754,0.7335,0.7518,1292763.46
1663459200,0.752,0.755,0.6958,0.7041,3382352.69
1663545600,0.7036,0.7319,0.6859,0.7268,5039827.88
1663632000,0.7267,0.7337,0.7033,0.7068,4754054.86
1663718400,0.7069,0.74,0.6689,0.6806,6535646.56
1663804800,0.6803,0.726,0.6802,0.721,3463808.48
1663891200,0.7209,0.734,0.6892,0.7202,3949744.61
1663977600,0.7203,0.7307,0.7047,0.7074,2184498.84
1664064000,0.7073,0.7182,0.6905,0.698,1846368.26
1664150400,0.6976,0.7059,0.6813,0.7034,3013344.54
1664236800,0.7034,0.7244,0.6838,0.6926,4060338.97
1664323200,0.6929,0.7089,0.6715,0.7032,3794320.81
1664409600,0.7033,0.7105,0.687,0.7091,2343178.64
1664496000,0.7092,0.7175,0.6925,0.6979,4358630.15
1664582400,0.6977,0.7031,0.6903,0.6927,1226590.47
1664668800,0.6928,0.6972,0.6792,0.6828,1555129.06
1664755200,0.6817,0.6983,0.6734,0.6966,3175359.09
1664841600,0.6966,0.7085,0.6931,0.7045,2978216
1664928000,0.7048,0.7151,0.6888,0.703,4356377.59
1665014400,0.703,0.7126,0.6924,0.6953,5004610.32
1665100800,0.6953,0.7,0.6842,0.695,2398882.99
1665187200,0.695,0.7006,0.6823,0.6907,1931376.27
1665273600,0.6908,0.6952,0.688,0.6922,1027522.69
1665360000,0.6921,0.6993,0.6634,0.6659,3147904.09
1665446400,0.6658,0.6658,0.6366,0.6512,5354396.44
1665532800,0.6512,0.6601,0.6441,0.6475,2024064.8
1665619200,0.6475,0.6492,0.5854,0.6352,11144807.85
1665705600,0.6351,0.6555,0.614,0.6228,4297994.99
1665792000,0.6227,0.658,0.6215,0.6384,4628688.4
1665878400,0.6385,0.6473,0.633,0.6414,2432089.12
1665964800,0.6413,0.6503,0.6349,0.6488,2253307.41
1666051200,0.649,0.6566,0.6194,0.6313,3850551.39
1666137600,0.6315,0.6336,0.601,0.6066,3169887.03
1666224000,0.6065,0.6217,0.5968,0.6012,3093690.58
1666310400,0.6012,0.6169,0.5828,0.6147,5073803.8
1666396800,0.6148,0.6178,0.6048,0.6118,2521367.75
1666483200,0.6119,0.6247,0.6002,0.6221,2566323.7
1666569600,0.6223,0.6247,0.5955,0.603,2737313.19
1666656000,0.603,0.6351,0.6017,0.6254,5861472.55
1666742400,0.6258,0.6477,0.6219,0.6374,5347933.41
1666828800,0.6374,0.6691,0.6234,0.6276,6317154.71
1666915200,0.6279,0.6477,0.615,0.6423,3724908.25
1667001600,0.6422,0.678,0.6417,0.6618,6649392.15
1667088000,0.6623,0.7317,0.6546,0.6716,17373639.09
1667174400,0.6716,0.6892,0.6546,0.6726,6421944.25
1667260800,0.6726,0.6848,0.65,0.6502,4066223.33
1667347200,0.65,0.6517,0.6078,0.6228,6005933.98
1667433600,0.6228,0.6509,0.6205,0.6372,3749292.56
1667520000,0.6375,0.6987,0.633,0.696,6084322.7
1667606400,0.6958,0.7438,0.6955,0.7119,12302110.29
1667692800,0.7117,0.7149,0.6608,0.6612,5041823.5
1667779200,0.6612,0.6753,0.6444,0.6641,3537997.72
1667865600,0.6637,0.6938,0.5,0.5661,13038601.41
1667952000,0.5662,0.5708,0.4461,0.4577,16098942.51
1668038400,0.4566,0.5394,0.4501,0.529,6658004.86
1668124800,0.5288,0.5341,0.4766,0.4959,3816834.4
1668211200,0.4957,0.4968,0.4593,0.4639,2788783.66
1668297600,0.4641,0.4723,0.436,0.4479,7881891.71
1668384000,0.4481,0.4539,0.41,0.4404,7293671.02
1668470400,0.4403,0.461,0.4328,0.4499,5593108.33
1668556800,0.4498,0.4561,0.4242,0.4314,4671931.5
1668643200,0.4314,0.4348,0.4109,0.4169,4786549.45
1668729600,0.417,0.4241,0.4052,0.4131,3593748.09
1668816000,0.4132,0.4246,0.4022,0.4165,3297888.05
1668902400,0.4164,0.4201,0.3809,0.3832,5676152.72
1668988800,0.3831,0.3858,0.3569,0.3693,8384828.57
1669075200,0.369,0.3826,0.3554,0.3825,4276199.62
1669161600,0.3825,0.3971,0.378,0.3971,4935408.53
1669248000,0.397,0.4049,0.385,0.394,2652332.42
1669334400,0.3937,0.3938,0.3817,0.3907,2669370.95
1669420800,0.3907,0.4071,0.39,0.4051,3397441.67
1669507200,0.4049,0.4121,0.3977,0.4,5927488
1669593600,0.3995,0.4048,0.3801,0.3862,3627865.81
1669680000,0.3862,0.3991,0.3821,0.3933,2065012.88
1669766400,0.3934,0.4128,0.3934,0.4125,4840210.28
1669852800,0.4126,0.413,0.3999,0.4046,3580591.64
1669939200,0.4048,0.4247,0.3978,0.4207,6276715.74
1670025600,0.4208,0.4226,0.4051,0.4059,2580906.13
1670112000,0.406,0.4164,0.4031,0.4094,3596037.25
1670198400,0.4094,0.4283,0.4086,0.4197,7296123.81
1670284800,0.4198,0.4238,0.4109,0.4157,4123169.2
1670371200,0.4159,0.4189,0.3865,0.3943,3298415.29
1670457600,0.3944,0.4035,0.3887,0.3999,2134657.67
1670544000,0.3998,0.4028,0.3934,0.3952,2143847.61
1670630400,0.3955,0.4053,0.3949,0.4016,1996750.41
1670716800,0.4016,0.4024,0.3884,0.3898,1144411.21
1670803200,0.3896,0.3896,0.3708,0.384,2561575.22
1670889600,0.384,0.3946,0.3656,0.3916,3220671.29
1670976000,0.3916,0.3942,0.3794,0.3815,3510274.84
1671062400,0.3816,0.3822,0.3709,0.3755,2111100.07
1671148800,0.3756,0.3795,0.3348,0.3383,7539589.45
1671235200,0.3382,0.3399,0.325,0.3345,4315670.53
1671321600,0.3347,0.3348,0.3203,0.3258,2589542.65
1671408000,0.3261,0.3312,0.2964,0.3028,4217052.28
1671494400,0.3028,0.319,0.3017,0.3133,3008992.36
1671580800,0.3135,0.3155,0.3013,0.3062,3134352.27
1671667200,0.3058,0.3121,0.2996,0.3121,3268046.41
1671753600,0.3123,0.3397,0.3109,0.3334,7383369.05
1671840000,0.3335,0.3377,0.3247,0.327,4588757.25
1671926400,0.3273,0.3319,0.3239,0.3268,3174622.72
1672012800,0.3268,0.3379,0.3247,0.3292,5412989.23
1672099200,0.3293,0.3305,0.3146,0.3215,4559895.86
1672185600,0.3214,0.3227,0.3025,0.3052,3131102.37
1672272000,0.3051,0.3056,0.2873,0.2945,3711238.74
1672358400,0.2947,0.2959,0.284,0.2927,4267306.35
1672444800,0.2927,0.2998,0.2913,0.2969,2790361.95
1672531200,0.2967,0.302,0.2908,0.3018,2475890.45
1672617600,0.3018,0.313,0.2957,0.3104,3686419.12
1672704000,0.3101,0.3134,0.3042,0.3088,2272310.7
1672790400,0.3088,0.335,0.3081,0.3217,7255924.48
1672876800,0.3221,0.3323,0.3176,0.3211,5862174.58
1672963200,0.3211,0.331,0.31,0.3279,4752489.4
1673049600,0.3282,0.3601,0.3263,0.351,8724489.93
1673136000,0.3511,0.3931,0.3396,0.3776,11037909.01
1673222400,0.3775,0.43,0.3758,0.3938,19829922.82
1673308800,0.394,0.4162,0.3909,0.4022,6599924.77
1673395200,0.4021,0.4076,0.3795,0.4055,4362298.72
1673481600,0.4059,0.4173,0.3872,0.4127,6929194.11
1673568000,0.4131,0.5499,0.4063,0.5314,25978383.64
1673654400,0.5314,0.637,0.5278,0.5947,44459497.44
1673740800,0.5945,0.73,0.5517,0.6987,39606578.38
1673827200,0.6986,0.7371,0.6643,0.6994,30565419.24
1673913600,0.6995,0.7564,0.6753,0.687,21232791.91
1674000000,0.6876,0.713,0.6222,0.6357,22702617.7
1674086400,0.6357,0.6791,0.6227,0.6457,14171314.64
1674172800,0.6457,0.75,0.614,0.7314,23223679.31
1674259200,0.7317,0.78,0.7051,0.7152,27634614.49
1674345600,0.7164,0.7582,0.69,0.7253,16599651.35
1674432000,0.7254,0.7494,0.7,0.7246,11259704.91
1674518400,0.7246,0.7441,0.6481,0.6619,10786845.49
1674604800,0.6613,0.7167,0.6358,0.6881,13668501.46
1674691200,0.6893,0.7013,0.6579,0.6772,10627240.71
1674777600,0.6772,0.6954,0.6476,0.6797,6477607.78
1674864000,0.6801,0.7335,0.6796,0.6933,10351118.58
1674950400,0.6934,0.8115,0.6822,0.8074,21977096.6
1675036800,0.8073,0.8176,0.71,0.7524,16925619.57
1675123200,0.7523,0.7571,0.7214,0.7493,11101735.06
1675209600,0.7493,0.8146,0.7068,0.8037,13582655.87
1675296000,0.8039,0.8426,0.77,0.7843,13467043.99
1675382400,0.7844,0.7974,0.7623,0.7902,8443549.47
1675468800,0.7901,0.8085,0.7731,0.781,7069846.83
1675555200,0.7811,0.7845,0.7176,0.736,10534164.04
1675641600,0.7359,0.7459,0.7019,0.7091,7197353.5
1675728000,0.7087,0.825,0.7072,0.8084,16343408.78
1675814400,0.8084,0.8258,0.7369,0.7694,15939128.12
1675900800,0.7695,0.7717,0.6609,0.6781,17671401.82
1675987200,0.6778,0.7208,0.6639,0.6876,9654842.81
1676073600,0.6885,0.697,0.6774,0.6955,3379128.17
1676160000,0.695,0.6998,0.651,0.6609,5511199.57
1676246400,0.6604,0.6645,0.6154,0.645,10416447.75
1676332800,0.6452,0.6861,0.6148,0.6766,10577258.99
1676419200,0.6765,0.7326,0.6588,0.7304,10324589.52
1676505600,0.7306,0.7499,0.6743,0.6791,15302885.8
1676592000,0.6794,0.7391,0.6755,0.7155,11536756.83
1676678400,0.7155,0.7364,0.7067,0.7141,6462616.03
1676764800,0.7138,0.7562,0.7004,0.7171,9581984.18
1676851200,0.7172,0.76,0.6849,0.7434,10141307.06
1676937600,0.7438,0.7478,0.6889,0.7043,11790242.33
1677024000,0.7043,0.7073,0.6712,0.7012,7209169.99
1677110400,0.7019,0.7163,0.6834,0.701,4736839.02
1677196800,0.7011,0.705,0.6495,0.6687,6364425.38
1677283200,0.6687,0.6708,0.621,0.6491,4213908.57
1677369600,0.6492,0.6693,0.6423,0.6637,2548469.29
1677456000,0.664,0.6732,0.6365,0.6538,7099314.06
1677542400,0.654,0.6614,0.6201,0.6271,5308839.68
1677628800,0.627,0.6621,0.6207,0.6575,2467633.88
1677715200,0.6574,0.6606,0.6236,0.6384,2756050.83
1677801600,0.6385,0.6387,0.5732,0.6022,5135791.88
1677888000,0.6022,0.6146,0.5681,0.578,1348389.96
1677974400,0.5779,0.5936,0.5723,0.5768,2355601.05
1678060800,0.5765,0.6241,0.5633,0.611,6800896.9
1678147200,0.611,0.6195,0.5722,0.5908,4084687.17
1678233600,0.5907,0.5935,0.539,0.5469,4377256.09
1678320000,0.5472,0.5652,0.5026,0.5173,8162226.04
1678406400,0.5169,0.5323,0.4826,0.529,8802043.82
1678492800,0.5286,0.5563,0.4998,0.5223,7019461.03
1678579200,0.522,0.5765,0.5121,0.5731,5918687.25
1678665600,0.5731,0.6073,0.5463,0.5973,11678517.09
1678752000,0.5978,0.647,0.5798,0.6124,12367082.99
1678838400,0.6124,0.6243,0.5425,0.5583,10560725.29
1678924800,0.5584,0.577,0.5487,0.574,5141841.07
1679011200,0.5735,0.6526,0.5646,0.6452,8742621.03
1679097600,0.6454,0.6803,0.6198,0.6234,11232463.11
1679184000,0.6236,0.6654,0.6236,0.6356,5154343.09
1679270400,0.6366,0.6518,0.5917,0.5995,7372798.23
1679356800,0.5996,0.6234,0.5821,0.6193,5919601.62
1679443200,0.6194,0.6211,0.57,0.5819,6515234.48
1679529600,0.5822,0.6218,0.5732,0.6151,5736221.18
1679616000,0.6151,0.6169,0.5767,0.5874,3727117.64
1679702400,0.5873,0.5974,0.572,0.5793,2701085.01
1679788800,0.5793,0.5965,0.5775,0.5914,2205332.77
1679875200,0.5918,0.5935,0.5449,0.5625,5530444.14
1679961600,0.5624,0.5808,0.5524,0.5759,2473027.49
1680048000,0.576,0.6067,0.5744,0.5977,3632177.42
1680134400,0.5981,0.607,0.5681,0.5783,4446003.24
1680220800,0.5788,0.5908,0.5606,0.5885,3586561.58
1680307200,0.5885,0.5971,0.5825,0.5969,3143461.77
1680393600,0.597,0.6247,0.5843,0.6012,4779316.36
1680480000,0.6013,0.6247,0.5668,0.5898,8976839.63
1680566400,0.5896,0.6067,0.5824,0.597,5097994.44
1680652800,0.5973,0.6183,0.5904,0.6162,2770039.33
1680739200,0.6159,0.6286,0.5926,0.6003,3751033.18
1680825600,0.6006,0.6261,0.5944,0.6106,4425859.77
1680912000,0.6109,0.6142,0.5956,0.6001,3320536.32
1680998400,0.6001,0.6046,0.5871,0.6001,1267500.79
1681084800,0.6003,0.6141,0.5901,0.6134,2010609.59
1681171200,0.6132,0.6218,0.6045,0.6076,4075200.4
1681257600,0.6081,0.6143,0.5819,0.6085,5893138.12
1681344000,0.6091,0.62,0.6013,0.6172,3796468.64
1681430400,0.6171,0.653,0.6154,0.6401,7725878.28
1681516800,0.6401,0.6487,0.6281,0.6393,3531643.17
1681603200,0.6396,0.6502,0.6293,0.6448,3443383.39
1681689600,0.6446,0.698,0.6269,0.6933,13243395.02
1681776000,0.6935,0.7,0.6687,0.6866,7917891.37
1681862400,0.6868,0.6879,0.6025,0.616,9877503.4
1681948800,0.6158,0.6225,0.5808,0.5914,6640086.77
1682035200,0.5914,0.595,0.5525,0.5627,5636749.38
1682121600,0.5627,0.5724,0.5558,0.5713,2203334.25
1682208000,0.5708,0.5713,0.545,0.5591,2238590.79
1682294400,0.5591,0.5681,0.5422,0.5544,1555824.24
1682380800,0.5542,0.5648,0.5326,0.5608,2927242.5
1682467200,0.5612,0.5765,0.5165,0.5426,3755887.85
1682553600,0.5427,0.563,0.5365,0.556,2461191.32
1682640000,0.5557,0.5578,0.5392,0.5511,1389132.57
1682726400,0.551,0.5574,0.5464,0.5546,775180.05
1682812800,0.5544,0.5562,0.5382,0.5428,1024998.45
1682899200,0.543,0.5523,0.5175,0.5269,1732834.46
1682985600,0.5265,0.5338,0.5208,0.5324,1650550.76
1683072000,0.5321,0.5471,0.5156,0.5444,4627962.76
1683158400,0.5449,0.5451,0.5308,0.5331,2383444.41
1683244800,0.533,0.5407,0.5245,0.5388,1662665.93
1683331200,0.5394,0.5424,0.5089,0.5174,1645746.38
1683417600,0.5175,0.5203,0.5063,0.5094,1140262.98
1683504000,0.5079,0.5117,0.457,0.4732,4211009.89
1683590400,0.4732,0.4783,0.4613,0.4674,2792664.89
1683676800,0.4675,0.4822,0.4507,0.4772,3925048.92
1683763200,0.4773,0.4773,0.4437,0.4507,2090079.34
1683849600,0.4508,0.4559,0.4345,0.4558,2650797.45
1683936000,0.4562,0.4566,0.4484,0.4511,901719.49
1684022400,0.4508,0.4617,0.4461,0.457,622938.94
1684108800,0.4571,0.475,0.4497,0.4676,2187746.88
1684195200,0.4676,0.4835,0.461,0.4835,2194665.86
1684281600,0.4833,0.531,0.4804,0.5088,9376680.9
1684368000,0.5088,0.5148,0.4856,0.5018,3907029.5
1684454400,0.5019,0.5061,0.4894,0.4919,1656147.06
1684540800,0.4912,0.4941,0.4814,0.491,1531359.54
1684627200,0.4911,0.4919,0.4762,0.4793,1315247.92
1684713600,0.4797,0.4836,0.4678,0.4809,2966607.17
1684800000,0.4809,0.4924,0.4756,0.4783,1477443.05
1684886400,0.4784,0.4786,0.4504,0.4552,2442207.31
1684972800,0.4552,0.4733,0.4414,0.466,2504909.44
1685059200,0.4661,0.4691,0.4571,0.4649,1314422.84
1685145600,0.4649,0.4748,0.4614,0.474,873249.16
1685232000,0.4739,0.4956,0.4723,0.4877,1815030.14
1685318400,0.4889,0.4916,0.4736,0.4784,1232310.12
1685404800,0.4784,0.4853,0.4742,0.4802,1437530.81
1685491200,0.4799,0.4859,0.4569,0.4631,1681065.77
1685577600,0.463,0.481,0.4563,0.4728,1801829.46
1685664000,0.4726,0.4877,0.4649,0.4845,1424771.05
1685750400,0.4845,0.4904,0.479,0.4859,1143230.64
1685836800,0.4863,0.5205,0.4812,0.5045,3449030.46
1685923200,0.5052,0.54,0.4491,0.4576,14945140.05
1686009600,0.4578,0.47,0.4306,0.4614,5865986.91
1686096000,0.4614,0.4614,0.4141,0.4195,4194610.14
1686182400,0.419,0.4224,0.4069,0.4166,2260734.62
1686268800,0.417,0.4243,0.4011,0.405,3297874.7
1686355200,0.405,0.4058,0.3062,0.3457,10183337.18
