ts,open,high,low,close,volume
1694833200,0.3018,0.3026,0.2988,0.3,49427.77
1694836800,0.2998,0.3012,0.2988,0.3011,23023.03
1694840400,0.301,0.3015,0.3001,0.3007,25697.79
1694844000,0.3008,0.3028,0.2992,0.2998,58057.61
1694847600,0.3007,0.3036,0.3005,0.3029,60653.1
1694851200,0.3027,0.303,0.3002,0.3013,111056.13
1694854800,0.3016,0.3023,0.3011,0.3011,15475.41
1694858400,0.3004,0.3016,0.3,0.3011,4820.61
1694862000,0.301,0.3016,0.2998,0.301,25240.41
1694865600,0.3013,0.302,0.3006,0.301,7450.15
1694869200,0.3008,0.3008,0.299,0.2997,59883.29
1694872800,0.2994,0.2997,0.2965,0.2965,45857.64
1694876400,0.296,0.299,0.2959,0.2979,77810.94
1694880000,0.2982,0.2989,0.2974,0.2988,26706.03
1694883600,0.299,0.2997,0.2989,0.2994,22129.48
1694887200,0.2993,0.3001,0.2985,0.2988,31524.52
1694890800,0.2988,0.2988,0.2975,0.2975,9675.74
1694894400,0.2973,0.2995,0.2973,0.2992,20144.38
1694898000,0.2993,0.3001,0.2991,0.2995,11871.11
1694901600,0.3004,0.301,0.2994,0.3008,9817.67
1694905200,0.3003,0.3015,0.3001,0.3013,8936.19
1694908800,0.3016,0.3018,0.2968,0.297,30040.38
1694912400,0.2966,0.2982,0.2941,0.2963,55659.55
1694916000,0.2962,0.2967,0.2954,0.296,19660.81
1694919600,0.2964,0.298,0.2962,0.2977,9702.87
1694923200,0.2971,0.298,0.2962,0.2977,14039.37
1694926800,0.2977,0.2977,0.2956,0.2956,2941.6
1694930400,0.2959,0.2962,0.2948,0.2961,3517.33
1694934000,0.2959,0.2964,0.2942,0.2942,10899.44
1694937600,0.2945,0.2959,0.2933,0.2948,43438.95
1694941200,0.2956,0.296,0.2953,0.296,26913.02
1694944800,0.2967,0.2969,0.2961,0.2969,1022.5
1694948400,0.2968,0.2968,0.2954,0.2954,5699.1
1694952000,0.2953,0.296,0.2953,0.2957,1670.87
1694955600,0.2958,0.2958,0.2946,0.2946,11562.77
1694959200,0.2942,0.2953,0.294,0.2946,14868.17
1694962800,0.2945,0.2949,0.2942,0.2945,16610.78
1694966400,0.2943,0.2945,0.2913,0.2917,41709.39
1694970000,0.2917,0.2923,0.2896,0.2896,17651.36
1694973600,0.2893,0.2915,0.2893,0.2915,11854.33
1694977200,0.2912,0.2917,0.2909,0.2913,4148.32
1694980800,0.2914,0.2914,0.2853,0.2864,78179.44
1694984400,0.2854,0.2881,0.285,0.2878,38021.84
1694988000,0.2875,0.2886,0.287,0.2883,144226.96
1694991600,0.2881,0.2893,0.2877,0.2891,31931.33
1694995200,0.289,0.2894,0.2854,0.2858,277330.31
1694998800,0.2858,0.2877,0.2857,0.2874,118417.74
1695002400,0.2873,0.2927,0.2873,0.2913,18920.51
1695006000,0.2904,0.2916,0.2898,0.2913,7155.69
1695009600,0.2916,0.2916,0.2903,0.2908,10426.02
1695013200,0.2911,0.2916,0.2908,0.2911,4366.15
1695016800,0.2907,0.2912,0.2896,0.2896,10021.11
1695020400,0.2895,0.2919,0.2894,0.2908,22949.21
1695024000,0.291,0.2911,0.29,0.2911,34418.13
1695027600,0.2919,0.2924,0.2911,0.2922,45532.93
1695031200,0.2926,0.2955,0.2918,0.2949,20702.37
1695034800,0.2951,0.2956,0.2941,0.2947,50132.84
1695038400,0.2947,0.2967,0.2934,0.2965,125309.26
1695042000,0.2964,0.2964,0.2942,0.2951,10655.71
1695045600,0.2955,0.2965,0.2944,0.2961,29439.87
1695049200,0.2957,0.2961,0.2945,0.2949,22150.59
1695052800,0.2946,0.2968,0.2939,0.2963,177706.47
1695056400,0.2961,0.2961,0.2903,0.2911,50453.72
1695060000,0.2914,0.2923,0.2903,0.291,31609.35
1695063600,0.2909,0.2941,0.2908,0.2937,61146.17
1695067200,0.2931,0.2932,0.2923,0.2926,2547.47
