ts,open,high,low,close,volume
1761177600,0.545,0.565,0.5192,0.5526,1349847.73
1761264000,0.5517,0.6158,0.5392,0.5487,6478312.27
1761350400,0.5485,0.5607,0.5042,0.5313,2381467.87
1761436800,0.5311,0.5507,0.5138,0.5381,2729398.04
1761523200,0.5387,0.5845,0.4333,0.4408,6828323.55
1761609600,0.4406,0.4833,0.427,0.4785,6183416.89
1761696000,0.4784,0.4874,0.4426,0.4633,4179441.77
1761782400,0.4634,0.5003,0.4611,0.4747,4456418.23
1761868800,0.4746,0.489,0.4411,0.4443,1408746.65
1761955200,0.4442,0.453,0.421,0.4408,1657663.61
1762041600,0.4407,0.453,0.3855,0.4049,1631091.82
1762128000,0.4048,0.4053,0.3453,0.3583,2733712.56
1762214400,0.3586,0.37,0.3356,0.3522,3345560.74
1762300800,0.3524,0.3767,0.3303,0.3665,2174198.71
1762387200,0.3664,0.3682,0.3452,0.3537,1607751.51
1762473600,0.3535,0.3916,0.3386,0.3829,3083583.19
1762560000,0.3826,0.3864,0.3467,0.3653,1275743.75
1762646400,0.3653,0.3662,0.3435,0.3522,1282976.6
1762732800,0.3522,0.4032,0.3505,0.3911,3036232.45
1762819200,0.391,0.4637,0.3841,0.4324,8758842.05
1762905600,0.4324,0.5668,0.4243,0.4634,17986142.96
1762992000,0.4632,0.5434,0.3913,0.4207,25151506.13
1763078400,0.4209,0.5129,0.4092,0.4584,13188266.22
1763164800,0.4581,0.495,0.4288,0.4306,6970527.93
1763251200,0.4304,0.4366,0.4,0.4343,5806957.43
1763337600,0.4336,0.4578,0.4002,0.4039,10705010.8
1763424000,0.4035,0.4858,0.3877,0.4202,13025929.17
1763510400,0.4202,0.4202,0.3462,0.3722,2689911.68
1763596800,0.3721,0.385,0.3281,0.3298,2478309.28
1763683200,0.3299,0.3327,0.2933,0.3195,5565542.74
1763769600,0.3194,0.3385,0.2921,0.2969,2705606.67
1763856000,0.297,0.3026,0.2757,0.2838,3220673.36
1763942400,0.2837,0.3177,0.2807,0.3081,2652288.28
1764028800,0.308,0.3542,0.3028,0.3449,4935842.47
1764115200,0.3448,0.3588,0.3115,0.3368,4059481.7
