ts,open,high,low,close,volume
1746576000,0.22,0.223,0.214,0.221,916713.164
1746662400,0.221,0.246,0.221,0.243,1621931.39
1746748800,0.243,0.265,0.242,0.263,2049181.613
1746835200,0.263,0.297,0.261,0.293,2677949.706
1746921600,0.292,0.315,0.277,0.292,4029447.543
1747008000,0.292,0.301,0.272,0.289,2104365.178
1747094400,0.288,0.3,0.27,0.298,2464527.46
1747180800,0.296,0.299,0.277,0.279,1534863.142
1747267200,0.279,0.283,0.25,0.26,2248072.444
1747353600,0.26,0.268,0.252,0.255,1509073.057
1747440000,0.255,0.255,0.245,0.247,2014726.942
1747526400,0.247,0.268,0.243,0.261,1646476.812
1747612800,0.261,0.262,0.241,0.25,1507343.309
1747699200,0.25,0.255,0.241,0.254,1604096.43
1747785600,0.253,0.259,0.246,0.255,1756410.913
1747872000,0.254,0.276,0.254,0.269,2019279.787
1747958400,0.269,0.277,0.244,0.251,2299162.074
1748044800,0.249,0.257,0.248,0.25,1867373.126
1748131200,0.25,0.25,0.237,0.25,1281495.06
1748217600,0.25,0.254,0.243,0.246,1319703.78
1748304000,0.247,0.256,0.242,0.25,969763.812
1748390400,0.25,0.255,0.241,0.248,1344283.97
1748476800,0.247,0.256,0.238,0.238,1029169.68
1748563200,0.238,0.24,0.211,0.212,2011031.067
1748649600,0.212,0.215,0.204,0.212,1096106.232
1748736000,0.212,0.217,0.205,0.212,994635.089
1748822400,0.213,0.217,0.207,0.216,1174808.131
1748908800,0.216,0.221,0.214,0.216,750379.913
1748995200,0.216,0.219,0.208,0.209,588809.981
1749081600,0.209,0.211,0.189,0.191,1547287.879
1749168000,0.191,0.201,0.19,0.196,809183.454
1749254400,0.196,0.204,0.196,0.203,478382.83
1749340800,0.202,0.205,0.199,0.202,413201.343
1749427200,0.201,0.209,0.197,0.208,1060489.846
1749513600,0.208,0.218,0.204,0.215,517878.456
1749600000,0.216,0.221,0.207,0.209,1142548.432
1749686400,0.208,0.208,0.193,0.193,1581461.973
1749772800,0.192,0.192,0.177,0.184,2364800.009
1749859200,0.184,0.186,0.18,0.184,1119684.788
1749945600,0.184,0.186,0.178,0.182,548084.095
1750032000,0.182,0.191,0.179,0.18,1700707.943
1750118400,0.18,0.182,0.17,0.173,2303125.251
1750204800,0.173,0.177,0.167,0.175,1325951.285
1750291200,0.175,0.177,0.169,0.173,1604827.242
1750377600,0.173,0.179,0.164,0.168,2157814.863
1750464000,0.169,0.176,0.156,0.161,1014618.604
1750550400,0.161,0.163,0.147,0.155,1674519.567
1750636800,0.154,0.172,0.154,0.17,760762.235
1750723200,0.17,0.178,0.169,0.178,1190648.188
1750809600,0.177,0.181,0.171,0.172,818133.947
1750896000,0.172,0.176,0.164,0.166,1118530.304
1750982400,0.166,0.169,0.163,0.169,1087922.196
1751068800,0.169,0.174,0.167,0.173,249647.039
1751155200,0.172,0.182,0.169,0.181,342317.655
1751241600,0.181,0.181,0.169,0.17,416620.486
1751328000,0.17,0.17,0.161,0.162,534005.896
1751414400,0.162,0.181,0.161,0.176,832105.074
1751500800,0.176,0.185,0.175,0.177,1638095.809
1751587200,0.177,0.178,0.164,0.167,1540747.329
1751673600,0.167,0.169,0.164,0.167,1420269.024
1751760000,0.167,0.172,0.165,0.169,1392318.049
1751846400,0.169,0.17,0.164,0.165,1449582.047
1751932800,0.166,0.172,0.163,0.171,1699869.544
1752019200,0.171,0.18,0.168,0.18,1570871.508
1752105600,0.181,0.193,0.177,0.192,889366.223
1752192000,0.192,0.202,0.187,0.193,1973869.201
1752278400,0.193,0.199,0.187,0.195,1397932.29
1752364800,0.195,0.204,0.194,0.199,1462508.8
1752451200,0.198,0.212,0.196,0.199,1524288.772
1752537600,0.199,0.209,0.19,0.208,1817674.417
1752624000,0.208,0.217,0.204,0.211,1466281.048
1752710400,0.211,0.222,0.205,0.215,3407513.007
1752796800,0.214,0.227,0.208,0.212,2215507.457
1752883200,0.212,0.219,0.206,0.217,1356033.831
1752969600,0.217,0.238,0.216,0.229,1347402.78
1753056000,0.228,0.25,0.225,0.236,3132295.993
1753142400,0.236,0.239,0.224,0.238,2537110.679
1753228800,0.238,0.238,0.209,0.215,1422943.6
1753315200,0.215,0.218,0.2,0.21,1211683.216
1753401600,0.209,0.216,0.202,0.215,1191696.674
1753488000,0.215,0.216,0.212,0.212,771307.711
1753574400,0.213,0.224,0.213,0.223,1121780.548
1753660800,0.223,0.228,0.205,0.206,937528.285
1753747200,0.206,0.214,0.2,0.203,848511.258
1753833600,0.203,0.204,0.188,0.198,800168.457
1753920000,0.197,0.201,0.184,0.184,649717.06
1754006400,0.184,0.186,0.174,0.179,2032241.761
1754092800,0.179,0.182,0.171,0.175,750200.485
1754179200,0.175,0.182,0.173,0.18,791676.851
1754265600,0.18,0.188,0.18,0.187,624835.057
1754352000,0.187,0.187,0.176,0.18,588801.368
1754438400,0.18,0.185,0.175,0.183,484262.368
1754524800,0.182,0.191,0.18,0.191,1097001.588
1754611200,0.191,0.197,0.188,0.195,1465028.076
1754697600,0.195,0.205,0.195,0.202,1314655.474
1754784000,0.202,0.207,0.195,0.2,1577854.529
1754870400,0.2,0.205,0.185,0.187,1663586.707
1754956800,0.186,0.202,0.185,0.199,2042877.934
1755043200,0.2,0.211,0.197,0.209,2095201.668
1755129600,0.209,0.213,0.185,0.19,1904376.36
1755216000,0.189,0.196,0.18,0.188,1247524.26
1755302400,0.188,0.195,0.188,0.194,398392.884
1755388800,0.195,0.2,0.193,0.194,634684.331
1755475200,0.194,0.194,0.184,0.185,1152031.824
1755561600,0.185,0.188,0.177,0.179,1244330.67
1755648000,0.179,0.188,0.177,0.185,826476.938
1755734400,0.185,0.188,0.18,0.18,524784.572
1755820800,0.181,0.194,0.173,0.193,1173105.654
1755907200,0.193,0.193,0.187,0.191,759059.715
1755993600,0.191,0.196,0.183,0.187,1077232.15
1756080000,0.187,0.189,0.169,0.171,824749.867
1756166400,0.171,0.182,0.17,0.179,1302757.346
1756252800,0.179,0.182,0.177,0.178,1523146.11
1756339200,0.178,0.188,0.177,0.188,1365030.44
1756425600,0.188,0.188,0.174,0.178,1858147.681
1756512000,0.177,0.181,0.175,0.18,1208810.049
1756598400,0.18,0.187,0.179,0.18,1328935.919
1756684800,0.18,0.183,0.17,0.174,1444382.506
1756771200,0.174,0.18,0.174,0.179,539188.706
1756857600,0.18,0.182,0.178,0.181,562181.696
1756944000,0.181,0.182,0.174,0.176,392976.786
1757030400,0.176,0.182,0.176,0.179,620328.409
1757116800,0.179,0.18,0.176,0.179,359716.27
1757203200,0.18,0.187,0.18,0.184,681596.187
1757289600,0.184,0.189,0.183,0.188,434822.582
1757376000,0.188,0.195,0.185,0.189,934886.331
1757462400,0.189,0.194,0.188,0.191,529759.489
1757548800,0.192,0.194,0.187,0.193,1034943.838
1757635200,0.193,0.198,0.19,0.195,1450166.02
1757721600,0.196,0.2,0.194,0.199,1149761.722
1757808000,0.198,0.199,0.188,0.189,1155556.085
1757894400,0.19,0.192,0.179,0.182,1311013.937
1757980800,0.182,0.186,0.178,0.183,1170279.207
1758067200,0.183,0.189,0.179,0.187,1322500.266
1758153600,0.188,0.194,0.187,0.193,409975.738
1758240000,0.193,0.195,0.181,0.181,609846.484
1758326400,0.181,0.185,0.18,0.183,290078.115
1758412800,0.183,0.185,0.18,0.183,449544.258
1758499200,0.183,0.183,0.162,0.166,964349.821
1758585600,0.166,0.169,0.162,0.165,621878.431
1758672000,0.165,0.168,0.161,0.165,680579.408
1758758400,0.164,0.164,0.151,0.154,1453503.807
1758844800,0.154,0.162,0.153,0.16,887110.358
1758931200,0.16,0.161,0.157,0.158,270044.939
1759017600,0.158,0.16,0.152,0.159,607488.434
1759104000,0.159,0.159,0.153,0.154,1075037.273
1759190400,0.154,0.154,0.147,0.151,1150987.735
1759276800,0.151,0.164,0.148,0.162,929738.516
1759363200,0.162,0.169,0.162,0.168,871587.569
1759449600,0.168,0.173,0.164,0.17,692175.136
1759536000,0.17,0.171,0.162,0.164,509121.554
1759622400,0.164,0.171,0.164,0.165,1173839.224
1759708800,0.165,0.173,0.164,0.171,1736270.295
1759795200,0.171,0.172,0.162,0.163,637151.236
1759881600,0.163,0.171,0.161,0.167,789689.253
1759968000,0.167,0.167,0.156,0.163,606469.048
1760054400,0.163,0.17,0.081,0.132,2257318.92
1760140800,0.13,0.132,0.103,0.112,3927225.57
1760227200,0.113,0.129,0.108,0.126,2306959.334
1760313600,0.126,0.134,0.124,0.134,1857370.158
1760400000,0.134,0.134,0.118,0.127,1419228.739
1760486400,0.126,0.129,0.118,0.119,1229283.338
1760572800,0.12,0.122,0.112,0.114,1584787.122
1760659200,0.114,0.115,0.103,0.109,1426379.348
1760745600,0.109,0.111,0.107,0.109,518725.238
1760832000,0.109,0.111,0.106,0.108,1039425.698
1760918400,0.108,0.114,0.106,0.109,1417799.015
1761004800,0.11,0.113,0.104,0.105,1996914.697
1761091200,0.105,0.106,0.098,0.102,1320887.801
1761177600,0.102,0.107,0.102,0.104,883391.067
1761264000,0.104,0.107,0.102,0.105,1291267.653
1761350400,0.106,0.106,0.103,0.105,329344.277
1761436800,0.105,0.11,0.105,0.109,733973.047
1761523200,0.109,0.111,0.105,0.106,1073326.179
1761609600,0.106,0.113,0.1,0.103,2514472.042
1761696000,0.102,0.103,0.098,0.1,2599199.077
1761782400,0.1,0.1,0.089,0.094,2439063.327
1761868800,0.093,0.095,0.093,0.094,1058117.29
1761955200,0.095,0.269,0.095,0.115,66402227.984
1762041600,0.115,0.169,0.114,0.142,91649486.306
1762128000,0.143,0.143,0.109,0.117,25465944.961
1762214400,0.115,0.176,0.106,0.133,44717090.316
1762300800,0.133,0.161,0.122,0.153,22088424.168
1762387200,0.153,0.192,0.147,0.162,35839174.327
1762473600,0.162,0.217,0.16,0.19,30016450.774
1762560000,0.19,0.197,0.158,0.169,12020801.785
1762646400,0.168,0.175,0.148,0.157,10181311.729
1762732800,0.157,0.167,0.154,0.159,5933028.078
1762819200,0.159,0.16,0.138,0.139,5918458.187
1762905600,0.14,0.151,0.135,0.149,10506018.618
1762992000,0.149,0.149,0.126,0.13,4447919.311
1763078400,0.13,0.141,0.123,0.131,6343919.203
1763164800,0.132,0.143,0.131,0.134,6747647.608
1763251200,0.133,0.134,0.123,0.13,6809183.678
1763337600,0.13,0.147,0.127,0.142,13127810.01
1763424000,0.142,0.151,0.133,0.137,11602729.825
1763510400,0.137,0.138,0.12,0.125,7703666.552
1763596800,0.125,0.133,0.115,0.116,5855580.835
1763683200,0.117,0.118,0.104,0.111,7872766.329
1763769600,0.111,0.111,0.105,0.106,3988341.487
1763856000,0.106,0.11,0.103,0.103,6298509.666
1763942400,0.103,0.116,0.103,0.113,6416472.521
1764028800,0.113,0.114,0.108,0.109,5086196.432
1764115200,0.11,0.112,0.106,0.111,2807939.991
1764201600,0.112,0.113,0.109,0.11,2095754.359
1764288000,0.11,0.114,0.108,0.108,2439852.419
1764374400,0.108,0.11,0.105,0.105,1489666.602
1764460800,0.105,0.109,0.104,0.105,2106282.443
1764547200,0.105,0.105,0.095,0.1,2646451.606
1764633600,0.1,0.106,0.098,0.102,614560.596
1764720000,0.101,0.106,0.1,0.103,1398708.713
1764806400,0.103,0.103,0.098,0.099,1888776.716
1764892800,0.099,0.1,0.092,0.096,1433402.706
1764979200,0.096,0.098,0.095,0.095,1117118.696
1765065600,0.095,0.097,0.09,0.093,1188564.948
1765152000,0.094,0.099,0.094,0.094,1426052.576
1765238400,0.094,0.1,0.093,0.098,1167151.622
1765324800,0.098,0.1,0.095,0.095,1602996.453
1765411200,0.095,0.096,0.09,0.094,1332312.856
1765497600,0.095,0.095,0.087,0.09,1782880.109
1765584000,0.09,0.093,0.09,0.09,540105.348
1765670400,0.09,0.09,0.086,0.087,770822.898
1765756800,0.087,0.09,0.081,0.083,1591142.478
1765843200,0.082,0.085,0.081,0.085,2115748.945
1765929600,0.086,0.086,0.077,0.079,2071981.217
1766016000,0.078,0.08,0.073,0.075,2071789.077
1766102400,0.075,0.08,0.074,0.078,2283563.329
1766188800,0.078,0.079,0.077,0.078,1459833.666
1766275200,0.078,0.079,0.074,0.075,2326997.474
