ts,open,high,low,close,volume
1733702400,2194.34,2228.32,1623.51,1891.53,3072.438068
1733788800,1888.55,1984.24,1704.67,1770.36,3016.746571
1733875200,1771.64,1905.75,1708.9,1880.65,3376.305801
1733961600,1879.96,2154.08,1874.33,2035.29,4042.899376
1734048000,2036.55,2121.52,1985.53,2112.58,2218.634152
1734134400,2112.82,2142.79,1894.18,1930.7,1846.087558
1734220800,1931.04,2071.5,1894.28,2050.12,2099.038789
1734307200,2051.78,2075.47,1876.86,1897.1,1843.95911
1734393600,1896.68,1898.21,1750,1774.92,1768.33909
1734480000,1774.4,1785.73,1654,1672.08,1759.544034
1734566400,1672.4,1761.82,1587.61,1635.28,2343.699994
1734652800,1640.41,1726.22,1489.81,1696.1,2868.492893
1734739200,1694.07,1740,1603.34,1622.94,1181.322919
1734825600,1622.33,1649.01,1552.38,1581,682.924777
1734912000,1581,1646.46,1506.86,1624.45,1701.047167
1734998400,1623.01,1676.8,1576.93,1639.81,1228.249763
1735084800,1641.09,1667.67,1590.78,1601.99,348.949503
1735171200,1601.48,1607.99,1512.95,1531.8,958.225933
1735257600,1530.56,1606.41,1517.96,1572.63,773.930569
1735344000,1573.01,1576.5,1520.32,1545.45,404.842885
1735430400,1542.75,1550,1488,1504.83,556.207254
1735516800,1504.38,1546.52,1462.08,1497.08,800.095694
1735603200,1496.6,1533.56,1467.2,1488.07,888.473081
1735689600,1488.07,1514.18,1477.68,1508.19,708.870405
1735776000,1505.71,1572.55,1505.42,1545.73,608.119042
1735862400,1546.15,1614.98,1529.78,1598.17,840.021745
1735948800,1606.21,1634.25,1563.89,1590.99,985.971228
1736035200,1590.85,1597.43,1550.52,1573.54,426.588222
1736121600,1575.22,1634.45,1559.46,1630.87,881.532031
1736208000,1629.93,1638.06,1491.49,1492.35,1398.025596
1736294400,1492.79,1508.12,1411,1480.94,1002.215864
1736380800,1480.01,1531.25,1434.27,1462.8,1066.508818
1736467200,1462.46,1489.76,1434.75,1472.66,701.034001
1736553600,1472.91,1474.85,1436,1439.28,494.011079
1736640000,1439.7,1447.65,1401.59,1423.37,428.266753
1736726400,1423.37,1449.45,1275,1346.88,1265.667726
1736812800,1348.07,1386.24,1343.29,1377.22,537.885271
1736899200,1377.59,1438.91,1373.19,1429.91,982.382979
1736985600,1429.91,1434.92,1386.45,1420.16,1895.515075
1737072000,1419.88,1474.76,1419.84,1462.4,1593.969228
1737158400,1462.85,1476.52,1353.53,1376.32,1418.317479
1737244800,1375.93,1413.07,1256.8,1278.17,2550.94874
1737331200,1277.31,1411.44,1246.16,1292.42,3335.933814
1737417600,1292.8,1317.12,1256.47,1300.47,1570.907316
1737504000,1300.25,1312.02,1243.21,1249.35,1159.849533
1737590400,1249.41,1278.69,1215.88,1273.3,1640.411791
1737676800,1273.34,1332.48,1235.06,1256.5,1762.731529
1737763200,1256.1,1265.55,1231.07,1231.09,634.537084
1737849600,1231,1249.81,1194.76,1196.27,611.444927
1737936000,1196.29,1231.05,1116.24,1205.44,2103.581889
1738022400,1204.51,1212.93,1117.46,1127.81,1150.983805
1738108800,1127.37,1141.4,1083.58,1098.77,3257.963188
1738195200,1098.34,1145.19,1062.87,1075,5090.182806
1738281600,1074.5,1209.83,1072.81,1150.54,3875.121067
1738368000,1150.5,1158.08,1071.71,1078.86,1754.612104
1738454400,1079.17,1102.53,976.4,1023.03,2971.349322
1738540800,1023.02,1023.02,781.82,991.48,7124.930644
1738627200,990.67,994.77,899.5,914.15,4056.921516
1738713600,914.38,945.43,901.92,917.29,2183.395065
1738800000,917.04,939.36,868,901.48,2912.080208
1738886400,901.75,943.07,892.26,931.13,1720.348769
1738972800,930.37,958.91,911.91,933.97,2798.227667
1739059200,933.92,937.07,838.08,904.44,5563.026411
1739145600,904.35,993.84,887.09,978.89,2624.716349
1739232000,978.93,1000.95,942.3,952.99,1715.184461
1739318400,952.9,1033.83,945.19,1015.25,2578.41969
1739404800,1015.4,1016.97,979.4,989.4,1618.52241
1739491200,989.55,1021.55,982.85,1001.1,2849.731868
1739577600,1000.91,1013.82,975.49,1003.76,873.356538
1739664000,1004.1,1023.75,984.41,990.56,832.967887
1739750400,990.21,1059.57,978.19,1046.8,2702.164394
1739836800,1047.07,1137.26,1040.97,1118.3,3724.276738
1739923200,1118.3,1220.4,1117.87,1173.04,4465.938579
1740009600,1173.03,1481.77,1162.14,1426.94,7791.043028
1740096000,1427.23,1502.86,1358.5,1457.69,7128.70544
1740182400,1457.88,1577.26,1436.8,1513.97,4371.850211
1740268800,1512.62,1638.24,1463.69,1523.91,5949.795458
1740355200,1523.33,1576.69,1382.22,1413.87,6662.29074
1740441600,1414.69,1695.18,1337.2,1650.54,6785.764897
1740528000,1651.08,1739.86,1545.57,1624.98,7203.791267
1740614400,1624.61,1795,1605.11,1731.57,6055.671544
1740700800,1732.52,1771.94,1503.64,1585.85,9862.079286
1740787200,1586.15,1709.71,1518.1,1646.57,4577.926544
1740873600,1648.58,1728.84,1545.67,1553.92,4237.833491
1740960000,1554.77,1566.23,1340.04,1446.51,6402.939664
1741046400,1446.35,1471.16,1320.82,1368.52,5198.941352
1741132800,1366.88,1451.28,1338.4,1372.52,3114.773674
1741219200,1371.68,1428.68,1272.45,1272.74,3167.175906
1741305600,1272.58,1347.21,1212.24,1294.47,3556.931198
1741392000,1295.86,1386.81,1261.78,1361.45,3762.962438
1741478400,1361.88,1387.28,1173.86,1191.39,3663.258569
1741564800,1190.73,1231.04,1034.43,1113.22,3351.020167
1741651200,1113.29,1175.85,1046,1133.84,4229.784809
1741737600,1133.56,1149.14,1042.91,1129.66,3795.825021
1741824000,1130.09,1159.46,1090.55,1134.18,3634.326719
1741910400,1134.59,1221.95,1129.58,1170.52,3346.528477
1741996800,1171.62,1227.43,1165.58,1215.04,1514.449012
1742083200,1213.76,1234.88,1156.5,1178.18,3644.501745
1742169600,1177.5,1223.5,1176.49,1208.14,2396.258767
1742256000,1207.7,1286.19,1182.87,1276.33,4230.729001
1742342400,1277.48,1350,1267.31,1291,8129.59667
1742428800,1290.94,1306.14,1234.08,1263.61,2595.5531
1742515200,1263.24,1282.58,1192.71,1228.32,3074.400834
1742601600,1227.44,1264,1219.7,1236.34,1036.89479
1742688000,1236.17,1257.23,1218.22,1228.39,1010.145598
1742774400,1228.04,1287.37,1209.66,1275.02,2116.760712
1742860800,1274.85,1323.86,1246.86,1294.48,1731.693572
1742947200,1293.4,1386.45,1285.52,1375.11,3753.351501
1743033600,1375.09,1496.45,1374.04,1443.58,6010.492343
1743120000,1444.9,1501.66,1383.88,1450.94,3907.599735
1743206400,1450.8,1488.15,1289.05,1294.28,3967.370862
1743292800,1295.29,1321.94,1258.8,1284.55,1877.569348
1743379200,1284.68,1345.26,1250.86,1295.88,2274.698121
1743465600,1295.47,1413.81,1286.14,1385.94,3043.195816
1743552000,1387.14,1420,1277.66,1282.88,2802.853974
1743638400,1282.17,1322.22,1228.94,1306.24,1406.762315
1743724800,1306.47,1375.53,1268.39,1333.21,2937.776116
1743811200,1331.42,1354.73,1309.01,1349.88,1331.925149
1743897600,1350.67,1366.27,1127.69,1145.86,6880.595231
1743984000,1146.09,1301.27,1046.34,1231.8,6477.430031
1744070400,1231.73,1305.77,1205.12,1226.12,3563.503111
1744156800,1226.35,1448.01,1166.35,1398.06,6065.551303
1744243200,1398.13,1401.27,1249.18,1288.46,3387.474486
1744329600,1287.79,1349.2,1282.88,1331.36,2119.977216
1744416000,1329.99,1420.02,1308.4,1399.72,1573.806161
1744502400,1400.8,1406.07,1335.52,1355.3,1399.589251
1744588800,1355.69,1438.75,1336.46,1383.08,3376.311504
1744675200,1383.26,1408.65,1350.16,1356.68,1653.170489
1744761600,1354.87,1371.88,1309.73,1336.87,1389.803469
1744848000,1335.93,1379.16,1326.69,1347.22,1131.432539
1744934400,1347.42,1363.4,1336.47,1352.37,864.146622
1745020800,1352.12,1390.82,1350.21,1377.21,498.767436
1745107200,1377.79,1382.43,1335.4,1353.6,512.993239
1745193600,1353.68,1414.99,1337.54,1349.23,1018.540301
1745280000,1348.14,1464.87,1292.54,1448.33,1337.617224
1745366400,1447.7,1540,1446.2,1487.05,1511.419655
1745452800,1486.76,1511.82,1436.98,1510.77,1435.715827
1745539200,1511.44,1523.78,1445.18,1487.55,1974.618185
1745625600,1488.96,1531.9,1473.51,1527.91,988.391083
1745712000,1528.77,1556.43,1465.4,1476.33,820.134842
1745798400,1476.86,1532.48,1452.81,1532.48,1235.744031
1745884800,1532.85,1571.16,1505.51,1532.12,2096.774511
1745971200,1530.48,1554.41,1438,1477.93,1665.2977
1746057600,1477.62,1576,1468.81,1521.74,1967.136184
1746144000,1523.07,1577.15,1512.95,1572.46,1259.162013
1746230400,1571.42,1571.42,1493.41,1502.57,2518.319244
1746316800,1502.79,1549.81,1491.08,1526.08,1162.464334
1746403200,1526.09,1572.57,1511.64,1550.48,1238.672389
1746489600,1550.48,1556.31,1422.3,1473.84,2023.71509
1746576000,1473.35,1523.26,1445.02,1514.43,2338.311272
1746662400,1514.44,1728.72,1508.71,1705.64,4531.230282
1746748800,1706.21,1830.23,1675.76,1737.84,2440.268637
1746835200,1735.51,1898.35,1709.89,1872.55,1662.695984
1746921600,1872.87,1889.08,1774.79,1822.86,1607.965858
1747008000,1823.02,1886.17,1735.11,1791.88,2184.979851
1747094400,1791.21,1918,1718.23,1890.55,2298.003149
1747180800,1891.47,1961.56,1757.22,1876.98,2366.340852
1747267200,1875.21,1904.66,1755.39,1814.12,1549.053909
1747353600,1815,1915.74,1792.97,1805.44,1186.820324
1747440000,1805.43,1810.56,1713.94,1728.13,767.391234
1747526400,1728.79,1848.88,1649.48,1746.94,1005.402023
1747612800,1745.45,1749.49,1630.97,1733.62,1294.032946
1747699200,1735,1799.92,1679.61,1727.03,1907.823582
1747785600,1727.59,1795.99,1689.53,1743.03,1601.738391
1747872000,1743.81,1820.51,1732.17,1749.72,1787.484184
1747958400,1749.21,1820.51,1618.15,1635.3,1941.279436
1748044800,1632.88,1681.44,1630.62,1652.07,660.701638
1748131200,1652.07,1655.51,1598.26,1646.92,762.308463
1748217600,1647.02,1668.41,1575.57,1625.03,863.449305
1748304000,1624.09,1717.44,1598.47,1681.05,655.142886
1748390400,1681.64,1715.42,1651.6,1715.41,871.190011
1748476800,1716.19,1777.01,1645.56,1652.68,1292.106496
1748563200,1653.17,1664.12,1531.74,1549.4,1635.289754
1748649600,1549.57,1589.2,1513.28,1571.38,639.21146
1748736000,1571.33,1612.81,1547.42,1604.63,309.704983
1748822400,1603.63,1791.72,1564.08,1741,3107.831809
1748908800,1741.92,1955.58,1731.67,1871.67,3451.355679
1748995200,1871.7,1924.8,1771.16,1779.27,2608.947505
1749081600,1777.83,1868.74,1688.24,1732.92,2950.63356
1749168000,1731.55,1814.52,1690.71,1702.19,1891.989848
1749254400,1700.52,1789.57,1675.12,1767.11,1079.558219
1749340800,1768.14,1787.93,1728.31,1763.75,659.488452
1749427200,1763.08,1961.27,1729.69,1944.41,2348.025808
1749513600,1945.9,2189,1922.94,2145.21,3999.238683
1749600000,2145.11,2190.36,2040.08,2061.68,1890.716126
1749686400,2061.78,2123.8,1972.7,1985.55,1851.522939
1749772800,1985.89,2165.46,1788.28,2162.89,3673.552138
1749859200,2163.26,2164.76,2048.55,2082.23,1861.869361
1749945600,2082.24,2144.22,2034.25,2141.1,1247.253377
1750032000,2141.48,2310.2,2097.98,2146.2,3400.625205
1750118400,2144.8,2257,1980.79,2023.27,3332.995868
1750204800,2023.53,2065.68,1902.16,2009.4,3341.656003
1750291200,2009.99,2057.95,1878.53,1913.86,3311.608205
1750377600,1914.54,1950.13,1806.8,1850.67,2559.864842
1750464000,1850.5,1870.05,1737.09,1798.63,2241.845326
1750550400,1798.15,1808.49,1634.29,1750.94,3042.695037
1750636800,1749.8,2063.07,1717.56,1993.33,4568.90113
1750723200,1993.3,2074.68,1948.8,1995.48,2557.128204
1750809600,1993.8,2023.34,1861.14,1898.49,2868.348861
1750896000,1898.17,1956.35,1810.94,1830.08,2523.772159
1750982400,1831.97,1908.95,1821.72,1898.49,2672.568476
1751068800,1898.16,1946.19,1873.42,1919.64,875.691452
1751155200,1919.91,2034.91,1906.37,2031.4,2117.600215
1751241600,2032,2032.8,1914.95,1942.35,2319.273849
1751328000,1942.95,1964.48,1826.17,1838.98,1608.036588
1751414400,1838.98,2008.32,1816.15,1981.12,1739.908596
1751500800,1981.12,2006.2,1931.5,1939.74,1535.474401
1751587200,1940.4,1943.36,1819.66,1868.04,1055.808001
1751673600,1867.32,1883.2,1804.65,1837.99,590.322902
1751760000,1838.37,1937.64,1809.2,1911.35,928.686785
1751846400,1911.12,1917.29,1853.61,1896.84,1093.879608
1751932800,1896.86,1944.68,1865,1928.14,808.125464
1752019200,1928.14,1976.76,1886.66,1958.22,1272.445067
1752105600,1958.37,2030.28,1938.07,2019.52,1155.527074
1752192000,2019.55,2055.9,1865.01,1895.62,1952.15404
1752278400,1896.27,1923.44,1811.9,1887.23,862.511126
1752364800,1886.32,1933.54,1845.49,1874.39,676.374409
1752451200,1874.38,1937,1807.46,1850.49,1381.615871
1752537600,1850.23,1884.97,1805.78,1869.01,961.514656
1752624000,1868.86,1975.75,1851.38,1914.39,1991.608012
1752710400,1915.2,1934.49,1822.41,1879.94,2021.145785
1752796800,1881.64,2262.63,1867.3,2019.81,3713.014125
1752883200,2020.76,2047.14,1948.84,1988.96,952.784355
1752969600,1987.89,2105,1977.27,2016.53,1590.732234
1753056000,2016.53,2137.74,1986.87,2095.58,1383.005411
1753142400,2095.49,2166.38,1985.78,2080.96,1977.82108
1753228800,2080.64,2103.68,1974.75,2036.04,1602.597321
1753315200,2034.16,2084.57,1900.09,2015.01,1106.469692
1753401600,2012.53,2255.7,1976.4,2214.11,2882.462873
1753488000,2212.3,2299.68,2206.37,2282.95,1221.021651
1753574400,2284.2,2352.42,2251.31,2318.94,1234.814651
1753660800,2318.55,2398.49,2149.43,2167.4,1460.911045
1753747200,2165.4,2176.03,1989.16,2050.54,1007.734465
1753833600,2050.17,2098.48,1950,2052.38,803.278695
1753920000,2052.76,2084.3,1958.8,1975.38,972.784396
1754006400,1977.65,1994.29,1854,1903.5,1020.114948
1754092800,1903.2,1921.2,1821.9,1841.49,655.151839
1754179200,1841.12,1901.52,1828.04,1888.95,402.759367
1754265600,1888.48,1977.48,1883.3,1966.47,822.815308
1754352000,1966.5,1970.88,1804.81,1814.75,737.699209
1754438400,1814.4,1932.88,1773.45,1927.43,880.556911
1754524800,1927.7,2033.22,1904.39,1994.3,856.923817
1754611200,1994.65,2065,1932,2015,1426.435482
1754697600,2015,2143.05,2011.81,2095.38,1033.856337
1754784000,2095.8,2120.58,2044.56,2090.5,555.095905
1754870400,2090,2122.35,1981.64,2004.68,762.307222
1754956800,2004.68,2064,1953.63,2004.24,1727.461028
1755043200,2002.98,2041.8,1909.73,1961.56,2573.894328
1755129600,1961.37,2006.49,1823.17,1844.19,1790.093775
1755216000,1843.89,1884.78,1788,1832.98,895.589136
1755302400,1832.61,1840.14,1786.69,1788.9,605.615677
1755388800,1789.09,1892.7,1787.23,1833,648.513491
1755475200,1832.7,1840.49,1687.69,1718.4,1093.009648
1755561600,1717.67,1735.08,1650.91,1654.03,843.325933
1755648000,1654.78,1688.1,1583.25,1666.2,1113.656342
1755734400,1666.5,1690.12,1611.36,1615.86,1108.632153
1755820800,1615.86,1753.67,1506.28,1711.5,2337.643976
1755907200,1711.93,1715.59,1575,1617.61,2038.02733
1755993600,1618.72,1639.44,1491.3,1520.47,2258.263055
1756080000,1519.91,1541.12,1451.04,1482,1320.326131
1756166400,1481.48,1626.48,1465.62,1594.89,1602.14748
1756252800,1594.63,1628.5,1558.98,1590.49,1259.083388
1756339200,1590.49,1605,1515.33,1546.71,1416.626812
1756425600,1545.12,1552.04,1496.06,1534.7,1204.990798
1756512000,1534.83,1570.11,1503.63,1566.55,617.887076
1756598400,1567.36,1586.56,1529.87,1540.47,899.572506
1756684800,1540.87,1589.12,1514.35,1587.17,1173.843352
1756771200,1587.46,1858.12,1583.12,1750.78,6061.752871
1756857600,1750.84,1803.34,1676.28,1785.92,2333.194651
1756944000,1786.24,1810.78,1700.02,1741.58,2007.262758
1757030400,1741.6,1850.19,1702.37,1806.04,1922.802796
