ts,open,high,low,close,volume
1746576000,0.0378,0.0406,0.0366,0.0397,41842942.35
1746662400,0.0397,0.0952,0.0396,0.0758,492395554.8
1746748800,0.0757,0.1543,0.0756,0.1316,1393562826.84
1746835200,0.1311,0.1407,0.1105,0.1368,434333651.68
1746921600,0.1368,0.2321,0.1181,0.2218,753484798.9
1747008000,0.2218,0.2936,0.2165,0.2636,757699088.18
1747094400,0.2637,0.3425,0.2285,0.3162,569686241.98
1747180800,0.3164,0.3429,0.2195,0.2499,599386586.32
1747267200,0.2499,0.2536,0.2049,0.2249,359551145.27
1747353600,0.225,0.247,0.1962,0.2029,280715508.65
1747440000,0.203,0.2054,0.1708,0.1873,251913571.86
1747526400,0.1873,0.2915,0.1858,0.2744,560433672.73
1747612800,0.2745,0.2794,0.2285,0.2605,384145382.24
1747699200,0.2604,0.2697,0.2275,0.2455,297910373.55
1747785600,0.2454,0.2539,0.2158,0.2315,345720483.5
1747872000,0.2316,0.3279,0.225,0.3165,666423226.29
1747958400,0.3165,0.3331,0.2516,0.2569,350667457.56
1748044800,0.2571,0.2802,0.25,0.2574,223237443.43
1748131200,0.2573,0.2795,0.2348,0.2732,241263256.87
1748217600,0.2732,0.2829,0.2458,0.2571,247565055.56
1748304000,0.2572,0.2687,0.2504,0.2567,184572308.03
1748390400,0.2565,0.2618,0.2367,0.251,139280924.21
1748476800,0.2511,0.2581,0.2287,0.2322,110721512.86
1748563200,0.2321,0.234,0.1956,0.1996,176764244.97
1748649600,0.1996,0.2092,0.1874,0.203,158545923.59
1748736000,0.203,0.2118,0.1934,0.209,97231444.31
1748822400,0.2087,0.2182,0.185,0.2061,143915793.65
1748908800,0.2062,0.2349,0.2036,0.2078,203722064.73
1748995200,0.2077,0.2105,0.1925,0.1937,86203414.3
1749081600,0.1939,0.1971,0.175,0.1808,97867074.28
1749168000,0.1809,0.1967,0.1796,0.1855,76761751.36
1749254400,0.1856,0.2147,0.1835,0.2024,146034730.62
1749340800,0.2024,0.2069,0.1951,0.2023,83942191.67
1749427200,0.2022,0.2167,0.1967,0.2157,103451257.46
1749513600,0.2157,0.2236,0.2022,0.2133,135419142.03
1749600000,0.2134,0.2134,0.1813,0.1847,109935132.18
1749686400,0.1848,0.1874,0.1664,0.1699,101991114.97
1749772800,0.17,0.1704,0.152,0.1645,130238151.94
1749859200,0.1644,0.165,0.1504,0.1576,36784742.53
1749945600,0.1578,0.1592,0.1521,0.1557,39026205.47
1750032000,0.1558,0.1702,0.1525,0.155,91767921.68
1750118400,0.1549,0.1644,0.1405,0.146,92758004.32
1750204800,0.1461,0.1532,0.1403,0.1519,58663234.57
1750291200,0.1519,0.1572,0.1462,0.152,40289036.13
1750377600,0.1522,0.1613,0.1396,0.1431,64892567.5
1750464000,0.1432,0.1457,0.1265,0.1306,68675208.78
1750550400,0.1307,0.1334,0.1204,0.1272,71242198.32
1750636800,0.1271,0.1555,0.1259,0.1548,105248078.66
1750723200,0.1549,0.1577,0.1464,0.1499,64345970.63
1750809600,0.15,0.1521,0.1365,0.1386,54932622.46
1750896000,0.1385,0.1453,0.1329,0.1355,38918611.09
1750982400,0.1357,0.1398,0.1327,0.1382,27759992.71
1751068800,0.1381,0.1526,0.1373,0.1484,56867916.63
1751155200,0.1485,0.1646,0.1442,0.1629,64649087.2
1751241600,0.1629,0.1675,0.1461,0.1475,70060848.81
1751328000,0.1474,0.1484,0.1335,0.1365,42891049.76
1751414400,0.1364,0.1866,0.1348,0.1751,130483756.74
1751500800,0.1751,0.234,0.165,0.1876,283102212.99
1751587200,0.187,0.1949,0.17,0.1822,87633684.54
1751673600,0.1821,0.1939,0.175,0.1816,70316960.66
1751760000,0.1816,0.1992,0.177,0.1883,57088316.82
1751846400,0.1884,0.194,0.1738,0.1788,52416589.34
1751932800,0.1788,0.1842,0.1715,0.1794,39225069.41
1752019200,0.1795,0.1926,0.1762,0.1884,50365097.89
1752105600,0.1885,0.2152,0.1841,0.2107,172009545.6
1752192000,0.2109,0.22,0.1853,0.1918,124839675.68
1752278400,0.1918,0.1957,0.1769,0.1836,57424143.94
1752364800,0.1837,0.1906,0.1779,0.1827,86411567.58
1752451200,0.1828,0.213,0.1805,0.1924,136814992.05
1752537600,0.1922,0.1992,0.1815,0.1977,82857040.39
1752624000,0.1976,0.2093,0.1918,0.2008,78574945.83
1752710400,0.2009,0.2244,0.1866,0.1948,137402147.99
1752796800,0.1946,0.2079,0.178,0.1869,92934822.82
1752883200,0.187,0.1935,0.1849,0.1885,36132682.54
1752969600,0.1886,0.2035,0.1864,0.1915,61043962.23
1753056000,0.1916,0.249,0.1865,0.2367,173657266.82
1753142400,0.2369,0.2381,0.2076,0.2255,186768783.9
1753228800,0.2256,0.2456,0.1928,0.2016,186598578.38
1753315200,0.2018,0.219,0.1842,0.1981,78099185.16
1753401600,0.198,0.2095,0.19,0.2081,70740360.94
1753488000,0.2081,0.2142,0.2021,0.2032,39328391.77
1753574400,0.2033,0.2191,0.2024,0.2121,44902843.48
1753660800,0.212,0.2154,0.1889,0.1913,50488765.59
1753747200,0.1912,0.1993,0.1797,0.1834,51691040.66
1753833600,0.1833,0.1891,0.1665,0.1788,48603431.7
1753920000,0.1787,0.1847,0.1661,0.167,30051578.84
1754006400,0.167,0.1678,0.1547,0.1615,44048902.13
1754092800,0.1615,0.1638,0.1504,0.1567,24738686.95
1754179200,0.1567,0.1624,0.1544,0.1596,13558459.86
1754265600,0.1596,0.167,0.1586,0.1627,27766545.81
1754352000,0.1627,0.1647,0.1506,0.1551,25964959.89
1754438400,0.1551,0.1624,0.1497,0.1621,16199554.38
1754524800,0.1621,0.1668,0.1556,0.1649,13953886.29
1754611200,0.165,0.1767,0.1592,0.1752,48874097.12
1754697600,0.1754,0.1935,0.1704,0.1798,66460585.23
1754784000,0.18,0.1863,0.1725,0.181,41203064.29
1754870400,0.1809,0.1851,0.164,0.1676,23132357.09
1754956800,0.1678,0.1814,0.1668,0.1779,37455662.16
1755043200,0.1778,0.1891,0.1766,0.1823,38255970.41
1755129600,0.1823,0.1864,0.1505,0.1618,66052815.32
1755216000,0.1617,0.1693,0.1574,0.1619,18031894.89
1755302400,0.1619,0.1651,0.1596,0.1622,10733097.69
1755388800,0.1622,0.1688,0.1605,0.1614,11298402.25
1755475200,0.1614,0.1616,0.1501,0.1531,34297706.25
1755561600,0.1531,0.1547,0.145,0.1455,17826829.67
1755648000,0.1455,0.1522,0.1439,0.1517,10028828.67
1755734400,0.1517,0.1529,0.144,0.1451,8438796.36
1755820800,0.1453,0.1633,0.1385,0.1628,33131240.02
1755907200,0.163,0.1634,0.1535,0.158,11062297.94
1755993600,0.1581,0.1618,0.1488,0.1519,29440752.68
1756080000,0.1518,0.1554,0.1315,0.1369,27752566.64
1756166400,0.1369,0.1444,0.1352,0.142,15771276.47
1756252800,0.1419,0.1439,0.1375,0.1388,12955526.09
1756339200,0.1388,0.1439,0.1376,0.143,12685045.78
1756425600,0.1431,0.1437,0.1323,0.1361,21739334.28
1756512000,0.136,0.1398,0.1336,0.1383,7407567.71
1756598400,0.1382,0.1398,0.1349,0.1349,7148942.91
1756684800,0.1348,0.1357,0.1217,0.1262,21149614.91
1756771200,0.1263,0.1333,0.1255,0.1329,17461627.61
1756857600,0.133,0.1351,0.131,0.1343,9409159.95
1756944000,0.1343,0.1352,0.1252,0.1271,10900267.37
1757030400,0.1272,0.1344,0.1272,0.1319,17091004.77
1757116800,0.132,0.1335,0.1292,0.1312,3194899.14
1757203200,0.1313,0.1353,0.1311,0.1342,3345227.16
1757289600,0.1343,0.1455,0.1331,0.143,25023060.48
1757376000,0.1431,0.1485,0.1397,0.1425,25576507.54
1757462400,0.1426,0.1475,0.1408,0.1459,14069161.96
1757548800,0.1457,0.1483,0.1416,0.1481,7780846.7
1757635200,0.1482,0.1938,0.1448,0.1847,132861008.95
1757721600,0.1846,0.2359,0.1792,0.2172,314406491.17
1757808000,0.2174,0.2273,0.1999,0.212,144822280.31
1757894400,0.212,0.2181,0.1771,0.1798,74932716.73
1757980800,0.1799,0.192,0.1679,0.1909,67640671.12
1758067200,0.1911,0.1933,0.1753,0.187,62597600.07
1758153600,0.1869,0.2008,0.1818,0.1893,49321642.46
1758240000,0.1896,0.1912,0.1716,0.1775,28009566.58
1758326400,0.1775,0.1785,0.1718,0.173,10863984.85
1758412800,0.173,0.175,0.1654,0.1656,14933899
1758499200,0.1656,0.1668,0.1438,0.1511,43463041.05
1758585600,0.151,0.1523,0.1447,0.1487,25480776.29
1758672000,0.1489,0.159,0.143,0.1524,17527878.09
1758758400,0.1523,0.1527,0.1393,0.1423,32064628.16
1758844800,0.1423,0.1519,0.1419,0.1509,19179144.54
1758931200,0.1509,0.1516,0.146,0.1471,6534423.19
1759017600,0.147,0.1567,0.1434,0.1564,10949825.56
1759104000,0.1565,0.1565,0.1451,0.1479,16695847.39
1759190400,0.1479,0.1489,0.1404,0.1469,17844947.77
1759276800,0.1469,0.1581,0.1454,0.1542,31862422.14
1759363200,0.1542,0.1675,0.1537,0.1615,49605128
1759449600,0.1614,0.1671,0.1555,0.1636,39017313.03
1759536000,0.1636,0.1792,0.1594,0.1663,56549138.38
1759622400,0.1664,0.1765,0.1624,0.1636,36266729.29
1759708800,0.1636,0.1732,0.1611,0.1687,27377282.24
1759795200,0.1687,0.1705,0.1558,0.1565,19441602.85
1759881600,0.1565,0.1634,0.151,0.161,20962898.3
1759968000,0.1611,0.1612,0.1472,0.152,13403256.5
1760054400,0.152,0.1553,0.099,0.1099,53238286.84
1760140800,0.1094,0.1163,0.1012,0.1058,31389909.93
1760227200,0.1058,0.135,0.1035,0.1257,40544309.57
1760313600,0.1257,0.1287,0.1166,0.1269,29664450.95
1760400000,0.1269,0.1279,0.1133,0.1233,32554468.4
1760486400,0.1234,0.1272,0.117,0.1191,20798036.17
1760572800,0.1193,0.1202,0.1095,0.114,23513847.63
1760659200,0.1141,0.1153,0.102,0.1077,9613970.16
1760745600,0.1077,0.1122,0.107,0.1085,6973481.32
1760832000,0.1085,0.116,0.1073,0.1122,7521841.92
1760918400,0.1123,0.1179,0.1099,0.1152,9557395.75
1761004800,0.115,0.1209,0.1093,0.1105,7200097.08
1761091200,0.1105,0.112,0.1032,0.1075,11237231.56
1761177600,0.1077,0.1125,0.1069,0.1112,5471666.89
1761264000,0.1112,0.1151,0.1099,0.1139,5551785.96
1761350400,0.1138,0.1183,0.1133,0.1162,3601583.15
1761436800,0.1163,0.1227,0.1143,0.1208,6878383.34
1761523200,0.1208,0.1252,0.1168,0.1185,6966797.64
1761609600,0.1185,0.1202,0.1108,0.1133,6714690.71
1761696000,0.1136,0.1203,0.1094,0.1145,9504536
1761782400,0.1143,0.1154,0.099,0.1039,22810350.73
1761868800,0.1038,0.1071,0.102,0.1037,5816887.75
1761955200,0.1036,0.1072,0.1035,0.1049,8677120.8
1762041600,0.1046,0.1065,0.1001,0.1046,4667335.33
1762128000,0.1046,0.1049,0.0847,0.0883,28476123.37
1762214400,0.0883,0.0898,0.0786,0.0854,38859064.2
1762300800,0.0854,0.0906,0.0806,0.0894,17621784.44
1762387200,0.0892,0.0895,0.0827,0.086,12745129.94
1762473600,0.086,0.1001,0.0829,0.0972,31564180.19
1762560000,0.0972,0.0998,0.0887,0.0921,10946322.5
1762646400,0.0921,0.1096,0.0875,0.0978,40873976.15
1762732800,0.0976,0.1001,0.0943,0.0982,13990298.88
1762819200,0.0984,0.1003,0.0889,0.0892,13224935.55
1762905600,0.0892,0.0996,0.0886,0.0902,21920841.82
1762992000,0.0903,0.0935,0.0833,0.0868,20680928.46
1763078400,0.0868,0.0869,0.0796,0.0812,15904723.41
1763164800,0.0814,0.0851,0.0814,0.0828,6896690.09
1763251200,0.083,0.0839,0.0757,0.0779,12385009.9
1763337600,0.0783,0.081,0.0747,0.0768,13687091.24
1763424000,0.0769,0.0808,0.0748,0.0796,14354640.03
1763510400,0.0795,0.0802,0.0712,0.0761,14046710.39
1763596800,0.076,0.087,0.0721,0.0736,25274884.61
1763683200,0.0737,0.0763,0.0639,0.0692,33228864
1763769600,0.0692,0.0696,0.0663,0.0681,8266491.52
1763856000,0.0682,0.074,0.0676,0.0691,16158387.63
1763942400,0.0692,0.0758,0.0684,0.075,18076762.79
1764028800,0.0749,0.0821,0.074,0.0789,46637182.91
1764115200,0.0789,0.0827,0.076,0.0795,24541909.27
1764201600,0.0796,0.0811,0.0765,0.0784,24387572.53
1764288000,0.0784,0.0955,0.0763,0.0813,96384958.37
1764374400,0.0813,0.0836,0.0779,0.0791,18398632.55
1764460800,0.0791,0.0818,0.0766,0.0768,12975507.08
1764547200,0.0769,0.0769,0.0681,0.0724,32567115.79
1764633600,0.0725,0.0834,0.0693,0.0773,48103399.11
1764720000,0.0773,0.0813,0.0758,0.0804,13043092.17
1764806400,0.0803,0.0816,0.0752,0.0766,12889464.3
1764892800,0.0766,0.0772,0.0699,0.0722,7048622.15
1764979200,0.0722,0.2,0.0715,0.1013,158436271.3
1765065600,0.1014,0.1268,0.085,0.0906,379023158.75
1765152000,0.0903,0.0994,0.0875,0.094,139335806.76
1765238400,0.0941,0.0976,0.0884,0.0933,53292071.37
1765324800,0.0933,0.0938,0.0851,0.0883,35838925.17
1765411200,0.0882,0.0945,0.0834,0.0869,52666684.9
1765497600,0.0869,0.0878,0.0827,0.0849,18958015.7
1765584000,0.085,0.0851,0.0819,0.0835,5042337.07
1765670400,0.0834,0.0834,0.0751,0.0761,11951697.28
1765756800,0.0761,0.0828,0.0722,0.0737,17786508.53
1765843200,0.0736,0.0761,0.0718,0.0747,10785395.01
1765929600,0.0746,0.0763,0.0665,0.069,12532703.34
1766016000,0.0691,0.0735,0.0667,0.0687,11260563.64
1766102400,0.0688,0.077,0.0677,0.076,11022855.11
1766188800,0.076,0.0779,0.0728,0.074,10805144.78
1766275200,0.074,0.0744,0.0695,0.0712,5283694.17
1766361600,0.0715,0.0745,0.0705,0.0722,7616873.27
1766448000,0.0721,0.0737,0.0692,0.0716,7672374.72
1766534400,0.0716,0.0718,0.0691,0.0708,5462982.03
1766620800,0.0708,0.073,0.0685,0.0691,7795376.84
1766707200,0.0691,0.0734,0.0691,0.0713,9071545.28
1766793600,0.0713,0.0726,0.0705,0.0724,4912906.79
1766880000,0.0724,0.073,0.0707,0.0721,4307911.65
1766966400,0.0721,0.0739,0.0699,0.0707,7318328.94
1767052800,0.0708,0.0712,0.0694,0.0703,5498168.64
1767139200,0.0701,0.0705,0.0661,0.0668,7437833.35
1767225600,0.067,0.0743,0.0663,0.0736,19445061.79
1767312000,0.0736,0.0799,0.0719,0.0786,18944196.06
1767398400,0.0788,0.0822,0.0743,0.0799,14410686.89
1767484800,0.0798,0.0981,0.0798,0.0907,43976472.3
1767571200,0.0906,0.0913,0.0842,0.0882,28185795.98
1767657600,0.0882,0.0937,0.085,0.0883,27961324.24
1767744000,0.0883,0.095,0.0836,0.0849,30164727.98
1767830400,0.0847,0.0865,0.0788,0.0814,9840038.74
1767916800,0.0815,0.0846,0.0803,0.0818,13297181.67
1768003200,0.082,0.0821,0.0797,0.0803,5231610.72
1768089600,0.0803,0.0824,0.0771,0.0786,5465113.91
1768176000,0.0786,0.0818,0.077,0.0774,7658231.3
1768262400,0.0775,0.086,0.0773,0.0842,13719952.8
1768348800,0.0841,0.0877,0.0816,0.0818,23010959.9
1768435200,0.0817,0.082,0.0757,0.0771,10309561.05
1768521600,0.0771,0.0781,0.074,0.0778,7229441.96
1768608000,0.0778,0.08,0.0767,0.0775,7975222.1
1768694400,0.0774,0.0781,0.0708,0.0709,8723887.76
1768780800,0.0708,0.0716,0.0644,0.0696,21725296.85
1768867200,0.0695,0.0699,0.0651,0.0655,7104804.07
1768953600,0.0655,0.0697,0.0653,0.0675,8261629.68
1769040000,0.0676,0.0688,0.0662,0.0673,5337282.59
1769126400,0.0673,0.0696,0.0665,0.0683,5425130.18
1769212800,0.0683,0.069,0.0676,0.0688,2198705.53
1769299200,0.0688,0.0693,0.0631,0.0649,5735387.19
1769385600,0.0649,0.0686,0.0648,0.0683,5239099.02
1769472000,0.0683,0.0691,0.0669,0.069,4187744.57
1769558400,0.0689,0.0698,0.068,0.0689,3484211.89
1769644800,0.0689,0.069,0.0613,0.0627,7123448.74
1769731200,0.0628,0.0631,0.0573,0.0612,22644518.81
1769817600,0.0611,0.0612,0.048,0.0543,20860943.51
1769904000,0.0543,0.0577,0.0522,0.0536,22676401.98
1769990400,0.0536,0.0562,0.051,0.0553,11363844.41
1770076800,0.0553,0.0558,0.0508,0.053,8875900.09
1770163200,0.053,0.055,0.0505,0.0523,11051399.52
1770249600,0.0523,0.053,0.0423,0.0429,20867947.38
1770336000,0.043,0.0494,0.0378,0.0473,22374402.12
1770422400,0.047,0.0483,0.0451,0.0475,8117230.5
1770508800,0.0475,0.0477,0.0454,0.0461,6639638.24
1770595200,0.0461,0.0471,0.0439,0.0452,10186217.27
1770681600,0.0452,0.0454,0.0432,0.0437,5231453.87
1770768000,0.0436,0.0445,0.0415,0.0429,7974617.69
1770854400,0.043,0.0627,0.043,0.0561,70251552.94
1770940800,0.0561,0.0584,0.0502,0.0526,61849615.96
1771027200,0.0526,0.066,0.0517,0.0617,55207544.66
1771113600,0.0616,0.0661,0.0546,0.0557,21075812.59
1771200000,0.0555,0.0654,0.0542,0.0636,29526631.49
1771286400,0.0636,0.0649,0.059,0.0607,15923904.85
1771372800,0.0608,0.0616,0.056,0.0564,7964302.81
1771459200,0.0563,0.0604,0.0543,0.0559,9559221.65
1771545600,0.0558,0.0578,0.0538,0.056,8937124.76
1771632000,0.056,0.0601,0.0557,0.056,5314856.62
1771718400,0.056,0.0566,0.0531,0.0536,3839019.89
1771804800,0.0537,0.0545,0.0497,0.0513,13343284.63
1771891200,0.0514,0.0517,0.0493,0.0507,7138086.39
1771977600,0.0506,0.0572,0.0504,0.0542,8788158.35
1772064000,0.0539,0.054,0.0495,0.0511,4260507.38
1772150400,0.0512,0.0548,0.0489,0.0502,5462952.08
1772236800,0.0502,0.051,0.0459,0.0503,8898566.15
1772323200,0.05,0.0527,0.0471,0.0484,9499146.35
1772409600,0.0485,0.0518,0.0478,0.0494,6222651.9
1772496000,0.0493,0.0495,0.047,0.0484,8777306.88
1772582400,0.0484,0.0539,0.0473,0.0519,18836156.22
1772668800,0.0519,0.0523,0.049,0.0501,7261496.8
1772755200,0.0501,0.0522,0.048,0.0492,4876183.92
1772841600,0.0493,0.0509,0.0463,0.0469,2821749.05
1772928000,0.0467,0.0477,0.0458,0.0464,4012912.78
1773014400,0.0465,0.05,0.0463,0.048,8605150.25
1773100800,0.048,0.0508,0.0479,0.0484,5067621.62
1773187200,0.0484,0.0499,0.0478,0.049,6670818.08
1773273600,0.0489,0.0515,0.0478,0.0509,8677064.78
1773360000,0.0509,0.0624,0.0507,0.0538,40823329.28
1773446400,0.0538,0.0578,0.0524,0.0544,13731042.97
1773532800,0.0543,0.0546,0.0528,0.0538,3446875.97
1773619200,0.0538,0.0595,0.0534,0.0567,19869058.77
1773705600,0.0567,0.0574,0.054,0.055,5268810.14
1773792000,0.0551,0.0588,0.0507,0.0517,12636101.4
1773878400,0.0517,0.0522,0.0483,0.05,5259820.81
1773964800,0.0502,0.0513,0.0489,0.0501,2105876.85
1774051200,0.0499,0.051,0.0479,0.0479,2217959.08
1774137600,0.0478,0.0486,0.0461,0.0469,3208649.91
1774224000,0.047,0.05,0.0464,0.049,7197789.13
1774310400,0.049,0.0493,0.0476,0.0491,2924462.56
1774396800,0.0491,0.0514,0.048,0.0499,8105037.4
1774483200,0.0499,0.0503,0.0462,0.0473,6473215
1774569600,0.0473,0.048,0.0449,0.045,5740452.96
1774656000,0.045,0.0465,0.0444,0.0447,4174419.65
1774742400,0.0448,0.0453,0.0425,0.0437,5597951.37
1774828800,0.0437,0.0498,0.0437,0.046,13151011.38
1774915200,0.0459,0.0467,0.0445,0.0466,6782870.33
1775001600,0.0466,0.0483,0.0459,0.0467,3852007.12
1775088000,0.0467,0.047,0.0441,0.0452,4923154.35
1775174400,0.0452,0.0468,0.0448,0.0449,6742426.16
1775260800,0.0449,0.0462,0.0445,0.0454,2121162.91
