ts,open,high,low,close,volume
1746576000,1.346,1.3699,1.2232,1.2675,463857.71
1746662400,1.2677,1.5488,1.2657,1.5057,671770.55
1746748800,1.5032,1.6308,1.4606,1.4999,868834.75
1746835200,1.4995,1.7097,1.497,1.6955,591033.49
1746921600,1.6956,1.7079,1.55,1.6012,446099.84
1747008000,1.6036,1.7161,1.5127,1.6162,500441.04
1747094400,1.6161,1.7539,1.5235,1.7439,412350.39
1747180800,1.7475,1.7695,1.6239,1.6657,375678.35
1747267200,1.6672,1.7736,1.5784,1.6467,858338.32
1747353600,1.6465,1.7665,1.6018,1.6136,493389.38
1747440000,1.6125,1.6195,1.4957,1.5188,402707.56
1747526400,1.5246,1.6935,1.5168,1.6302,277668.98
1747612800,1.6355,1.6989,1.5357,1.6636,600212.63
1747699200,1.6626,1.7615,1.612,1.6745,433504.97
1747785600,1.6779,1.7425,1.5969,1.6714,362637.15
1747872000,1.671,1.744,1.6592,1.7235,391205.58
1747958400,1.724,1.7561,1.5186,1.5305,550289.69
1748044800,1.5294,1.58,1.5089,1.5122,148534.37
1748131200,1.5152,1.5218,1.4241,1.509,241061.97
1748217600,1.5089,1.5428,1.4575,1.4715,143539.92
1748304000,1.4699,1.5558,1.4338,1.4922,283956.7
1748390400,1.4906,1.5005,1.4026,1.4478,146735.27
1748476800,1.446,1.5349,1.3935,1.402,193192.63
1748563200,1.4012,1.4031,1.2716,1.2821,338551.16
1748649600,1.2834,1.3349,1.2467,1.322,160865.5
1748736000,1.3202,1.3667,1.3003,1.3621,77911.11
1748822400,1.3641,1.3746,1.3002,1.3634,189316.7
1748908800,1.3635,1.4247,1.345,1.3953,146176.12
1748995200,1.3983,1.4322,1.3611,1.3899,131038.83
1749081600,1.3901,1.4208,1.2595,1.2609,221164.86
1749168000,1.2588,1.3473,1.2263,1.2993,207815.7
1749254400,1.2989,1.3904,1.2964,1.3881,73635.87
1749340800,1.3882,1.4131,1.3625,1.3894,121224.49
1749427200,1.3871,1.525,1.3806,1.5219,173410.6
1749513600,1.5238,1.6027,1.4984,1.6027,315415.67
1749600000,1.6039,1.6628,1.5531,1.5794,244880.14
1749686400,1.5785,1.583,1.4763,1.4859,265261.34
1749772800,1.4849,1.5341,1.362,1.4487,573525.04
1749859200,1.4451,1.4473,1.3689,1.3981,91858.35
1749945600,1.399,1.4275,1.3758,1.4113,75832.64
1750032000,1.4097,1.5345,1.3874,1.4466,289609.34
1750118400,1.4471,1.5109,1.3298,1.3669,584774.81
1750204800,1.3689,1.3904,1.3195,1.3649,250607.24
1750291200,1.364,1.3802,1.2625,1.2864,232700.78
1750377600,1.2884,1.2905,1.1743,1.1916,416369.3
1750464000,1.1936,1.2332,1.1174,1.1539,265857.59
1750550400,1.1526,1.1738,1.0843,1.1628,257745.68
1750636800,1.1583,1.3721,1.1536,1.3655,420527.28
1750723200,1.3682,1.4154,1.3369,1.3995,229117.38
1750809600,1.401,1.442,1.37,1.393,211920.77
1750896000,1.3905,1.5001,1.3525,1.3587,309927.59
1750982400,1.3603,1.3943,1.3278,1.3437,118132.62
1751068800,1.3435,1.3857,1.3357,1.3798,84353.73
1751155200,1.3786,1.4403,1.3566,1.4264,84881.34
1751241600,1.4271,1.436,1.3454,1.3479,119757.16
1751328000,1.3468,1.3521,1.273,1.2804,212689.53
1751414400,1.2794,1.4132,1.2681,1.3789,187209.44
1751500800,1.3862,1.4383,1.3734,1.4084,157295.32
1751587200,1.4058,1.4207,1.3266,1.3431,222706.45
1751673600,1.3466,1.3712,1.3347,1.3546,98671.92
1751760000,1.3539,1.429,1.3151,1.3957,646281.88
1751846400,1.3976,1.4119,1.3373,1.3499,149015.47
1751932800,1.3501,1.4132,1.3277,1.4132,191088.61
1752019200,1.4141,1.5916,1.4072,1.5832,557732.84
1752105600,1.5813,1.7344,1.5691,1.6916,454723.76
1752192000,1.6916,1.743,1.6664,1.697,274793.09
1752278400,1.701,1.7221,1.6066,1.6681,272922.22
1752364800,1.664,2.0448,1.6574,1.9129,683201.1
1752451200,1.9151,2.0015,1.7769,1.829,546937.86
1752537600,1.8289,2.13,1.7643,2.101,1227174.86
1752624000,2.0935,2.2023,2.0155,2.086,754029.69
1752710400,2.0878,2.1379,2.0122,2.076,702737.56
1752796800,2.0716,2.25,1.959,2.0511,1345941.66
1752883200,2.0539,2.081,1.9479,2.0002,585259.23
1752969600,2.0013,2.2081,1.9835,2.1635,849339.75
1753056000,2.162,2.2218,2.0224,2.032,858084.29
1753142400,2.0319,2.0511,1.8991,2.0349,810208.34
1753228800,2.0361,2.0422,1.8154,1.8971,787114.61
1753315200,1.8951,1.9644,1.77,1.9148,674798.31
1753401600,1.9143,1.9703,1.826,1.9467,576308.12
1753488000,1.9431,2.0193,1.897,1.9716,473502.94
1753574400,1.9707,2.0176,1.9227,1.9604,388431.1
1753660800,1.9611,2.0175,1.7503,1.7629,447364.75
1753747200,1.7656,1.8815,1.7156,1.8043,338044.42
1753833600,1.7987,1.8271,1.6947,1.807,351731.61
1753920000,1.8046,1.8797,1.7355,1.7402,218448.08
1754006400,1.7374,1.7515,1.5755,1.6379,470970.3
1754092800,1.637,1.6754,1.5625,1.5994,170904.79
1754179200,1.5988,1.7437,1.5738,1.7382,202252.27
1754265600,1.7366,1.8626,1.7357,1.8351,221302.43
1754352000,1.838,1.8701,1.7646,1.8116,345560.27
1754438400,1.8093,1.8657,1.7707,1.8352,311172.91
1754524800,1.8359,1.9992,1.8281,1.9799,259419.22
1754611200,1.9772,2.1221,1.9633,2.0392,620490.4
1754697600,2.0389,2.202,2.0276,2.1711,250878.33
1754784000,2.1706,2.2199,2.072,2.153,415364.05
1754870400,2.1524,2.209,2.0176,2.0414,672196.59
1754956800,2.0418,2.2568,2.0184,2.2135,664244.62
1755043200,2.2129,2.2808,2.1922,2.2606,660494.08
