ts,open,high,low,close,volume
1661990400,4.4,4.4,4.25,4.344,83005.4
1662076800,4.344,4.392,4.112,4.178,218595.405
1662163200,4.177,4.24,4.118,4.166,133579.486
1662249600,4.166,4.248,4.09,4.24,94417.512
1662336000,4.241,4.283,4.112,4.229,125107.874
1662422400,4.233,4.548,3.94,4.069,426247.64
1662508800,4.069,4.429,4.032,4.375,467863.146
1662595200,4.377,4.714,4.377,4.688,479750.212
1662681600,4.688,4.9,4.616,4.814,519674.735
1662768000,4.82,4.911,4.654,4.813,290291.747
1662854400,4.812,5.049,4.632,4.896,280934.836
1662940800,4.898,5.283,4.708,5.093,684231.352
1663027200,5.092,5.104,4.404,4.418,485672.563
1663113600,4.419,4.558,4.355,4.518,215765.951
1663200000,4.519,4.534,4.13,4.185,196547.57
1663286400,4.187,4.248,4.092,4.206,153906.101
1663372800,4.206,4.395,4.203,4.385,205870.949
1663459200,4.383,4.41,3.812,3.918,220469.751
1663545600,3.919,4.082,3.806,4.057,240354.861
1663632000,4.054,4.084,3.801,3.821,211349.636
1663718400,3.821,4.036,3.546,3.64,306193.843
1663804800,3.64,3.899,3.619,3.865,156895.348
1663891200,3.868,3.949,3.619,3.788,239416.098
1663977600,3.795,3.872,3.666,3.698,188316.021
1664064000,3.697,3.769,3.611,3.648,110641.102
1664150400,3.648,3.728,3.556,3.687,199515.669
1664236800,3.685,3.82,3.553,3.617,289139.595
1664323200,3.617,3.643,3.448,3.576,196510.701
1664409600,3.577,3.609,3.503,3.585,139303.672
1664496000,3.586,3.644,3.512,3.557,130964.408
1664582400,3.557,3.595,3.526,3.555,58484.753
1664668800,3.554,3.615,3.465,3.478,79891.444
1664755200,3.479,3.566,3.413,3.541,129530.072
1664841600,3.541,3.653,3.528,3.621,206613.207
1664928000,3.621,3.73,3.547,3.695,274250.78
1665014400,3.695,3.764,3.583,3.62,136295.398
1665100800,3.618,3.629,3.516,3.55,86060.353
1665187200,3.55,3.578,3.464,3.493,61841.563
1665273600,3.491,3.533,3.484,3.52,45505.271
1665360000,3.517,3.548,3.218,3.218,126246.38
1665446400,3.219,3.238,3.078,3.171,214440.779
1665532800,3.173,3.214,3.125,3.153,129479.36
1665619200,3.153,3.158,2.759,3.038,523983.973
1665705600,3.038,3.182,2.957,3.003,271524.25
1665792000,3.002,3.02,2.914,2.921,189577.099
1665878400,2.922,3.037,2.918,3.001,133271.345
1665964800,3.001,3.074,2.964,3.059,171945.686
1666051200,3.061,3.098,2.896,2.963,107955.501
1666137600,2.964,2.976,2.797,2.825,157148.788
1666224000,2.825,2.945,2.782,2.87,152705.603
1666310400,2.868,2.918,2.723,2.885,165725.928
1666396800,2.885,2.944,2.824,2.92,64893.728
1666483200,2.924,2.999,2.845,2.983,102663.574
