ts,open,high,low,close,volume
1695142800,1.124,1.126,1.119,1.123,2585.689
1695146400,1.123,1.129,1.123,1.127,4457.64
1695150000,1.126,1.128,1.122,1.128,4043.301
1695153600,1.126,1.128,1.123,1.124,10736.073
1695157200,1.127,1.128,1.119,1.122,2195.49
1695160800,1.122,1.124,1.115,1.117,1060.317
1695164400,1.117,1.124,1.117,1.123,1739.901
1695168000,1.123,1.128,1.12,1.124,11382.213
1695171600,1.124,1.131,1.124,1.131,3991.214
1695175200,1.131,1.131,1.12,1.121,4925.495
1695178800,1.123,1.125,1.117,1.119,250.079
1695182400,1.119,1.12,1.117,1.119,5515.19
1695186000,1.118,1.118,1.11,1.111,8182.642
1695189600,1.112,1.115,1.109,1.113,11754.533
1695193200,1.113,1.115,1.111,1.113,1422.053
1695196800,1.113,1.119,1.113,1.118,2044.105
1695200400,1.118,1.12,1.108,1.11,3806.93
1695204000,1.111,1.111,1.106,1.108,1750.242
1695207600,1.108,1.112,1.108,1.11,4066.597
1695211200,1.111,1.112,1.103,1.104,6153.686
1695214800,1.104,1.109,1.1,1.109,3977.146
1695218400,1.108,1.113,1.104,1.106,5252.833
1695222000,1.108,1.112,1.106,1.11,1188.044
1695225600,1.11,1.113,1.106,1.111,9425.621
1695229200,1.111,1.114,1.108,1.11,1240.756
1695232800,1.108,1.125,1.103,1.118,2393.794
1695236400,1.118,1.119,1.098,1.107,3925.181
1695240000,1.108,1.117,1.107,1.116,3863.949
1695243600,1.118,1.124,1.116,1.121,1611.132
1695247200,1.121,1.121,1.117,1.117,1519.305
1695250800,1.117,1.124,1.115,1.121,878.948
1695254400,1.12,1.152,1.12,1.142,4772.293
1695258000,1.146,1.149,1.14,1.148,3082.895
1695261600,1.149,1.153,1.14,1.141,28788.622
1695265200,1.141,1.142,1.137,1.141,4287.144
1695268800,1.141,1.151,1.139,1.148,40435.547
1695272400,1.148,1.15,1.137,1.137,9457.61
1695276000,1.136,1.136,1.125,1.136,258.941
1695279600,1.133,1.135,1.126,1.132,31914.698
1695283200,1.127,1.131,1.125,1.126,13598.665
1695286800,1.128,1.128,1.116,1.117,5950.283
1695290400,1.118,1.12,1.101,1.101,10148.843
1695294000,1.101,1.111,1.101,1.109,2361.823
1695297600,1.11,1.125,1.11,1.119,4234.231
1695301200,1.12,1.12,1.109,1.115,2739.878
1695304800,1.115,1.124,1.114,1.124,9895.7
1695308400,1.123,1.137,1.123,1.128,13134.828
1695312000,1.128,1.128,1.123,1.123,8130.531
1695315600,1.123,1.132,1.123,1.127,2013.31
1695319200,1.125,1.131,1.124,1.13,4141.999
1695322800,1.132,1.133,1.124,1.125,2647.753
1695326400,1.124,1.126,1.116,1.123,5861.506
1695330000,1.123,1.124,1.116,1.121,5746.653
1695333600,1.124,1.125,1.119,1.123,531.987
1695337200,1.124,1.129,1.123,1.125,2041.922
1695340800,1.126,1.128,1.114,1.128,3771.033
1695344400,1.129,1.131,1.12,1.13,3323.203
1695348000,1.13,1.133,1.123,1.123,521.153
1695351600,1.124,1.128,1.121,1.125,2581.61
1695355200,1.125,1.128,1.12,1.12,2335.236
1695358800,1.12,1.124,1.117,1.124,2334.667
1695362400,1.124,1.125,1.117,1.119,287.277
1695366000,1.118,1.126,1.116,1.123,920.774
1695369600,1.123,1.125,1.119,1.121,610.253
1695373200,1.122,1.123,1.114,1.116,2942.631
1695376800,1.116,1.119,1.11,1.113,10507.143
1695380400,1.114,1.114,1.109,1.112,966.887
1695384000,1.116,1.116,1.109,1.109,7970.129
1695387600,1.109,1.114,1.108,1.11,1328.222
1695391200,1.111,1.116,1.108,1.112,1452.749
1695394800,1.112,1.113,1.109,1.109,9266.434
1695398400,1.109,1.111,1.104,1.105,2487.142
1695402000,1.106,1.109,1.102,1.108,2891.124
1695405600,1.107,1.114,1.106,1.112,58744.662
1695409200,1.112,1.118,1.112,1.113,35459.779
1695412800,1.113,1.115,1.107,1.11,19795.456
1695416400,1.107,1.115,1.105,1.114,5775.138
1695420000,1.116,1.134,1.113,1.118,74539.518
1695423600,1.118,1.123,1.118,1.122,3475.327
1695427200,1.124,1.125,1.118,1.121,6851.886
1695430800,1.12,1.124,1.117,1.122,1106.187
1695434400,1.124,1.126,1.114,1.114,2443.623
1695438000,1.116,1.116,1.111,1.112,2050.081
1695441600,1.112,1.118,1.111,1.116,503.163
1695445200,1.117,1.121,1.115,1.116,840.642
1695448800,1.116,1.12,1.116,1.12,204.346
1695452400,1.119,1.121,1.116,1.118,1365.292
1695456000,1.119,1.121,1.115,1.117,1186.849
1695459600,1.117,1.12,1.116,1.117,952.817
1695463200,1.117,1.118,1.113,1.113,2507.943
1695466800,1.114,1.116,1.11,1.114,4050.989
1695470400,1.114,1.115,1.109,1.111,1891.906
1695474000,1.112,1.113,1.11,1.11,449.788
1695477600,1.11,1.115,1.11,1.111,907.911
1695481200,1.11,1.113,1.107,1.11,1471.244
1695484800,1.109,1.115,1.108,1.115,26176.799
1695488400,1.115,1.116,1.11,1.111,14056.765
1695492000,1.111,1.117,1.111,1.113,2194.68
1695495600,1.114,1.118,1.114,1.116,1270.822
1695499200,1.116,1.117,1.111,1.114,2187.441
1695502800,1.114,1.116,1.111,1.114,2487.782
