ts,open,high,low,close,volume
1654041600,2.5,4.14,1.076,1.236,6448451.87
1654128000,1.235,1.66,1.088,1.545,13240043.34
1654214400,1.545,1.65,1.29,1.36,7771136.5
1654300800,1.362,1.48,1.3,1.394,5781397.78
1654387200,1.394,1.433,1.151,1.167,5841580.31
1654473600,1.166,1.367,1.137,1.318,4918533.84
1654560000,1.318,1.32,1.052,1.107,5755461.37
1654646400,1.107,1.118,0.697,0.73,10634164.34
1654732800,0.73,0.908,0.723,0.824,9793362.12
1654819200,0.82,0.972,0.791,0.88,7035652.58
1654905600,0.876,0.929,0.726,0.761,4293648.84
1654992000,0.762,0.776,0.624,0.644,5799723.23
1655078400,0.644,0.668,0.497,0.545,8422723.67
1655164800,0.544,0.623,0.51,0.565,6424252.87
1655251200,0.564,0.602,0.47,0.596,5396664.4
1655337600,0.595,0.626,0.48,0.489,3194143.03
1655424000,0.489,0.528,0.485,0.517,2888777.04
1655510400,0.515,0.529,0.397,0.45,2899443.36
1655596800,0.448,0.527,0.435,0.506,2271587.26
1655683200,0.505,0.545,0.47,0.501,2849800.42
1655769600,0.5,0.574,0.491,0.512,2989069.38
1655856000,0.513,0.514,0.458,0.462,3541098.29
1655942400,0.462,0.531,0.46,0.523,2797302.41
1656028800,0.523,0.643,0.509,0.589,8552916.81
1656115200,0.589,0.655,0.55,0.583,4434737.35
1656201600,0.583,0.636,0.528,0.539,3214865.74
1656288000,0.54,0.582,0.514,0.536,2555938.98
1656374400,0.535,0.565,0.506,0.529,2979514.55
1656460800,0.527,0.613,0.52,0.58,4970152.35
1656547200,0.579,0.609,0.506,0.545,2162620.94
1656633600,0.542,0.572,0.517,0.529,2775914.22
1656720000,0.529,0.547,0.51,0.525,1047162.65
1656806400,0.525,0.533,0.51,0.521,1243663.36
1656892800,0.522,0.569,0.513,0.56,1648582.88
1656979200,0.561,0.568,0.514,0.524,1405409.34
1657065600,0.525,0.556,0.517,0.544,1112634.28
1657152000,0.545,0.588,0.543,0.574,1313798.44
1657238400,0.575,0.626,0.556,0.567,1759528.39
1657324800,0.568,0.585,0.557,0.571,446545.31
1657411200,0.572,0.573,0.525,0.531,449680.96
1657497600,0.531,0.535,0.473,0.482,1404950.73
1657584000,0.479,0.49,0.444,0.45,1254911.03
1657670400,0.448,0.475,0.405,0.472,1884474.93
1657756800,0.476,0.502,0.441,0.494,2030806.61
1657843200,0.493,0.513,0.473,0.483,2060773.4
1657929600,0.484,0.535,0.47,0.522,2120066.94
1658016000,0.524,0.615,0.514,0.579,5018600
1658102400,0.582,0.834,0.564,0.817,10934675.79
1658188800,0.817,0.838,0.702,0.721,3728826
1658275200,0.721,0.84,0.67,0.686,4171927.43
1658361600,0.688,0.791,0.652,0.777,4283461.43
1658448000,0.778,0.877,0.732,0.837,4981605.51
1658534400,0.835,0.96,0.809,0.941,4818582.74
1658620800,0.942,0.977,0.893,0.921,2369434.18
1658707200,0.92,0.923,0.79,0.791,1880917.57
1658793600,0.789,0.83,0.747,0.826,2329850.91
1658880000,0.826,1.082,0.806,1.051,4498719.69
1658966400,1.051,1.554,1.029,1.448,7937012.81
1659052800,1.449,1.967,1.406,1.843,11312923.49
1659139200,1.842,1.891,1.643,1.806,4381087.24
1659225600,1.801,1.808,1.569,1.583,2227238.16
1659312000,1.583,1.689,1.426,1.507,2734138.94
1659398400,1.508,1.672,1.363,1.635,4018107.77
1659484800,1.635,2.189,1.542,1.993,5930998.57
1659571200,1.99,2.237,1.813,1.917,5653183.62
1659657600,1.918,2.082,1.796,1.947,3275427.75
1659744000,1.941,2.058,1.871,1.901,1692250.09
1659830400,1.902,2.005,1.893,1.909,1253341
1659916800,1.906,2.089,1.845,1.899,1588743.35
1660003200,1.896,1.926,1.606,1.618,1845422.37
1660089600,1.618,1.842,1.542,1.569,3166068.67
1660176000,1.569,1.721,1.495,1.558,3892191.67
1660262400,1.558,1.659,1.513,1.651,2168496.67
1660348800,1.65,1.701,1.514,1.542,2481196.3
1660435200,1.543,1.588,1.374,1.44,1651643.86
1660521600,1.439,1.569,1.384,1.569,1810015.76
1660608000,1.569,1.601,1.417,1.454,1807259.52
1660694400,1.455,1.499,1.259,1.321,2481772.87
1660780800,1.323,1.372,1.186,1.196,1945508.18
1660867200,1.195,1.272,1.094,1.222,3978061.37
1660953600,1.224,1.294,1.088,1.135,2972138.66
1661040000,1.136,1.225,1.117,1.178,3027542.74
1661126400,1.176,1.205,1.093,1.168,1573333.69
1661212800,1.168,1.355,1.121,1.333,3144559.3
1661299200,1.334,1.339,1.221,1.224,2104269.69
1661385600,1.23,1.282,1.162,1.176,1121181.08
1661472000,1.179,1.186,1.005,1.019,2701721
1661558400,1.019,1.051,0.99,1.025,2401953.99
1661644800,1.024,1.089,1.013,1.049,2147113.29
1661731200,1.049,1.2,1.027,1.173,2892777.51
1661817600,1.171,1.197,1.059,1.085,2165114.95
1661904000,1.089,1.328,1.086,1.13,4280494.74
