ts,open,high,low,close,volume
1746576000,3.21,3.253,3.118,3.227,130450.74
1746662400,3.229,3.761,3.182,3.68,403692.75
1746748800,3.678,3.996,3.612,3.862,501138.32
1746835200,3.856,4.133,3.822,4.089,357532.48
1746921600,4.089,4.124,3.766,3.905,265730.34
1747008000,3.901,4.117,3.63,3.837,343832.56
1747094400,3.835,4.277,3.654,4.199,467936.19
1747180800,4.201,4.351,4.053,4.207,380333.58
1747267200,4.211,4.308,3.722,4.091,577431.65
1747353600,4.09,4.322,3.917,4.003,436343.94
1747440000,4.002,4.032,3.857,3.907,201770.84
1747526400,3.907,4.195,3.857,4.188,248250.12
1747612800,4.189,4.216,3.837,4.139,219840.08
1747699200,4.14,4.489,4.135,4.386,437736.43
1747785600,4.388,4.561,4.255,4.372,412613.82
1747872000,4.372,4.721,4.362,4.656,365677.99
1747958400,4.654,4.714,4.236,4.257,258262.96
1748044800,4.255,4.513,4.244,4.422,143338.95
1748131200,4.422,4.459,4.25,4.418,243272.31
1748217600,4.415,4.496,4.3,4.33,120163.51
1748304000,4.329,4.71,4.254,4.558,185805.33
1748390400,4.559,4.613,4.393,4.512,138111.35
1748476800,4.511,4.672,4.304,4.328,190849.34
1748563200,4.327,4.356,3.917,3.941,222775.76
1748649600,3.942,4.144,3.806,3.994,160224.79
1748736000,3.995,4.138,3.896,4.124,83720.9
1748822400,4.123,4.306,3.952,4.297,141741.62
1748908800,4.296,4.395,4.179,4.218,171048.25
1748995200,4.22,4.406,4.083,4.11,141073.96
1749081600,4.109,4.201,3.804,3.98,156220.11
1749168000,3.979,4.142,3.947,4.01,82163.36
1749254400,4.009,4.137,3.982,4.106,36829.02
1749340800,4.107,4.122,4.003,4.064,68619.49
1749427200,4.065,4.346,3.911,4.328,116485.43
1749513600,4.33,4.557,4.299,4.473,194301.45
1749600000,4.474,4.551,3.991,4.019,173111.47
1749686400,4.018,4.128,3.834,3.862,228393.54
1749772800,3.861,3.892,3.428,3.821,295649.96
1749859200,3.826,3.886,3.657,3.712,91718.05
1749945600,3.71,3.736,3.592,3.697,61309.57
1750032000,3.697,4.151,3.633,4.078,172267.06
1750118400,4.078,4.111,3.739,3.923,146939.25
1750204800,3.927,4.009,3.616,3.773,163724.03
1750291200,3.774,3.93,3.684,3.886,190823.89
1750377600,3.889,3.946,3.592,3.656,113052.98
1750464000,3.657,3.714,3.408,3.497,65034.6
1750550400,3.498,3.558,3.101,3.275,194344.07
1750636800,3.273,3.624,3.152,3.591,245074.63
1750723200,3.593,3.667,3.458,3.545,175885.82
1750809600,3.545,3.608,3.343,3.357,177025.5
1750896000,3.356,3.489,3.281,3.338,140390.7
1750982400,3.339,3.496,3.279,3.445,154978.77
1751068800,3.445,3.575,3.432,3.572,56190.16
1751155200,3.568,3.73,3.517,3.715,119030.38
1751241600,3.716,3.735,3.439,3.459,94476.41
1751328000,3.46,3.483,3.25,3.31,134680.49
1751414400,3.309,3.601,3.269,3.527,123257.73
