ts,open,high,low,close,volume
1746576000,0.01139,0.01226,0.01026,0.01124,902586407
1746662400,0.01125,0.01453,0.01124,0.01414,1196863473
1746748800,0.01415,0.01693,0.01352,0.01438,617795647
1746835200,0.01437,0.01524,0.01345,0.01516,586827310
1746921600,0.01516,0.01544,0.01332,0.01412,410620591
1747008000,0.01412,0.01499,0.01255,0.01369,611566299
1747094400,0.01366,0.01487,0.01338,0.01431,612957240
1747180800,0.0143,0.01754,0.01363,0.01486,1150095955
1747267200,0.01485,0.0151,0.01305,0.01364,901927685
1747353600,0.01363,0.01415,0.01282,0.01293,342340508
1747440000,0.01293,0.01303,0.01182,0.01204,279391187
1747526400,0.01205,0.01355,0.01202,0.01313,382073867
1747612800,0.01311,0.01321,0.01184,0.01299,372805264
1747699200,0.013,0.01324,0.01209,0.0126,241013167
1747785600,0.01261,0.01405,0.01247,0.0139,420568989
1747872000,0.0139,0.0148,0.01339,0.01461,478575024
1747958400,0.01462,0.01506,0.01252,0.01285,480627685
1748044800,0.01286,0.01345,0.01275,0.01323,162875714
1748131200,0.01321,0.01335,0.01205,0.01296,359271158
1748217600,0.01297,0.01328,0.01227,0.01253,209900949
1748304000,0.01253,0.0135,0.01214,0.01308,256977824
1748390400,0.01308,0.01311,0.01198,0.01243,287338162
1748476800,0.01245,0.01274,0.01146,0.01156,289759398
1748563200,0.01156,0.01164,0.01002,0.01014,365605405
1748649600,0.01015,0.01033,0.00956,0.01017,364315604
1748736000,0.01018,0.01093,0.01001,0.01085,234605271
1748822400,0.01085,0.01101,0.01025,0.01089,260458767
1748908800,0.01089,0.0114,0.0097,0.01042,355687634
1748995200,0.01042,0.01066,0.00983,0.01008,231384568
1749081600,0.0101,0.01028,0.00888,0.0093,310137652
1749168000,0.00931,0.00979,0.00917,0.0094,221256080
1749254400,0.0094,0.01046,0.00937,0.01009,264180200
1749340800,0.01009,0.01024,0.00976,0.00992,230413565
1749427200,0.00992,0.01106,0.00978,0.01101,338910680
1749513600,0.01101,0.01253,0.01078,0.01233,544917681
1749600000,0.01233,0.01241,0.01117,0.01127,419987067
1749686400,0.01126,0.01136,0.01013,0.01015,252110871
1749772800,0.01014,0.01015,0.00897,0.00991,442852432
1749859200,0.00991,0.00994,0.00933,0.0096,141203133
1749945600,0.0096,0.00997,0.00949,0.00978,131487584
1750032000,0.00977,0.01061,0.00957,0.01007,308681089
1750118400,0.01006,0.01056,0.00916,0.00923,381577516
1750204800,0.00923,0.00957,0.00877,0.00956,218395935
1750291200,0.00956,0.00973,0.00914,0.00933,136973426
1750377600,0.00933,0.0097,0.00875,0.00903,210129173
1750464000,0.00904,0.00949,0.00825,0.00864,181657168
1750550400,0.00865,0.00882,0.00774,0.00846,261132259
1750636800,0.00847,0.00995,0.00824,0.00984,499282958
1750723200,0.00984,0.01021,0.00954,0.00999,403407793
1750809600,0.00997,0.01031,0.00952,0.00969,392006544
1750896000,0.0097,0.01,0.00909,0.0092,265104242
1750982400,0.0092,0.01113,0.00904,0.01076,471270505
1751068800,0.01076,0.01456,0.01039,0.01396,1287728172
1751155200,0.01395,0.01463,0.01288,0.01406,1209485828
1751241600,0.01406,0.0155,0.01323,0.01473,1253941799
1751328000,0.01473,0.01562,0.01381,0.01464,1541523563
1751414400,0.01464,0.01653,0.01368,0.0155,2226910001
1751500800,0.0155,0.01722,0.015,0.01684,1268104375
1751587200,0.01682,0.01714,0.01567,0.01642,707189358
1751673600,0.01642,0.01688,0.0153,0.0161,509272508
1751760000,0.0161,0.01668,0.01563,0.01596,330364388
1751846400,0.01595,0.01595,0.01426,0.01455,554405915
1751932800,0.01454,0.01555,0.01446,0.01491,448729584
1752019200,0.01492,0.01559,0.01443,0.01542,391688378
1752105600,0.01543,0.02033,0.0153,0.01911,1665754876
1752192000,0.01912,0.02445,0.01896,0.02356,2492250147
1752278400,0.02355,0.02467,0.02138,0.02332,1434587248
1752364800,0.02332,0.03285,0.0227,0.03001,2542888225
1752451200,0.03002,0.03153,0.02719,0.02991,2565507833
1752537600,0.0299,0.03489,0.02887,0.03241,3134044518
1752624000,0.03241,0.03511,0.03046,0.03083,2392408756
1752710400,0.03083,0.03263,0.02909,0.03023,2358448091
1752796800,0.03024,0.03236,0.02877,0.0322,1732759889
1752883200,0.03222,0.03371,0.02969,0.03093,1297544414
1752969600,0.03094,0.03222,0.03012,0.031,993368480
