ts,open,high,low,close,volume
1725408000,0.3855,0.3855,0.38,0.3818,42231.26
1725494400,0.3819,0.3857,0.3634,0.3683,2653558.24
1725580800,0.3687,0.3796,0.3558,0.3657,2521068.7
1725667200,0.3662,0.3763,0.3645,0.3696,1280703.92
1725753600,0.3694,0.3796,0.3673,0.3759,1104148.96
1725840000,0.3756,0.3857,0.3722,0.3825,1507474.24
1725926400,0.3826,0.3903,0.3773,0.3879,1253855.54
1726012800,0.3882,0.3887,0.3662,0.3741,2329198.32
1726099200,0.3743,0.3876,0.3715,0.3795,2111359.95
1726185600,0.3795,0.4468,0.3741,0.4107,6493596.62
1726272000,0.4128,0.424,0.3967,0.4058,2324068.04
1726358400,0.4046,0.4084,0.3869,0.3887,2283696.83
1726444800,0.3893,0.3923,0.3723,0.3758,2949578.67
1726531200,0.3761,0.3908,0.3737,0.3816,2599925.88
1726617600,0.3816,0.39,0.3725,0.3899,2439882.51
1726704000,0.3905,0.4027,0.3889,0.399,2953430.98
1726790400,0.399,0.41,0.3934,0.401,2782763.47
1726876800,0.4015,0.4118,0.3959,0.4113,1712732.98
1726963200,0.4109,0.4118,0.3929,0.401,1560481.47
1727049600,0.401,0.4081,0.3942,0.4063,2133157.52
1727136000,0.4058,0.4144,0.3993,0.4098,3767482.87
1727222400,0.4095,0.4191,0.4043,0.4095,3021779.78
1727308800,0.41,0.4325,0.4029,0.426,3291011.57
1727395200,0.4258,0.4394,0.4237,0.4338,3550627.03
1727481600,0.4337,0.4377,0.4178,0.4242,2019453.03
1727568000,0.4241,0.426,0.4136,0.4213,1199329.97
1727654400,0.4215,0.4221,0.3937,0.3964,3184109.79
1727740800,0.3963,0.4055,0.3661,0.3759,2892211.4
1727827200,0.3759,0.3872,0.368,0.3734,1884191.56
1727913600,0.3732,0.3848,0.365,0.3757,11359716.92
1728000000,0.3761,0.3862,0.3747,0.384,1539055.89
1728086400,0.3838,0.3858,0.3759,0.3794,937087.67
1728172800,0.3795,0.385,0.3768,0.382,789983.14
1728259200,0.3822,0.3898,0.373,0.3742,1890079.39
1728345600,0.3743,0.3794,0.3702,0.3765,1410734.06
1728432000,0.3762,0.3808,0.361,0.3669,4266914.42
1728518400,0.3671,0.3695,0.36,0.3684,1784273.99
1728604800,0.3683,0.375,0.3666,0.3733,4665315.14
1728691200,0.3735,0.3758,0.3705,0.3717,5872163.98
1728777600,0.3717,0.372,0.3608,0.3662,7452361.48
1728864000,0.3662,0.3777,0.3631,0.3761,6961612.8
1728950400,0.376,0.3786,0.3611,0.3708,4320426.55
1729036800,0.3705,0.3741,0.3654,0.3715,2920657.99
1729123200,0.3715,0.3737,0.3616,0.3658,2650279.38
1729209600,0.3659,0.3702,0.3617,0.3698,2114590.35
1729296000,0.3701,0.3771,0.3701,0.3717,1438642.07
1729382400,0.3719,0.3857,0.3679,0.3854,2207376.67
1729468800,0.3853,0.3882,0.3685,0.3708,2370050.35
1729555200,0.3713,0.3742,0.3632,0.3665,2513932.29
1729641600,0.3664,0.3665,0.3458,0.3549,3163972.91
1729728000,0.3549,0.3592,0.352,0.3561,2124128.56
1729814400,0.3562,0.3563,0.3063,0.322,4665745.18
1729900800,0.321,0.3341,0.3187,0.3284,2263500.34
1729987200,0.3285,0.3317,0.3251,0.3304,957932.62
1730073600,0.3301,0.3303,0.3125,0.3253,7746191.35
1730160000,0.3255,0.3385,0.3235,0.3352,3995599.73
1730246400,0.3351,0.3377,0.3282,0.3322,3339169.18
1730332800,0.3324,0.3336,0.3152,0.3204,3896160.61
1730419200,0.3201,0.325,0.3121,0.3181,2561879.44
1730505600,0.3182,0.3207,0.3104,0.3129,1757415.3
1730592000,0.3131,0.3139,0.2938,0.3006,3155998.43
1730678400,0.3006,0.3043,0.2853,0.2919,3830287.66
1730764800,0.2917,0.3076,0.2916,0.3034,3017524.64
1730851200,0.3034,0.3371,0.3034,0.3344,7423491.27
1730937600,0.3342,0.3511,0.3315,0.346,5642455.88
1731024000,0.3461,0.407,0.3391,0.3927,11305417.59
1731110400,0.3929,0.3971,0.3724,0.3855,5607681.15
1731196800,0.3858,0.4258,0.3813,0.4075,13160804.78
1731283200,0.4074,0.4299,0.3975,0.4283,9725069.02
1731369600,0.429,0.4476,0.3811,0.4008,11932340.87
1731456000,0.4008,0.4044,0.3605,0.3765,14083949.91
1731542400,0.3767,0.3839,0.3532,0.3587,9671204.09
1731628800,0.3583,0.3754,0.3422,0.372,21533285.3
1731715200,0.3716,0.4396,0.369,0.425,20610532.84
1731801600,0.4247,0.4429,0.3911,0.4005,12776128.59
1731888000,0.4006,0.4778,0.3958,0.4574,18050158.25
1731974400,0.4575,0.4593,0.4233,0.4331,10963097.15
1732060800,0.4336,0.4648,0.4215,0.4316,11850718.46
1732147200,0.4317,0.4602,0.418,0.4539,10607350.34
1732233600,0.4538,0.4974,0.4461,0.4958,16606539.32
1732320000,0.4959,0.6131,0.4899,0.5712,23484240.1
1732406400,0.5716,0.6028,0.5225,0.5762,12767232.2
1732492800,0.576,0.62,0.5401,0.5469,15010221.16
1732579200,0.5469,0.5634,0.4945,0.5278,11868515.85
1732665600,0.5273,0.5848,0.5149,0.5811,11484360.93
1732752000,0.581,0.581,0.5471,0.5632,7162467.93
1732838400,0.5632,0.5876,0.5569,0.5834,9752333.44
1732924800,0.5834,0.6183,0.573,0.5976,11202561.39
1733011200,0.5972,0.6131,0.5782,0.6033,8483270.58
1733097600,0.6035,0.6574,0.5696,0.6572,28864130.78
1733184000,0.6572,0.7675,0.643,0.7013,30297668.96
1733270400,0.7013,0.751,0.6977,0.71,18107172.57
1733356800,0.7097,0.7319,0.6633,0.6816,14010091.22
1733443200,0.6813,0.7265,0.66,0.7144,9679905.98
1733529600,0.7142,0.7181,0.6948,0.7004,5126199.17
1733616000,0.7,0.7076,0.6777,0.7032,3646790.3
1733702400,0.7026,0.7029,0.5148,0.582,13447695.7
1733788800,0.582,0.6033,0.5279,0.5813,11104478.24
1733875200,0.5812,0.6379,0.5549,0.6308,10667385.09
1733961600,0.6308,0.6702,0.6168,0.6243,12745268.64
1734048000,0.6243,0.6316,0.6084,0.6218,8813485.28
1734134400,0.6214,0.6289,0.5846,0.601,5412864.14
1734220800,0.6002,0.62,0.5833,0.6166,4467962.5
1734307200,0.6166,0.6273,0.5853,0.5928,6834838.49
1734393600,0.593,0.6001,0.5587,0.5669,6164213.77
1734480000,0.5669,0.5692,0.5043,0.5159,11256986.13
1734566400,0.5159,0.5321,0.458,0.4752,15175429.56
1734652800,0.4762,0.5041,0.4114,0.4995,22544096.34
1734739200,0.499,0.5231,0.464,0.4733,6779732.62
1734825600,0.4735,0.4903,0.4607,0.4732,5453623.73
1734912000,0.4734,0.5057,0.4613,0.5008,7150216.55
1734998400,0.5007,0.5343,0.4891,0.5281,5197610.6
1735084800,0.5279,0.5281,0.5047,0.5149,4037883.64
1735171200,0.5148,0.5199,0.471,0.4762,5326848.7
1735257600,0.4764,0.5,0.4713,0.4795,5157394.79
1735344000,0.4795,0.4926,0.4728,0.4879,3426111.45
1735430400,0.4881,0.4889,0.4608,0.4651,5579594.4
1735516800,0.4651,0.4779,0.4494,0.4605,5106605.18
1735603200,0.4605,0.4756,0.4487,0.4512,7256239.41
1735689600,0.4511,0.4778,0.4447,0.4725,5520611.92
1735776000,0.4724,0.4956,0.4711,0.4842,5169136.95
1735862400,0.4844,0.523,0.4794,0.519,7321067.36
1735948800,0.5191,0.5297,0.5115,0.5234,3780714.91
1736035200,0.5234,0.5258,0.5063,0.5165,2745709.18
1736121600,0.5172,0.5385,0.5083,0.5249,8758071.09
1736208000,0.5249,0.5267,0.4667,0.4695,5448651.73
1736294400,0.4695,0.4758,0.4382,0.4641,6469697.82
1736380800,0.4629,0.467,0.4389,0.4488,5149205.53
1736467200,0.449,0.4645,0.4449,0.4576,4613803.55
1736553600,0.4576,0.4644,0.4506,0.4595,3232746.27
1736640000,0.4595,0.4633,0.4448,0.45,3105086.81
1736726400,0.4502,0.4598,0.4095,0.439,8363932.9
1736812800,0.4392,0.4583,0.4368,0.4553,4508949.25
1736899200,0.4554,0.4887,0.4467,0.4875,6091304.75
1736985600,0.4874,0.489,0.4672,0.4735,6009326.75
1737072000,0.4735,0.517,0.4735,0.5075,9061056.84
1737158400,0.5077,0.5135,0.469,0.4829,7298038.85
1737244800,0.4829,0.4943,0.4339,0.4447,13458833.14
1737331200,0.445,0.488,0.431,0.4416,14224929.01
1737417600,0.4415,0.4645,0.4275,0.4528,13221979.9
1737504000,0.4527,0.4555,0.4394,0.4421,6111190.74
1737590400,0.4419,0.448,0.4294,0.4418,5289911.44
1737676800,0.4422,0.4497,0.4254,0.433,10817757.65
1737763200,0.4328,0.4388,0.4286,0.4341,3121274.63
1737849600,0.4345,0.4477,0.4327,0.4346,4428285.37
1737936000,0.4343,0.4395,0.3892,0.4152,8952153.43
1738022400,0.415,0.4189,0.3858,0.3903,3087282.42
1738108800,0.3901,0.4062,0.3825,0.3946,3427694.39
1738195200,0.3948,0.4209,0.3919,0.4117,3590849.62
1738281600,0.4116,0.4239,0.402,0.4075,3289361.64
1738368000,0.4074,0.414,0.3718,0.3743,3115420.14
1738454400,0.3743,0.3864,0.3181,0.3335,19300247.62
1738540800,0.3334,0.3462,0.2447,0.342,31719540.17
1738627200,0.3418,0.3437,0.3022,0.313,14136428.5
1738713600,0.3129,0.3247,0.3072,0.3112,9142882.25
1738800000,0.3113,0.3209,0.2944,0.2972,8404289.55
1738886400,0.297,0.3199,0.2897,0.2991,8600330.2
1738972800,0.2991,0.3103,0.2966,0.309,5125488.31
1739059200,0.309,0.3176,0.2923,0.304,4538550.41
1739145600,0.3039,0.3135,0.2944,0.3135,5835450.17
1739232000,0.3133,0.3294,0.3038,0.3072,6854702.76
1739318400,0.3071,0.3327,0.2995,0.329,6877409.82
1739404800,0.3291,0.3316,0.3112,0.3176,6405494.48
1739491200,0.3177,0.3298,0.3158,0.3231,5385588.53
1739577600,0.323,0.3276,0.3151,0.3179,3407458.12
1739664000,0.3178,0.332,0.3148,0.3261,4937769.77
1739750400,0.326,0.3345,0.3126,0.3198,8257715.88
1739836800,0.3197,0.3208,0.2914,0.3025,9110898.77
1739923200,0.3025,0.3095,0.2973,0.3015,5258231.24
1740009600,0.3017,0.31,0.2988,0.3074,3589912
1740096000,0.3076,0.3165,0.2863,0.2926,6918042.11
1740182400,0.2924,0.2994,0.2909,0.2975,8945531.87
1740268800,0.2973,0.2996,0.2901,0.2962,3597801.61
1740355200,0.2963,0.2983,0.2627,0.2668,7397587.83
1740441600,0.2668,0.2753,0.2494,0.2718,7720889.4
1740528000,0.2718,0.2826,0.2639,0.2734,3221759.36
1740614400,0.2738,0.2872,0.2694,0.2769,2753717.81
1740700800,0.2767,0.2774,0.2548,0.2719,4784221.11
1740787200,0.2719,0.2855,0.2655,0.2828,2608152.48
1740873600,0.2823,0.3105,0.2748,0.3034,4655600.22
1740960000,0.3037,0.304,0.25,0.2547,7453373.91
1741046400,0.2544,0.2565,0.2286,0.2488,8720156.28
1741132800,0.2485,0.2578,0.245,0.2557,3187473.32
1741219200,0.2555,0.2605,0.2449,0.2496,2984760.25
1741305600,0.2496,0.2528,0.2365,0.2416,3697786.38
1741392000,0.2414,0.2476,0.237,0.246,2750775.96
1741478400,0.246,0.2473,0.219,0.2208,5205497
1741564800,0.2211,0.232,0.1999,0.204,9896268.13
1741651200,0.204,0.2181,0.1906,0.2146,11380366.96
1741737600,0.2147,0.2243,0.2087,0.2168,6675785.44
1741824000,0.2167,0.2206,0.2059,0.2107,3521376.21
1741910400,0.2107,0.2185,0.21,0.2146,4553935.34
1741996800,0.215,0.2195,0.2138,0.2189,3191434.19
1742083200,0.2188,0.2197,0.2069,0.2099,5715444.15
1742169600,0.2098,0.2203,0.2093,0.2146,3451119.31
1742256000,0.2144,0.2147,0.2029,0.2121,4014388.13
1742342400,0.2118,0.2213,0.2101,0.2203,5000971.76
1742428800,0.2204,0.221,0.2093,0.2118,2879436.74
1742515200,0.2118,0.2136,0.2038,0.2059,7080041.7
1742601600,0.2062,0.213,0.2056,0.2095,1743774.43
1742688000,0.2093,0.2136,0.208,0.2129,2457132.24
1742774400,0.2127,0.2225,0.21,0.2195,4469398.72
1742860800,0.2196,0.2297,0.2167,0.229,6013194.82
1742947200,0.2291,0.2468,0.2283,0.2326,14962001.61
1743033600,0.2326,0.2429,0.2297,0.231,13240603.31
1743120000,0.2309,0.2313,0.2074,0.2126,12811000.97
1743206400,0.2123,0.2132,0.1975,0.2025,11499448.44
1743292800,0.2024,0.2069,0.2,0.204,6300782.14
1743379200,0.204,0.2094,0.1996,0.2023,9939885.21
1743465600,0.202,0.2076,0.1987,0.2011,9532853.89
1743552000,0.201,0.201,0.1821,0.1857,15585959.55
1743638400,0.1857,0.1906,0.1782,0.1894,8424042.7
1743724800,0.1897,0.1928,0.1862,0.1907,6561957.96
1743811200,0.1906,0.1912,0.1859,0.1874,2779344.99
1743897600,0.1875,0.1882,0.1672,0.1712,8294374.88
1743984000,0.1707,0.1783,0.1518,0.1734,14215478.74
1744070400,0.1734,0.1799,0.1653,0.167,5980134.33
1744156800,0.1669,0.1889,0.1617,0.1868,7296480.42
1744243200,0.1867,0.187,0.1754,0.1817,4140211.57
1744329600,0.1817,0.1866,0.1804,0.1825,4104903.38
1744416000,0.1825,0.1925,0.1808,0.1901,6145728.26
1744502400,0.1903,0.1933,0.1808,0.1826,6512616.97
1744588800,0.1827,0.1873,0.18,0.1824,5301028.52
1744675200,0.1825,0.1867,0.1793,0.1797,3378994.37
1744761600,0.1798,0.1844,0.1753,0.1785,4176906.19
1744848000,0.1786,0.1848,0.1774,0.1821,3684617
1744934400,0.1821,0.1909,0.1816,0.1885,3278115.75
1745020800,0.1883,0.1929,0.1883,0.1914,2854244.52
1745107200,0.1911,0.1926,0.1872,0.191,3055835.18
1745193600,0.1908,0.2051,0.1906,0.1991,5251288.91
1745280000,0.1991,0.2225,0.1961,0.2199,24087098.05
1745366400,0.2202,0.2276,0.217,0.2216,11194126.24
1745452800,0.2215,0.2674,0.2154,0.2471,44372935.11
1745539200,0.2469,0.2521,0.2389,0.2496,15170821.82
1745625600,0.2497,0.2542,0.2429,0.2454,7040400.01
1745712000,0.2451,0.2504,0.2364,0.2404,9836762.47
1745798400,0.2401,0.2475,0.23,0.2392,13896337.68
1745884800,0.239,0.244,0.2333,0.2364,6559993.2
1745971200,0.2362,0.2433,0.2259,0.2376,8225061.8
1746057600,0.2372,0.2466,0.2369,0.2396,9408430.76
1746144000,0.2398,0.2434,0.2347,0.2397,6502005.29
1746230400,0.2397,0.2402,0.2276,0.2299,4386922.98
1746316800,0.2299,0.2332,0.2277,0.2291,3319511.32
1746403200,0.229,0.2351,0.2208,0.2232,6211347.04
1746489600,0.2236,0.2244,0.2079,0.2182,6203225.67
1746576000,0.2183,0.2218,0.2147,0.2186,9571357.65
1746662400,0.2186,0.2559,0.2169,0.2508,29968225.08
1746748800,0.2508,0.2631,0.2461,0.2529,24204456.54
1746835200,0.2528,0.2752,0.2511,0.2744,26633481.19
1746921600,0.2743,0.2766,0.2526,0.255,29084246.83
1747008000,0.255,0.2702,0.2463,0.2552,30622182.91
1747094400,0.2551,0.2644,0.2437,0.2593,34775352.33
1747180800,0.2595,0.2639,0.2469,0.2493,7651900.88
1747267200,0.2495,0.2516,0.2314,0.2354,8517423.42
1747353600,0.2357,0.2458,0.234,0.2382,5884439.8
1747440000,0.238,0.2384,0.2268,0.2315,6122482.51
1747526400,0.2317,0.2448,0.2274,0.2422,5003847.6
1747612800,0.2417,0.2435,0.2268,0.2329,5449518.32
1747699200,0.233,0.2377,0.2258,0.2319,6465471.47
1747785600,0.232,0.2449,0.2293,0.2421,6680580.53
1747872000,0.2421,0.2534,0.2421,0.2512,8021762.12
1747958400,0.2512,0.2574,0.2335,0.2349,5173332.57
1748044800,0.2351,0.2404,0.2319,0.2332,2612950.71
1748131200,0.233,0.2363,0.2269,0.2359,2957877.31
1748217600,0.2359,0.2392,0.2282,0.2312,2883859.4
1748304000,0.2312,0.2355,0.2262,0.2299,3929250.38
1748390400,0.2299,0.2337,0.2228,0.2292,3797656.5
1748476800,0.2289,0.2362,0.2239,0.2247,4010518.44
1748563200,0.2247,0.2279,0.2046,0.2065,5245222.97
1748649600,0.2061,0.2181,0.2007,0.214,4063174.8
1748736000,0.2141,0.2168,0.2097,0.2152,3161050.44
1748822400,0.2153,0.2195,0.2111,0.2188,3933520.06
1748908800,0.2187,0.2212,0.2128,0.2154,2748672.23
1748995200,0.2154,0.2197,0.212,0.2132,3477208.5
1749081600,0.2132,0.217,0.1953,0.1989,4538796.37
1749168000,0.1988,0.2263,0.1981,0.2144,8177793
1749254400,0.2147,0.2193,0.2129,0.2132,3791497.02
1749340800,0.2129,0.2141,0.2083,0.2103,2660430.94
1749427200,0.2104,0.2194,0.2078,0.2189,2647589.44
1749513600,0.219,0.2272,0.2145,0.2257,3360873.34
1749600000,0.2259,0.2399,0.2189,0.2305,7024092.11
1749686400,0.2302,0.233,0.2094,0.2108,6000805.66
1749772800,0.2107,0.2108,0.1908,0.2045,8888073.38
1749859200,0.2046,0.2046,0.1958,0.199,2402986.82
1749945600,0.199,0.2011,0.1952,0.1989,2011701.72
1750032000,0.1989,0.2081,0.1967,0.1997,2662845.66
1750118400,0.1994,0.2028,0.193,0.1941,3838385.3
1750204800,0.1946,0.1975,0.1821,0.1902,3417978.83
1750291200,0.1902,0.1924,0.1844,0.1872,2605285.71
1750377600,0.1874,0.1925,0.1799,0.1827,7051601.88
1750464000,0.1827,0.1884,0.1676,0.1729,4973992.33
1750550400,0.173,0.1753,0.1637,0.1725,6158410.14
1750636800,0.1725,0.1833,0.1665,0.1813,6548428.84
1750723200,0.1814,0.1855,0.1789,0.1844,6529990.86
1750809600,0.1841,0.1851,0.1767,0.1778,3160027.88
1750896000,0.1778,0.1812,0.171,0.173,2560623.29
1750982400,0.1729,0.1768,0.1715,0.1747,2233627.35
1751068800,0.1744,0.1789,0.174,0.1781,1664346.56
1751155200,0.1783,0.1868,0.1765,0.1847,2620179.77
1751241600,0.1848,0.1931,0.1811,0.1887,6354791.89
1751328000,0.1884,0.1895,0.1754,0.177,8792065.02
1751414400,0.177,0.1919,0.1747,0.1882,4062045.19
1751500800,0.1884,0.1925,0.1855,0.1872,3332729.82
1751587200,0.1874,0.1883,0.1774,0.1796,4055011.45
1751673600,0.1796,0.1835,0.1788,0.1823,2454411.76
1751760000,0.1823,0.1861,0.18,0.1838,1575197.33
1751846400,0.1837,0.1873,0.1825,0.1847,2754302.45
1751932800,0.185,0.1957,0.1827,0.1927,4493359.95
1752019200,0.1929,0.2084,0.1916,0.2082,8546159.44
1752105600,0.2081,0.2239,0.2041,0.2206,8275547.43
1752192000,0.2206,0.2403,0.2172,0.2296,10118405.78
1752278400,0.2297,0.2364,0.2214,0.2264,7721837.36
1752364800,0.2265,0.2354,0.2252,0.2331,6829917
1752451200,0.233,0.2452,0.2265,0.2289,11179089.24
