ts,open,high,low,close,volume
1725487200,0.3855,0.3855,0.3819,0.3822,9329.75
1725490800,0.3821,0.3832,0.38,0.3818,32901.51
1725494400,0.3819,0.3826,0.3799,0.3811,13119.71
1725498000,0.3805,0.3851,0.3805,0.3848,9372.49
1725501600,0.3842,0.3857,0.3825,0.3825,7413.9
1725505200,0.3825,0.3825,0.3768,0.3774,29036.24
1725508800,0.3766,0.3782,0.3766,0.378,14023.88
1725512400,0.378,0.378,0.376,0.3765,11544.23
1725516000,0.3753,0.3755,0.3731,0.3742,4820.23
1725519600,0.3743,0.3784,0.3743,0.3771,24118.61
1725523200,0.3767,0.3767,0.375,0.375,9435.49
1725526800,0.3752,0.3792,0.3746,0.3792,99897.81
1725530400,0.3794,0.3854,0.3794,0.3807,500531.93
1725534000,0.3803,0.3804,0.3646,0.3667,366352.4
1725537600,0.3665,0.369,0.3634,0.3683,199952.2
1725541200,0.3693,0.376,0.3682,0.3738,74054.08
1725544800,0.3759,0.3759,0.3685,0.3737,438289.8
1725548400,0.3715,0.3725,0.3676,0.3704,74570.13
1725552000,0.3694,0.3707,0.3659,0.3678,124507.46
1725555600,0.3676,0.37,0.3667,0.3697,116690.26
1725559200,0.3697,0.3702,0.367,0.3683,123645.34
1725562800,0.3683,0.3706,0.3659,0.3672,104187.7
1725566400,0.3675,0.3694,0.3663,0.3679,25880.73
1725570000,0.3678,0.3703,0.367,0.3689,43069.82
1725573600,0.3688,0.3732,0.3679,0.3716,143175.56
1725577200,0.3717,0.3717,0.367,0.3683,95868.24
1725580800,0.3687,0.3688,0.3624,0.3667,106185.19
1725584400,0.3662,0.3721,0.3633,0.3677,302033.57
1725588000,0.3691,0.3716,0.3682,0.3703,25997.01
1725591600,0.3702,0.3738,0.3701,0.3703,70035.11
1725595200,0.3703,0.3736,0.3703,0.3713,94720.23
1725598800,0.3715,0.3726,0.3702,0.3725,41716.83
1725602400,0.3723,0.3726,0.3708,0.3718,33249.46
1725606000,0.3724,0.3726,0.3701,0.3706,60256.15
1725609600,0.3706,0.3715,0.3686,0.3694,70492.85
1725613200,0.3696,0.3724,0.369,0.3696,65951.01
1725616800,0.3696,0.3712,0.369,0.3703,58569.42
1725620400,0.3701,0.3708,0.3695,0.3705,10479.63
1725624000,0.3708,0.3792,0.3696,0.378,117888.75
1725627600,0.3796,0.3796,0.3695,0.3712,286931.96
1725631200,0.371,0.373,0.3648,0.3678,197908.94
1725634800,0.3693,0.3713,0.3631,0.3657,113119.99
1725638400,0.3657,0.3685,0.3625,0.3673,176558.14
1725642000,0.3673,0.3684,0.3634,0.3647,63231.74
1725645600,0.3646,0.3652,0.3606,0.3606,122071.06
1725649200,0.3601,0.364,0.3597,0.3624,84526.31
1725652800,0.3618,0.3629,0.3592,0.3599,69179.58
1725656400,0.3593,0.3658,0.3558,0.3658,168553.2
1725660000,0.3658,0.3659,0.3629,0.3629,96459.44
1725663600,0.3629,0.3666,0.3617,0.3657,84953.13
1725667200,0.3662,0.3679,0.3645,0.3662,62831.48
1725670800,0.3662,0.3673,0.3658,0.3664,64967.41
1725674400,0.3666,0.3668,0.3648,0.3653,49956.56
1725678000,0.3652,0.3678,0.365,0.3677,12188.12
1725681600,0.3677,0.3686,0.367,0.3686,14271.19
1725685200,0.3688,0.3748,0.3688,0.3729,26974.54
1725688800,0.3729,0.3754,0.3727,0.3745,147497.62
1725692400,0.3745,0.376,0.374,0.3751,151145.4
1725696000,0.3755,0.3755,0.3742,0.3749,5682.7
1725699600,0.3749,0.3753,0.3708,0.372,60108.54
1725703200,0.3721,0.3734,0.3721,0.3728,3994.48
1725706800,0.3729,0.3743,0.3724,0.374,18716.74
1725710400,0.3739,0.3746,0.3728,0.3743,92658.52
1725714000,0.3744,0.3748,0.3735,0.3744,31803.04
1725717600,0.3743,0.3749,0.3734,0.374,27811.08
1725721200,0.3747,0.3763,0.3743,0.3756,114955.01
1725724800,0.3757,0.376,0.3737,0.3743,25050.85
1725728400,0.3741,0.3744,0.3714,0.372,31288.09
1725732000,0.3718,0.3732,0.3716,0.3724,38704.53
1725735600,0.3724,0.3741,0.3723,0.3734,91041.37
1725739200,0.3735,0.3735,0.3706,0.3708,40235.46
1725742800,0.3708,0.3708,0.3692,0.3696,34234.23
1725746400,0.3701,0.3705,0.3679,0.3679,29818.99
1725750000,0.3683,0.3696,0.3672,0.3696,104767.97
1725753600,0.3694,0.3702,0.3688,0.3695,40600.87
1725757200,0.3697,0.3703,0.3694,0.3702,28372.48
1725760800,0.3701,0.3713,0.3701,0.371,41986.36
1725764400,0.3708,0.3715,0.3708,0.3714,8864.84
1725768000,0.3714,0.3735,0.3714,0.3732,12615.11
1725771600,0.3728,0.3731,0.3714,0.3716,7745.59
1725775200,0.372,0.373,0.3719,0.3727,15922.79
1725778800,0.3727,0.374,0.3726,0.3733,31107.27
1725782400,0.3734,0.3738,0.3724,0.3732,18385.5
1725786000,0.3735,0.3758,0.3735,0.3745,44896.64
1725789600,0.3748,0.3757,0.3743,0.3752,107799.4
1725793200,0.3751,0.3758,0.3742,0.3745,21724.23
1725796800,0.3749,0.3749,0.3706,0.3709,41172.28
1725800400,0.3711,0.3725,0.3696,0.3719,18653.71
1725804000,0.3722,0.3724,0.3696,0.3702,22693.52
1725807600,0.3698,0.3704,0.3684,0.3687,16525.68
1725811200,0.3682,0.3695,0.3673,0.3687,107195.22
1725814800,0.3699,0.3793,0.3699,0.3747,269993.84
1725818400,0.3745,0.3747,0.3729,0.3735,19639.24
1725822000,0.3735,0.3748,0.3729,0.3742,66328.41
1725825600,0.3741,0.3745,0.3731,0.3744,11647.85
1725829200,0.3744,0.3768,0.3744,0.3748,55465.59
1725832800,0.3751,0.3796,0.3739,0.3756,53011.33
1725836400,0.375,0.3767,0.375,0.3759,41801.21
1725840000,0.3756,0.3775,0.3753,0.3768,67590.02
1725843600,0.3777,0.3789,0.3766,0.3777,30736.94
1725847200,0.3776,0.3781,0.3754,0.3766,19549.18
1725850800,0.3761,0.3768,0.3736,0.3757,68810.25
1725854400,0.3759,0.3759,0.3741,0.3754,15677.58
1725858000,0.3755,0.3755,0.3726,0.3729,105915.66
1725861600,0.3729,0.375,0.3728,0.375,21303.8
1725865200,0.3751,0.3768,0.374,0.3768,36567.8
1725868800,0.3765,0.3788,0.3765,0.378,41481.14
1725872400,0.3785,0.3794,0.3764,0.3769,128364.38
1725876000,0.3769,0.3782,0.3763,0.3772,111556.33
1725879600,0.3772,0.3773,0.3758,0.3762,39097.02
1725883200,0.3762,0.3765,0.3745,0.3765,77220.87
1725886800,0.3764,0.3774,0.375,0.3774,44875.19
1725890400,0.3769,0.3771,0.3724,0.3725,72189.36
1725894000,0.3724,0.3743,0.3722,0.3739,25734.56
1725897600,0.374,0.3854,0.3736,0.3825,202873.41
1725901200,0.3825,0.3857,0.3815,0.3823,69319.82
1725904800,0.3823,0.3836,0.3812,0.3812,47434.12
1725908400,0.3815,0.3837,0.3813,0.3829,75588.85
1725912000,0.3833,0.3834,0.3814,0.382,73853.14
1725915600,0.3817,0.3853,0.3774,0.3844,67384.06
1725919200,0.3848,0.385,0.3829,0.383,32400.49
1725922800,0.3834,0.3839,0.3823,0.3825,31950.27
1725926400,0.3826,0.3829,0.3778,0.3811,106965.05
1725930000,0.3811,0.3811,0.3784,0.3788,31285.52
1725933600,0.3789,0.3793,0.3774,0.379,36418.94
1725937200,0.3788,0.38,0.3773,0.3784,29604.9
1725940800,0.3782,0.3796,0.3782,0.3783,22527.06
1725944400,0.3781,0.3812,0.3781,0.3806,50741.66
1725948000,0.3807,0.3807,0.3778,0.3785,27052.86
1725951600,0.3782,0.3798,0.3773,0.379,21869.11
1725955200,0.3791,0.3805,0.3788,0.3799,5847.23
1725958800,0.3793,0.3801,0.3787,0.3794,21499.98
1725962400,0.3795,0.38,0.3791,0.3797,12659.84
1725966000,0.3799,0.3805,0.3794,0.3805,39554.55
1725969600,0.3809,0.3859,0.3808,0.3848,220609.14
1725973200,0.3852,0.3852,0.3815,0.3815,71484.21
1725976800,0.3816,0.3839,0.38,0.3803,59840.84
1725980400,0.3805,0.3823,0.38,0.3806,87685.76
1725984000,0.3806,0.3812,0.3791,0.381,57279.36
1725987600,0.381,0.3856,0.381,0.3832,69265.2
1725991200,0.3828,0.3879,0.3828,0.385,65449.17
1725994800,0.385,0.3862,0.3818,0.3858,45402.35
1725998400,0.3855,0.3903,0.385,0.3871,41849.36
1726002000,0.3869,0.3876,0.3832,0.3872,39343.37
1726005600,0.3871,0.3887,0.3866,0.3883,42220.81
1726009200,0.3883,0.3892,0.3873,0.3879,47399.27
1726012800,0.3882,0.3887,0.3868,0.3875,68911.09
1726016400,0.3875,0.3875,0.378,0.3788,40958.87
1726020000,0.3789,0.3798,0.3706,0.3795,331571.43
1726023600,0.3795,0.38,0.3721,0.3749,89367.47
1726027200,0.3748,0.3751,0.3709,0.3715,20388.47
1726030800,0.3714,0.3734,0.3705,0.3734,66765.77
1726034400,0.3736,0.3773,0.3733,0.3743,36292.38
