ts,open,high,low,close,volume
1746576000,0.4046,0.4628,0.392,0.4589,35355463.82
1746662400,0.4589,0.5144,0.445,0.4745,40267788.87
1746748800,0.4743,0.545,0.4587,0.5191,45899158.45
1746835200,0.519,0.5567,0.4927,0.5476,26863945.02
1746921600,0.547,0.5498,0.4951,0.526,15965660.91
1747008000,0.5263,0.6435,0.5054,0.5699,54776410.53
1747094400,0.5704,0.6069,0.5179,0.5759,34983673.63
1747180800,0.5759,0.5826,0.5144,0.5234,22487508.02
1747267200,0.5235,0.5299,0.4578,0.4891,34301516
1747353600,0.4892,0.5046,0.4272,0.4318,23681715.2
1747440000,0.4319,0.4421,0.4138,0.4289,19005740.62
1747526400,0.4286,0.4853,0.4255,0.4791,23843013.96
1747612800,0.4791,0.4802,0.4205,0.4352,18213965.22
1747699200,0.4353,0.4601,0.4267,0.4535,19672689.11
1747785600,0.4538,0.5611,0.4401,0.4867,24403118.47
1747872000,0.4868,0.549,0.486,0.5422,24280433.84
1747958400,0.5423,0.5954,0.4883,0.4981,28966426.78
1748044800,0.4977,0.5108,0.4781,0.4843,16114162.61
1748131200,0.4842,0.4901,0.438,0.4841,22091420.49
1748217600,0.4842,0.5018,0.455,0.4714,15374611.29
1748304000,0.4716,0.4924,0.4532,0.4683,10342020.99
1748390400,0.4683,0.4766,0.4231,0.4497,16294620.99
1748476800,0.4497,0.4669,0.4028,0.4086,23975160.13
1748563200,0.4084,0.4129,0.3455,0.349,37690878.1
1748649600,0.3494,0.3749,0.3295,0.3643,23477627.92
1748736000,0.3644,0.3842,0.3459,0.3743,9109228.68
1748822400,0.3744,0.3896,0.3525,0.3869,9977122.78
1748908800,0.387,0.429,0.3719,0.3815,19923243.95
1748995200,0.3813,0.3848,0.3438,0.3481,24618248.8
1749081600,0.348,0.3582,0.312,0.3295,26472498.47
1749168000,0.3296,0.3693,0.3295,0.3356,19902926.86
1749254400,0.3356,0.3627,0.3315,0.3497,8667103.73
1749340800,0.3496,0.3783,0.3426,0.357,19142152.59
1749427200,0.3569,0.4111,0.3482,0.4052,17787379.69
1749513600,0.4053,0.4178,0.3851,0.4159,12169114.59
1749600000,0.4156,0.4226,0.3729,0.3813,16257094.31
1749686400,0.3813,0.3818,0.3365,0.3393,9889242.41
1749772800,0.3389,0.3403,0.2943,0.3217,26815854.36
1749859200,0.3219,0.3265,0.2972,0.3103,14937190.24
1749945600,0.3104,0.3306,0.3057,0.3222,7958121.26
1750032000,0.3222,0.3457,0.3119,0.3137,14372676.83
1750118400,0.3136,0.3218,0.2861,0.2924,21643724.41
1750204800,0.2924,0.3104,0.2739,0.3031,17384096.34
1750291200,0.303,0.3081,0.2849,0.2923,9648557.95
1750377600,0.2924,0.3021,0.2618,0.2836,16292671.94
1750464000,0.2839,0.289,0.2513,0.2709,11316549.78
1750550400,0.2711,0.2736,0.2374,0.2589,20066505.72
1750636800,0.2585,0.3039,0.2482,0.3014,19603226.48
1750723200,0.3012,0.3152,0.2857,0.2974,16863248.81
1750809600,0.2975,0.3129,0.266,0.27,25121735.17
1750896000,0.27,0.2853,0.251,0.2595,18592554.97
1750982400,0.2596,0.2733,0.2567,0.2728,10523916.78
1751068800,0.2728,0.3067,0.2702,0.3045,11117798.53
1751155200,0.3045,0.3227,0.2961,0.315,10097895.13
1751241600,0.3151,0.3173,0.293,0.2977,11091874.28
1751328000,0.2978,0.301,0.2704,0.2773,11958936.87
1751414400,0.277,0.3278,0.2739,0.3157,16939596.76
1751500800,0.316,0.3362,0.3057,0.3205,14852007.17
1751587200,0.3211,0.332,0.2905,0.299,13425969.8
1751673600,0.2993,0.3108,0.2865,0.2958,10203186.37
1751760000,0.2957,0.3152,0.2916,0.3022,12577370.9
1751846400,0.3022,0.3122,0.2755,0.2852,14593296.67
1751932800,0.2851,0.2962,0.2778,0.2906,9050853.14
1752019200,0.2906,0.3276,0.2829,0.3262,16967440.92
1752105600,0.3263,0.382,0.3197,0.3767,26255109.03
1752192000,0.3768,0.3904,0.3473,0.3611,25880327.88
1752278400,0.3613,0.3711,0.3493,0.3592,18910990.14
1752364800,0.3593,0.3924,0.3531,0.3723,16590630.79
1752451200,0.3724,0.4117,0.3636,0.3688,27730257.18
1752537600,0.3687,0.3828,0.3508,0.378,20144777.2
1752624000,0.3779,0.4319,0.3608,0.4121,32444446.48
1752710400,0.4122,0.4287,0.3831,0.3945,24419085.1
1752796800,0.3946,0.4275,0.3603,0.3747,23526962.54
1752883200,0.3748,0.3938,0.365,0.39,13083996.17
1752969600,0.3901,0.4264,0.3821,0.4197,22772007.98
1753056000,0.42,0.4478,0.3954,0.4365,36224431.06
1753142400,0.436,0.4888,0.4024,0.4821,34172892.48
1753228800,0.4823,0.4826,0.3823,0.3912,24988584.26
1753315200,0.3916,0.4054,0.3532,0.3639,26600135.18
1753401600,0.364,0.3858,0.3456,0.3844,21182493.56
1753488000,0.384,0.3917,0.3732,0.3746,7429171.15
1753574400,0.3747,0.3943,0.3711,0.3835,13372355
1753660800,0.3836,0.3929,0.3413,0.3452,24704516.65
1753747200,0.3453,0.3609,0.3275,0.3367,17585192.97
1753833600,0.337,0.3417,0.3062,0.3315,20075965.72
1753920000,0.3314,0.3462,0.3047,0.3073,15745931.87
1754006400,0.3074,0.313,0.2853,0.2983,19314753.77
1754092800,0.2982,0.3025,0.2746,0.2857,9153260.12
1754179200,0.2856,0.2985,0.2811,0.2954,5245934.61
1754265600,0.2955,0.3176,0.295,0.3137,8296524.58
1754352000,0.3138,0.3144,0.2841,0.2936,8590765.22
1754438400,0.2935,0.3071,0.2832,0.3031,7531636.62
1754524800,0.3032,0.3281,0.2999,0.3271,6795621.74
1754611200,0.327,0.3323,0.3155,0.325,8701355.54
1754697600,0.3251,0.349,0.3203,0.3371,10994143.49
1754784000,0.3373,0.3516,0.3214,0.3429,13783631.56
1754870400,0.3429,0.3526,0.3005,0.3048,12985546
1754956800,0.3047,0.3377,0.2969,0.3338,13295150.78
1755043200,0.3339,0.3486,0.3296,0.3446,16129371.72
1755129600,0.3448,0.3554,0.2895,0.2999,22258926.89
1755216000,0.2997,0.3106,0.2798,0.2929,13119924.78
1755302400,0.2928,0.299,0.288,0.297,5945506.22
1755388800,0.297,0.3095,0.2917,0.297,8477756.08
1755475200,0.297,0.2978,0.2773,0.2801,11548555.69
1755561600,0.2801,0.2846,0.2635,0.2673,12045340.89
1755648000,0.2675,0.2873,0.2652,0.2846,7150826.39
1755734400,0.2845,0.2888,0.2706,0.2734,7560764.04
1755820800,0.2735,0.3012,0.257,0.2995,18565423.44
1755907200,0.2996,0.3007,0.2855,0.294,4350374.98
1755993600,0.294,0.2986,0.2764,0.2818,11340909.73
1756080000,0.2819,0.2904,0.2478,0.2541,14580348.78
1756166400,0.254,0.2726,0.2522,0.2689,8501063.75
1756252800,0.2686,0.2744,0.2629,0.2658,8322464.66
1756339200,0.266,0.2749,0.263,0.2747,6120535.12
1756425600,0.2746,0.2765,0.2495,0.2585,14119808.23
1756512000,0.2583,0.2654,0.2538,0.2618,2497216.24
1756598400,0.2619,0.2659,0.2529,0.2532,3053896.74
1756684800,0.2529,0.2577,0.2276,0.2356,13203011.43
1756771200,0.2356,0.2578,0.2342,0.2556,13153323.85
1756857600,0.2557,0.2582,0.2492,0.2547,5285557.24
1756944000,0.2547,0.2572,0.2325,0.2359,6596642.27
1757030400,0.2362,0.249,0.2358,0.2437,7766751.82
1757116800,0.2438,0.2468,0.2377,0.24,2874870.77
1757203200,0.2401,0.2509,0.24,0.2489,2209882.19
1757289600,0.249,0.2656,0.2466,0.2634,5725010.04
1757376000,0.2634,0.2751,0.2586,0.2648,6633513.11
1757462400,0.265,0.2774,0.2626,0.2722,6144522.97
1757548800,0.272,0.2788,0.2641,0.2783,4423581.93
1757635200,0.2783,0.291,0.2715,0.2896,7626514.85
1757721600,0.2894,0.3107,0.2886,0.2983,12640907.18
1757808000,0.2983,0.2994,0.2751,0.2816,8087127.25
1757894400,0.2819,0.2854,0.257,0.2658,8148388.08
1757980800,0.2657,0.2766,0.2602,0.2748,6970712.81
1758067200,0.2749,0.292,0.2639,0.2898,10605367.01
1758153600,0.2899,0.2959,0.2808,0.2885,6325861.51
1758240000,0.2886,0.2933,0.2654,0.2677,7298312.46
1758326400,0.2677,0.272,0.2627,0.2654,2766869.98
1758412800,0.2655,0.268,0.2568,0.2569,2734976.26
1758499200,0.2569,0.259,0.2203,0.2312,11775467.7
1758585600,0.231,0.2334,0.2227,0.2246,7331818
1758672000,0.2247,0.2305,0.2163,0.2214,11836303.64
1758758400,0.2214,0.234,0.2035,0.2095,30509019.43
1758844800,0.2095,0.2198,0.2077,0.2169,9616655.6
1758931200,0.2169,0.2193,0.2119,0.2155,8229087.86
1759017600,0.2154,0.2262,0.2086,0.2249,5919043.49
1759104000,0.2248,0.2257,0.2139,0.222,13213306.31
1759190400,0.2219,0.2226,0.2081,0.2172,20104842.68
1759276800,0.2174,0.2356,0.2137,0.2318,13658298.57
1759363200,0.2319,0.2434,0.2298,0.2398,13725502.78
1759449600,0.2397,0.2462,0.2303,0.2424,13969799.13
1759536000,0.2422,0.2457,0.2286,0.2364,7533682.98
1759622400,0.2365,0.2537,0.2312,0.2337,15361149.84
1759708800,0.2334,0.2525,0.2305,0.2483,14074585.77
1759795200,0.2482,0.2508,0.2262,0.2285,16810761.15
1759881600,0.2286,0.2435,0.2237,0.2415,9460867.13
1759968000,0.2416,0.2423,0.2171,0.2235,13046338.5
1760054400,0.2236,0.2344,0.0648,0.1547,30962998.89
1760140800,0.1566,0.1628,0.1413,0.1491,24377304.19
1760227200,0.1489,0.1723,0.1437,0.1655,32870705.36
1760313600,0.1654,0.1772,0.1568,0.1752,26868898.04
1760400000,0.1752,0.1761,0.1534,0.1687,19391061.27
1760486400,0.1687,0.1724,0.1553,0.1584,18055995.67
1760572800,0.1585,0.1656,0.1471,0.1513,17970558.42
1760659200,0.1513,0.1538,0.1353,0.145,41790221.6
1760745600,0.145,0.1514,0.1448,0.1487,7233070.85
1760832000,0.1488,0.1571,0.1457,0.1538,13415319.48
1760918400,0.1538,0.162,0.1499,0.1567,6803270.97
1761004800,0.1568,0.1617,0.1463,0.147,14825935.2
1761091200,0.1469,0.1504,0.1376,0.1426,15302614.48
1761177600,0.1425,0.1527,0.1423,0.1511,12386109.51
1761264000,0.1512,0.1584,0.1502,0.1558,6374728.28
