ts,open,high,low,close,volume
1746576000,0.1347,0.1367,0.1309,0.1359,8983669.5
1746662400,0.1364,0.1523,0.1364,0.1521,6650063
1746748800,0.1522,0.2108,0.1515,0.1939,54810657.9
1746835200,0.1939,0.1974,0.1821,0.1954,13172848.8
1746921600,0.1953,0.1967,0.1824,0.1868,3972006
1747008000,0.1869,0.2081,0.1754,0.1899,10545544.2
1747094400,0.1892,0.1931,0.1767,0.1918,4618658.3
1747180800,0.1918,0.2068,0.1813,0.1825,14942054.6
1747267200,0.1825,0.1852,0.1606,0.1651,9232897.4
1747353600,0.1652,0.1698,0.1577,0.1584,5884825
1747440000,0.1583,0.1585,0.1483,0.1508,4839960
1747526400,0.1508,0.1609,0.1466,0.1563,4717188.6
1747612800,0.1562,0.1562,0.1342,0.1376,14929365.4
1747699200,0.1379,0.1413,0.1225,0.1295,38253828.5
1747785600,0.1295,0.1368,0.1243,0.1318,32260609.1
1747872000,0.1318,0.1386,0.1318,0.1375,20280711.4
1747958400,0.1375,0.149,0.1312,0.1322,35819776.2
1748044800,0.1322,0.1376,0.1305,0.1345,11666113.7
1748131200,0.1342,0.1367,0.1257,0.1357,7715973.9
1748217600,0.1357,0.1393,0.1321,0.1342,8979763.3
1748304000,0.1342,0.1402,0.1314,0.1385,10922857.2
1748390400,0.1386,0.1419,0.1315,0.1368,8540658.9
1748476800,0.1368,0.141,0.1277,0.1284,8857290.3
1748563200,0.1285,0.1291,0.1128,0.1136,12073615
1748649600,0.1136,0.1236,0.1086,0.1187,8222207.1
1748736000,0.1188,0.1218,0.1149,0.1207,4619945.8
1748822400,0.1208,0.1221,0.1154,0.1207,4219069.2
1748908800,0.1208,0.1252,0.1202,0.1215,3445434.7
1748995200,0.1216,0.1238,0.1156,0.116,3115788.6
1749081600,0.1161,0.1171,0.1064,0.1083,6405871.5
1749168000,0.1082,0.1178,0.1072,0.1124,2899017.5
1749254400,0.1125,0.1195,0.1119,0.1177,1095487.6
1749340800,0.1178,0.1202,0.1146,0.1171,2069477
1749427200,0.1173,0.1253,0.1142,0.1246,2308279.4
1749513600,0.1247,0.1312,0.1233,0.1304,5384164.2
1749600000,0.1304,0.1316,0.1222,0.1228,3721916.4
1749686400,0.1229,0.1236,0.1123,0.1128,4529130.6
1749772800,0.1127,0.1127,0.1034,0.1081,5540329.1
1749859200,0.1082,0.1089,0.1019,0.1041,3354400.6
1749945600,0.104,0.1074,0.1034,0.1063,1868240.9
1750032000,0.1063,0.113,0.1038,0.1074,4692240.9
1750118400,0.1072,0.1093,0.0979,0.0999,7091877.4
1750204800,0.0999,0.1015,0.0944,0.1001,3924818.1
1750291200,0.1001,0.1017,0.0957,0.098,2064877.2
1750377600,0.0979,0.1011,0.0915,0.0928,5811478.1
1750464000,0.0929,0.0944,0.0868,0.0896,3531753.7
1750550400,0.0896,0.0915,0.0808,0.0856,4225677.3
1750636800,0.0857,0.096,0.0848,0.0951,5717538.3
1750723200,0.0953,0.1001,0.0951,0.0967,4038671.7
1750809600,0.0967,0.0971,0.0912,0.0916,3423176.3
1750896000,0.0918,0.098,0.0893,0.093,3957527.5
1750982400,0.093,0.0963,0.0911,0.0935,4630889.9
1751068800,0.0936,0.1012,0.0925,0.1004,2921370
1751155200,0.1003,0.1144,0.0968,0.1114,11192038.8
1751241600,0.1113,0.1158,0.1024,0.1048,20869312.4
1751328000,0.1048,0.1064,0.0974,0.099,8042430.5
1751414400,0.0991,0.106,0.0962,0.104,8544253.1
1751500800,0.104,0.1081,0.1019,0.1039,5312815.2
1751587200,0.104,0.105,0.0945,0.0966,4347193.3
1751673600,0.0966,0.0975,0.0945,0.0966,2393523.9
1751760000,0.0966,0.1005,0.0953,0.0989,2381550.9
1751846400,0.099,0.1006,0.0942,0.096,2324073.3
1751932800,0.0958,0.0999,0.0941,0.0988,3513765.1
1752019200,0.0989,0.106,0.0979,0.105,4677027.2
1752105600,0.1051,0.1148,0.1038,0.1134,7286916.1
1752192000,0.1135,0.1214,0.1114,0.1153,9188526.9
1752278400,0.1152,0.1188,0.1106,0.1144,2973297.5
1752364800,0.1147,0.1243,0.1146,0.1198,7181156.7
1752451200,0.1196,0.127,0.1156,0.1189,5082884.3
1752537600,0.1189,0.1245,0.1133,0.1238,3900640.9
1752624000,0.1238,0.1308,0.1199,0.1263,4440497.3
1752710400,0.1263,0.131,0.1216,0.1291,5829704.3
1752796800,0.1291,0.1426,0.127,0.1308,11033766.2
1752883200,0.1307,0.1342,0.1259,0.1317,3051005.9
1752969600,0.1315,0.149,0.1309,0.1447,8469565.5
1753056000,0.1443,0.154,0.1397,0.1489,6016482.7
1753142400,0.149,0.152,0.1394,0.1482,8728881
1753228800,0.1483,0.1483,0.1262,0.1304,6306758.6
1753315200,0.1304,0.133,0.1205,0.1241,3842775.3
1753401600,0.1239,0.1292,0.1193,0.1289,3788473.2
1753488000,0.129,0.1322,0.1269,0.1296,2193021.7
1753574400,0.1296,0.1392,0.1296,0.1389,2431732.6
1753660800,0.139,0.1424,0.1266,0.1269,2789019.1
1753747200,0.1269,0.1343,0.1234,0.126,2740493.3
1753833600,0.1263,0.1269,0.115,0.1212,4058131
1753920000,0.1211,0.1274,0.1142,0.1147,4703041.8
1754006400,0.1145,0.1159,0.1075,0.1109,4731793.7
1754092800,0.1109,0.1127,0.1053,0.1082,2082408.3
1754179200,0.1084,0.1151,0.1064,0.1144,1489435.9
1754265600,0.1143,0.1203,0.1143,0.1183,1896618.5
1754352000,0.1184,0.1186,0.1094,0.1124,2259067.2
1754438400,0.1123,0.1164,0.1095,0.1149,2120593.7
1754524800,0.1148,0.1233,0.1142,0.1231,1979367
1754611200,0.1232,0.1259,0.1202,0.1247,2677612.2
1754697600,0.1247,0.1321,0.1238,0.1295,3075282.4
1754784000,0.1291,0.1317,0.1235,0.1278,2012794.9
1754870400,0.1275,0.1319,0.1186,0.1193,3604555.4
1754956800,0.1196,0.131,0.1183,0.1294,2608146.9
1755043200,0.1297,0.1356,0.128,0.1344,3682271.7
1755129600,0.1343,0.1368,0.1177,0.1205,7314471.1
1755216000,0.1206,0.1251,0.1154,0.121,4299475.7
1755302400,0.121,0.1247,0.1202,0.124,1373024.4
1755388800,0.1239,0.1291,0.1229,0.1254,2002270.6
1755475200,0.1252,0.1253,0.1171,0.1187,3413207.5
1755561600,0.1189,0.1204,0.1128,0.113,2779406.9
1755648000,0.1131,0.1215,0.1125,0.1212,2812164.4
