ts,open,high,low,close,volume
1746576000,86.9,92.11,86.47,89.98,32203.918
1746662400,89.92,96.78,89.76,95.35,70026.877
1746748800,95.55,98.65,93.1,95.07,32733.486
1746835200,95.18,102.42,93.31,101.65,33494.317
1746921600,101.73,102.29,95.97,98.85,19029.947
1747008000,98.9,104.38,94.14,98.18,32713.399
1747094400,98.19,100.76,92.82,98.57,26649.949
1747180800,98.65,101.11,96.42,99.99,27743.822
1747267200,100.06,102.28,94.83,96.61,36363.263
1747353600,96.58,96.84,91.83,91.95,35092.231
1747440000,92.04,94.24,87.95,91.28,28843.237
1747526400,91.28,100.34,91.28,96.79,40660.049
1747612800,96.81,96.98,89.74,93.45,31255.098
1747699200,93.45,99.42,93.17,96.7,32400.935
1747785600,96.86,100.67,95.7,98.2,25952.191
1747872000,98.19,101.08,96.92,98.16,28192.128
1747958400,98.23,100.13,93.5,93.99,32284.428
1748044800,94.05,98.37,93.96,95.63,16019.47
1748131200,95.86,96.5,92.2,94.99,14186.511
1748217600,94.95,108.44,93.68,104.76,49240.894
1748304000,104.77,115.26,103,111.58,89773.484
1748390400,111.61,120,111.2,117.31,78389.655
1748476800,117.32,119.19,112,113.76,33381.091
1748563200,113.73,114.99,104.93,105.68,43400.937
1748649600,105.78,112.39,103.13,107.9,36014.131
1748736000,107.86,110.9,105.43,106.56,26187.296
1748822400,106.63,109,103.21,107.85,23109.827
1748908800,107.88,116.6,107.65,116.51,32415.929
1748995200,116.46,119.34,113.66,116.49,32618.444
1749081600,116.62,119.96,110.52,111.12,37456.676
1749168000,111.11,115.1,108.54,114.11,18528.907
1749254400,114.14,117.69,114.09,115.4,13810.339
1749340800,115.42,119.72,113.56,119.6,24883.8
1749427200,119.58,124.89,116.63,122.73,34048.591
1749513600,122.82,124.98,121.17,122.53,21492.414
1749600000,122.61,125.47,113.37,114.87,39506.01
1749686400,114.84,118.75,112.35,112.94,29189.711
1749772800,112.92,113,101.89,106.88,38920.797
1749859200,106.92,108.25,101.69,104.71,12486.129
1749945600,104.68,107.94,104.04,106.89,10782.589
1750032000,106.89,112,105.13,105.54,15833.247
1750118400,105.52,105.68,98.27,100.81,28776.453
1750204800,100.82,103.38,97.75,101.23,16202.173
1750291200,101.21,101.75,97.33,98.95,12045.729
1750377600,99.05,101.6,95.9,96.38,18500.799
1750464000,96.39,97.17,89.46,91.07,19266.275
1750550400,91.14,94.61,85.62,90.34,36696.216
1750636800,90.22,100.56,87.45,98.27,29176.956
1750723200,98.28,102.24,97.43,99.68,18449.2
1750809600,99.68,101.09,97.18,97.74,11842.403
1750896000,97.74,101.27,96.31,97.4,14703.508
1750982400,97.45,103.02,96.81,102.92,13203.696
1751068800,102.88,111.06,102.66,110.09,16492.527
1751155200,110.08,110.97,108.04,110.21,6626.678
1751241600,110.26,110.72,106.1,107.44,12622.271
1751328000,107.44,107.9,102.66,103.73,7649.57
1751414400,103.77,110.49,102.57,109.23,14643.924
1751500800,109.25,110.5,105.88,108.92,10710.622
1751587200,109.02,109.68,104.86,106.53,8017.751
1751673600,106.47,109,106.13,107.09,6082.195
1751760000,107.1,110.48,105.96,108.14,10706.404
1751846400,108.18,110.08,105.65,106.73,9554.025
1751932800,106.73,110.5,104.71,108.72,12791.418
1752019200,108.75,110.61,106,110.22,11454.996
1752105600,110.24,114.3,106,114.13,20456.754
1752192000,114.12,117.37,110.67,111.9,31391.523
1752278400,112.05,117.44,110.48,111.75,14394.082
1752364800,111.85,116.84,110.62,115.29,14768.636
1752451200,115.42,121.2,111,111.62,33457.619
1752537600,111.68,116.09,107.81,114.17,20410.252
1752624000,114.18,116.61,112.23,114.7,18033.271
1752710400,114.66,116.73,110.89,113.69,27772.584
1752796800,113.59,119.99,111.67,112.41,33885.207
1752883200,112.59,114.22,108.99,113.32,26088.097
1752969600,113.35,119.36,112.49,117.66,14864.786
1753056000,117.6,127.94,115.85,125.9,43929.855
1753142400,125.9,135.46,125.14,135.01,47585.91
1753228800,135.07,135.84,117,121.31,31499.991
1753315200,121.31,123.2,114.47,119.67,15986.504
1753401600,119.55,123.38,116.24,120.87,14410.05
1753488000,120.88,123.81,120.08,122.16,8991.009
1753574400,122.24,132,122.03,131.59,15127.599
1753660800,131.61,133.44,120.79,121.82,27093.743
1753747200,121.86,125.77,118.86,120.3,10354.845
1753833600,120.47,121.22,115.03,119.88,11422.036
1753920000,119.8,123.42,115.01,115.47,16516.956
1754006400,115.66,116.52,108.67,110.32,17503.077
1754092800,110.35,111.77,105.79,106.65,11094.905
1754179200,106.55,111.64,105.48,110.65,9358.509
1754265600,110.75,113.15,109.35,112.51,12503.275
1754352000,112.47,112.59,105.17,107.5,10997.513
1754438400,107.45,109.89,105.86,108.97,7495.96
1754524800,108.99,115,107.74,114.31,14442.819
1754611200,114.37,116.22,111.45,114.73,13621.362
1754697600,114.76,117.21,113.54,114.82,6806.606
1754784000,114.81,117.15,111.48,114.11,7287.269
1754870400,114.11,116.15,109.34,110.06,8436.368
1754956800,110.02,116.9,109.4,114.45,11224.728
1755043200,114.42,118.14,113.9,115.26,9941.722
1755129600,115.35,116.72,107.85,110.3,22353.259
1755216000,110.31,112.9,107.02,109.1,12211.175
1755302400,109.16,111.04,107.65,108.9,11046.545
