ts,open,high,low,close,volume
1707955200,4.93,5.786,4.855,5.322,556373.85
1708041600,5.322,5.687,5.196,5.3,414754.78
1708128000,5.313,5.65,4.9,5.631,116288.17
1708214400,5.64,5.8,5.333,5.8,180604.41
1708300800,5.8,6.55,5.655,6.437,389492.77
1708387200,6.442,6.525,5.843,6.483,266314.47
1708473600,6.467,7.2,5.898,6.888,412266.73
1708560000,6.944,7.825,6.736,7.396,441134.01
1708646400,7.349,8.099,7.071,7.35,415713.75
1708732800,7.35,7.594,6.5,7.162,322404
1708819200,7.168,7.707,7.125,7.213,202092.26
1708905600,7.213,7.707,7.036,7.66,291625.49
1708992000,7.641,7.663,7.051,7.184,239432.34
1709078400,7.203,8.084,7.052,8.06,360108.25
1709164800,8.059,8.292,7.213,7.55,280912.01
1709251200,7.485,8.244,7.42,8.023,291234.94
1709337600,8.098,8.098,7.51,7.738,236334.95
1709424000,7.738,8.065,7.38,7.606,142598.79
1709510400,7.608,7.762,7.095,7.41,212622.9
1709596800,7.413,7.45,6.143,6.971,374313.25
1709683200,6.971,9.66,6.573,9.198,615959.4
1709769600,9.252,10.559,9.163,10.057,400124.09
1709856000,10.028,10.699,9.365,10.34,398972.65
1709942400,10.222,12.752,10.135,12.43,586859.33
1710028800,12.43,12.594,11.179,11.45,325945.74
1710115200,11.563,12.678,10.854,11.564,372125.19
1710201600,11.635,12.105,10.589,11.553,314862.06
1710288000,11.528,11.832,10.881,11.419,249677.97
1710374400,11.421,11.895,10.5,11.701,263695.32
1710460800,11.686,12.07,10.019,11.119,325076.05
1710547200,11.106,11.627,9.985,10.31,286997.87
1710633600,10.338,13.649,10.192,13.214,467098.87
1710720000,13.214,13.398,11.246,11.77,451904.59
1710806400,11.773,11.804,10.261,10.698,448167.93
1710892800,10.648,12.291,10.344,11.647,316801.51
1710979200,11.531,11.746,10.376,10.524,311918.3
1711065600,10.522,11.154,10.1,10.503,191318.11
1711152000,10.459,11.192,10.186,10.659,228142.57
1711238400,10.651,11.061,10.304,10.762,136323.18
1711324800,10.758,11.372,10.25,11.022,226007.7
1711411200,11.022,11.696,10.501,10.967,223687.31
1711497600,10.95,11.7,10.432,10.985,400283.92
1711584000,11.122,11.505,10.718,11.147,163825.1
1711670400,11.085,11.192,10.5,10.81,183549.22
1711756800,10.785,11.086,10.144,10.544,182943.35
1711843200,10.444,10.688,10.154,10.394,128390.84
1711929600,10.369,10.52,9.539,9.956,205870.82
1712016000,9.965,10.091,8.936,9.302,231016.22
1712102400,9.307,9.815,9,9.16,180370.01
1712188800,9.121,9.959,9.11,9.495,158226.83
1712275200,9.492,9.636,8.7,9.108,138309.18
1712361600,9.074,9.626,9.001,9.457,78120.83
1712448000,9.504,9.831,9.388,9.606,105610.01
1712534400,9.572,10.16,9.301,10.033,113385.64
1712620800,10.03,10.127,9.107,9.508,115688.16
1712707200,9.344,9.422,8.7,9.113,139785.74
1712793600,9.125,9.268,8.701,8.845,118874.91
1712880000,8.899,9.073,6.619,8.21,375658.53
1712966400,8.206,8.264,6.5,7.551,401336.11
1713052800,7.539,9.151,7.02,8.638,247877.62
1713139200,8.668,9.327,7.865,8.205,182608.89
1713225600,8.132,8.362,7.505,8.109,159477.21
1713312000,8.096,8.252,7.265,7.543,149525.73
1713398400,7.619,7.993,7.351,7.839,144163.03
1713484800,7.868,8.25,7.15,7.87,183504.07
1713571200,7.901,8.907,7.762,8.907,118287.09
1713657600,8.85,9.032,8.549,8.668,72221.38
1713744000,8.781,9.404,8.637,9.182,95842.92
1713830400,9.201,9.374,8.813,8.82,62362.34
1713916800,8.856,9.154,8.161,8.22,119481.29
1714003200,8.283,8.64,8.015,8.425,68867.62
1714089600,8.458,8.458,7.853,7.918,66769.65
1714176000,7.909,8.093,7.51,7.974,118810.23
1714262400,7.98,8.287,7.68,7.856,82279.37
1714348800,7.799,7.89,7.5,7.659,68999.3
1714435200,7.66,7.801,6.85,7.181,194965.14
1714521600,7.157,7.697,6.764,7.519,130868.23
1714608000,7.569,7.729,7.085,7.631,87729.46
1714694400,7.653,8.113,7.396,7.98,87384.75
1714780800,7.974,8.752,7.882,8.476,170641.42
1714867200,8.521,9.633,8.104,9.41,207724.29
1714953600,9.41,9.816,9.144,9.563,133797.47
1715040000,9.617,10.459,9.464,9.894,260341.56
1715126400,9.912,10.224,9.069,9.55,199723.13
1715212800,9.581,10.95,9.449,10.628,254559.5
1715299200,10.625,11.66,10.19,10.688,198805.59
1715385600,10.679,10.823,9.986,10.47,83772.75
1715472000,10.5,10.88,10.29,10.354,80677.07
1715558400,10.403,10.95,9.503,10.744,114039.66
1715644800,10.731,10.84,9.6,9.678,162763.84
1715731200,9.682,10.881,9.59,10.617,131575.21
1715817600,10.64,10.825,9.84,10.052,212961.86
1715904000,10.021,10.272,9.895,10.116,146485.91
1715990400,10.143,10.224,9.85,10.095,126851.58
1716076800,10.142,10.458,9.92,9.941,61084.99
1716163200,9.936,10.966,9.703,10.934,131458.87
