ts,open,high,low,close,volume
1708016400,4.93,5.25,4.861,5.001,144486.28
1708020000,4.99,5.786,4.871,4.915,194791.44
1708023600,4.919,5.004,4.871,4.892,41958.07
1708027200,4.892,4.953,4.855,4.855,11258.88
1708030800,4.86,5.063,4.86,4.945,19493.7
1708034400,4.968,5.342,4.966,5.266,67253.27
1708038000,5.292,5.44,5.2,5.322,77132.21
1708041600,5.322,5.396,5.2,5.271,20104.25
1708045200,5.263,5.265,5.203,5.233,7329.51
1708048800,5.217,5.403,5.209,5.395,15663.03
1708052400,5.38,5.44,5.373,5.437,12580.87
1708056000,5.44,5.568,5.39,5.53,36029.8
1708059600,5.54,5.573,5.441,5.526,36607.41
1708063200,5.537,5.564,5.402,5.432,20771.9
1708066800,5.43,5.465,5.313,5.313,5643.45
1708070400,5.354,5.505,5.353,5.505,21521.98
1708074000,5.496,5.548,5.4,5.519,19967.33
1708077600,5.523,5.679,5.505,5.678,20895.16
1708081200,5.678,5.678,5.451,5.59,11710.84
1708084800,5.588,5.687,5.583,5.655,7793.95
1708088400,5.631,5.687,5.54,5.61,17842.44
1708092000,5.61,5.61,5.5,5.501,37366.53
1708095600,5.501,5.501,5.3,5.3,31046.4
1708099200,5.3,5.501,5.3,5.501,24292.39
1708102800,5.446,5.496,5.315,5.315,8879.2
1708106400,5.345,5.351,5.259,5.332,12796.19
1708110000,5.332,5.332,5.197,5.198,32357.62
1708113600,5.218,5.338,5.196,5.308,1993.94
1708117200,5.309,5.309,5.235,5.294,2796.89
1708120800,5.3,5.329,5.278,5.288,4876.39
1708124400,5.287,5.33,5.258,5.3,3887.31
1708128000,5.313,5.359,5.239,5.284,1639.49
1708131600,5.255,5.311,5.2,5.244,7534.78
1708135200,5.252,5.345,5.2,5.234,5842.51
1708138800,5.271,5.303,5.185,5.258,2566.58
1708142400,5.216,5.272,5.213,5.246,10619.27
1708146000,5.226,5.254,5.151,5.209,5586.09
1708149600,5.209,5.229,5.169,5.219,2043.46
1708153200,5.214,5.229,5.161,5.213,1143.34
1708156800,5.2,5.2,5.118,5.141,125.81
1708160400,5.143,5.149,5.073,5.082,1033.24
1708164000,5.109,5.183,4.9,5.116,12196.15
1708167600,5.157,5.212,5.098,5.143,2786.52
1708171200,5.177,5.21,5.131,5.15,3587.63
1708174800,5.183,5.183,5.051,5.089,890.87
1708178400,5.101,5.107,4.95,5.093,5350.53
1708182000,5.03,5.254,5.029,5.254,4962.01
1708185600,5.195,5.255,5.134,5.213,5019.1
1708189200,5.255,5.521,5.255,5.429,14148.23
1708192800,5.475,5.499,5.378,5.449,1603.38
1708196400,5.449,5.546,5.447,5.531,2078.67
1708200000,5.524,5.566,5.462,5.551,3202.07
1708203600,5.551,5.62,5.516,5.606,2607.1
1708207200,5.599,5.611,5.496,5.548,6015.18
1708210800,5.595,5.65,5.524,5.631,13706.16
1708214400,5.64,5.65,5.541,5.593,4395.37
1708218000,5.585,5.599,5.435,5.53,10399.42
1708221600,5.535,5.572,5.47,5.536,2331.59
1708225200,5.518,5.738,5.502,5.636,7222.19
1708228800,5.636,5.697,5.583,5.675,3453.11
