ts,open,high,low,close,volume
1746576000,0.01156,0.01189,0.01129,0.01166,13182197
1746662400,0.01168,0.01378,0.01166,0.01374,44467813
1746748800,0.01375,0.01471,0.01368,0.01471,18269119
1746835200,0.01467,0.01864,0.01434,0.01696,54049961
1746921600,0.01695,0.01947,0.01629,0.01687,117028701
1747008000,0.01688,0.01778,0.01487,0.01594,28097574
1747094400,0.01592,0.01901,0.01457,0.01811,43641156
1747180800,0.01809,0.01834,0.01619,0.01642,23226547
1747267200,0.01641,0.01713,0.01472,0.01536,21495722
1747353600,0.01534,0.01709,0.015,0.01527,22616920
1747440000,0.0153,0.01565,0.014,0.01449,11313310
1747526400,0.01449,0.01603,0.01428,0.01548,15248328
1747612800,0.01545,0.01547,0.01365,0.0144,7731431
1747699200,0.01439,0.01542,0.01423,0.01491,14804117
1747785600,0.01491,0.01548,0.0144,0.01495,4914450
1747872000,0.01497,0.01661,0.01495,0.0165,6885978
1747958400,0.01649,0.01696,0.01417,0.01425,10692670
1748044800,0.01425,0.01479,0.01416,0.01439,4523627
1748131200,0.01439,0.01445,0.01297,0.01396,12353616
1748217600,0.01396,0.01428,0.01314,0.01338,9124041
1748304000,0.01339,0.01453,0.01282,0.01385,7626474
1748390400,0.01384,0.01442,0.01313,0.01371,3343372
1748476800,0.01372,0.01463,0.01313,0.0132,22276324
1748563200,0.01325,0.0133,0.01058,0.01072,18862492
1748649600,0.01072,0.01137,0.0101,0.01124,15219924
1748736000,0.01122,0.01171,0.011,0.01139,14487378
1748822400,0.01138,0.01152,0.01083,0.01149,11799675
1748908800,0.01149,0.0119,0.01122,0.01134,19834072
1748995200,0.01139,0.01174,0.0106,0.01078,9066191
1749081600,0.01081,0.01106,0.00969,0.01004,17702458
1749168000,0.00999,0.0106,0.00992,0.01017,6449548
1749254400,0.01024,0.0108,0.01024,0.01051,16636510
1749340800,0.01047,0.01075,0.01024,0.01048,2543644
1749427200,0.01053,0.01154,0.01023,0.01141,3114262
1749513600,0.01139,0.01194,0.01106,0.01182,6217182
1749600000,0.01186,0.01191,0.01095,0.01105,5798142
1749686400,0.01105,0.01106,0.00978,0.0099,6844096
1749772800,0.00986,0.00986,0.00876,0.00958,17069703
1749859200,0.00956,0.00968,0.00915,0.0094,5959101
1749945600,0.00944,0.00953,0.00924,0.00948,3072892
1750032000,0.00944,0.0102,0.00938,0.0096,8187326
1750118400,0.00957,0.00977,0.00875,0.00894,6600092
1750204800,0.00897,0.00915,0.00844,0.00909,5964006
1750291200,0.00912,0.00923,0.0087,0.00894,5470004
1750377600,0.00896,0.00905,0.00816,0.00832,11369263
1750464000,0.0083,0.00852,0.00757,0.00782,12708645
1750550400,0.00783,0.00796,0.00697,0.0074,12473382
1750636800,0.00745,0.00842,0.0074,0.00841,10535021
1750723200,0.00843,0.00869,0.00836,0.00851,7751478
1750809600,0.00851,0.00856,0.00802,0.00804,9961741
1750896000,0.00806,0.00842,0.00764,0.00802,12562421
1750982400,0.00804,0.00843,0.00789,0.00815,16534748
1751068800,0.00814,0.00861,0.00805,0.00846,6985786
1751155200,0.00843,0.00917,0.00818,0.00902,14226489
1751241600,0.00903,0.00907,0.00836,0.00846,33544655
1751328000,0.00849,0.0085,0.00809,0.00822,17669740
1751414400,0.0082,0.009,0.00806,0.00885,4647540
1751500800,0.00892,0.00911,0.00853,0.00873,3222673
1751587200,0.00875,0.00877,0.00796,0.0082,10398394
1751673600,0.00821,0.00833,0.00807,0.0082,5381290
1751760000,0.00815,0.00846,0.00807,0.0083,1414920
1751846400,0.00829,0.0084,0.00802,0.00814,6165701
1751932800,0.00814,0.00848,0.008,0.00842,10472698
1752019200,0.00844,0.00961,0.00834,0.00934,16425353
1752105600,0.00931,0.01362,0.00928,0.01184,70183456
1752192000,0.01184,0.01924,0.0115,0.01226,538444000
1752278400,0.01226,0.0125,0.01092,0.01115,94831898
1752364800,0.01114,0.01186,0.01097,0.01127,47383484
1752451200,0.01128,0.01197,0.01055,0.01088,33445641
1752537600,0.01087,0.01488,0.0104,0.01407,206720454
1752624000,0.01406,0.01748,0.01345,0.01429,508901851
1752710400,0.01428,0.01467,0.01311,0.01346,95315734
1752796800,0.01348,0.01465,0.01255,0.01295,50127828
1752883200,0.01296,0.01365,0.01253,0.01352,15331277
1752969600,0.01347,0.01524,0.01324,0.01365,83631520
1753056000,0.01366,0.01443,0.01326,0.01363,30933808
1753142400,0.01364,0.01409,0.01279,0.014,39002472
1753228800,0.014,0.01433,0.01221,0.01277,52923627
1753315200,0.01276,0.01334,0.01173,0.0124,30653447
1753401600,0.01238,0.01301,0.01186,0.0128,21988917
1753488000,0.01281,0.01328,0.01265,0.01297,24799452
1753574400,0.01296,0.0155,0.01294,0.01537,131935130
1753660800,0.01534,0.01568,0.01306,0.01314,89787834
1753747200,0.01313,0.01515,0.01275,0.01408,78494870
1753833600,0.01408,0.015,0.01322,0.0143,73022957
1753920000,0.01431,0.01505,0.01279,0.01286,52695129
1754006400,0.01286,0.01334,0.01201,0.01245,49687907
1754092800,0.01244,0.01271,0.01139,0.0118,40389268
1754179200,0.01182,0.01239,0.01163,0.01213,13999645
1754265600,0.01214,0.01331,0.01208,0.01315,19183133
1754352000,0.01317,0.01317,0.01184,0.01223,33276088
1754438400,0.01223,0.01332,0.01175,0.01293,63335375
1754524800,0.01292,0.01463,0.01288,0.01394,59402443
1754611200,0.01396,0.01431,0.01342,0.01399,24007458
1754697600,0.01399,0.01529,0.01399,0.01491,43763126
1754784000,0.01492,0.01668,0.01432,0.01505,75673941
1754870400,0.01503,0.01559,0.01362,0.01381,40099379
1754956800,0.01381,0.01538,0.01366,0.01505,39214869
1755043200,0.01506,0.01749,0.01503,0.01653,68353047
1755129600,0.01655,0.01655,0.01339,0.0138,64014445
1755216000,0.01378,0.01413,0.01297,0.01356,13386865
1755302400,0.01358,0.01379,0.01316,0.0136,4006758
1755388800,0.01361,0.01432,0.01351,0.0136,13881576
1755475200,0.01361,0.01364,0.01282,0.01303,15537044
1755561600,0.01305,0.01375,0.01239,0.01256,34194851
1755648000,0.01256,0.01367,0.01243,0.01338,22109200
1755734400,0.01339,0.01355,0.01257,0.01273,7736323
1755820800,0.01274,0.01449,0.01204,0.01443,23573851
1755907200,0.01443,0.01475,0.01389,0.01435,9187126
1755993600,0.01436,0.01455,0.01353,0.01378,14804997
1756080000,0.01377,0.0139,0.01181,0.01196,25375939
1756166400,0.01195,0.01271,0.01184,0.01253,10744250
1756252800,0.01252,0.01275,0.01208,0.01217,6628390
1756339200,0.01219,0.01285,0.01205,0.0128,17475839
1756425600,0.0128,0.01283,0.01177,0.01221,25389487
1756512000,0.0122,0.01304,0.01194,0.01249,8405646
1756598400,0.0125,0.01281,0.01207,0.01207,21641404
1756684800,0.01207,0.01233,0.01115,0.01147,21862349
1756771200,0.01146,0.01194,0.0114,0.01174,11470136
1756857600,0.01175,0.0119,0.0115,0.01174,7246331
1756944000,0.01174,0.01176,0.01075,0.01094,15584057
1757030400,0.01095,0.01153,0.01095,0.01124,6752643
1757116800,0.01124,0.01135,0.01091,0.01112,3331110
1757203200,0.01112,0.01147,0.01112,0.01135,10785831
1757289600,0.01135,0.01191,0.0113,0.01174,8387949
1757376000,0.01176,0.01214,0.01124,0.01133,12738761
1757462400,0.01134,0.01173,0.01121,0.01155,6622813
1757548800,0.01155,0.01245,0.01144,0.01198,37228416
1757635200,0.01197,0.01238,0.01165,0.01224,10826151
1757721600,0.01224,0.01271,0.01216,0.0126,15143903
1757808000,0.01255,0.01255,0.01165,0.01197,10554234
1757894400,0.01197,0.01229,0.01104,0.01138,12454431
1757980800,0.01136,0.01184,0.01113,0.01173,10616335
1758067200,0.01173,0.01254,0.01141,0.01232,43795480
1758153600,0.01233,0.01414,0.01206,0.01306,100716148
1758240000,0.01307,0.01313,0.01196,0.01208,27665764
1758326400,0.01209,0.01256,0.01187,0.01237,8342259
1758412800,0.01237,0.01406,0.01225,0.01332,86935234
1758499200,0.01332,0.01332,0.01098,0.0116,41620055
1758585600,0.01162,0.01166,0.01096,0.01125,39102308
1758672000,0.01127,0.01285,0.01083,0.012,50671744
1758758400,0.01199,0.012,0.01067,0.01077,22087070
1758844800,0.01078,0.01146,0.01075,0.01141,8221999
1758931200,0.01144,0.01157,0.01112,0.01135,4285717
1759017600,0.01134,0.01236,0.01097,0.01204,26811176
1759104000,0.01204,0.01316,0.01158,0.01175,59085294
