ts,open,high,low,close,volume
1750723200,0.34337,0.35209,0.33272,0.35171,3943498.3
1750809600,0.35153,0.39,0.30926,0.31203,4420270.6
1750896000,0.31206,0.32352,0.29864,0.30238,2775371.1
1750982400,0.30234,0.31535,0.29393,0.30622,4206467.6
1751068800,0.30647,0.31454,0.30148,0.31149,1592149.9
1751155200,0.31165,0.33621,0.30856,0.32732,2410580.9
1751241600,0.32753,0.32802,0.30954,0.31481,1621677.3
1751328000,0.31482,0.31637,0.29667,0.29953,1257533.9
1751414400,0.29956,0.33201,0.29304,0.32401,2655122.6
1751500800,0.32438,0.34281,0.32179,0.33173,2237320.2
1751587200,0.33187,0.33317,0.30115,0.3109,1707884.8
1751673600,0.31095,0.31505,0.30232,0.30848,743083.3
1751760000,0.3083,0.31631,0.30372,0.31213,721171.8
1751846400,0.31227,0.31723,0.30455,0.30716,782527.7
1751932800,0.30709,0.30869,0.29568,0.30452,1138741.8
1752019200,0.3048,0.3253,0.29889,0.32221,1775503.1
1752105600,0.32228,0.35057,0.31249,0.34615,3526354.9
1752192000,0.34583,0.38557,0.33412,0.3594,7925262.7
1752278400,0.35923,0.36609,0.3375,0.34818,3896123.1
1752364800,0.34836,0.37211,0.34608,0.36144,5328184.9
1752451200,0.3612,0.37712,0.34122,0.34818,7776112.5
1752537600,0.34804,0.35817,0.33299,0.35776,5005883
1752624000,0.3577,0.39232,0.35147,0.37869,5347209.3
1752710400,0.37848,0.39487,0.36465,0.3796,4321181.6
1752796800,0.37968,0.41902,0.36936,0.37975,6244540.1
1752883200,0.37985,0.38655,0.36901,0.3837,2530265.5
1752969600,0.3834,0.41439,0.38133,0.39279,3649133.8
1753056000,0.3927,0.41127,0.38556,0.3951,6595736
1753142400,0.39531,0.40509,0.36342,0.38184,4848738.3
1753228800,0.38196,0.38439,0.33182,0.34377,3673217.8
1753315200,0.34377,0.35757,0.31617,0.32753,7569304.1
1753401600,0.32746,0.33606,0.31536,0.3345,2951254.8
1753488000,0.33426,0.34127,0.33162,0.33604,1443401.3
1753574400,0.33554,0.34195,0.32868,0.33775,1604974.5
1753660800,0.33768,0.34571,0.31339,0.31596,2344231.5
1753747200,0.31601,0.32231,0.29988,0.30894,1344716.8
1753833600,0.30852,0.31811,0.28894,0.31767,2153299.2
1753920000,0.31746,0.35594,0.30522,0.30775,5964431.9
1754006400,0.30762,0.32199,0.29428,0.30212,3422181.5
1754092800,0.30205,0.309,0.27958,0.29038,3986589.6
1754179200,0.29029,0.31073,0.28756,0.30128,4267053.3
1754265600,0.30135,0.30976,0.29295,0.30656,1612673.6
1754352000,0.30631,0.30631,0.27607,0.27912,3449917.7
1754438400,0.27906,0.28542,0.2713,0.27907,2387440.8
1754524800,0.27899,0.30501,0.27648,0.3046,2295073
1754611200,0.30482,0.3192,0.29529,0.3088,2914482.9
1754697600,0.30885,0.32363,0.30306,0.31731,1671158.7
1754784000,0.31738,0.32539,0.3031,0.31129,1471261.5
1754870400,0.31122,0.32284,0.29697,0.30016,3062046.1
1754956800,0.30018,0.3186,0.29225,0.31563,2364130.8
1755043200,0.3157,0.33314,0.31151,0.32852,3428468.2
1755129600,0.32851,0.33969,0.29708,0.30324,5957553.5
1755216000,0.30282,0.31324,0.29176,0.29862,2093121.1
1755302400,0.29856,0.3108,0.29784,0.31026,854921
1755388800,0.3099,0.33893,0.3079,0.32991,4357109.9
1755475200,0.33005,0.33504,0.30883,0.32588,6317611.1
1755561600,0.32574,0.33769,0.3003,0.30255,4625724.1
1755648000,0.3026,0.33397,0.30094,0.33095,3673434.3
1755734400,0.33096,0.33295,0.31199,0.32207,2664926.2
1755820800,0.32207,0.3519,0.31297,0.34902,4862227.4
1755907200,0.34916,0.35109,0.33911,0.34181,2776595.1
1755993600,0.34201,0.35853,0.33082,0.33831,2951970.9
1756080000,0.33838,0.34178,0.3009,0.30555,2704066.2
1756166400,0.30541,0.32541,0.30206,0.32025,1790032.2
1756252800,0.32011,0.32376,0.31261,0.31303,1090442.3
1756339200,0.31284,0.33347,0.3103,0.32862,3385647.7
1756425600,0.3286,0.33311,0.308,0.31388,1426895.3
1756512000,0.31381,0.31992,0.3079,0.31656,537437
1756598400,0.31633,0.32095,0.30989,0.30989,508705.6
1756684800,0.30982,0.31769,0.2926,0.29904,919027.1
1756771200,0.29898,0.31003,0.29823,0.30954,421908.8
1756857600,0.30961,0.31318,0.30216,0.30898,448984.6
1756944000,0.30898,0.31017,0.29774,0.3015,538861
1757030400,0.30149,0.31292,0.30121,0.30354,1427316.7
1757116800,0.30348,0.30414,0.29814,0.29909,435468.6
1757203200,0.2991,0.30644,0.29869,0.30517,2584118.3
1757289600,0.30518,0.31608,0.30283,0.31152,859326.1
1757376000,0.3116,0.31802,0.3024,0.30696,859328.6
1757462400,0.3073,0.30911,0.2944,0.29992,2093274.7
1757548800,0.29988,0.30615,0.2964,0.30481,1437337.1
1757635200,0.30491,0.3145,0.30469,0.31297,1341090.1
1757721600,0.31317,0.32523,0.3131,0.31926,1441238.8
1757808000,0.31927,0.32152,0.30339,0.30678,1165375.9
1757894400,0.30685,0.31026,0.29424,0.29904,1447409.3
1757980800,0.29898,0.30544,0.29766,0.30328,583566.6
1758067200,0.30311,0.31013,0.2962,0.3087,858830.6
1758153600,0.30877,0.3146,0.30406,0.31025,2359075.3
1758240000,0.31014,0.31488,0.295,0.29676,1289871.1
1758326400,0.29676,0.29761,0.28135,0.2892,1410399
1758412800,0.28912,0.29056,0.2829,0.28584,677705.7
1758499200,0.28572,0.28704,0.23544,0.25009,4283957.1
1758585600,0.24996,0.26381,0.24295,0.25538,1464515
1758672000,0.25543,0.25844,0.24708,0.25035,1704156.4
1758758400,0.2503,0.2507,0.22422,0.2298,3149587
1758844800,0.22985,0.2421,0.22985,0.23919,1198882.6
1758931200,0.2392,0.24022,0.23425,0.23677,552697.5
1759017600,0.2369,0.25302,0.2304,0.2462,7606868.8
1759104000,0.2461,0.25628,0.23705,0.24685,2068111.5
1759190400,0.2468,0.26402,0.24117,0.25287,7083242
1759276800,0.25289,0.28766,0.25043,0.2817,8820316.1
1759363200,0.28176,0.29217,0.27621,0.27884,5156811.4
1759449600,0.2784,0.2887,0.27356,0.28135,3337539.4
1759536000,0.28152,0.2865,0.27084,0.27832,2353133.5
1759622400,0.27829,0.29906,0.27315,0.2751,3777735
1759708800,0.27505,0.29073,0.27285,0.2814,2096862.7
1759795200,0.28162,0.31003,0.28056,0.29748,7925323.8
1759881600,0.29757,0.30741,0.2781,0.28464,5660518.4
1759968000,0.28458,0.28458,0.25724,0.27325,3886704
1760054400,0.27331,0.27525,0.07842,0.1768,16192693.6
1760140800,0.17963,0.19853,0.1575,0.17866,22075677.4
1760227200,0.17867,0.20524,0.17264,0.1965,8100107.8
1760313600,0.19633,0.21816,0.1908,0.21286,8972877.4
1760400000,0.2129,0.21385,0.18807,0.20075,6158497.3
1760486400,0.20075,0.20545,0.18655,0.18854,4121314
1760572800,0.18853,0.19223,0.17759,0.1808,4405775.9
1760659200,0.18081,0.18359,0.16144,0.17152,4992948.3
1760745600,0.17168,0.17455,0.16741,0.17281,1931884
1760832000,0.17283,0.18128,0.17016,0.17628,1649867.5
1760918400,0.17624,0.18245,0.17195,0.17404,1120482.2
1761004800,0.1739,0.18259,0.16441,0.16505,2549481.2
1761091200,0.1653,0.16975,0.15502,0.16071,2829005.9
1761177600,0.16065,0.1673,0.16053,0.16384,1899654.1
1761264000,0.16368,0.16956,0.16236,0.16587,1862959.9
1761350400,0.16585,0.16737,0.16341,0.16699,609680.4
1761436800,0.16688,0.17765,0.16409,0.1749,1940139.5
1761523200,0.17475,0.18049,0.16577,0.16734,2461471.6
1761609600,0.16722,0.17187,0.15873,0.1613,2200166.4
1761696000,0.16157,0.16439,0.15336,0.15954,3291498.6
1761782400,0.15958,0.16114,0.13909,0.1439,5474532
1761868800,0.14389,0.14624,0.13585,0.13762,5892470.3
1761955200,0.13772,0.14396,0.1345,0.14257,5265225.5
1762041600,0.14244,0.14371,0.13375,0.14071,5168029.5
1762128000,0.14067,0.1412,0.11473,0.12195,10622829.2
1762214400,0.12196,0.12629,0.11009,0.12514,12946917
1762300800,0.12508,0.12853,0.11909,0.12541,7292563.3
1762387200,0.12541,0.12863,0.11811,0.12421,8280127.8
1762473600,0.12419,0.16749,0.12296,0.16704,14805623.1
1762560000,0.16721,0.19557,0.15812,0.16684,47889041.2
1762646400,0.1668,0.16685,0.1518,0.154,10665672.9
1762732800,0.15396,0.16163,0.14833,0.15163,14556313.8
1762819200,0.15163,0.1533,0.1395,0.14022,4213083.7
1762905600,0.14021,0.15931,0.13961,0.14168,11255773
1762992000,0.14164,0.14827,0.13123,0.13693,4002508.9
1763078400,0.13692,0.13776,0.12825,0.13104,6111453.4
1763164800,0.13099,0.136,0.13058,0.13229,2398669
1763251200,0.1323,0.13376,0.12235,0.12572,2007975.2
1763337600,0.12566,0.1288,0.11644,0.11984,4517008.2
1763424000,0.1198,0.12638,0.11792,0.12371,3612075.2
1763510400,0.12369,0.12418,0.11472,0.12081,6296368.2
1763596800,0.12072,0.12322,0.11215,0.11425,3567449.1
1763683200,0.11436,0.11708,0.10006,0.10555,7671980.2
1763769600,0.10555,0.10591,0.10169,0.10422,3344998.4
1763856000,0.1042,0.10832,0.10373,0.10396,2049202.9
1763942400,0.10386,0.11456,0.10264,0.11134,3713474.7
1764028800,0.11128,0.11402,0.10765,0.11292,4166777.9
1764115200,0.11295,0.11343,0.10737,0.1121,2342936.1
1764201600,0.11208,0.11431,0.11071,0.1116,1660476.2
1764288000,0.11157,0.11313,0.10818,0.11081,2942374.5
1764374400,0.1108,0.1115,0.10635,0.10764,2930228.8
1764460800,0.10771,0.10874,0.10461,0.10488,1042845.5
1764547200,0.10496,0.10511,0.09142,0.09531,5640535.5
1764633600,0.09541,0.10529,0.09283,0.10336,3444428.3
1764720000,0.10339,0.10617,0.10092,0.10536,3552176
1764806400,0.1054,0.10635,0.09956,0.10113,2363671.6
1764892800,0.10122,0.10199,0.09385,0.09568,3572714.1
1764979200,0.09566,0.09685,0.09472,0.09561,1625821.5
1765065600,0.09557,0.09635,0.09039,0.09198,1720003.1
1765152000,0.09196,0.09784,0.09128,0.0962,3512693.3
1765238400,0.09622,0.10199,0.09289,0.09869,2774584.4
1765324800,0.09878,0.10092,0.09477,0.0953,4629886.1
1765411200,0.09532,0.09665,0.0904,0.09442,3878682.9
1765497600,0.09444,0.09768,0.08713,0.09078,4873383
1765584000,0.0908,0.0921,0.09017,0.09168,1776234.5
1765670400,0.09166,0.09166,0.08636,0.08742,2688594.2
1765756800,0.08744,0.09065,0.08074,0.08286,4492412.7
1765843200,0.08296,0.08598,0.07975,0.08326,7960350.3
1765929600,0.08324,0.08443,0.07793,0.07862,7616150.2
1766016000,0.07867,0.08091,0.07351,0.07474,8575773.5
1766102400,0.0747,0.08059,0.07342,0.07936,9346812.2
1766188800,0.07931,0.0801,0.07811,0.07846,2458845.5
1766275200,0.07846,0.0786,0.07403,0.07555,3576846
1766361600,0.07562,0.07717,0.0726,0.07356,3693731.1
1766448000,0.07357,0.07421,0.06987,0.07131,3753101.9
1766534400,0.07129,0.07894,0.0671,0.07579,7122144.6
1766620800,0.0759,0.07922,0.07116,0.07125,6697016.6
1766707200,0.07128,0.07428,0.07088,0.0727,3644120.9
1766793600,0.07269,0.08097,0.0716,0.0772,7551210.8
1766880000,0.07738,0.08274,0.0769,0.07766,6925608.2
1766966400,0.07762,0.08058,0.07446,0.0747,4288176.5
1767052800,0.07454,0.07966,0.07383,0.07694,5670110.6
1767139200,0.07689,0.07764,0.07297,0.0739,4801543.7
1767225600,0.07389,0.08137,0.073,0.08045,5559940.6
1767312000,0.08053,0.08335,0.07919,0.08254,4960354.2
1767398400,0.08268,0.08441,0.07952,0.08277,2614983.4
1767484800,0.08302,0.09423,0.08302,0.09157,11339204.2
1767571200,0.09151,0.09784,0.08932,0.097,6518113.7
1767657600,0.09696,0.10152,0.09442,0.09755,6956071.7
1767744000,0.09754,0.09764,0.09106,0.09197,4098057
1767830400,0.09192,0.09199,0.08623,0.08959,5191556.4
1767916800,0.08959,0.0927,0.08771,0.08821,4421481.8
1768003200,0.08814,0.08862,0.08463,0.08497,3146081.3
1768089600,0.08476,0.08604,0.08209,0.08446,3079293.6
1768176000,0.08454,0.08655,0.08126,0.08174,4655583.7
1768262400,0.08186,0.09176,0.08143,0.08951,7278002.5
1768348800,0.09005,0.09289,0.08637,0.08679,4929606.6
1768435200,0.08674,0.08774,0.08024,0.08222,6149363.8
1768521600,0.08225,0.08273,0.0788,0.08218,3993742.9
1768608000,0.08214,0.08305,0.08067,0.08104,2914802.5
1768694400,0.08106,0.08544,0.07686,0.07686,5584248.5
1768780800,0.0766,0.07761,0.06885,0.07672,6664804.2
1768867200,0.0767,0.07698,0.07067,0.07088,5073687.7
1768953600,0.07108,0.07578,0.06952,0.07287,7534299.7
1769040000,0.07299,0.07492,0.07081,0.07233,3352238.8
1769126400,0.07224,0.07435,0.06995,0.07085,6786926.8
1769212800,0.07086,0.07179,0.06984,0.07024,1944603.8
1769299200,0.07024,0.07096,0.06516,0.06591,6897791.1
1769385600,0.06588,0.06888,0.06556,0.06746,4819715.2
1769472000,0.06744,0.06848,0.06578,0.06747,3978306.5
1769558400,0.06749,0.06978,0.06603,0.0686,4150346.5
1769644800,0.0686,0.0686,0.05997,0.06159,3112500.1
1769731200,0.06162,0.06218,0.05834,0.06136,3266819.6
1769817600,0.06139,0.06142,0.04679,0.05229,11616086.6
1769904000,0.05231,0.05307,0.04852,0.05002,2497311.8
1769990400,0.04967,0.05522,0.04829,0.05245,6266822.7
1770076800,0.05244,0.0533,0.0481,0.05052,4124587.5
1770163200,0.05034,0.05229,0.04718,0.04777,4663509.7
1770249600,0.04776,0.04994,0.04181,0.04218,9426981.2
1770336000,0.04217,0.04932,0.03777,0.04744,9331773.8
1770422400,0.0473,0.04761,0.04495,0.0456,3947551.8
1770508800,0.0456,0.04563,0.04134,0.04204,5461021.5
1770595200,0.04204,0.04327,0.04066,0.04114,2452864.4
1770681600,0.04122,0.04171,0.03947,0.04041,2492197
1770768000,0.04044,0.05024,0.03879,0.04549,11560901.7
1770854400,0.04554,0.0504,0.04305,0.04454,15810033.9
