ts,open,high,low,close,volume
1653523200,1.499,1.499,1.343,1.365,1307391.59
1653609600,1.364,1.416,1.259,1.305,3204276.54
1653696000,1.302,1.35,1.265,1.303,1286392.25
1653782400,1.301,1.316,1.255,1.311,626281.53
1653868800,1.31,1.469,1.296,1.44,1196473.85
1653955200,1.437,1.527,1.381,1.454,1562147.45
1654041600,1.451,1.46,1.286,1.326,761344.26
1654128000,1.323,1.375,1.297,1.367,444905.16
1654214400,1.369,1.373,1.267,1.296,443055.39
1654300800,1.296,1.31,1.252,1.297,272117.71
1654387200,1.298,1.311,1.27,1.298,240866.76
1654473600,1.3,1.395,1.288,1.351,921110.43
1654560000,1.351,1.351,1.258,1.311,1023850.85
1654646400,1.313,1.335,1.277,1.29,977221.45
1654732800,1.29,1.324,1.28,1.293,1862053.32
1654819200,1.292,1.306,1.188,1.197,1872979.09
1654905600,1.197,1.217,1.052,1.073,1416627.56
1654992000,1.077,1.083,0.941,0.945,1770140.3
1655078400,0.943,0.956,0.788,0.858,3585283.29
1655164800,0.849,0.955,0.777,0.883,1865654.96
1655251200,0.884,0.968,0.788,0.961,2017673.83
1655337600,0.961,0.979,0.817,0.833,1473098.29
1655424000,0.833,0.891,0.824,0.857,1111993.79
1655510400,0.858,0.869,0.732,0.798,1920499.08
1655596800,0.798,0.865,0.76,0.854,1294653.3
1655683200,0.853,0.889,0.806,0.869,1448607.33
1655769600,0.868,0.966,0.852,0.913,2158412.93
1655856000,0.913,1.016,0.864,0.936,1504891.03
1655942400,0.937,1.03,0.933,1.012,1800977.91
1656028800,1.012,1.126,1.011,1.098,1658025.01
1656115200,1.099,1.331,1.077,1.277,2911130.5
1656201600,1.278,1.35,1.168,1.177,2519807.98
1656288000,1.176,1.263,1.144,1.185,1534188.68
1656374400,1.186,1.231,1.071,1.081,1683446.15
1656460800,1.081,1.101,1.021,1.061,1191254.06
1656547200,1.058,1.137,0.954,1.123,1549202.38
1656633600,1.123,1.171,1.056,1.068,1714339.4
1656720000,1.067,1.078,1.002,1.042,853026.24
1656806400,1.04,1.054,1.006,1.042,581373.49
1656892800,1.042,1.221,1.034,1.202,1749863.3
1656979200,1.202,1.228,1.104,1.183,1149998.78
1657065600,1.183,1.282,1.151,1.261,1535384.38
1657152000,1.261,1.317,1.237,1.283,1770449.59
1657238400,1.285,1.32,1.201,1.22,1307634.82
1657324800,1.222,1.246,1.215,1.225,579157.46
1657411200,1.225,1.226,1.146,1.162,870104.03
1657497600,1.16,1.164,1.083,1.094,802039.07
1657584000,1.093,1.154,1.085,1.091,728041.17
1657670400,1.091,1.172,1.047,1.169,914832.96
1657756800,1.168,1.235,1.117,1.204,1000177.43
1657843200,1.211,1.231,1.169,1.206,636455.01
1657929600,1.207,1.272,1.196,1.252,779063.93
1658016000,1.253,1.266,1.174,1.182,996241.74
1658102400,1.18,1.398,1.177,1.389,2227904.74
1658188800,1.389,1.475,1.339,1.421,2179463.9
1658275200,1.422,1.496,1.304,1.326,1329885.01
1658361600,1.328,1.399,1.273,1.382,1121377.31
1658448000,1.382,1.436,1.319,1.326,757889.73
1658534400,1.328,1.378,1.293,1.346,759128.94
1658620800,1.346,1.382,1.323,1.339,688697.34
1658707200,1.339,1.345,1.2,1.201,1225531.28
1658793600,1.202,1.206,1.13,1.184,955046.49
1658880000,1.183,1.319,1.152,1.315,985500.11
1658966400,1.315,1.392,1.261,1.358,1066867.77
1659052800,1.358,1.409,1.293,1.328,976832.86
1659139200,1.33,1.434,1.309,1.337,1202032.63
1659225600,1.334,1.388,1.298,1.308,643045.4
1659312000,1.306,1.349,1.272,1.324,809042.34
1659398400,1.324,1.347,1.244,1.27,821326.47
1659484800,1.271,1.318,1.229,1.259,658743.5
1659571200,1.26,1.349,1.257,1.296,590802.43
1659657600,1.297,1.355,1.29,1.353,1083247
1659744000,1.351,1.374,1.312,1.319,484887.94
1659830400,1.319,1.345,1.289,1.318,551407.35
1659916800,1.319,1.391,1.314,1.35,713528.51
1660003200,1.35,1.384,1.259,1.294,787793.81
1660089600,1.292,1.35,1.258,1.348,884571.82
1660176000,1.348,1.37,1.313,1.324,727174.24
1660262400,1.325,1.335,1.29,1.334,646100.42
1660348800,1.334,1.389,1.319,1.327,1205389.78
1660435200,1.327,1.426,1.306,1.341,1727796.4
