ts,open,high,low,close,volume
1695092400,0.3021,0.3025,0.3012,0.3018,23812.27
1695096000,0.3022,0.3034,0.3019,0.3026,7740.14
1695099600,0.303,0.303,0.301,0.301,20147.87
1695103200,0.3007,0.3007,0.2994,0.3003,10526.27
1695106800,0.3004,0.3008,0.2998,0.3003,7457.93
1695110400,0.3004,0.3034,0.3,0.3034,9914.13
1695114000,0.3031,0.3056,0.3025,0.3044,38785.44
1695117600,0.3046,0.3047,0.3019,0.3034,10042.81
1695121200,0.3031,0.3038,0.3022,0.3038,48644.9
1695124800,0.304,0.3049,0.3019,0.303,11451.97
1695128400,0.3029,0.3044,0.301,0.3016,8825.69
1695132000,0.3013,0.3038,0.301,0.3031,24438.54
1695135600,0.3034,0.3058,0.3027,0.3055,35703.54
1695139200,0.3056,0.3065,0.3043,0.3049,33410.02
1695142800,0.3047,0.3052,0.3035,0.304,24746.42
1695146400,0.3039,0.3054,0.3037,0.3042,31448.98
1695150000,0.3039,0.3045,0.3031,0.3045,13385.92
1695153600,0.3043,0.3047,0.3034,0.3038,10714.85
1695157200,0.3037,0.3048,0.3025,0.3045,14860.57
1695160800,0.3045,0.3045,0.3034,0.304,209842.66
1695164400,0.3039,0.3043,0.3032,0.3034,169384.75
1695168000,0.3038,0.3046,0.3027,0.304,28180.32
1695171600,0.3043,0.3058,0.3037,0.3058,25687.97
1695175200,0.3059,0.3064,0.3031,0.3031,13820.44
1695178800,0.3034,0.3039,0.3007,0.301,39195.78
1695182400,0.3007,0.3019,0.3004,0.301,14876.11
1695186000,0.3007,0.3014,0.3,0.3007,13720.43
1695189600,0.3004,0.3013,0.2997,0.301,25425.33
1695193200,0.301,0.3019,0.3007,0.3014,3907.55
1695196800,0.3012,0.302,0.3007,0.302,3506.24
1695200400,0.3021,0.3023,0.2981,0.2996,22670.78
1695204000,0.2993,0.2993,0.2978,0.2987,11810.12
1695207600,0.2985,0.2985,0.2976,0.2977,9191.19
1695211200,0.2982,0.2982,0.2961,0.2972,21632.44
1695214800,0.297,0.2992,0.2967,0.299,36509.12
1695218400,0.2988,0.3002,0.2982,0.299,13913.71
1695222000,0.299,0.2995,0.2976,0.2977,23905.44
1695225600,0.2978,0.2983,0.296,0.2975,271401.35
1695229200,0.2973,0.2991,0.2971,0.2982,106157.74
1695232800,0.2983,0.3017,0.2973,0.2999,78858.4
1695236400,0.3,0.3004,0.2946,0.2979,79596.88
1695240000,0.2977,0.299,0.2976,0.299,31102.13
1695243600,0.2988,0.3029,0.2988,0.3013,30559.36
1695247200,0.3016,0.3018,0.2996,0.3006,31682.36
1695250800,0.3005,0.3008,0.299,0.3005,20651.7
1695254400,0.3005,0.3042,0.3001,0.3017,32224.32
1695258000,0.302,0.3023,0.3008,0.3021,12991.13
1695261600,0.3021,0.3035,0.3015,0.3023,62926.07
1695265200,0.3026,0.3032,0.3021,0.3032,12092.52
1695268800,0.303,0.3037,0.3021,0.3029,17892.13
1695272400,0.3026,0.3026,0.3002,0.3008,25951.51
1695276000,0.3005,0.3006,0.298,0.2999,26492.91
1695279600,0.2996,0.3007,0.2994,0.3004,41287.02
1695283200,0.3002,0.3008,0.2992,0.2992,9422.98
1695286800,0.299,0.2994,0.296,0.2966,16733.25
1695290400,0.2964,0.2967,0.2917,0.292,34188.98
1695294000,0.292,0.2941,0.2919,0.2938,11181.33
1695297600,0.2937,0.2944,0.2931,0.2943,17042.28
1695301200,0.2942,0.2944,0.2904,0.2922,30423.27
1695304800,0.2919,0.294,0.2918,0.2933,43396.74
1695308400,0.2933,0.2946,0.2925,0.2939,21993.61
1695312000,0.2937,0.2949,0.2931,0.2948,13583.52
1695315600,0.2947,0.2953,0.294,0.294,12979.5
1695319200,0.294,0.2948,0.2937,0.2947,20619.24
1695322800,0.2947,0.295,0.2939,0.2944,11807.98
1695326400,0.2941,0.2942,0.292,0.294,18371.14
1695330000,0.2937,0.2938,0.2923,0.2937,26251.68
1695333600,0.2937,0.2938,0.2928,0.2936,14972.25
1695337200,0.2939,0.2943,0.2929,0.2932,14585.72
1695340800,0.2932,0.2951,0.2903,0.2951,22880.33
1695344400,0.2948,0.2952,0.2935,0.2946,22535.43
1695348000,0.2948,0.2951,0.2934,0.2935,8018.79
1695351600,0.2935,0.2955,0.2933,0.2951,25560.34
1695355200,0.2953,0.2967,0.2951,0.2957,30286.9
1695358800,0.2955,0.296,0.2947,0.2959,10882.17
1695362400,0.2957,0.296,0.2946,0.2949,5665.93
1695366000,0.2947,0.2961,0.2936,0.296,13285.16
1695369600,0.2957,0.2969,0.2956,0.2969,12312.26
1695373200,0.2969,0.297,0.2957,0.2965,4875.13
1695376800,0.2966,0.2973,0.296,0.2964,37361.25
1695380400,0.2961,0.2988,0.2961,0.2988,33977.55
1695384000,0.2985,0.2985,0.2966,0.2968,24935.92
1695387600,0.297,0.2976,0.2965,0.2976,15833.51
1695391200,0.2975,0.3,0.297,0.2999,59683.28
1695394800,0.2999,0.3003,0.2985,0.2985,10561.19
1695398400,0.2983,0.2987,0.297,0.2973,28209
1695402000,0.2974,0.2982,0.2971,0.2982,24573.79
1695405600,0.2984,0.2998,0.2982,0.2995,27529.45
1695409200,0.2996,0.3001,0.298,0.2982,16765.74
1695412800,0.2983,0.2993,0.2979,0.2983,15869.97
1695416400,0.2987,0.2998,0.298,0.2998,8514.09
1695420000,0.2998,0.3004,0.2995,0.3002,15421.98
1695423600,0.2999,0.2999,0.2989,0.2996,277216.89
1695427200,0.3003,0.3029,0.3,0.302,26104.4
1695430800,0.3023,0.3023,0.3008,0.302,26478.37
1695434400,0.302,0.3022,0.2993,0.2996,73837.23
1695438000,0.2993,0.3001,0.2985,0.2995,13775.42
1695441600,0.2996,0.3014,0.2987,0.3008,24205.63
1695445200,0.3007,0.3017,0.3003,0.3006,29380.07
1695448800,0.3008,0.3012,0.3005,0.3008,9823.47
1695452400,0.3011,0.3015,0.3,0.3007,15802.93
1695456000,0.3007,0.3008,0.2999,0.3002,4343.23
1695459600,0.3003,0.301,0.3001,0.301,2605.2
1695463200,0.3008,0.3011,0.2996,0.2996,1389.96
1695466800,0.2998,0.3001,0.2993,0.3,2925.1
1695470400,0.3,0.3002,0.2992,0.2993,15014.62
1695474000,0.2995,0.2997,0.2988,0.2991,2953.35
1695477600,0.2991,0.3,0.2988,0.2995,19186.67
1695481200,0.2993,0.2996,0.2982,0.2987,15685.99
1695484800,0.2988,0.3003,0.2983,0.3003,17360.69
1695488400,0.3004,0.3006,0.2993,0.3003,7314.71
1695492000,0.3004,0.3014,0.2999,0.3011,10545.67
1695495600,0.3009,0.3019,0.3007,0.3014,15945.26
1695499200,0.3012,0.3023,0.301,0.3012,7562.03
1695502800,0.3012,0.3012,0.3005,0.3006,8426.36
1695506400,0.3006,0.3011,0.3,0.3,13756.96
1695510000,0.3001,0.3013,0.2999,0.3009,14575.36
1695513600,0.3017,0.3018,0.2996,0.3004,5567.87
1695517200,0.3008,0.3008,0.2996,0.3003,11166.44
1695520800,0.3006,0.3013,0.3005,0.301,16798.68
