ts,open,high,low,close,volume
1746576000,0.1976,0.2007,0.1946,0.1987,13519047.4
1746662400,0.1988,0.2344,0.1988,0.23,30477429
1746748800,0.23,0.248,0.2281,0.2444,33602195.1
1746835200,0.2442,0.2748,0.2421,0.2733,27282525.1
1746921600,0.2732,0.275,0.2531,0.2601,25830068
1747008000,0.2601,0.2743,0.2471,0.2607,28562006
1747094400,0.2608,0.2695,0.2478,0.2628,16878372
1747180800,0.2626,0.2643,0.2494,0.2512,12653396.3
1747267200,0.2512,0.2545,0.231,0.2382,19495462
1747353600,0.2382,0.2435,0.2284,0.2295,23670276.6
1747440000,0.2295,0.2303,0.2207,0.225,9601412.8
1747526400,0.2254,0.2395,0.2189,0.2322,25161307.3
1747612800,0.2323,0.2331,0.2129,0.2231,20419292.1
1747699200,0.2231,0.2285,0.2184,0.2245,11548670.4
1747785600,0.2247,0.2364,0.2209,0.2305,15388213.5
1747872000,0.2306,0.246,0.2305,0.244,18951575.3
1747958400,0.2441,0.2529,0.2256,0.2269,29911245.9
1748044800,0.2269,0.2319,0.2228,0.2238,7076848.1
1748131200,0.2239,0.2255,0.2121,0.2209,8154032.1
1748217600,0.221,0.2287,0.2182,0.2208,10041316.9
1748304000,0.2208,0.2303,0.2155,0.2262,8927645.6
1748390400,0.2262,0.2294,0.2158,0.2238,11441272.3
1748476800,0.2235,0.2337,0.2116,0.2134,18501395.5
1748563200,0.2134,0.2152,0.1915,0.193,20214304.6
1748649600,0.1928,0.196,0.1865,0.1942,11420456.3
1748736000,0.1943,0.1971,0.1886,0.1955,6387888.5
1748822400,0.1956,0.2005,0.1889,0.199,6794562
1748908800,0.199,0.2046,0.1973,0.1985,7961728.6
1748995200,0.1985,0.2017,0.1924,0.1934,6514742.9
1749081600,0.1933,0.1956,0.1769,0.1797,11990752.4
1749168000,0.1796,0.1902,0.1777,0.1844,6553196
1749254400,0.1845,0.1926,0.1839,0.1906,5313689.2
1749340800,0.1904,0.192,0.1863,0.1891,5040613.1
1749427200,0.1891,0.1978,0.1867,0.1976,6403293.9
1749513600,0.1978,0.2096,0.1934,0.2086,14692253.4
1749600000,0.2087,0.2102,0.1964,0.1988,12413175.6
1749686400,0.1987,0.1992,0.184,0.1845,8695487.4
1749772800,0.1845,0.1845,0.1712,0.1802,15793365.4
1749859200,0.1802,0.1808,0.1721,0.176,5700812.3
1749945600,0.1761,0.1784,0.1734,0.1767,3754874.2
1750032000,0.1766,0.1854,0.1744,0.1759,10029196.4
1750118400,0.1759,0.2165,0.1582,0.1664,92159458.5
1750204800,0.1666,0.1848,0.1637,0.181,63162521.7
1750291200,0.181,0.1962,0.1791,0.1937,86133915.8
1750377600,0.1937,0.2377,0.1909,0.2066,120856626.1
1750464000,0.2068,0.27,0.2037,0.213,157290795.8
1750550400,0.213,0.2179,0.1913,0.1997,70513713.8
1750636800,0.1996,0.2471,0.1936,0.2439,86183625.1
1750723200,0.244,0.31,0.2428,0.307,205579431
1750809600,0.3068,0.3364,0.2736,0.2799,198749581.4
1750896000,0.28,0.2847,0.2457,0.2564,104981197.5
1750982400,0.2563,0.2989,0.2492,0.2896,150391765.3
1751068800,0.2897,0.2999,0.2795,0.2902,59492124.7
1751155200,0.2901,0.3135,0.2853,0.3002,74257922.3
1751241600,0.3002,0.3142,0.2783,0.2816,71300289.8
1751328000,0.2817,0.2908,0.2741,0.2803,39183862.3
1751414400,0.2804,0.2914,0.261,0.2825,54725365.3
1751500800,0.2826,0.2913,0.2665,0.2721,43535222.4
1751587200,0.272,0.2733,0.2557,0.2572,35420843.3
1751673600,0.2573,0.285,0.2572,0.2624,24266720
1751760000,0.2625,0.2709,0.2598,0.2648,18634441.5
1751846400,0.2649,0.2681,0.2533,0.2558,25692557.2
1751932800,0.2559,0.2625,0.2487,0.2608,23487574.7
1752019200,0.2608,0.2689,0.2554,0.2643,52784229.5
1752105600,0.2644,0.3085,0.2606,0.3057,98858159.1
1752192000,0.3057,0.3558,0.2993,0.3311,152280698
1752278400,0.3312,0.3448,0.3106,0.3218,54379271.8
1752364800,0.3219,0.3361,0.3139,0.3171,44093672.1
1752451200,0.3172,0.3574,0.3141,0.3357,81909199.2
1752537600,0.3357,0.3849,0.328,0.3708,115098895.9
1752624000,0.3706,0.39,0.3536,0.3572,89691214
1752710400,0.3572,0.3648,0.3381,0.3484,67084258.4
1752796800,0.3485,0.3737,0.3405,0.3509,78134489.2
1752883200,0.3509,0.355,0.3406,0.3521,24966304.9
1752969600,0.3522,0.374,0.348,0.3545,41176534.6
1753056000,0.3545,0.3698,0.3475,0.3553,48178838.6
1753142400,0.3552,0.3584,0.3335,0.3523,35427873
1753228800,0.3523,0.354,0.3215,0.3289,41007959.6
1753315200,0.329,0.3338,0.304,0.3193,38284571.8
1753401600,0.3194,0.3346,0.3085,0.3336,25494290.1
1753488000,0.3334,0.3504,0.3288,0.3375,24864575.7
1753574400,0.3376,0.3509,0.3359,0.3462,22697555.7
1753660800,0.3461,0.3546,0.3185,0.3212,21488084.5
1753747200,0.3213,0.3451,0.3151,0.3189,26527942.9
1753833600,0.3188,0.3205,0.295,0.3128,30608544.4
1753920000,0.3128,0.3225,0.2917,0.2938,29240760.6
1754006400,0.2937,0.2963,0.2755,0.2837,36355167.1
1754092800,0.2837,0.2863,0.2627,0.2698,29917211.8
1754179200,0.2698,0.2815,0.2641,0.2805,19259359.2
1754265600,0.2806,0.3077,0.2793,0.3051,35744263.5
1754352000,0.3054,0.3095,0.2833,0.29,27385643.5
1754438400,0.2899,0.296,0.2792,0.2914,20087403.1
1754524800,0.2914,0.3099,0.2881,0.309,18819330.4
1754611200,0.3089,0.3308,0.3024,0.3141,30069064.9
1754697600,0.3138,0.3379,0.3127,0.3289,22863942.6
1754784000,0.329,0.3359,0.3148,0.3221,23350707.6
1754870400,0.3223,0.332,0.3019,0.305,29418103.4
1754956800,0.3049,0.3291,0.2967,0.3243,23843377.1
1755043200,0.3244,0.3625,0.3191,0.3575,52723687.8
1755129600,0.3573,0.364,0.3186,0.3264,47443804.7
1755216000,0.3262,0.345,0.3136,0.322,24904139.8
1755302400,0.322,0.3266,0.317,0.3245,11697907.5
1755388800,0.3246,0.3579,0.3216,0.3423,42498092.3
1755475200,0.3423,0.3437,0.3209,0.3262,41739722.1
1755561600,0.3266,0.3309,0.2978,0.2989,39089962.9
1755648000,0.299,0.3101,0.2882,0.3073,30644361
