ts,open,high,low,close,volume
1692057600,0.25,0.25,0.1669,0.1819,9606782
1692144000,0.1815,1,0.1735,0.2139,70505268.3
1692230400,0.2139,0.2167,0.1581,0.1725,32443138.6
1692316800,0.1726,0.1776,0.1478,0.1675,24328731.3
1692403200,0.1673,0.1719,0.1543,0.1599,12706198.8
1692489600,0.1596,0.1615,0.1472,0.1511,11121107.4
1692576000,0.1513,0.1554,0.1418,0.1487,9754917.3
1692662400,0.1488,0.1558,0.1439,0.1541,23125371.1
1692748800,0.1541,0.156,0.1461,0.1526,17013210.5
1692835200,0.1524,0.1525,0.1455,0.1479,9891563.6
1692921600,0.1479,0.1482,0.1364,0.1392,13550889.8
1693008000,0.1389,0.1391,0.1299,0.1325,8580710.8
1693094400,0.1323,0.1353,0.1276,0.1317,9261140
1693180800,0.1318,0.132,0.1254,0.1285,11894675.6
1693267200,0.1286,0.1548,0.1186,0.1469,34636552.9
1693353600,0.1469,0.1719,0.1435,0.1494,37371568.6
1693440000,0.1495,0.1513,0.1309,0.1323,19972727
1693526400,0.1323,0.1484,0.1278,0.1399,20149857.5
1693612800,0.1398,0.1503,0.1294,0.1312,16156507.2
1693699200,0.1315,0.1362,0.1254,0.1279,8551644.8
1693785600,0.1278,0.13,0.123,0.126,5824652.8
1693872000,0.1262,0.1262,0.1215,0.1258,6341114.5
1693958400,0.1259,0.1282,0.1223,0.1262,5564152.8
1694044800,0.1263,0.136,0.1246,0.1324,14105498.8
1694131200,0.1322,0.1354,0.1257,0.1271,4976244.3
1694217600,0.1271,0.1279,0.1228,0.1251,3000707.4
1694304000,0.1251,0.1256,0.1107,0.1203,7196432.6
1694390400,0.1201,0.1222,0.1133,0.1158,7234952.8
1694476800,0.1156,0.1194,0.1149,0.1167,3864956.8
1694563200,0.1169,0.1194,0.1151,0.118,4121810.3
1694649600,0.1181,0.1194,0.1163,0.1179,1979349.8
1694736000,0.118,0.1253,0.1149,0.1241,6331790.2
1694822400,0.124,0.1491,0.1222,0.1398,20331792.9
1694908800,0.1399,0.1405,0.1218,0.123,10240218.6
1694995200,0.123,0.1278,0.1195,0.1238,7432052.5
1695081600,0.1238,0.1263,0.1211,0.1253,3053733.9
1695168000,0.1254,0.1309,0.1222,0.1244,7122009.7
1695254400,0.1243,0.1304,0.121,0.1237,5677416
1695340800,0.1243,0.1252,0.1221,0.1239,2774107.9
1695427200,0.1242,0.1242,0.12,0.1218,2509276.8
1695513600,0.1219,0.1225,0.1175,0.1184,3648480.3
1695600000,0.1182,0.1191,0.1165,0.1185,1803215
1695686400,0.1186,0.1191,0.1159,0.1176,2313905.3
1695772800,0.1175,0.1187,0.1153,0.1167,2152994.1
1695859200,0.1167,0.121,0.1159,0.119,2313525.2
1695945600,0.1189,0.1233,0.118,0.1206,3589226.4
1696032000,0.1203,0.1215,0.1187,0.1201,1603246.5
1696118400,0.1196,0.1267,0.1196,0.1245,2739965.3
1696204800,0.1248,0.1263,0.1167,0.1193,2483213.6
1696291200,0.1195,0.1214,0.1157,0.1158,1823586.8
1696377600,0.1157,0.1164,0.111,0.1161,1996341.1
1696464000,0.1161,0.1183,0.1151,0.1163,1772076.8
1696550400,0.116,0.1179,0.1147,0.1173,1210464
1696636800,0.1172,0.118,0.1154,0.1171,1229077
1696723200,0.1168,0.1173,0.1143,0.1156,677880.1
1696809600,0.1155,0.1157,0.1063,0.1089,3098666.1
1696896000,0.1089,0.1096,0.1041,0.1054,3000048.3
1696982400,0.1051,0.1065,0.1006,0.103,1635442.4
1697068800,0.1027,0.1044,0.1011,0.1018,2430981.1
1697155200,0.1018,0.105,0.1016,0.1037,2018941.6
1697241600,0.1039,0.1048,0.1023,0.1028,1230787.5
1697328000,0.1028,0.1037,0.1017,0.1033,1235236.4
1697414400,0.103,0.107,0.1024,0.1037,2344408.9
1697500800,0.1037,0.104,0.0968,0.0996,5225661.4
1697587200,0.0996,0.1119,0.098,0.1017,8068344
1697673600,0.1018,0.1018,0.0948,0.0968,4020755.1
1697760000,0.0968,0.1011,0.096,0.0995,2578542.2
1697846400,0.0994,0.1044,0.0985,0.103,1717484.4
1697932800,0.103,0.1075,0.1022,0.1054,3698478.7
1698019200,0.1054,0.11,0.1032,0.1091,3281205
1698105600,0.1092,0.1143,0.1059,0.1101,4929225.1
1698192000,0.1101,0.1177,0.1076,0.113,4065156.3
1698278400,0.1127,0.1152,0.1044,0.1089,3238402.5
1698364800,0.1087,0.1091,0.1042,0.1065,1706602.3
1698451200,0.106,0.1121,0.106,0.1104,3953908.3
1698537600,0.1099,0.1125,0.1079,0.1114,1929654.3
1698624000,0.1116,0.1142,0.1094,0.1133,2403419.9
1698710400,0.1131,0.1174,0.1067,0.1119,4075102.8
1698796800,0.1116,0.1161,0.106,0.116,4197172.1
1698883200,0.1162,0.1185,0.1081,0.1103,5257359.7
1698969600,0.1103,0.1116,0.1066,0.1113,4585755.1
1699056000,0.111,0.1162,0.1099,0.1151,2607004.9
1699142400,0.1149,0.1233,0.1137,0.1172,6542076.6
1699228800,0.1174,0.1261,0.1166,0.126,3474624.3
1699315200,0.1255,0.1258,0.1163,0.1218,4652722.9
1699401600,0.1216,0.1298,0.1196,0.1274,3509179.4
1699488000,0.1273,0.1314,0.1085,0.1235,7118664.2
1699574400,0.1229,0.1334,0.1184,0.1288,6331123.5
1699660800,0.1289,0.137,0.1246,0.1329,7489348.7
1699747200,0.1325,0.1348,0.1262,0.1329,6722119.4
1699833600,0.1328,0.1587,0.1302,0.147,22555417.1
1699920000,0.1469,0.1703,0.1415,0.1515,19282361.7
1700006400,0.1514,0.1808,0.1427,0.1616,17637042.3
1700092800,0.1617,0.1823,0.1479,0.1506,14834570.1
1700179200,0.1506,0.1569,0.1372,0.145,10704164.7
1700265600,0.145,0.1505,0.1324,0.142,7440702.8
1700352000,0.1415,0.1522,0.1399,0.1481,4320678.9
1700438400,0.1482,0.171,0.1475,0.164,33709889.7
1700524800,0.1638,0.195,0.1457,0.1459,32799974.1
1700611200,0.1461,0.2155,0.1461,0.1825,19634571
1700697600,0.1828,0.2141,0.177,0.2001,18915531.7
1700784000,0.2006,0.2574,0.1913,0.245,34803306.2
1700870400,0.2438,0.2588,0.2193,0.2259,24723478
1700956800,0.2268,0.2388,0.2142,0.2282,15256275.3
1701043200,0.2288,0.231,0.2046,0.2307,17464387.8
1701129600,0.2302,0.2903,0.2146,0.2825,33251120.8
1701216000,0.2826,0.3,0.2489,0.2537,39272298.8
1701302400,0.2535,0.2554,0.2254,0.2396,34088457.6
1701388800,0.2395,0.2662,0.2332,0.2493,33108960
1701475200,0.2498,0.2819,0.2445,0.2707,36621117.7
1701561600,0.2708,0.29,0.2599,0.2662,22307893.2
1701648000,0.2663,0.3074,0.2608,0.2741,33481092.6
1701734400,0.2741,0.3167,0.27,0.3092,44114121.9
1701820800,0.3097,0.3162,0.2714,0.275,58422487.2
1701907200,0.2748,0.2843,0.2588,0.2813,27332900.1
1701993600,0.2814,0.2866,0.2711,0.2815,15443566.1
1702080000,0.2817,0.2845,0.2638,0.2685,16759130.5
1702166400,0.2685,0.2746,0.2542,0.2638,14662801
1702252800,0.264,0.2656,0.221,0.2393,21524839.6
1702339200,0.2396,0.266,0.2325,0.2414,28344708.8
1702425600,0.2413,0.2596,0.2193,0.2525,22268442.9
1702512000,0.2529,0.2766,0.2391,0.2575,30469567.9
1702598400,0.2577,0.2586,0.2305,0.2323,19010223.9
1702684800,0.2322,0.2553,0.226,0.2371,17413358.6
1702771200,0.2373,0.2532,0.2301,0.2326,18794969.9
1702857600,0.2326,0.33,0.2211,0.2958,82793693
1702944000,0.2952,0.4,0.289,0.358,110291386.4
1703030400,0.3587,0.4116,0.3379,0.3854,93261517.9
1703116800,0.3852,0.4159,0.3722,0.3765,84980552.6
1703203200,0.3771,0.3914,0.3314,0.3565,55330983.5
1703289600,0.3567,0.3779,0.3468,0.3742,49681106.5
1703376000,0.3739,0.3768,0.34,0.3634,38834512.5
1703462400,0.3639,0.42,0.3516,0.3933,67642173.4
1703548800,0.3933,0.5488,0.3933,0.5012,141507257.9
1703635200,0.5011,0.5344,0.433,0.4394,92184322.6
1703721600,0.4393,0.4993,0.4382,0.4563,80140970.1
1703808000,0.4565,0.5966,0.4337,0.5506,99322797.7
1703894400,0.5506,0.645,0.5317,0.5922,68182569.5
1703980800,0.5921,0.635,0.5536,0.5594,50916958.5
1704067200,0.5603,0.7548,0.558,0.7096,94419664.1
1704153600,0.7096,0.8003,0.6873,0.7124,93881751.3
1704240000,0.7123,0.8884,0.5888,0.7841,133388508.9
1704326400,0.7838,0.8704,0.7468,0.7723,96172604.3
1704412800,0.7724,0.7863,0.6827,0.719,74543453.3
1704499200,0.719,0.7199,0.631,0.6513,59854707.3
1704585600,0.6507,0.73,0.6369,0.6777,69817174.6
1704672000,0.677,0.7613,0.5852,0.7464,103386586.5
1704758400,0.7464,0.7625,0.6625,0.6755,73741036.4
1704844800,0.675,0.7988,0.6267,0.7411,88828621.8
1704931200,0.7416,0.82,0.7108,0.743,67678492.4
1705017600,0.7436,0.7512,0.64,0.679,52766458.6
1705104000,0.679,0.7329,0.6467,0.7245,34524529.2
1705190400,0.7241,0.7565,0.689,0.6925,39058524.2
1705276800,0.6928,0.8099,0.6922,0.8025,75254592.3
1705363200,0.8024,0.8668,0.7602,0.7719,99459950.5
1705449600,0.7717,0.8736,0.7717,0.8301,58113224.3
1705536000,0.8299,0.8375,0.7125,0.7364,52407804.2
1705622400,0.7367,0.7373,0.6513,0.7061,62367113.9
1705708800,0.7059,0.7064,0.6559,0.6769,28091138.4
1705795200,0.6765,0.6953,0.645,0.6497,23112184.5
1705881600,0.6495,0.6529,0.5776,0.5963,48241228.3
1705968000,0.5963,0.648,0.562,0.6452,65624061.6
1706054400,0.6452,0.6681,0.6258,0.6505,44712203.6
1706140800,0.6504,0.6507,0.5922,0.6033,33583938.5
1706227200,0.6029,0.682,0.5952,0.67,47472341.8
1706313600,0.6706,0.675,0.6322,0.6432,22085621.3
1706400000,0.643,0.6897,0.6367,0.6566,26229244.4
1706486400,0.6564,0.6993,0.6383,0.6856,40012257.9
1706572800,0.6857,0.7542,0.68,0.696,60058914
1706659200,0.6967,0.7257,0.6429,0.6498,51559503.6
1706745600,0.6497,0.6598,0.6161,0.6422,35777273.1
1706832000,0.6422,0.6521,0.6257,0.6339,26103327.5
1706918400,0.6343,0.6432,0.6029,0.6105,18882787.1
1707004800,0.6107,0.6208,0.5922,0.5949,20015108.3
1707091200,0.5954,0.6472,0.5816,0.6101,29938631.4
1707177600,0.61,0.6162,0.5916,0.5999,17650575.4
1707264000,0.6002,0.6398,0.5788,0.6243,26919563.9
1707350400,0.6244,0.6599,0.6235,0.6381,35421716.5
1707436800,0.6383,0.7268,0.6382,0.7025,46004776
1707523200,0.703,0.7164,0.6719,0.687,19032729.2
1707609600,0.6873,0.7079,0.6658,0.6783,16472589.3
1707696000,0.6785,0.7697,0.6589,0.757,47573967.3
1707782400,0.7567,0.7817,0.7177,0.7554,39530801
1707868800,0.7563,0.8922,0.736,0.8815,57083397
1707955200,0.8816,0.994,0.8595,0.9308,77448228.6
1708041600,0.9305,1.0313,0.908,0.9345,58391742.7
1708128000,0.9346,0.9687,0.893,0.9072,37515611.1
1708214400,0.9073,1.0374,0.8856,0.9618,52508724.2
1708300800,0.9619,0.9823,0.9203,0.9277,34532552.4
1708387200,0.9274,0.9499,0.8663,0.9337,38980875.9
1708473600,0.9337,0.9374,0.828,0.8771,31987015.3
1708560000,0.8772,0.8877,0.8201,0.8358,36971622.5
1708646400,0.8359,0.8597,0.775,0.7867,31304597.3
1708732800,0.7866,0.8746,0.77,0.8607,28973667.4
1708819200,0.8607,0.865,0.8171,0.8241,23460277.7
1708905600,0.8244,0.9114,0.7874,0.8916,40767042.1
1708992000,0.8915,0.9387,0.8635,0.89,41690364.3
1709078400,0.8901,0.9387,0.8062,0.8665,54772856.7
1709164800,0.8662,0.9185,0.8151,0.8339,57555243
1709251200,0.8339,0.8765,0.8334,0.86,28086239.9
1709337600,0.8595,0.8655,0.8279,0.8485,17364364.5
1709424000,0.8485,0.8843,0.775,0.8195,27821158.4
1709510400,0.8201,0.8646,0.7685,0.7915,53559907.2
1709596800,0.7915,0.8131,0.61,0.7225,72349414.9
1709683200,0.7224,0.8096,0.6882,0.7847,38886566.4
1709769600,0.7845,0.96,0.7717,0.9308,76722555.9
1709856000,0.9308,0.9519,0.8507,0.9277,61054612.9
1709942400,0.9275,0.9806,0.8898,0.9026,40950981.6
1710028800,0.9028,0.9215,0.8459,0.8676,25180806.7
1710115200,0.8683,0.9282,0.8114,0.8963,42302285.7
1710201600,0.8975,0.9457,0.8311,0.9016,45183374.9
1710288000,0.9018,0.9597,0.8773,0.9005,34228939.7
1710374400,0.9007,0.9048,0.796,0.8648,35453830
1710460800,0.8648,1.0753,0.788,1.0535,116227871.9
1710547200,1.0538,1.1455,0.8608,0.9042,87648249
1710633600,0.9045,0.9178,0.8262,0.9034,64155372
1710720000,0.9035,0.9126,0.8122,0.8347,34434919.6
1710806400,0.8344,0.8827,0.75,0.8219,46102995.9
1710892800,0.8208,0.8848,0.7671,0.8677,29603128.4
1710979200,0.868,0.8829,0.8054,0.8244,19037447.7
1711065600,0.8243,0.8471,0.7735,0.7952,14328919.9
1711152000,0.7945,0.8268,0.785,0.803,9584238.1
1711238400,0.8023,0.8249,0.7888,0.8169,9630719.1
1711324800,0.8169,0.8582,0.8099,0.8386,11792476.9
1711411200,0.8385,0.8706,0.8203,0.8433,13246039.5
1711497600,0.843,0.9138,0.8338,0.8926,35111055.2
1711584000,0.8918,0.908,0.8544,0.8659,22055459.7
1711670400,0.8661,0.8805,0.8216,0.8297,15235273.5
1711756800,0.8297,0.8453,0.813,0.818,11090027.6
1711843200,0.818,0.8281,0.8005,0.8235,10691914.2
1711929600,0.8237,0.8275,0.7515,0.7783,19247326.5
1712016000,0.778,0.78,0.7002,0.705,25646500.4
1712102400,0.7048,0.7386,0.6758,0.7021,13645237.1
1712188800,0.7022,0.7508,0.6828,0.7191,9911429.9
1712275200,0.719,0.719,0.6692,0.695,9297041.2
1712361600,0.695,0.7275,0.6891,0.7145,6945941
1712448000,0.7143,0.7379,0.7104,0.7329,4585528.9
1712534400,0.7329,0.7534,0.7147,0.741,7712253.2
1712620800,0.7408,0.7435,0.6784,0.685,14542250.3
1712707200,0.6846,0.6929,0.6382,0.6713,12929029.9
1712793600,0.671,0.6797,0.657,0.6628,7820948.3
1712880000,0.6623,0.6747,0.503,0.5778,22497489.9
1712966400,0.5776,0.5835,0.42,0.4933,34949472.2
1713052800,0.4923,0.5597,0.4686,0.5467,21615988.8
1713139200,0.5468,0.564,0.4786,0.4957,32182852.1
1713225600,0.4947,0.5003,0.456,0.4869,15597238
1713312000,0.4869,0.5289,0.4791,0.5006,17530440.9
1713398400,0.5001,0.5429,0.4798,0.5203,13684224.7
1713484800,0.5205,0.5788,0.4748,0.5574,22913922.2
1713571200,0.557,0.6042,0.544,0.6023,11008383.4
1713657600,0.6023,0.6117,0.5745,0.5884,8475093.9
1713744000,0.5884,0.6747,0.5833,0.6471,17900307.2
1713830400,0.6474,0.6854,0.6344,0.6387,16485044.1
1713916800,0.6384,0.6562,0.586,0.5913,17006843.5
1714003200,0.5916,0.6588,0.5793,0.6303,20505137.6
1714089600,0.6299,0.6402,0.5791,0.5849,15015647.1
1714176000,0.5851,0.5951,0.5471,0.5857,12454164.6
1714262400,0.5845,0.6227,0.5812,0.5933,9795890.5
1714348800,0.5935,0.6479,0.5829,0.6359,26295349.4
1714435200,0.6359,0.6362,0.523,0.5421,28658736
1714521600,0.542,0.5489,0.4941,0.5312,27878388.8
1714608000,0.5309,0.55,0.4988,0.5402,13727295.9
1714694400,0.5404,0.5752,0.5268,0.5702,14035786.3
1714780800,0.5702,0.5803,0.5564,0.5644,8113341.9
1714867200,0.5661,0.5797,0.5487,0.5601,7906040.6
1714953600,0.5605,0.5869,0.5373,0.5412,10668115.1
1715040000,0.5411,0.5516,0.5202,0.5231,9246593.9
1715126400,0.5229,0.5459,0.5118,0.5205,10344131.9
1715212800,0.5205,0.5481,0.5124,0.5399,5813158.2
1715299200,0.5396,0.548,0.5037,0.507,8370153.6
1715385600,0.507,0.5173,0.4975,0.4996,4492028.8
1715472000,0.4992,0.5074,0.4927,0.4998,2281331.7
1715558400,0.5,0.5097,0.4723,0.4845,11712279.5
1715644800,0.4843,0.4878,0.4385,0.4559,20965362.3
1715731200,0.4558,0.5478,0.4469,0.5289,18109885.3
1715817600,0.529,0.5909,0.5206,0.5395,22521034.7
1715904000,0.5399,0.57,0.5373,0.5612,12104717.7
1715990400,0.5604,0.5738,0.5444,0.5491,4963780.6
1716076800,0.5494,0.5513,0.5189,0.5234,5827388.8
1716163200,0.5232,0.5863,0.5096,0.5803,21946515.6
1716249600,0.5805,0.6004,0.5637,0.5701,10528473.5
1716336000,0.5701,0.577,0.5365,0.5446,10279110.6
1716422400,0.5443,0.556,0.4947,0.5237,10669364.9
1716508800,0.5235,0.5277,0.4976,0.5166,10144869.9
1716595200,0.5164,0.5394,0.5143,0.533,4339615.9
1716681600,0.5323,0.5709,0.525,0.5367,5951017.4
1716768000,0.536,0.5793,0.5329,0.5696,13696451.3
1716854400,0.5695,0.577,0.5311,0.54,10759341.2
1716940800,0.54,0.546,0.5095,0.5155,14640260.4
1717027200,0.5155,0.5251,0.5001,0.5105,6682242.9
1717113600,0.5102,0.5216,0.4992,0.5064,5530710.5
1717200000,0.5068,0.5083,0.4816,0.4928,6240812.1
1717286400,0.4925,0.5035,0.4748,0.4791,20403401.3
1717372800,0.4784,0.5191,0.4723,0.504,8268964.1
1717459200,0.5041,0.5276,0.4978,0.522,7249690.9
1717545600,0.5221,0.5326,0.5143,0.5278,7902455.7
1717632000,0.5284,0.532,0.5032,0.5093,6078092.1
1717718400,0.5091,0.5648,0.4633,0.5282,20843343.8
1717804800,0.5282,0.5481,0.4878,0.4929,14174391.3
1717891200,0.4934,0.5052,0.4814,0.5022,4498559.9
1717977600,0.5022,0.5044,0.475,0.4824,7851398.3
1718064000,0.4808,0.4831,0.4493,0.4561,12129810.1
1718150400,0.4566,0.4956,0.4383,0.4801,13267465.8
1718236800,0.4803,0.4888,0.4396,0.4427,7810543.2
1718323200,0.4427,0.4513,0.4083,0.4201,9933469.1
1718409600,0.4189,0.4249,0.4127,0.4158,2299414.4
1718496000,0.4161,0.4204,0.4015,0.4143,3403795.6
1718582400,0.4141,0.4193,0.3657,0.3788,9213287.1
1718668800,0.379,0.3814,0.3288,0.3435,22843497.5
1718755200,0.3435,0.3819,0.3369,0.3595,21998251.6
1718841600,0.3596,0.397,0.355,0.3601,14384582
1718928000,0.3602,0.3719,0.3539,0.3633,9590842.5
1719014400,0.3634,0.3671,0.3538,0.354,5531967.8
1719100800,0.3537,0.3621,0.3428,0.3487,4759418.7
1719187200,0.3487,0.3663,0.33,0.3646,11531664.4
1719273600,0.3645,0.3842,0.3607,0.374,13428134.3
1719360000,0.3739,0.3768,0.3504,0.352,8250873.3
1719446400,0.3519,0.3665,0.3444,0.36,6527572.6
1719532800,0.36,0.3625,0.339,0.3403,3975229.1
1719619200,0.3402,0.3472,0.3307,0.3332,3550227.2
1719705600,0.3323,0.3429,0.324,0.3402,6908806.6
1719792000,0.3401,0.3473,0.3316,0.333,8782394.7
1719878400,0.3325,0.3483,0.3286,0.3383,4819021.6
1719964800,0.3384,0.3467,0.3086,0.3109,8967321.8
1720051200,0.3108,0.3724,0.2732,0.2752,13720663
1720137600,0.2755,0.2798,0.2408,0.2733,17636281.3
1720224000,0.2728,0.2907,0.2707,0.2888,12643823.1
1720310400,0.289,0.289,0.2575,0.2588,11029723.4
1720396800,0.2593,0.303,0.2468,0.2867,19749310.2
1720483200,0.2864,0.3463,0.284,0.3336,26944878.6
1720569600,0.3339,0.3452,0.3182,0.3339,22301844.5
1720656000,0.334,0.335,0.3095,0.3111,19627942.4
1720742400,0.3116,0.3272,0.3003,0.3118,20021223.2
1720828800,0.3116,0.3209,0.3063,0.3154,11505980.8
