ts,open,high,low,close,volume
1695222000,0.1242,0.1247,0.1237,0.1246,130603.2
1695225600,0.1245,0.1247,0.1234,0.1238,75626.1
1695229200,0.1238,0.1242,0.1232,0.1235,130123.6
1695232800,0.1233,0.1248,0.1233,0.1246,152243.5
1695236400,0.1244,0.1247,0.1222,0.1233,543942.6
1695240000,0.1232,0.1244,0.1229,0.1242,157749.9
1695243600,0.1242,0.1252,0.1241,0.1246,206925.3
1695247200,0.1243,0.125,0.124,0.125,134666.7
1695250800,0.1248,0.1249,0.124,0.1244,167901.2
1695254400,0.1243,0.1304,0.1241,0.1268,808363.4
1695258000,0.1274,0.1283,0.1258,0.1266,495730.4
1695261600,0.1265,0.1274,0.1249,0.1251,394129.9
1695265200,0.1252,0.1275,0.1252,0.1275,245174.1
1695268800,0.1275,0.1285,0.1267,0.127,175332.4
1695272400,0.1267,0.1268,0.1253,0.1267,127854.2
1695276000,0.1267,0.1267,0.1246,0.1256,205546.2
1695279600,0.1255,0.1255,0.1247,0.1251,95555.7
1695283200,0.125,0.1253,0.1242,0.1245,69249.2
1695286800,0.1247,0.1254,0.1218,0.1221,313665.5
1695290400,0.1223,0.1232,0.1217,0.1217,158300.3
1695294000,0.1218,0.123,0.1218,0.1226,276212.9
1695297600,0.1227,0.1228,0.1216,0.1225,401136.3
1695301200,0.1225,0.123,0.121,0.1223,283566.4
1695304800,0.1223,0.1232,0.1222,0.1227,366529.4
1695308400,0.1227,0.1229,0.1221,0.1226,182577.5
1695312000,0.1224,0.1228,0.1221,0.1227,203322.6
1695315600,0.1227,0.1233,0.1227,0.1227,155879.4
1695319200,0.1227,0.1233,0.1224,0.1233,82184.6
1695322800,0.1234,0.1234,0.1224,0.1231,177056.2
1695326400,0.1231,0.1232,0.1223,0.1232,161605.8
1695330000,0.1232,0.1232,0.1221,0.1229,96791.2
1695333600,0.1227,0.1228,0.1222,0.1227,34104.3
1695337200,0.123,0.1242,0.1228,0.1237,167548.1
1695340800,0.1243,0.1245,0.1226,0.1244,400655.4
1695344400,0.124,0.1242,0.1231,0.124,187423.5
1695348000,0.1239,0.1241,0.1231,0.1233,121060.6
1695351600,0.123,0.1252,0.123,0.125,137970.8
1695355200,0.1251,0.1252,0.1239,0.124,64960.3
1695358800,0.1238,0.1241,0.1232,0.1241,75736.7
1695362400,0.1236,0.1236,0.1229,0.123,99963.7
1695366000,0.1231,0.1234,0.1225,0.1232,24550
1695369600,0.123,0.1234,0.1226,0.1229,119766.9
1695373200,0.1229,0.1232,0.1226,0.1232,76981.3
1695376800,0.1231,0.1232,0.1227,0.1228,43221.4
1695380400,0.1227,0.1234,0.1227,0.1233,116753.2
1695384000,0.1233,0.1237,0.1226,0.1226,110053.4
1695387600,0.1226,0.1229,0.1223,0.1225,75420.8
1695391200,0.1226,0.1233,0.1223,0.123,184181.6
1695394800,0.123,0.1233,0.1225,0.1226,136796.7
1695398400,0.1224,0.123,0.1221,0.1223,192819.2
1695402000,0.1225,0.1237,0.1223,0.1236,55810.5
1695405600,0.1237,0.1242,0.123,0.1242,169327.1
1695409200,0.124,0.1243,0.1235,0.1237,42943.6
1695412800,0.1236,0.1237,0.1226,0.1226,111170.8
1695416400,0.1228,0.1236,0.1224,0.1236,59326.3
1695420000,0.1235,0.124,0.1234,0.1238,40502.7
1695423600,0.1238,0.1242,0.1235,0.1239,126711.4
1695427200,0.1242,0.1242,0.123,0.1231,48582.1
1695430800,0.1231,0.1234,0.1227,0.1232,75129.1
1695434400,0.1233,0.1234,0.1223,0.1226,213123.8
1695438000,0.1225,0.1225,0.1218,0.1221,272266.9
1695441600,0.1217,0.1222,0.1215,0.122,73039.5
1695445200,0.122,0.1225,0.122,0.1223,89359.1
1695448800,0.1223,0.123,0.122,0.1224,87697.3
