ts,open,high,low,close,volume
1660521600,1.69e-05,1.769e-05,1.509e-05,1.526e-05,9706156525454
1660608000,1.526e-05,1.658e-05,1.511e-05,1.581e-05,6559006466820
1660694400,1.582e-05,1.644e-05,1.451e-05,1.479e-05,4294596102158
1660780800,1.478e-05,1.499e-05,1.322e-05,1.349e-05,2328441604665
1660867200,1.349e-05,1.409e-05,1.266e-05,1.316e-05,5551086088181
1660953600,1.315e-05,1.387e-05,1.251e-05,1.289e-05,3164979947363
1661040000,1.289e-05,1.378e-05,1.282e-05,1.349e-05,1979783667735
1661126400,1.349e-05,1.353e-05,1.275e-05,1.316e-05,1869301437259
1661212800,1.316e-05,1.338e-05,1.282e-05,1.332e-05,1341813788106
1661299200,1.333e-05,1.358e-05,1.297e-05,1.306e-05,1665485721475
1661385600,1.305e-05,1.483e-05,1.302e-05,1.392e-05,4015122293367
1661472000,1.391e-05,1.403e-05,1.229e-05,1.243e-05,4429338339083
1661558400,1.243e-05,1.259e-05,1.184e-05,1.218e-05,2126237033326
1661644800,1.218e-05,1.247e-05,1.169e-05,1.18e-05,1664765426589
1661731200,1.18e-05,1.255e-05,1.17e-05,1.248e-05,2192666936160
1661817600,1.247e-05,1.278e-05,1.19e-05,1.22e-05,1588627728494
1661904000,1.22e-05,1.26e-05,1.202e-05,1.21e-05,1444631506197
1661990400,1.209e-05,1.243e-05,1.186e-05,1.227e-05,1223471153424
1662076800,1.226e-05,1.247e-05,1.201e-05,1.217e-05,1591745633468
1662163200,1.216e-05,1.247e-05,1.21e-05,1.232e-05,1088672400656
1662249600,1.232e-05,1.339e-05,1.226e-05,1.283e-05,2560761462036
1662336000,1.284e-05,1.296e-05,1.223e-05,1.265e-05,1618725665946
1662422400,1.264e-05,1.293e-05,1.172e-05,1.202e-05,2870362627633
1662508800,1.202e-05,1.239e-05,1.175e-05,1.224e-05,1753322090178
1662595200,1.224e-05,1.249e-05,1.198e-05,1.222e-05,1843058760858
1662681600,1.222e-05,1.394e-05,1.219e-05,1.292e-05,4651073572911
1662768000,1.291e-05,1.357e-05,1.272e-05,1.326e-05,2865276121018
1662854400,1.327e-05,1.35e-05,1.254e-05,1.301e-05,2238751392697
1662940800,1.301e-05,1.324e-05,1.25e-05,1.287e-05,2155817624973
1663027200,1.288e-05,1.306e-05,1.19e-05,1.211e-05,2454549657835
1663113600,1.21e-05,1.245e-05,1.193e-05,1.219e-05,1691322429137
1663200000,1.219e-05,1.225e-05,1.151e-05,1.17e-05,2632012954123
1663286400,1.17e-05,1.181e-05,1.127e-05,1.157e-05,1224133771509
1663372800,1.156e-05,1.201e-05,1.156e-05,1.192e-05,870329989433
1663459200,1.193e-05,1.196e-05,1.012e-05,1.062e-05,1745500021594
1663545600,1.063e-05,1.111e-05,1.051e-05,1.099e-05,2151910751622
1663632000,1.098e-05,1.104e-05,1.046e-05,1.052e-05,1380071723324
1663718400,1.052e-05,1.113e-05,1.011e-05,1.038e-05,2958122023623
1663804800,1.038e-05,1.095e-05,1.033e-05,1.084e-05,1402688318037
1663891200,1.084e-05,1.135e-05,1.049e-05,1.107e-05,1674203703188
1663977600,1.108e-05,1.218e-05,1.095e-05,1.126e-05,4232515782122
1664064000,1.126e-05,1.157e-05,1.086e-05,1.101e-05,1601599862441
1664150400,1.1e-05,1.124e-05,1.079e-05,1.112e-05,1200097857648
1664236800,1.112e-05,1.157e-05,1.085e-05,1.112e-05,1665456524401
1664323200,1.112e-05,1.154e-05,1.072e-05,1.11e-05,1424975400158
1664409600,1.11e-05,1.122e-05,1.09e-05,1.112e-05,901400418490
1664496000,1.113e-05,1.15e-05,1.101e-05,1.132e-05,1349116172322
1664582400,1.13e-05,1.148e-05,1.108e-05,1.117e-05,841660732525
1664668800,1.117e-05,1.122e-05,1.081e-05,1.094e-05,845600494359
1664755200,1.095e-05,1.124e-05,1.083e-05,1.116e-05,868989038134
1664841600,1.116e-05,1.173e-05,1.109e-05,1.161e-05,1911387761692
1664928000,1.162e-05,1.178e-05,1.113e-05,1.145e-05,1731517091824
1665014400,1.145e-05,1.163e-05,1.11e-05,1.119e-05,1315558472021
1665100800,1.118e-05,1.125e-05,1.095e-05,1.11e-05,1001184094267
1665187200,1.11e-05,1.116e-05,1.085e-05,1.1e-05,429960011310
1665273600,1.1e-05,1.11e-05,1.096e-05,1.103e-05,534832035658
1665360000,1.102e-05,1.114e-05,9.94e-06,1.022e-05,1568134873597
1665446400,1.022e-05,1.042e-05,9.73e-06,1.024e-05,2308890197908
1665532800,1.023e-05,1.04e-05,1.006e-05,1.016e-05,1132851744769
1665619200,1.016e-05,1.081e-05,9.24e-06,1.039e-05,3952476901727
1665705600,1.039e-05,1.077e-05,9.99e-06,1.019e-05,2089034197474
1665792000,1.019e-05,1.052e-05,1.002e-05,1.021e-05,1361904918540
1665878400,1.021e-05,1.039e-05,1.016e-05,1.027e-05,640967327558
1665964800,1.028e-05,1.047e-05,1.021e-05,1.04e-05,767174946851
1666051200,1.04e-05,1.049e-05,1e-05,1.017e-05,1614329775645
1666137600,1.016e-05,1.019e-05,9.49e-06,9.86e-06,1161981649284
1666224000,9.85e-06,1.013e-05,9.79e-06,9.9e-06,1449287429242
1666310400,9.89e-06,1.007e-05,9.6e-06,1.002e-05,1620855739708
1666396800,1.001e-05,1.008e-05,9.91e-06,1.001e-05,667978857453
1666483200,1.001e-05,1.02e-05,9.85e-06,1.015e-05,790495767999
1666569600,1.016e-05,1.019e-05,9.85e-06,9.93e-06,950542885559
1666656000,9.93e-06,1.04e-05,9.85e-06,1.021e-05,1580993196361
1666742400,1.022e-05,1.095e-05,1.017e-05,1.094e-05,2699488121352
1666828800,1.084e-05,1.184e-05,1.057e-05,1.063e-05,6560518589240
1666915200,1.064e-05,1.219e-05,1.032e-05,1.172e-05,6345021113211
1667001600,1.171e-05,1.518e-05,1.153e-05,1.293e-05,12679360265706
1667088000,1.292e-05,1.393e-05,1.15e-05,1.192e-05,6447040270797
1667174400,1.191e-05,1.319e-05,1.171e-05,1.244e-05,5819116100093
1667260800,1.243e-05,1.353e-05,1.227e-05,1.285e-05,4628730702522
1667347200,1.284e-05,1.297e-05,1.15e-05,1.177e-05,5516575927565
1667433600,1.176e-05,1.239e-05,1.16e-05,1.174e-05,2796710111608
1667520000,1.175e-05,1.364e-05,1.157e-05,1.255e-05,3873820231266
1667606400,1.254e-05,1.318e-05,1.215e-05,1.246e-05,3744918451649
1667692800,1.245e-05,1.291e-05,1.176e-05,1.183e-05,2481072551320
1667779200,1.184e-05,1.212e-05,1.151e-05,1.18e-05,3001744011538
1667865600,1.179e-05,1.19e-05,9.3e-06,1.018e-05,7531118497303
1667952000,1.017e-05,1.031e-05,8.27e-06,8.72e-06,7877202689805
1668038400,8.73e-06,1.047e-05,8.59e-06,1.019e-05,6706835537446
1668124800,1.02e-05,1.044e-05,9.37e-06,9.87e-06,2325367952129
1668211200,9.88e-06,9.92e-06,9.25e-06,9.55e-06,1697343973251
1668297600,9.55e-06,9.74e-06,8.87e-06,9.01e-06,2050107902240
1668384000,9e-06,9.4e-06,8.54e-06,9.08e-06,2453848759509
1668470400,9.09e-06,9.56e-06,8.98e-06,9.24e-06,1188523862929
1668556800,9.25e-06,9.65e-06,8.97e-06,9.13e-06,1588594285756
1668643200,9.13e-06,9.22e-06,8.9e-06,9.05e-06,863852531548
1668729600,9.05e-06,9.24e-06,8.97e-06,9.09e-06,645479450238
1668816000,9.1e-06,9.23e-06,8.94e-06,9.13e-06,528853182931
1668902400,9.13e-06,9.22e-06,8.66e-06,8.78e-06,969084395649
1668988800,8.77e-06,8.79e-06,8.22e-06,8.41e-06,1536591229437
1669075200,8.41e-06,8.83e-06,8.17e-06,8.81e-06,1287270953387
1669161600,8.82e-06,9.1e-06,8.74e-06,9.05e-06,1329801503367
1669248000,9.05e-06,9.2e-06,8.9e-06,9.01e-06,753571874001
1669334400,9.02e-06,9.48e-06,8.85e-06,9.18e-06,1576123894757
1669420800,9.18e-06,9.37e-06,8.91e-06,9.01e-06,1069829197689
1669507200,9.02e-06,9.62e-06,8.99e-06,9.27e-06,1686813206600
1669593600,9.27e-06,9.36e-06,8.77e-06,9.08e-06,1324453320482
1669680000,9.08e-06,9.31e-06,8.99e-06,9.08e-06,1155291321251
