ts,open,high,low,close,volume
1695146400,7.37e-06,7.39e-06,7.36e-06,7.37e-06,17612191416
1695150000,7.38e-06,7.38e-06,7.35e-06,7.38e-06,17399880449
1695153600,7.38e-06,7.38e-06,7.35e-06,7.37e-06,19564568793
1695157200,7.36e-06,7.39e-06,7.35e-06,7.39e-06,20077416801
1695160800,7.38e-06,7.41e-06,7.37e-06,7.41e-06,26059764982
1695164400,7.4e-06,7.42e-06,7.39e-06,7.41e-06,19017896775
1695168000,7.4e-06,7.43e-06,7.37e-06,7.39e-06,21648231559
1695171600,7.39e-06,7.43e-06,7.39e-06,7.42e-06,16358552404
1695175200,7.43e-06,7.44e-06,7.37e-06,7.39e-06,13404124494
1695178800,7.39e-06,7.41e-06,7.36e-06,7.37e-06,28206170093
1695182400,7.37e-06,7.4e-06,7.36e-06,7.39e-06,16102845810
1695186000,7.39e-06,7.39e-06,7.36e-06,7.37e-06,8771656876
1695189600,7.37e-06,7.39e-06,7.35e-06,7.38e-06,12603128480
1695193200,7.38e-06,7.39e-06,7.37e-06,7.37e-06,8873515020
1695196800,7.38e-06,7.39e-06,7.36e-06,7.37e-06,11473676571
1695200400,7.38e-06,7.39e-06,7.27e-06,7.32e-06,27533858816
1695204000,7.31e-06,7.32e-06,7.29e-06,7.32e-06,9423478352
1695207600,7.32e-06,7.33e-06,7.29e-06,7.3e-06,19794773377
1695211200,7.3e-06,7.31e-06,7.27e-06,7.29e-06,38383083565
1695214800,7.29e-06,7.33e-06,7.28e-06,7.33e-06,25714202230
1695218400,7.32e-06,7.34e-06,7.3e-06,7.32e-06,18686052970
1695222000,7.31e-06,7.34e-06,7.3e-06,7.33e-06,20457624621
1695225600,7.33e-06,7.34e-06,7.3e-06,7.32e-06,18499998398
1695229200,7.33e-06,7.37e-06,7.31e-06,7.36e-06,26071657825
1695232800,7.36e-06,7.43e-06,7.33e-06,7.4e-06,86276586477
1695236400,7.4e-06,7.42e-06,7.31e-06,7.41e-06,57182788870
1695240000,7.41e-06,7.43e-06,7.38e-06,7.41e-06,29249991735
1695243600,7.42e-06,7.49e-06,7.4e-06,7.45e-06,47012367491
1695247200,7.45e-06,7.46e-06,7.4e-06,7.44e-06,38906183802
1695250800,7.43e-06,7.46e-06,7.41e-06,7.44e-06,31948462741
1695254400,7.44e-06,7.54e-06,7.43e-06,7.51e-06,60290570845
1695258000,7.51e-06,7.52e-06,7.46e-06,7.49e-06,32325013451
1695261600,7.49e-06,7.52e-06,7.43e-06,7.46e-06,39499687156
1695265200,7.46e-06,7.48e-06,7.44e-06,7.46e-06,27193036116
1695268800,7.47e-06,7.47e-06,7.43e-06,7.45e-06,22858366434
1695272400,7.44e-06,7.44e-06,7.37e-06,7.39e-06,36885392314
1695276000,7.38e-06,7.38e-06,7.33e-06,7.38e-06,57196745884
1695279600,7.37e-06,7.38e-06,7.33e-06,7.37e-06,22788944651
1695283200,7.36e-06,7.37e-06,7.31e-06,7.31e-06,23668908862
1695286800,7.32e-06,7.33e-06,7.26e-06,7.29e-06,53270977724
1695290400,7.29e-06,7.31e-06,7.23e-06,7.23e-06,49913187243
1695294000,7.23e-06,7.29e-06,7.23e-06,7.29e-06,22049548183
1695297600,7.28e-06,7.3e-06,7.27e-06,7.3e-06,41164170322
1695301200,7.3e-06,7.31e-06,7.22e-06,7.25e-06,58012036936
1695304800,7.25e-06,7.3e-06,7.24e-06,7.29e-06,30709523831
1695308400,7.3e-06,7.31e-06,7.27e-06,7.29e-06,24571772241
1695312000,7.28e-06,7.29e-06,7.25e-06,7.27e-06,24604199677
1695315600,7.26e-06,7.29e-06,7.26e-06,7.26e-06,22025283621
1695319200,7.27e-06,7.28e-06,7.25e-06,7.26e-06,21354966354
1695322800,7.25e-06,7.28e-06,7.24e-06,7.26e-06,22352220911
1695326400,7.26e-06,7.27e-06,7.22e-06,7.25e-06,21770675440
1695330000,7.25e-06,7.27e-06,7.23e-06,7.27e-06,12228373042
1695333600,7.26e-06,7.28e-06,7.24e-06,7.28e-06,22917147187
1695337200,7.28e-06,7.28e-06,7.24e-06,7.25e-06,12242673126
1695340800,7.24e-06,7.26e-06,7.15e-06,7.26e-06,60404496674
1695344400,7.26e-06,7.3e-06,7.22e-06,7.28e-06,32127558681
1695348000,7.28e-06,7.29e-06,7.26e-06,7.28e-06,15521137728
1695351600,7.28e-06,7.32e-06,7.27e-06,7.29e-06,30736707773
1695355200,7.3e-06,7.31e-06,7.29e-06,7.3e-06,8356786959
1695358800,7.3e-06,7.31e-06,7.28e-06,7.3e-06,10358023770
1695362400,7.3e-06,7.31e-06,7.28e-06,7.29e-06,13261702564
1695366000,7.29e-06,7.3e-06,7.26e-06,7.29e-06,18772784435
1695369600,7.29e-06,7.3e-06,7.26e-06,7.28e-06,19590347952
1695373200,7.27e-06,7.28e-06,7.25e-06,7.27e-06,9135997369
1695376800,7.27e-06,7.27e-06,7.25e-06,7.25e-06,17953878161
1695380400,7.25e-06,7.27e-06,7.25e-06,7.27e-06,7878901832
1695384000,7.26e-06,7.28e-06,7.26e-06,7.27e-06,18442548895
1695387600,7.26e-06,7.29e-06,7.26e-06,7.28e-06,18974979101
1695391200,7.28e-06,7.29e-06,7.25e-06,7.27e-06,34387847496
1695394800,7.27e-06,7.28e-06,7.25e-06,7.27e-06,20755392328
1695398400,7.27e-06,7.28e-06,7.23e-06,7.26e-06,25351404195
1695402000,7.25e-06,7.27e-06,7.24e-06,7.27e-06,17629443955
1695405600,7.27e-06,7.3e-06,7.26e-06,7.29e-06,18973788931
1695409200,7.29e-06,7.32e-06,7.28e-06,7.28e-06,31028709571
1695412800,7.28e-06,7.3e-06,7.26e-06,7.27e-06,11610262381
1695416400,7.28e-06,7.3e-06,7.25e-06,7.3e-06,19268169499
1695420000,7.29e-06,7.31e-06,7.29e-06,7.31e-06,14147130381
1695423600,7.3e-06,7.31e-06,7.29e-06,7.3e-06,12887456552
1695427200,7.3e-06,7.33e-06,7.29e-06,7.32e-06,42972073059
1695430800,7.33e-06,7.36e-06,7.3e-06,7.35e-06,22641176542
1695434400,7.35e-06,7.36e-06,7.32e-06,7.35e-06,17442054006
1695438000,7.35e-06,7.36e-06,7.32e-06,7.35e-06,29833426496
1695441600,7.35e-06,7.4e-06,7.32e-06,7.4e-06,14011106449
1695445200,7.4e-06,7.4e-06,7.34e-06,7.34e-06,23496650034
1695448800,7.35e-06,7.37e-06,7.32e-06,7.33e-06,17960837776
1695452400,7.34e-06,7.35e-06,7.3e-06,7.32e-06,14323851731
1695456000,7.32e-06,7.37e-06,7.32e-06,7.37e-06,10289075617
1695459600,7.37e-06,7.37e-06,7.34e-06,7.36e-06,16398365959
1695463200,7.35e-06,7.36e-06,7.33e-06,7.34e-06,12825115911
1695466800,7.34e-06,7.36e-06,7.33e-06,7.35e-06,8376742031
1695470400,7.36e-06,7.37e-06,7.34e-06,7.36e-06,10404563259
1695474000,7.35e-06,7.37e-06,7.33e-06,7.35e-06,14180655475
1695477600,7.35e-06,7.54e-06,7.34e-06,7.42e-06,80160389160
1695481200,7.43e-06,7.53e-06,7.42e-06,7.47e-06,75672807016
1695484800,7.47e-06,7.71e-06,7.44e-06,7.65e-06,231469447732
1695488400,7.66e-06,7.68e-06,7.59e-06,7.62e-06,125324114622
1695492000,7.62e-06,7.63e-06,7.54e-06,7.58e-06,37932390508
1695495600,7.58e-06,7.6e-06,7.55e-06,7.57e-06,37074283288
1695499200,7.57e-06,7.58e-06,7.5e-06,7.53e-06,34341109363
1695502800,7.54e-06,7.59e-06,7.5e-06,7.54e-06,42067767995
1695506400,7.54e-06,7.55e-06,7.46e-06,7.47e-06,46852563072
1695510000,7.48e-06,7.51e-06,7.45e-06,7.51e-06,27131844536
1695513600,7.5e-06,7.5e-06,7.42e-06,7.46e-06,45507411755
1695517200,7.45e-06,7.45e-06,7.38e-06,7.43e-06,55296517377
1695520800,7.44e-06,7.45e-06,7.4e-06,7.42e-06,20364367563
1695524400,7.42e-06,7.43e-06,7.39e-06,7.4e-06,12102562337
1695528000,7.39e-06,7.4e-06,7.34e-06,7.37e-06,28303819255
1695531600,7.37e-06,7.42e-06,7.37e-06,7.41e-06,17009196618
1695535200,7.4e-06,7.41e-06,7.36e-06,7.38e-06,11242858982
1695538800,7.37e-06,7.38e-06,7.33e-06,7.35e-06,31899663597
1695542400,7.36e-06,7.38e-06,7.34e-06,7.37e-06,12429989042
1695546000,7.37e-06,7.38e-06,7.35e-06,7.36e-06,8302176698
1695549600,7.36e-06,7.37e-06,7.32e-06,7.34e-06,16468750701
1695553200,7.34e-06,7.36e-06,7.33e-06,7.35e-06,8646994280
1695556800,7.35e-06,7.4e-06,7.34e-06,7.38e-06,11595573931
1695560400,7.38e-06,7.41e-06,7.37e-06,7.38e-06,15989120932
1695564000,7.38e-06,7.39e-06,7.36e-06,7.37e-06,8071786093
1695567600,7.37e-06,7.38e-06,7.34e-06,7.36e-06,10511722755
1695571200,7.36e-06,7.37e-06,7.34e-06,7.37e-06,7335053961
1695574800,7.37e-06,7.41e-06,7.35e-06,7.4e-06,16973868780
1695578400,7.4e-06,7.42e-06,7.33e-06,7.39e-06,35977340397
1695582000,7.39e-06,7.39e-06,7.32e-06,7.34e-06,29576208800
1695585600,7.34e-06,7.35e-06,7.29e-06,7.35e-06,32771538518
1695589200,7.34e-06,7.36e-06,7.33e-06,7.36e-06,18065692040
1695592800,7.35e-06,7.37e-06,7.34e-06,7.34e-06,25993919735
1695596400,7.35e-06,7.35e-06,7.27e-06,7.31e-06,58165663540
1695600000,7.31e-06,7.34e-06,7.26e-06,7.34e-06,34861182389
1695603600,7.34e-06,7.39e-06,7.33e-06,7.34e-06,26163343841
1695607200,7.35e-06,7.38e-06,7.34e-06,7.37e-06,23757327696
1695610800,7.38e-06,7.39e-06,7.36e-06,7.36e-06,16512996504
1695614400,7.36e-06,7.39e-06,7.35e-06,7.37e-06,13691848773
1695618000,7.36e-06,7.37e-06,7.32e-06,7.33e-06,23550966431
1695621600,7.33e-06,7.33e-06,7.3e-06,7.32e-06,26699120586
1695625200,7.31e-06,7.34e-06,7.3e-06,7.33e-06,16564168328
1695628800,7.33e-06,7.34e-06,7.31e-06,7.32e-06,10450387602
1695632400,7.33e-06,7.33e-06,7.29e-06,7.3e-06,11485090817
1695636000,7.29e-06,7.3e-06,7.25e-06,7.27e-06,21503166765
1695639600,7.26e-06,7.27e-06,7.22e-06,7.22e-06,47943542741
1695643200,7.23e-06,7.25e-06,7.18e-06,7.23e-06,35933859228
1695646800,7.23e-06,7.27e-06,7.23e-06,7.27e-06,25455169633
1695650400,7.26e-06,7.27e-06,7.23e-06,7.25e-06,25264370507
1695654000,7.26e-06,7.29e-06,7.24e-06,7.28e-06,22395787397
1695657600,7.28e-06,7.31e-06,7.27e-06,7.28e-06,30054247654
1695661200,7.29e-06,7.3e-06,7.26e-06,7.29e-06,17844367994
1695664800,7.28e-06,7.29e-06,7.27e-06,7.27e-06,10418557190
1695668400,7.27e-06,7.28e-06,7.25e-06,7.26e-06,25170552892
1695672000,7.27e-06,7.29e-06,7.24e-06,7.25e-06,29480836004
1695675600,7.25e-06,7.27e-06,7.24e-06,7.26e-06,10145560184
1695679200,7.27e-06,7.28e-06,7.26e-06,7.27e-06,7354930658
1695682800,7.27e-06,7.29e-06,7.27e-06,7.29e-06,6962244278
1695686400,7.28e-06,7.31e-06,7.28e-06,7.29e-06,26320133573
1695690000,7.3e-06,7.32e-06,7.29e-06,7.32e-06,15362089018
1695693600,7.32e-06,7.33e-06,7.29e-06,7.33e-06,19434351788
1695697200,7.33e-06,7.33e-06,7.31e-06,7.31e-06,12730579654
1695700800,7.32e-06,7.33e-06,7.3e-06,7.33e-06,18680433809
1695704400,7.33e-06,7.33e-06,7.3e-06,7.32e-06,26166675861
1695708000,7.31e-06,7.33e-06,7.3e-06,7.31e-06,12958978745
1695711600,7.31e-06,7.31e-06,7.28e-06,7.29e-06,17860423141
1695715200,7.28e-06,7.29e-06,7.26e-06,7.27e-06,14506529546
1695718800,7.26e-06,7.28e-06,7.24e-06,7.27e-06,26260956904
1695722400,7.27e-06,7.27e-06,7.25e-06,7.27e-06,18484974010
1695726000,7.26e-06,7.28e-06,7.25e-06,7.27e-06,16002074547
1695729600,7.27e-06,7.28e-06,7.25e-06,7.26e-06,17250531152
1695733200,7.25e-06,7.27e-06,7.23e-06,7.25e-06,19721405477
1695736800,7.24e-06,7.26e-06,7.22e-06,7.24e-06,18891896616
1695740400,7.25e-06,7.26e-06,7.22e-06,7.23e-06,23720549090
1695744000,7.24e-06,7.26e-06,7.23e-06,7.24e-06,16662913071
1695747600,7.25e-06,7.26e-06,7.22e-06,7.23e-06,11166529164
1695751200,7.24e-06,7.24e-06,7.2e-06,7.21e-06,12847915069
1695754800,7.21e-06,7.26e-06,7.21e-06,7.26e-06,19568201223
1695758400,7.25e-06,7.26e-06,7.23e-06,7.24e-06,5357758582
1695762000,7.24e-06,7.24e-06,7.18e-06,7.22e-06,20764485175
1695765600,7.23e-06,7.24e-06,7.21e-06,7.22e-06,20604348062
1695769200,7.22e-06,7.27e-06,7.21e-06,7.26e-06,16062209695
1695772800,7.26e-06,7.28e-06,7.25e-06,7.28e-06,12314298281
1695776400,7.28e-06,7.28e-06,7.25e-06,7.27e-06,12820150152
1695780000,7.26e-06,7.28e-06,7.25e-06,7.25e-06,10856011463
1695783600,7.25e-06,7.27e-06,7.24e-06,7.26e-06,12806545117
1695787200,7.27e-06,7.27e-06,7.24e-06,7.25e-06,13333182152
1695790800,7.25e-06,7.26e-06,7.22e-06,7.24e-06,13280013744
1695794400,7.24e-06,7.24e-06,7.19e-06,7.21e-06,32346089828
1695798000,7.21e-06,7.23e-06,7.21e-06,7.23e-06,14051723779
1695801600,7.23e-06,7.23e-06,7.19e-06,7.21e-06,18792748457
1695805200,7.21e-06,7.27e-06,7.2e-06,7.26e-06,23248491754
1695808800,7.26e-06,7.28e-06,7.24e-06,7.26e-06,27045664248
1695812400,7.25e-06,7.31e-06,7.25e-06,7.29e-06,21978230247
