ts,open,high,low,close,volume
1607990400,5.6,5.6,5.2147,5.4787,365625.176
1608076800,5.482,5.59,4.9319,5.2814,847370.508
1608163200,5.2723,5.6295,5.0523,5.3076,668577.702
1608249600,5.2991,6.6748,5.165,6.1306,2308266.962
1608336000,6.1304,6.6118,5.9302,6.1372,1300521.778
1608422400,6.1396,6.3938,5.6922,5.9649,608944.033
1608508800,5.9457,6.4315,5.6426,6.1413,698662.942
1608595200,6.1413,12.9999,5.7011,7.2196,4609982.243
1608681600,7.202,8.4998,6.344,7.0953,7414493.092
1608768000,7.1106,7.7999,6.5332,7.46,2292981.602
1608854400,7.463,8,7.0361,7.3318,1154028.942
1608940800,7.3477,8.7951,7.2804,8.0116,2359479.457
1609027200,8.0295,8.511,7.364,8.0717,1664629.218
1609113600,8.0781,8.438,7.82,7.9836,984995.955
1609200000,7.9834,8.1412,7.3368,7.777,832119.04
1609286400,7.7888,7.9627,7.2276,7.3297,635108.651
1609372800,7.3445,7.84,7.0501,7.2544,684188.504
1609459200,7.2554,8.6304,7.1686,8.341,1280085.754
1609545600,8.351,8.646,8,8.2075,970527.676
1609632000,8.2073,9.7405,8,9.6041,1238485.678
1609718400,9.5728,11.5,8.4704,11.4935,2527655.901
1609804800,11.4943,13.5,10.4656,12.4464,2852876.636
1609891200,12.4683,13.3446,11.5001,12.143,1629105.29
1609977600,12.1504,13.2056,11.2407,11.6218,1224003.227
1610064000,11.6262,12.9025,9.8161,11.7973,1980494.392
1610150400,11.7984,13.9741,11.0778,13.1683,1446925.748
1610236800,13.187,14.8031,12.2629,14.0882,2307434.73
1610323200,14.0996,14.1762,10.35,12.915,2522620.399
1610409600,12.915,15.982,12.1966,14.8312,2993474.68
1610496000,14.8526,16.5,13.7375,15.5,2701806.21
1610582400,15.5,15.98,14.05,14.7629,1261779.453
1610668800,14.7634,15.5,13.2,15.1351,1496893.655
1610755200,15.15,17.11,14.9062,15.5732,1369658.172
1610841600,15.5915,16.3382,14.5085,15.6829,911678.536
1610928000,15.6518,15.7676,14.89,15.5839,835356.778
1611014400,15.5849,16.8197,15.15,15.1673,986568.076
1611100800,15.1456,15.7823,13.7778,15.75,784502.734
1611187200,15.7689,15.8072,11.8,12.3597,1392120.92
1611273600,12.349,15.1656,11.352,14.2247,1228487.183
1611360000,14.2277,15.5,13.9873,14.6414,744330.871
1611446400,14.629,17.84,14.4772,17.5068,1497201.984
1611532800,17.4979,18.3,15.3906,15.4653,1254525.306
1611619200,15.4646,17.2785,14.7803,16.8855,1200305.926
1611705600,16.8855,17.45,14.7567,15.32,1527019.047
1611792000,15.32,18.0036,14.88,16.9628,1101442.446
1611878400,16.981,17.5992,16.0373,17.0724,1092296.289
1611964800,17.0779,18.6528,16.3934,17.9175,806275.688
1612051200,17.92,19.6308,17.1375,17.2337,1102808.603
1612137600,17.218,17.9022,16.83,17.5318,978054.51
1612224000,17.5505,17.5855,16.4,17.0585,1132701.526
1612310400,17.0459,18,16.8274,17.1929,890548.932
1612396800,17.2208,21.2228,17.18,19.6744,2545704.487
1612483200,19.6744,23.7396,19.457,23.5942,2382373.386
1612569600,23.6603,24.2775,19.69,21.0687,1524120.938
1612656000,21.0696,21.5,18,20.125,1044270.288
1612742400,20.125,22.5,19.5394,21.3977,1271522.97
1612828800,21.3977,27.3999,20.8582,24.6588,2389921.676
1612915200,24.6375,27.7038,23.0619,25.0842,1928914.919
1613001600,25.1171,26.8288,24.4044,26.2004,1172192.038
1613088000,26.166,28.2675,25.3,27.1283,1328253.55
1613174400,27.1283,28.2,24.855,26.4391,994198.499
1613260800,26.4391,29,24.4869,25.0778,1018935.877
1613347200,25.0874,26.9388,21.1404,24.5886,1468858.26
1613433600,24.6689,26.5464,23.1622,24.0824,996731.686
1613520000,24.0824,24.5522,22.258,24.2948,1009840.136
1613606400,24.2948,24.6753,22.8011,23.1892,712240.252
1613692800,23.2133,23.567,21.5588,22.3253,977746.905
1613779200,22.3269,25.5212,21.8887,23.1927,1703619.877
1613865600,23.2209,23.6943,22.3902,22.8951,564974.445
1613952000,22.9048,22.9888,17.2489,20.9844,1316436.21
1614038400,21.0084,21.1504,14.07,18.1916,2154169.547
1614124800,18.2,20.9354,17.2353,19.1929,1198256.926
1614211200,19.1951,21.9685,18.1554,18.2896,1069547.59
1614297600,18.291,19.8921,16.8306,18.0266,1389766.636
1614384000,18.0357,20.4091,17.9667,18.7966,618400.008
1614470400,18.8183,19.3074,16.2949,18.7438,858258.573
1614556800,18.7328,21.163,18.7328,20.6668,614388.767
1614643200,20.6841,23.3773,20.6664,22.4741,915891.438
1614729600,22.4408,24.0499,22.118,22.54,635638.413
1614816000,22.5316,24.4,21.1459,21.4764,604203.152
1614902400,21.4764,21.5035,20.0204,20.7858,496519.775
1614988800,20.811,21.4443,20.1102,21.2852,364117.326
1615075200,21.2791,21.8562,20.5128,21.7355,305653.7
1615161600,21.7321,21.9572,20.75,21.8837,523973.313
1615248000,21.8867,22.7487,21.3697,22.6228,383926.209
1615334400,22.6291,23.3875,21.2995,21.6041,467806.126
1615420800,21.6283,22.0418,20.6756,20.8127,356481.2
1615507200,20.8422,20.9487,18.8601,19.4569,506307.187
1615593600,19.4244,20.8569,18.81,20.492,340321.553
1615680000,20.5039,20.5557,19.2003,19.3908,216338.288
1615766400,19.4055,19.9788,18.2,18.9074,285177.715
1615852800,18.9202,19.1348,18.1111,18.7153,267194.244
1615939200,18.733,19.2656,17.8396,19.2237,352047.397
1616025600,19.2086,19.4357,18.519,18.5429,351014.192
1616112000,18.5499,20.41,18.172,19.8477,387706.502
1616198400,19.8477,21.4649,19.6538,19.714,517324.985
1616284800,19.7078,20.0785,19.11,19.5297,272476.889
1616371200,19.5272,20.0006,17.7965,18.0065,386458.264
1616457600,18.0795,18.3425,17.25,17.4262,424744.858
1616544000,17.41,18.2349,15.555,16.1234,560073.236
1616630400,16.1009,16.6762,15.437,16.1098,457103.059
1616716800,16.0996,17.6156,16.098,17.4883,271970.497
1616803200,17.4968,17.6434,16.7429,17.1404,188394.925
1616889600,17.1676,17.2752,16.3671,16.4774,330801.12
1616976000,16.4661,17.7972,16.3,17.7609,418625.439
1617062400,17.7609,18,17.2625,17.5518,340391.447
1617148800,17.5689,17.8865,16.5812,17.6137,397757.656
1617235200,17.6459,19.36,17.6092,19.177,610176.785
1617321600,19.1823,21.4442,18.7878,21.4341,942527.162
1617408000,21.4317,21.65,19.0183,19.2673,467479.002
