ts,open,high,low,close,volume
1694692800,2.088,2.095,2.076,2.082,7189.52
1694696400,2.082,2.104,2.081,2.089,11550.013
1694700000,2.093,2.098,2.077,2.098,16835.246
1694703600,2.1,2.104,2.078,2.082,17297.208
1694707200,2.082,2.083,2.07,2.076,6221.128
1694710800,2.08,2.09,2.079,2.089,3374.72
1694714400,2.092,2.11,2.086,2.086,6657.863
1694718000,2.086,2.097,2.08,2.097,7546.543
1694721600,2.096,2.099,2.087,2.099,22502.265
1694725200,2.096,2.109,2.091,2.097,20704.275
1694728800,2.098,2.119,2.096,2.119,35077.724
1694732400,2.118,2.181,2.108,2.121,101398.633
1694736000,2.119,2.128,2.117,2.12,9233.732
1694739600,2.124,2.138,2.121,2.128,9929.771
1694743200,2.132,2.153,2.132,2.143,11344.834
1694746800,2.144,2.149,2.14,2.146,17361.234
1694750400,2.145,2.163,2.143,2.163,5098.524
1694754000,2.16,2.163,2.135,2.147,17705.416
1694757600,2.153,2.16,2.134,2.136,1572.906
1694761200,2.14,2.142,2.119,2.125,4615.235
1694764800,2.124,2.131,2.107,2.129,34228.642
1694768400,2.128,2.132,2.121,2.129,2895.428
1694772000,2.127,2.132,2.126,2.129,1062.02
1694775600,2.13,2.13,2.113,2.113,1624.216
1694779200,2.118,2.129,2.115,2.115,4202.057
1694782800,2.119,2.127,2.117,2.122,10200.346
1694786400,2.125,2.13,2.111,2.117,4491.125
1694790000,2.117,2.129,2.114,2.128,4726.523
1694793600,2.124,2.135,2.12,2.132,3571.315
1694797200,2.132,2.139,2.129,2.129,4332.723
1694800800,2.128,2.139,2.127,2.137,5805.744
1694804400,2.137,2.146,2.137,2.139,9729.585
1694808000,2.143,2.159,2.141,2.158,4960.89
1694811600,2.158,2.171,2.157,2.16,8046.473
1694815200,2.162,2.19,2.162,2.183,17430.572
1694818800,2.185,2.191,2.176,2.187,5421.238
1694822400,2.189,2.209,2.189,2.204,19806.153
1694826000,2.202,2.227,2.202,2.22,15358.522
1694829600,2.222,2.259,2.222,2.239,19004.727
1694833200,2.239,2.244,2.198,2.202,10094.484
1694836800,2.201,2.218,2.195,2.211,8838.391
1694840400,2.211,2.215,2.197,2.203,5801.756
1694844000,2.203,2.212,2.189,2.192,3458.864
1694847600,2.194,2.21,2.194,2.204,4010.775
1694851200,2.207,2.211,2.193,2.2,3635.897
1694854800,2.2,2.206,2.193,2.193,9146.518
1694858400,2.196,2.208,2.186,2.207,2902.605
1694862000,2.204,2.208,2.199,2.204,3565.23
1694865600,2.202,2.209,2.202,2.202,3177.145
1694869200,2.204,2.204,2.183,2.185,3394.951
1694872800,2.185,2.197,2.178,2.178,8123.939
1694876400,2.18,2.189,2.176,2.183,4075.926
1694880000,2.185,2.19,2.179,2.186,3380.1
1694883600,2.186,2.196,2.18,2.192,4664.527
1694887200,2.191,2.195,2.184,2.192,3171.384
1694890800,2.192,2.196,2.179,2.182,4721.438
1694894400,2.183,2.192,2.181,2.186,6640.467
1694898000,2.188,2.194,2.185,2.194,2601.643
1694901600,2.194,2.196,2.189,2.191,4181.905
1694905200,2.193,2.196,2.183,2.194,4535.45
1694908800,2.192,2.192,2.142,2.147,25928.997
1694912400,2.145,2.147,2.123,2.129,40300.522
1694916000,2.13,2.148,2.128,2.145,19230.146
1694919600,2.146,2.157,2.146,2.157,837.528
1694923200,2.153,2.17,2.152,2.168,2090.544
1694926800,2.168,2.168,2.157,2.157,4523.713
1694930400,2.16,2.162,2.155,2.159,2295.146
1694934000,2.161,2.162,2.152,2.152,347.744
1694937600,2.149,2.165,2.147,2.164,2956.276
1694941200,2.161,2.161,2.156,2.158,2385.478
1694944800,2.16,2.169,2.16,2.168,198.139
1694948400,2.169,2.18,2.168,2.171,2606.201
1694952000,2.167,2.171,2.163,2.163,1888.897
1694955600,2.164,2.164,2.151,2.154,3563.233
1694959200,2.152,2.16,2.15,2.15,1033.525
1694962800,2.152,2.155,2.148,2.152,1291.834
1694966400,2.152,2.153,2.137,2.142,2203.275
1694970000,2.142,2.143,2.128,2.128,5195.746
1694973600,2.133,2.137,2.133,2.137,555.552
