ts,open,high,low,close,volume
1695146400,19.94,20.04,19.85,19.9,19346.81
1695150000,19.91,19.95,19.84,19.95,11147.475
1695153600,19.94,19.95,19.85,19.92,13338.824
1695157200,19.94,20.04,19.87,20.03,15545.615
1695160800,20.02,20.09,19.94,20.06,15966.569
1695164400,20.07,20.1,20.01,20.04,21872.497
1695168000,20.03,20.12,19.92,20.01,15627.742
1695171600,20,20.16,19.97,20.14,15007.385
1695175200,20.14,20.24,19.94,19.97,59555.932
1695178800,19.96,19.99,19.85,19.92,23948.772
1695182400,19.91,19.94,19.86,19.88,12089.189
1695186000,19.88,19.95,19.84,19.89,10120.478
1695189600,19.89,19.95,19.81,19.88,10786.651
1695193200,19.88,19.98,19.84,19.96,20844.398
1695196800,19.95,20.15,19.92,20.13,10264.722
1695200400,20.14,20.17,19.88,20.01,16148.569
1695204000,20.01,20.14,19.9,20.12,14249.815
1695207600,20.14,20.15,20.03,20.06,7459.792
1695211200,20.06,20.13,19.9,19.99,16209.41
1695214800,19.99,20.3,19.93,20.21,61678.124
1695218400,20.21,20.38,20.12,20.27,106716.306
1695222000,20.26,20.31,20.15,20.2,47563.881
1695225600,20.2,20.27,20.1,20.16,52132.144
1695229200,20.17,20.36,20.14,20.31,31214.149
1695232800,20.32,20.5,20.24,20.28,116524.822
1695236400,20.28,20.32,19.89,20.12,68378.291
1695240000,20.12,20.37,20.1,20.31,74496.076
1695243600,20.31,20.46,20.25,20.38,21516.671
1695247200,20.38,20.41,20.24,20.29,11882.284
1695250800,20.3,20.34,20.22,20.29,19235.92
1695254400,20.3,20.3,20.14,20.16,22978.343
1695258000,20.16,20.18,19.92,20.02,79044.727
1695261600,20.03,20.1,19.96,20.03,10625.538
1695265200,20.04,20.2,20.02,20.19,27135.799
1695268800,20.19,20.19,20.05,20.09,10536.954
1695272400,20.09,20.09,19.94,19.97,8902.405
1695276000,19.96,19.97,19.76,19.92,55906.69
1695279600,19.9,19.94,19.84,19.93,7483.297
1695283200,19.92,19.97,19.85,19.89,5105.516
1695286800,19.87,19.91,19.6,19.63,40990.347
1695290400,19.62,19.75,19.5,19.54,23846.546
1695294000,19.53,19.64,19.35,19.58,216562.611
1695297600,19.58,19.64,19.53,19.62,43859.786
1695301200,19.62,19.63,19.27,19.37,126523.585
1695304800,19.37,19.55,19.35,19.49,165086.341
1695308400,19.5,19.65,19.44,19.61,73083.067
1695312000,19.6,19.61,19.54,19.55,19490.316
1695315600,19.54,19.7,19.54,19.62,16508.506
1695319200,19.63,19.71,19.6,19.69,18731.275
1695322800,19.7,19.7,19.58,19.63,21103.604
1695326400,19.62,19.63,19.45,19.61,30708.842
1695330000,19.61,19.63,19.45,19.6,14661.641
1695333600,19.61,19.61,19.48,19.55,10511.697
1695337200,19.56,19.61,19.43,19.46,16409.447
1695340800,19.45,19.52,19.25,19.48,130532.732
1695344400,19.47,19.61,19.38,19.6,25323.984
1695348000,19.6,19.62,19.51,19.54,10535.435
1695351600,19.54,19.68,19.53,19.67,18361.143
1695355200,19.66,19.73,19.65,19.68,22418.68
1695358800,19.68,19.72,19.61,19.68,11505.72
1695362400,19.68,19.69,19.58,19.61,6867.017
1695366000,19.61,19.65,19.54,19.64,6974.831
1695369600,19.63,19.79,19.63,19.72,11527.696
1695373200,19.72,19.75,19.66,19.69,6125.791
1695376800,19.7,19.71,19.6,19.6,7800.505
1695380400,19.6,19.7,19.59,19.69,12049.493
1695384000,19.68,19.7,19.57,19.58,18307.783
1695387600,19.58,19.63,19.47,19.54,15246
1695391200,19.54,19.62,19.5,19.59,24475.424
1695394800,19.6,19.6,19.45,19.46,18660.36
1695398400,19.47,19.49,19.3,19.38,15093.608
1695402000,19.37,19.41,19.32,19.37,14970.031
1695405600,19.37,19.39,19.31,19.35,21295.631
1695409200,19.35,19.5,19.34,19.35,19824.019
1695412800,19.36,19.44,19.31,19.33,20625.61
1695416400,19.33,19.42,19.16,19.41,39653.937
1695420000,19.41,19.48,19.39,19.48,11109.926
1695423600,19.48,19.49,19.41,19.42,10539.891
1695427200,19.42,19.58,19.41,19.46,20421.954
1695430800,19.45,19.53,19.37,19.52,6393.62
1695434400,19.52,19.53,19.33,19.38,5964.398
1695438000,19.38,19.41,19.29,19.38,5211.439
1695441600,19.38,19.45,19.32,19.44,3723.477
1695445200,19.44,19.47,19.4,19.41,13250.48
1695448800,19.41,19.5,19.41,19.5,64239.457
1695452400,19.5,19.54,19.44,19.52,14422.409
1695456000,19.52,19.54,19.46,19.47,10868.187
1695459600,19.48,19.51,19.44,19.5,3359.99
1695463200,19.51,19.54,19.45,19.48,4924.753
1695466800,19.47,19.53,19.46,19.52,6762.251
1695470400,19.52,19.54,19.41,19.44,3218.997
1695474000,19.44,19.45,19.35,19.37,7941.471
1695477600,19.36,19.45,19.35,19.4,3052.686
1695481200,19.39,19.41,19.3,19.32,37317.607
1695484800,19.31,19.4,19.28,19.4,7621.178
1695488400,19.4,19.45,19.36,19.43,11469.885
1695492000,19.43,19.48,19.41,19.44,8258.511
1695495600,19.46,19.5,19.44,19.48,11197.845
1695499200,19.47,19.49,19.43,19.45,4569.964
1695502800,19.44,19.47,19.4,19.47,6820.084
1695506400,19.47,19.49,19.4,19.42,3665.562
1695510000,19.41,19.48,19.39,19.48,8937.83
1695513600,19.48,19.57,19.43,19.5,20968.516
1695517200,19.5,19.65,19.46,19.63,14875.914
1695520800,19.63,19.65,19.59,19.61,4647.041
1695524400,19.6,19.61,19.54,19.57,13124.902
1695528000,19.57,19.59,19.52,19.54,35182.256
1695531600,19.55,19.56,19.49,19.55,6236.571
1695535200,19.54,19.6,19.53,19.59,3982.819
1695538800,19.6,19.64,19.57,19.63,2345.997
