ts,open,high,low,close,volume
1757138400,202.25,203.54,201.91,202.4,76841.6270139
1757160000,202.4,202.87,199.58,200.18,208580.60308439
1757181600,200.17,201.23,199.34,200.18,137644.08058518
1757203200,200.19,203.29,200.13,202.85,149180.55782026
1757224800,202.86,203.98,202.25,203.97,62731.07269928
1757246400,203.96,205.5,201.74,202,249375.22508822
1757268000,202,207.95,201.27,206.34,374813.19350657
1757289600,206.33,209,205.56,207.29,226894.22203388
1757311200,207.29,215.74,206.6,214.25,505712.64005191
1757332800,214.24,216.97,212.92,215.46,749081.73226372
1757354400,215.45,217.17,213.55,214.15,552684.01957367
1757376000,214.15,215.71,210.81,215.25,271459.48769963
1757397600,215.25,219.77,215.06,217.26,306399.13139602
1757419200,217.25,218.58,211.73,214.94,566959.67568165
1757440800,214.89,217.93,214.47,217.26,286368.28537191
1757462400,217.23,219.64,215.09,218.63,329955.51232038
1757484000,218.62,222.91,217.98,220.28,350721.74940265
1757505600,220.27,225.96,219.8,222.69,705916.88868054
1757527200,222.71,224.74,220.61,224.14,266050.53172219
1757548800,224.13,225.7,221.78,222.31,186247.23859373
1757570400,222.31,225.88,221.97,225.12,138350.19524925
1757592000,225.12,229,222.84,227.54,615649.74045514
1757613600,227.54,229.05,225.52,228.85,285016.52449893
1757635200,228.83,239.84,228.21,238.69,945163.96804603
1757656800,238.69,239.62,236.73,239.22,325883.1194848
1757678400,239.22,241.88,237.66,240.41,612199.28684683
1757700000,240.41,244.31,238.53,242.36,703661.36475286
1757721600,242.35,244.34,240.88,241.87,366666.01419649
1757743200,241.86,243.89,241.42,242.09,257838.15195161
1757764800,242.09,243.29,235.35,237.91,454439.91907574
1757786400,237.89,243.29,237.25,242.5,331487.23559677
1757808000,242.5,250,242.33,247.87,673825.77683613
1757829600,247.86,248.46,245.71,246.23,288908.28105121
1757851200,246.24,248.56,241.63,248.09,499856.36938523
1757872800,248.07,248.08,239.25,239.86,346374.64160226
1757894400,239.85,244.03,239.23,244.02,248524.49044641
1757916000,244.01,244.09,231.6,236.5,522059.64927138
1757937600,236.5,238.17,230.18,233.29,656053.68332635
1757959200,233.28,235.44,232,234.35,396842.5536894
1757980800,234.33,236.61,232.8,236.56,313137.24119069
1758002400,236.56,237.04,234.79,235.4,127957.99447043
1758024000,235.41,241,231.34,238.21,523265.04626639
