ts,open,high,low,close,volume
1757376000,1.38,1.4293,1.337,1.4018,1204114.16
1757462400,1.4071,1.4887,1.3658,1.4369,1635939.92
1757548800,1.4369,1.4684,1.361,1.4683,674597.52
1757635200,1.4681,1.5,1.3856,1.4703,662131.23
1757721600,1.4685,1.5079,1.4075,1.4708,484993.31
1757808000,1.4728,1.4735,1.336,1.3525,441346.92
1757894400,1.3487,1.386,1.2488,1.3075,389944.47
1757980800,1.2992,1.3276,1.2338,1.3055,541792.62
1758067200,1.3064,1.4765,1.2595,1.4635,1357980.56
1758153600,1.466,1.4833,1.4104,1.4292,833793.99
1758240000,1.4296,1.4446,1.2326,1.2466,1246553.54
1758326400,1.2462,1.2634,1.1829,1.2554,871790.2
1758412800,1.2551,1.2568,1.1652,1.1677,723300.07
1758499200,1.1677,1.1756,1.004,1.0893,1448875.45
1758585600,1.0892,1.0946,1.0186,1.0381,960002.27
1758672000,1.0384,1.115,1,1.0639,851322.6
1758758400,1.0639,1.2017,0.93,0.9432,2497681.52
1758844800,0.9434,1.0239,0.9386,1.0228,1017738.72
1758931200,1.0222,1.0274,0.9549,0.9588,682087.22
1759017600,0.959,1.0124,0.9372,1.0024,383044.9
1759104000,1.0036,1.0803,0.9656,1.0006,1287114.56
1759190400,1.0006,1.0121,0.9016,0.9731,1340915.71
1759276800,0.9741,1.1595,0.939,1.1175,2587584.44
1759363200,1.1175,1.3026,1.1093,1.2948,3061885.28
1759449600,1.2936,1.4259,1.2396,1.4014,4846961.01
1759536000,1.401,1.475,1.3614,1.467,4929056.2
1759622400,1.4675,1.6578,1.4168,1.5748,3723032.81
1759708800,1.5736,1.6612,1.5463,1.5884,3848293.21
1759795200,1.5879,1.5961,1.4101,1.4285,3414317.2
1759881600,1.4283,1.6154,1.4274,1.552,2550716.52
1759968000,1.5524,1.5764,1.3616,1.4664,2032608.56
1760054400,1.4672,1.6,0.4503,1.1016,4792423.13
1760140800,1.1074,1.1992,1.0092,1.0514,2775260.1
1760227200,1.0513,1.3592,1.0183,1.3415,3575717.21
1760313600,1.3401,1.3814,1.1998,1.3428,3980358.87
1760400000,1.3448,1.353,1.126,1.2076,2754157.14
1760486400,1.2067,1.2505,1.1004,1.13,1775590.54
1760572800,1.1304,1.1841,1.044,1.0528,2247321.54
1760659200,1.0516,1.0775,0.94,0.9838,3991924.85
1760745600,0.9838,0.9961,0.927,0.9567,1663622.73
1760832000,0.9566,1.0512,0.9179,1.0194,2079381.57
1760918400,1.0181,1.1005,0.9703,1.0314,2215941.96
1761004800,1.0303,1.1266,0.9637,0.9891,3770023.53
1761091200,0.9888,1.0006,0.8769,0.8939,2202751.96
1761177600,0.8939,0.9995,0.8837,0.9761,1951009.01
1761264000,0.9762,1.0656,0.9712,1.041,2267098.5
1761350400,1.0407,1.0577,0.9972,1.0476,771212.22
1761436800,1.0455,1.1694,1.0042,1.1248,1535526.1
1761523200,1.1236,1.1827,1.0394,1.0515,1788517.6
1761609600,1.0516,1.1114,0.9828,1.0155,1359475.09
1761696000,1.016,1.0802,0.9848,1.0189,2296417.31
1761782400,1.0188,1.0513,0.8572,0.8924,1976579.59
1761868800,0.892,0.9176,0.8227,0.8492,2157322.2
1761955200,0.8476,0.9214,0.8257,0.9048,883921.76
1762041600,0.905,0.9294,0.8394,0.8748,1388305.15
1762128000,0.8754,0.8764,0.7022,0.7284,2263960.52
1762214400,0.7289,0.7482,0.568,0.6417,6906683.54
1762300800,0.6416,0.7368,0.5948,0.6941,4540355.51
1762387200,0.6936,0.6976,0.6121,0.6379,2519832.9
1762473600,0.6374,0.7656,0.6034,0.7228,4194848.47
1762560000,0.7227,0.7326,0.6378,0.6664,1288525.48
1762646400,0.6662,0.7455,0.6357,0.7135,2546416.24
1762732800,0.7134,0.7522,0.7013,0.7238,1640453.75
1762819200,0.7238,0.7555,0.6509,0.6624,2203726.68
1762905600,0.6624,0.7128,0.6239,0.646,1430238.39
1762992000,0.6463,0.6718,0.5834,0.614,2847484.18
1763078400,0.6138,0.6173,0.5043,0.5133,4631928.74
1763164800,0.5131,0.5451,0.5096,0.515,1766633.16
