ts,open,high,low,close,volume
1746576000,0.1935,0.1979,0.1914,0.1943,57888.1
1746662400,0.1947,0.2077,0.1937,0.2077,109887.9
1746748800,0.2084,0.2176,0.2083,0.2176,42036.6
1746835200,0.2176,0.2269,0.215,0.2268,111326.8
1746921600,0.2271,0.2334,0.2229,0.2244,134865.7
1747008000,0.2239,0.2306,0.2153,0.2248,25778.2
1747094400,0.2258,0.2336,0.2192,0.2291,101666.7
1747180800,0.2278,0.2288,0.2172,0.2198,100726.8
1747267200,0.2194,0.2207,0.2027,0.2027,93597.7
1747353600,0.205,0.2089,0.2027,0.204,88144
1747440000,0.2027,0.2028,0.198,0.2011,29498.7
1747526400,0.2017,0.2073,0.1971,0.2045,126889.6
1747612800,0.2043,0.2049,0.1932,0.1989,132671.9
1747699200,0.1993,0.2012,0.1944,0.1987,88537.7
1747785600,0.1996,0.2023,0.195,0.1987,141887.1
1747872000,0.199,0.2082,0.1988,0.2067,147701.3
1747958400,0.2064,0.209,0.1924,0.1932,255305.8
1748044800,0.1927,0.1971,0.1923,0.1938,153057.7
1748131200,0.1933,0.194,0.1868,0.194,48107.5
1748217600,0.1932,0.1967,0.1929,0.1957,218001.3
1748304000,0.1959,0.1998,0.1912,0.1981,964951.1
1748390400,0.1983,0.2013,0.1944,0.198,723128.2
1748476800,0.1981,0.2006,0.1899,0.1899,253501.2
1748563200,0.1899,0.1919,0.1768,0.1772,273826.7
1748649600,0.1767,0.1793,0.1744,0.1792,67452.7
1748736000,0.1787,0.1821,0.1759,0.1814,35688.2
1748822400,0.1812,0.183,0.1767,0.1825,161055
1748908800,0.1826,0.1906,0.1771,0.1829,495757.6
1748995200,0.1834,0.1869,0.1818,0.1823,74876.6
1749081600,0.1825,0.1857,0.1724,0.1762,284404.9
1749168000,0.1754,0.1815,0.1752,0.1775,58158.4
1749254400,0.1775,0.1823,0.1775,0.1813,15711.1
1749340800,0.1809,0.1821,0.1799,0.1802,41368.5
1749427200,0.181,0.1853,0.1772,0.1851,122452.8
1749513600,0.185,0.1896,0.1831,0.1895,68674.8
1749600000,0.1894,0.1903,0.1829,0.184,248301.6
1749686400,0.1839,0.1839,0.1729,0.1761,278222.6
1749772800,0.1756,0.1756,0.1656,0.1697,100107.3
1749859200,0.1697,0.1704,0.1666,0.1697,127622.2
1749945600,0.1698,0.1709,0.1667,0.1697,97645.3
