ts,open,high,low,close,volume
1684368000,1.17,1.17,1.1279,1.1416,212408.9
1684454400,1.1423,1.1589,1.1184,1.1312,204380.6
1684540800,1.132,1.1348,1.1117,1.1249,154833.5
1684627200,1.1239,1.1524,1.0577,1.0748,215174.4
1684713600,1.0737,1.078,1.0362,1.0499,228419.2
1684800000,1.051,1.1151,1.0258,1.0536,442144.7
1684886400,1.0539,1.0539,0.9173,0.9803,583155.2
1684972800,0.9826,1.0103,0.9387,0.982,195540.6
1685059200,0.9834,1.0095,0.9653,0.9909,199666.8
1685145600,0.9908,1.0159,0.9838,1.0001,143889
1685232000,0.997,1.0715,0.994,1.0623,508247
1685318400,1.0636,1.0998,1.0255,1.0407,1271114.4
1685404800,1.0443,1.0632,0.9989,1.0019,1127964.1
1685491200,1.0011,1.01,0.945,0.9741,671833.9
1685577600,0.9754,0.9794,0.9407,0.9467,343504.9
1685664000,0.944,0.9619,0.9075,0.9421,984218.5
1685750400,0.9408,0.9504,0.9092,0.9341,312451
1685836800,0.9307,0.9777,0.9278,0.9605,337861.5
1685923200,0.9601,0.9697,0.7509,0.8184,1906340.6
1686009600,0.8179,0.8494,0.7559,0.8317,1212224
1686096000,0.8276,0.8291,0.735,0.7576,675500.8
1686182400,0.7575,0.7933,0.7159,0.7304,854483.7
1686268800,0.7292,0.763,0.7118,0.7389,609803.2
1686355200,0.7396,0.7404,0.51,0.6104,2263340.5
1686441600,0.6121,0.6244,0.5879,0.605,856487.8
1686528000,0.6057,0.6885,0.57,0.6622,1168800.1
1686614400,0.6625,0.7299,0.6619,0.6979,2029534.5
1686700800,0.6977,0.7115,0.6297,0.6503,1058621.5
1686787200,0.6489,0.6586,0.6187,0.6482,568187.6
1686873600,0.6464,0.7271,0.6237,0.7075,1186303.6
1686960000,0.7055,0.7796,0.7049,0.7504,2129107.9
1687046400,0.751,0.7954,0.714,0.7177,857639.9
1687132800,0.7218,0.7924,0.7099,0.7844,869913.2
1687219200,0.7828,0.8279,0.75,0.8183,2236734.1
1687305600,0.8167,0.85,0.7694,0.8307,2880017.4
1687392000,0.8309,0.8907,0.7925,0.8038,2389142.4
1687478400,0.8087,0.8349,0.7767,0.7986,1959323.4
1687564800,0.798,0.798,0.7263,0.7535,1038801.9
1687651200,0.7549,0.78,0.7411,0.745,736285.1
1687737600,0.743,0.7588,0.7124,0.7255,538637.2
1687824000,0.7246,0.7569,0.7023,0.7213,1073733.6
1687910400,0.7196,0.7196,0.6377,0.6638,1142115.4
1687996800,0.6633,0.7283,0.6609,0.6798,2291090.4
1688083200,0.6803,0.7116,0.6278,0.6889,2109379.5
1688169600,0.6883,0.6889,0.6673,0.6888,485276.2
1688256000,0.6888,0.6932,0.6611,0.691,687590.1
1688342400,0.6915,0.7167,0.6856,0.7,2100732.2
1688428800,0.6961,0.7367,0.6813,0.6858,1221523
1688515200,0.6877,0.6901,0.6461,0.6627,773956.3
1688601600,0.6611,0.681,0.6347,0.6479,630743.5
1688688000,0.6494,0.6673,0.6412,0.6608,515677
1688774400,0.6611,0.6675,0.642,0.6526,247807.3
1688860800,0.6518,0.6655,0.6511,0.6582,198788.8
1688947200,0.6568,0.666,0.6292,0.6551,690406.7
1689033600,0.6565,0.6688,0.6442,0.656,409348.1
