ts,open,high,low,close,volume
1768248000,1.7972,1.8062,1.7831,1.7876,385853.2
1768251600,1.7872,1.7872,1.7512,1.762,865289.9
1768255200,1.762,1.775,1.7618,1.7685,703116
1768258800,1.7685,1.7699,1.756,1.76,760175.2
1768262400,1.759,1.7724,1.758,1.7646,833335.6
1768266000,1.7646,1.7707,1.751,1.7569,343156.8
1768269600,1.7569,1.767,1.755,1.7557,262719.6
1768273200,1.7563,1.7676,1.752,1.7627,946170.8
1768276800,1.7627,1.7798,1.7621,1.7798,412514
1768280400,1.78,1.8055,1.7793,1.7903,858210.4
1768284000,1.7905,1.7982,1.7864,1.7929,527805.6
1768287600,1.7932,1.7942,1.7866,1.7914,189255.3
1768291200,1.792,1.8035,1.7903,1.8001,254262.9
1768294800,1.8002,1.8064,1.7873,1.7988,773050.9
1768298400,1.799,1.8021,1.7858,1.7927,331318.4
1768302000,1.7924,1.7979,1.7881,1.7934,199331.7
1768305600,1.7932,1.795,1.7844,1.7929,316529.6
1768309200,1.793,1.8123,1.7888,1.8005,795028.7
1768312800,1.8012,1.8313,1.7924,1.8121,1788694.8
1768316400,1.812,1.8382,1.7926,1.8375,1465166.2
1768320000,1.8372,1.8485,1.8262,1.836,1731292.8
1768323600,1.8363,1.8388,1.815,1.8203,899830.9
1768327200,1.8202,1.8344,1.8181,1.8284,571328.8
1768330800,1.828,1.8456,1.8222,1.8432,534695.8
1768334400,1.8434,1.8644,1.8285,1.8418,1947930.6
1768338000,1.842,1.8475,1.8369,1.8411,512252.5
1768341600,1.8411,1.9399,1.8399,1.9026,3147795.5
1768345200,1.9028,1.91,1.8675,1.8802,1292010.6
1768348800,1.8799,1.8961,1.8759,1.8805,885726.4
1768352400,1.8807,1.8836,1.8595,1.8649,706690.6
1768356000,1.8647,1.884,1.8577,1.8633,927804.3
1768359600,1.8632,1.8816,1.8604,1.8807,439699.9
1768363200,1.8806,1.8839,1.8567,1.8572,534234.3
1768366800,1.8571,1.8571,1.8391,1.8418,592948.8
1768370400,1.8417,1.8445,1.8264,1.8435,647584.1
1768374000,1.8435,1.8512,1.8385,1.8459,289591
1768377600,1.8456,1.8506,1.837,1.8372,196387.3
1768381200,1.8376,1.844,1.835,1.8397,223824.8
1768384800,1.8399,1.8466,1.8299,1.8337,352253.1
1768388400,1.8336,1.8342,1.8137,1.8185,999211.5
1768392000,1.8185,1.8324,1.816,1.8279,350503
1768395600,1.8277,1.8303,1.811,1.815,676621.4
1768399200,1.815,1.8575,1.814,1.8423,1233538.3
1768402800,1.8423,1.856,1.8283,1.8407,1435708.2
1768406400,1.8408,1.9649,1.8401,1.9039,5730227.4
1768410000,1.9037,1.9154,1.8355,1.8433,3038729.1
1768413600,1.8428,1.8581,1.8174,1.8346,1469089.2
1768417200,1.8346,1.8638,1.8278,1.8462,1461372.3
1768420800,1.8448,1.8632,1.8361,1.8495,855363.7
1768424400,1.8493,1.8537,1.8349,1.8442,950755.1
1768428000,1.8443,1.8525,1.8358,1.8498,942347.9
1768431600,1.8499,1.8709,1.8499,1.8533,937721.9
1768435200,1.8534,1.8535,1.8356,1.8441,517306.9
1768438800,1.8442,1.8562,1.8201,1.8253,656340.6
1768442400,1.825,1.8292,1.799,1.8072,1071573.1
1768446000,1.8071,1.8117,1.778,1.785,1705583.2
1768449600,1.7845,1.8021,1.7822,1.8004,616834
1768453200,1.7997,1.8073,1.799,1.8035,502389.5
1768456800,1.8034,1.8111,1.7925,1.7954,298766.9
1768460400,1.7955,1.8194,1.794,1.8157,295341.9
1768464000,1.8154,1.8197,1.8065,1.8118,252911.1
1768467600,1.8116,1.8412,1.8034,1.835,567979.7
1768471200,1.8352,1.8406,1.8258,1.8394,598234.5
1768474800,1.8394,1.8529,1.835,1.8357,280412.9
1768478400,1.8357,1.8483,1.8033,1.8254,1357591
1768482000,1.825,1.8311,1.8163,1.825,420790.3
1768485600,1.825,1.8341,1.8,1.8121,861241.1
1768489200,1.8118,1.8219,1.7692,1.8023,1544139.2
1768492800,1.802,1.8047,1.7808,1.801,826459.6
1768496400,1.801,1.8129,1.7861,1.7898,1002628.8
1768500000,1.79,1.7932,1.7585,1.7693,672791
1768503600,1.7687,1.7771,1.7557,1.7702,622452.8
1768507200,1.7704,1.7935,1.7696,1.7785,1401588.3
1768510800,1.7786,1.788,1.7751,1.7797,315561.8
1768514400,1.7796,1.7885,1.7723,1.7805,552635.5
1768518000,1.7804,1.7893,1.7742,1.7792,122025.1
1768521600,1.7801,1.7869,1.7779,1.7812,212842.1
1768525200,1.7814,1.7854,1.773,1.7838,386016.5
1768528800,1.7838,1.7936,1.7734,1.7928,375955.4
1768532400,1.7924,1.7979,1.7739,1.7743,355067.3
1768536000,1.7742,1.7813,1.7643,1.773,400583.1
1768539600,1.7727,1.792,1.7698,1.7882,342079.2
1768543200,1.7882,1.7924,1.7817,1.7907,182405.1
1768546800,1.79,1.7915,1.7782,1.7797,212901.5
1768550400,1.7803,1.7918,1.7798,1.7861,204330.9
1768554000,1.7861,1.7922,1.7843,1.786,88921.9
1768557600,1.7859,1.7867,1.7784,1.7805,113092.4
1768561200,1.7804,1.7826,1.7748,1.782,125901.1
1768564800,1.7816,1.784,1.7746,1.7793,170706.8
1768568400,1.7794,1.7794,1.7627,1.7688,434007.5
1768572000,1.7691,1.7834,1.7685,1.7711,455549
1768575600,1.771,1.7822,1.7046,1.7222,4262036.5
1768579200,1.722,1.7548,1.719,1.7446,1599028.5
1768582800,1.7449,1.7519,1.7317,1.7494,614582.4
1768586400,1.7502,1.7623,1.7502,1.7592,958566.8
1768590000,1.7586,1.7685,1.7481,1.7648,960118.7
1768593600,1.7648,1.7848,1.7532,1.7829,1668076.7
1768597200,1.7831,1.7913,1.7755,1.7821,443636.7
1768600800,1.7797,1.7915,1.7797,1.7876,296989.4
1768604400,1.7876,1.7928,1.7855,1.788,220273.8
1768608000,1.7882,1.7893,1.7794,1.7826,281889.9
1768611600,1.7825,1.7872,1.7806,1.7853,155293.8
1768615200,1.7855,1.7858,1.7791,1.7823,184682.9
1768618800,1.7827,1.7851,1.7781,1.7845,112163.1
1768622400,1.7841,1.7925,1.7833,1.7908,143176.8
1768626000,1.7903,1.8032,1.7903,1.7978,245458.7
1768629600,1.7976,1.8013,1.7934,1.795,101101.4
1768633200,1.7948,1.7962,1.7887,1.7931,124056.8
1768636800,1.7936,1.8077,1.7916,1.8055,214967.1
1768640400,1.8054,1.8063,1.7974,1.7998,109039.4
1768644000,1.8001,1.802,1.7908,1.7922,53671.2
1768647600,1.792,1.7964,1.7854,1.792,171988.5
1768651200,1.7922,1.8031,1.7912,1.8028,89459.7
1768654800,1.803,1.8153,1.7979,1.8024,647157.6
1768658400,1.8024,1.8129,1.7959,1.8105,559605.6
1768662000,1.8106,1.8138,1.7997,1.8092,375628.8
1768665600,1.8092,1.8116,1.7835,1.7928,1308962.8
1768669200,1.7928,1.796,1.7867,1.7949,483731.6
1768672800,1.7943,1.7958,1.7904,1.793,141855.8
1768676400,1.7929,1.7957,1.7895,1.793,89959.1
1768680000,1.7927,1.7957,1.7876,1.7896,137177
1768683600,1.7895,1.7902,1.7829,1.7879,197770.5
1768687200,1.7878,1.7881,1.7739,1.7821,258501.9
1768690800,1.7816,1.7866,1.7802,1.786,224581.9
1768694400,1.7858,1.7939,1.7808,1.7825,148870
1768698000,1.7825,1.7841,1.7651,1.774,352072.7
1768701600,1.7742,1.7837,1.7711,1.7764,198383
1768705200,1.7765,1.7847,1.776,1.7795,98776.8
1768708800,1.779,1.7833,1.776,1.7812,102308.7
1768712400,1.7815,1.7836,1.778,1.7798,117357.6
1768716000,1.7799,1.7817,1.7755,1.7803,44930.2
1768719600,1.7796,1.7807,1.7722,1.774,128578.3
1768723200,1.7739,1.7766,1.771,1.774,196108.4
1768726800,1.7738,1.7803,1.773,1.7779,54411.8
1768730400,1.7779,1.7779,1.7678,1.7722,148769.9
1768734000,1.7721,1.7762,1.7696,1.7732,84161.4
1768737600,1.7731,1.7781,1.7693,1.7711,42344.2
1768741200,1.7709,1.7749,1.7631,1.7713,337213.9
1768744800,1.771,1.7829,1.7661,1.7676,221062.4
1768748400,1.7677,1.7754,1.7601,1.7732,146385.2
1768752000,1.7733,1.7795,1.7684,1.7697,259551.3
1768755600,1.77,1.7761,1.7655,1.7747,198016.4
1768759200,1.7754,1.7967,1.7733,1.7928,403249.1
1768762800,1.7932,1.7957,1.7725,1.7727,171016.1
1768766400,1.7727,1.7843,1.7688,1.7811,157084.3
1768770000,1.7812,1.7858,1.7791,1.7815,110846.9
1768773600,1.7818,1.7896,1.7802,1.7843,198582.6
1768777200,1.7838,1.7844,1.693,1.695,2477373
1768780800,1.6945,1.6945,1.5117,1.5873,11655254.8
1768784400,1.587,1.6054,1.5655,1.5781,3895622.4
1768788000,1.578,1.5929,1.5716,1.5844,1067472
1768791600,1.5844,1.5922,1.5831,1.5905,624183.2
1768795200,1.5905,1.5937,1.5776,1.5776,566264.2
1768798800,1.5784,1.5826,1.5611,1.5646,707562
1768802400,1.5648,1.5711,1.5533,1.5568,991883.8
1768806000,1.5568,1.5666,1.5551,1.5621,855983.5
1768809600,1.5616,1.58,1.5562,1.5783,894118
1768813200,1.578,1.5785,1.5664,1.57,629633.2
1768816800,1.5699,1.5699,1.5567,1.5605,714400.8
1768820400,1.5606,1.5698,1.5575,1.5602,362293.1
1768824000,1.5598,1.5598,1.544,1.5544,726219.7
1768827600,1.5544,1.5586,1.5455,1.5494,551159.2
1768831200,1.5494,1.5576,1.5408,1.5502,832744.8
1768834800,1.5511,1.5574,1.544,1.5542,704348.7
1768838400,1.554,1.5824,1.5521,1.5789,1740500.4
1768842000,1.5792,1.5823,1.5707,1.5718,1137063.7
1768845600,1.5719,1.5772,1.5671,1.5743,420551
1768849200,1.5745,1.5836,1.5722,1.5805,372728.6
1768852800,1.5806,1.5836,1.5711,1.5739,501313.5
1768856400,1.5744,1.5802,1.5686,1.5693,426842.8
1768860000,1.5687,1.5736,1.5578,1.5579,511890.6
1768863600,1.5577,1.5748,1.5574,1.5669,476462.6
1768867200,1.5669,1.5704,1.5506,1.5521,476008
1768870800,1.552,1.5726,1.5503,1.5598,578463.5
1768874400,1.5598,1.5643,1.5463,1.5604,492117.4
1768878000,1.5601,1.563,1.5515,1.5587,328530.9
1768881600,1.5588,1.5652,1.5533,1.5544,278320.5
1768885200,1.5543,1.5638,1.5473,1.554,741381.3
1768888800,1.5543,1.5618,1.5403,1.5462,765431.5
1768892400,1.546,1.5503,1.5312,1.5331,507520.8
1768896000,1.5324,1.5387,1.5154,1.5324,1273961.7
1768899600,1.5321,1.5326,1.5195,1.5195,417390.6
1768903200,1.5197,1.5261,1.5173,1.5192,367228.2
1768906800,1.5198,1.525,1.509,1.5122,464139
1768910400,1.5124,1.5192,1.5089,1.5162,568416.6
1768914000,1.5161,1.5161,1.5012,1.5018,475589.3
1768917600,1.5018,1.537,1.5011,1.5256,1519713.9
1768921200,1.5252,1.5303,1.5,1.5156,2396485.5
1768924800,1.5151,1.5241,1.4826,1.4987,1224496.5
1768928400,1.4985,1.5088,1.4864,1.4956,876900.4
1768932000,1.4954,1.5015,1.4882,1.4958,493501.7
1768935600,1.4961,1.5044,1.4882,1.4973,713176.2
1768939200,1.4968,1.5053,1.4887,1.4998,790856.5
1768942800,1.5,1.5013,1.4851,1.4884,568813.1
1768946400,1.4887,1.4953,1.453,1.4774,917807.1
1768950000,1.4777,1.4785,1.4635,1.4679,1056862.9
1768953600,1.468,1.5126,1.4674,1.5034,1444777.9
1768957200,1.5033,1.51,1.4971,1.5026,1022376.4
1768960800,1.5025,1.5125,1.5008,1.5046,442255.2
1768964400,1.5049,1.5118,1.5021,1.5046,369468.1
1768968000,1.5049,1.5086,1.5002,1.5068,232668.7
1768971600,1.5066,1.5238,1.5061,1.5166,471709.7
1768975200,1.5164,1.5164,1.506,1.5077,202974.2
1768978800,1.5076,1.5127,1.5026,1.5047,435067.2
1768982400,1.5041,1.5046,1.4904,1.496,742203.8
1768986000,1.496,1.5037,1.493,1.4975,375942.8
1768989600,1.4975,1.5046,1.4933,1.4933,227902.3
1768993200,1.4932,1.4932,1.4685,1.4705,717470.6
1768996800,1.4704,1.4735,1.4533,1.4712,1072723.1
1769000400,1.4708,1.4828,1.4646,1.4697,689657.5
1769004000,1.4694,1.519,1.4671,1.5155,1753520.8
1769007600,1.5155,1.5312,1.5032,1.5137,1424489.3
1769011200,1.514,1.5158,1.4437,1.4455,1535919.9
1769014800,1.4455,1.4646,1.4393,1.4558,1564192.5
1769018400,1.4556,1.4813,1.4489,1.4753,774157.4
1769022000,1.4759,1.5428,1.4712,1.5398,2351564.5
1769025600,1.5398,1.541,1.5074,1.5369,2504083.2
1769029200,1.5374,1.5466,1.5272,1.5316,846847.7
1769032800,1.5317,1.5437,1.5196,1.5205,358795.7
1769036400,1.5207,1.5248,1.5028,1.5092,1007770.7
1769040000,1.5094,1.5337,1.5093,1.5272,353841.9
1769043600,1.5269,1.535,1.5235,1.5316,368203.1
1769047200,1.5314,1.536,1.5223,1.5248,318659.5
1769050800,1.5251,1.5327,1.516,1.5194,412975
1769054400,1.5193,1.5283,1.5182,1.5253,229916
1769058000,1.5255,1.5259,1.5175,1.5209,134216.8
1769061600,1.5205,1.5315,1.5145,1.5273,423336.5
1769065200,1.5274,1.5277,1.5158,1.5193,203090
1769068800,1.5194,1.5303,1.5173,1.5294,214286.3
1769072400,1.5293,1.535,1.5255,1.5326,264375.9
1769076000,1.5326,1.5334,1.5239,1.5247,135805.6
1769079600,1.5246,1.5264,1.5173,1.521,567268.1
1769083200,1.521,1.5259,1.519,1.5203,203585.1
1769086800,1.5208,1.5303,1.5046,1.5085,549174.2
1769090400,1.5083,1.5127,1.4868,1.4912,988793.2
1769094000,1.491,1.5048,1.4805,1.4954,1003966.9
1769097600,1.4949,1.5098,1.4928,1.5038,395999.3
1769101200,1.504,1.5112,1.4957,1.5085,475783
1769104800,1.5082,1.512,1.4965,1.4965,701646.9
1769108400,1.4969,1.5107,1.4925,1.5059,444387.3
1769112000,1.5057,1.5078,1.4948,1.4984,389211.2
1769115600,1.4986,1.5026,1.4911,1.4932,282111.7
1769119200,1.4936,1.5003,1.49,1.4934,289760.4
1769122800,1.4934,1.496,1.485,1.4941,305329.3
1769126400,1.4942,1.4975,1.4884,1.4926,260071.9
1769130000,1.4928,1.5053,1.4928,1.5044,147692.8
1769133600,1.5042,1.5065,1.4955,1.4957,142237.2
1769137200,1.4957,1.5092,1.4957,1.505,269293.9
1769140800,1.5052,1.5097,1.5029,1.5068,232642.9
1769144400,1.5068,1.5075,1.4989,1.5028,136455.4
1769148000,1.5031,1.5081,1.4925,1.4959,198974.1
1769151600,1.4962,1.5013,1.4947,1.499,119574.1
1769155200,1.4986,1.5009,1.4846,1.4866,199460.3
1769158800,1.4865,1.4935,1.4825,1.4904,225616.9
1769162400,1.4904,1.4948,1.4857,1.4888,160763.5
1769166000,1.4885,1.4984,1.4879,1.4922,419076
1769169600,1.4921,1.4935,1.4843,1.4863,152250
1769173200,1.4865,1.4893,1.4829,1.4841,157389.4
1769176800,1.4838,1.4891,1.4604,1.4732,1054090.2
1769180400,1.4732,1.5046,1.4672,1.5008,894636.3
1769184000,1.5004,1.5184,1.4919,1.507,850189.8
1769187600,1.5071,1.5338,1.4985,1.5139,1142973.8
1769191200,1.5138,1.5225,1.5095,1.5123,935126.6
1769194800,1.5123,1.5127,1.4857,1.4934,853770.8
1769198400,1.4935,1.4966,1.4725,1.48,674063.9
1769202000,1.4798,1.49,1.4787,1.4818,212390.1
1769205600,1.4823,1.4944,1.4823,1.4911,111012.7
1769209200,1.4908,1.4908,1.4857,1.4871,116200.1
1769212800,1.4871,1.4908,1.4812,1.4812,137020.7
1769216400,1.481,1.4831,1.4767,1.4819,231699.5
1769220000,1.4823,1.4889,1.4821,1.4875,124199.6
1769223600,1.4877,1.4956,1.4863,1.4919,163047.5
1769227200,1.4916,1.4927,1.4875,1.4895,176362.1
1769230800,1.4896,1.4906,1.4844,1.4874,93354.9
1769234400,1.4876,1.4893,1.4849,1.4866,94785.9
1769238000,1.4866,1.4881,1.4814,1.4821,138726.8
1769241600,1.4821,1.488,1.4814,1.4874,79810.6
1769245200,1.4876,1.4876,1.4819,1.4827,60613.4
1769248800,1.4829,1.4861,1.4798,1.4856,72462.9
1769252400,1.4856,1.4926,1.4855,1.4862,209600
1769256000,1.4859,1.4905,1.4859,1.4891,95005.3
1769259600,1.4892,1.4919,1.4843,1.4843,274086
1769263200,1.4826,1.4908,1.4804,1.4896,206690.9
1769266800,1.4896,1.4919,1.4785,1.4798,186756.1
1769270400,1.4802,1.4836,1.4726,1.4813,357942.7
1769274000,1.4811,1.4851,1.4795,1.4837,169749
1769277600,1.4846,1.4859,1.4807,1.4823,211189.2
1769281200,1.4821,1.4821,1.4738,1.4775,576054
1769284800,1.4774,1.484,1.4771,1.4818,89347.1
1769288400,1.4819,1.4819,1.4766,1.4791,120464.5
1769292000,1.4791,1.4876,1.4791,1.4876,132518.4
1769295600,1.4878,1.4882,1.4805,1.4825,120343.4
1769299200,1.4824,1.4867,1.4792,1.4867,123106.1
1769302800,1.4867,1.4897,1.4818,1.4855,156385.1
1769306400,1.4855,1.4913,1.4838,1.4853,106609.7
1769310000,1.4854,1.4866,1.47,1.4725,258018
1769313600,1.4724,1.4801,1.4708,1.4739,142935.2
1769317200,1.4738,1.4818,1.4733,1.4816,78358.2
1769320800,1.4812,1.4813,1.4738,1.4741,232206.9
1769324400,1.474,1.474,1.4625,1.4678,394794.8
1769328000,1.4678,1.4732,1.4591,1.463,283120.7
1769331600,1.4628,1.4714,1.4613,1.4655,270716.1
1769335200,1.4655,1.4813,1.4649,1.4731,327999
1769338800,1.473,1.4755,1.4684,1.4717,96809.9
1769342400,1.4715,1.4719,1.465,1.4702,187905.2
1769346000,1.4699,1.4724,1.464,1.469,384648.3
1769349600,1.4691,1.4696,1.4532,1.4618,657610.1
1769353200,1.4617,1.4675,1.4451,1.4534,819023
1769356800,1.4531,1.4535,1.4043,1.4264,2900105.9
1769360400,1.4264,1.4291,1.4154,1.4193,658443.8
1769364000,1.419,1.4217,1.3979,1.4068,1573956.9
1769367600,1.4066,1.4082,1.36,1.3758,3227094
1769371200,1.3759,1.3905,1.371,1.3831,1495167.8
1769374800,1.383,1.3952,1.3824,1.3922,894783.7
1769378400,1.3922,1.3937,1.3792,1.3842,409713.2
1769382000,1.3846,1.4022,1.3788,1.3987,876110.5
1769385600,1.3985,1.4138,1.3954,1.4131,506924.4
1769389200,1.4132,1.4401,1.4125,1.4347,827504.5
1769392800,1.4348,1.4387,1.4247,1.433,795444.4
1769396400,1.4332,1.4394,1.4213,1.427,510532.6
1769400000,1.4272,1.4495,1.4266,1.444,384749.2
1769403600,1.4442,1.445,1.4391,1.4429,390927.9
1769407200,1.4428,1.4471,1.4392,1.4426,363980
1769410800,1.4424,1.45,1.4395,1.4442,289372.1
1769414400,1.4442,1.4599,1.4419,1.4454,266803.6
1769418000,1.4452,1.4452,1.4274,1.4291,231330
1769421600,1.4295,1.4373,1.4285,1.4353,151124.8
1769425200,1.4354,1.4387,1.4317,1.434,84838.6
1769428800,1.4342,1.4402,1.4308,1.4347,121707.5
1769432400,1.4348,1.4431,1.4337,1.4397,527269
1769436000,1.4397,1.4583,1.428,1.4522,932641.1
1769439600,1.4518,1.4659,1.4306,1.44,925921.5
1769443200,1.4401,1.4547,1.4345,1.4476,1137798.1
1769446800,1.4475,1.4545,1.4307,1.4409,2140504.7
1769450400,1.4412,1.461,1.44,1.4483,894702.7
1769454000,1.4485,1.4545,1.4417,1.4435,477762.9
1769457600,1.4432,1.446,1.4338,1.4366,273164.8
1769461200,1.4363,1.459,1.4344,1.4515,396236.2
1769464800,1.452,1.455,1.4445,1.4449,359377
1769468400,1.4446,1.4497,1.4408,1.4421,187049.4
1769472000,1.4422,1.4425,1.4375,1.4415,149846.2
1769475600,1.4415,1.4526,1.4362,1.447,235514.8
1769479200,1.4474,1.4537,1.4459,1.4507,171327
1769482800,1.4504,1.4532,1.4438,1.4456,163315.1
1769486400,1.4456,1.4538,1.4387,1.4416,284209.6
1769490000,1.4417,1.4417,1.4344,1.4391,242381.5
1769493600,1.4389,1.4405,1.4291,1.4327,231027.8
1769497200,1.4327,1.438,1.4321,1.4372,88291.8
1769500800,1.437,1.4429,1.4343,1.4374,149010.1
1769504400,1.4372,1.4373,1.4305,1.4318,147347.7
1769508000,1.4319,1.4394,1.4319,1.4391,167101.6
1769511600,1.439,1.4405,1.4353,1.4363,69203.2
1769515200,1.4361,1.4409,1.4327,1.4367,100323.6
1769518800,1.4368,1.4373,1.4264,1.4282,476354.2
1769522400,1.4281,1.4424,1.4174,1.421,761718.6
1769526000,1.4212,1.4448,1.42,1.4434,1049567.9
1769529600,1.4436,1.4619,1.4415,1.4557,1381207.3
1769533200,1.4557,1.4557,1.4223,1.4266,1073194
1769536800,1.4266,1.4472,1.4244,1.4403,1048230
1769540400,1.4407,1.4409,1.4308,1.4321,943062.7
1769544000,1.4322,1.4597,1.4301,1.4534,1201290
1769547600,1.4534,1.4557,1.4329,1.4345,935180.4
1769551200,1.4348,1.4447,1.4347,1.4387,409707.2
1769554800,1.4387,1.4457,1.4343,1.4386,472988.8
1769558400,1.4388,1.4409,1.4255,1.4361,378745.7
1769562000,1.4361,1.439,1.4257,1.429,251280.1
1769565600,1.4292,1.4365,1.4283,1.4317,249180.9
1769569200,1.4314,1.4354,1.4277,1.4284,236067.4
1769572800,1.4286,1.4303,1.421,1.4252,316298.7
1769576400,1.4254,1.4299,1.4223,1.4298,256718.9
1769580000,1.4298,1.4388,1.4288,1.4349,370057.3
1769583600,1.4351,1.4351,1.4223,1.4267,361446.2
1769587200,1.4262,1.43,1.4184,1.4185,306942.1
1769590800,1.4187,1.4337,1.4158,1.4324,420334.2
1769594400,1.4324,1.4369,1.4263,1.4269,318087
1769598000,1.4265,1.4456,1.4224,1.4428,719145.4
1769601600,1.4429,1.4429,1.4266,1.4286,720859.4
1769605200,1.4284,1.4358,1.4248,1.4298,453493
1769608800,1.4299,1.4311,1.4092,1.4141,1270161.6
1769612400,1.4138,1.4192,1.394,1.4026,864402.2
1769616000,1.4026,1.411,1.3949,1.4031,453572.4
1769619600,1.4036,1.4192,1.3951,1.4152,525353.1
1769623200,1.4149,1.4149,1.4038,1.4098,322199.4
1769626800,1.4098,1.4174,1.4014,1.412,1321497
1769630400,1.4118,1.424,1.4008,1.4026,507792.6
1769634000,1.4029,1.4083,1.3912,1.4044,586923
1769637600,1.4047,1.4149,1.3966,1.4149,164302.5
1769641200,1.4152,1.4181,1.4015,1.4052,332492.6
1769644800,1.406,1.4086,1.3868,1.3925,491849.1
1769648400,1.3922,1.3962,1.38,1.3845,644188.7
1769652000,1.3841,1.3888,1.347,1.3631,1196287.6
1769655600,1.3629,1.372,1.3586,1.3634,405742.8
1769659200,1.3631,1.3649,1.3532,1.3616,513522.1
1769662800,1.3614,1.366,1.3613,1.3618,260328.7
1769666400,1.3614,1.3678,1.36,1.367,1016441.5
1769670000,1.3673,1.3698,1.3649,1.3658,208432.5
1769673600,1.3656,1.373,1.36,1.3661,337184.9
1769677200,1.3656,1.3697,1.3615,1.3617,190385.3
1769680800,1.3617,1.3629,1.3547,1.3567,208668.6
1769684400,1.3564,1.3571,1.3467,1.3504,709048.3
1769688000,1.3505,1.3546,1.3419,1.349,502878.4
1769691600,1.3488,1.3617,1.3488,1.3596,361306.7
1769695200,1.3598,1.3641,1.3222,1.3253,1575359.8
1769698800,1.3253,1.3265,1.2526,1.2941,6755093.7
1769702400,1.2941,1.3174,1.2879,1.3169,2111836.5
1769706000,1.3162,1.3365,1.3072,1.3113,1243231.3
1769709600,1.3113,1.3171,1.2821,1.2855,1363006.6
1769713200,1.2853,1.3063,1.2826,1.3002,960891
