ts,open,high,low,close,volume
1746576000,0.2193,0.271,0.1964,0.2248,47350398
1746662400,0.2244,0.244,0.2075,0.2267,22904229
1746748800,0.2267,0.2496,0.2151,0.2445,16967032.3
1746835200,0.2444,0.2995,0.2343,0.2855,21345836.7
1746921600,0.2858,0.324,0.2624,0.2731,16734185.4
1747008000,0.2734,0.289,0.2322,0.2473,13162882.1
1747094400,0.2472,0.2734,0.234,0.273,9337229.8
1747180800,0.273,0.3235,0.2652,0.3138,17622511.9
1747267200,0.3138,0.333,0.2626,0.3266,19504175.7
1747353600,0.3268,0.3586,0.3179,0.3387,30067323.6
1747440000,0.3387,0.3824,0.3236,0.3492,13850196.3
1747526400,0.3484,0.385,0.3432,0.3664,11883829.7
1747612800,0.3664,0.3665,0.3114,0.3345,22263998.2
1747699200,0.3347,0.3825,0.332,0.3599,28909994.5
1747785600,0.3598,0.3625,0.3363,0.3413,14927416.6
1747872000,0.3414,0.4165,0.3388,0.3848,31033824.4
1747958400,0.3848,0.41,0.365,0.3866,20594005.6
1748044800,0.3868,0.432,0.3864,0.4278,15409362.4
1748131200,0.4275,0.4601,0.4178,0.4376,33446060.3
1748217600,0.4375,0.47,0.4099,0.4185,19252294
1748304000,0.4185,0.448,0.4066,0.4217,19683106.1
1748390400,0.4218,0.4592,0.4146,0.417,18301034.7
1748476800,0.417,0.44,0.3813,0.3866,16839189.3
1748563200,0.3864,0.3897,0.3439,0.355,16810342.6
1748649600,0.3549,0.3589,0.3175,0.3447,22847168.4
1748736000,0.3448,0.3602,0.3305,0.3568,13410371.1
1748822400,0.357,0.4188,0.3415,0.4141,31235416.2
1748908800,0.4141,0.4597,0.4126,0.4159,29325017.5
1748995200,0.4159,0.4307,0.4008,0.4085,14339536.9
1749081600,0.4087,0.4193,0.35,0.3541,16819188.8
1749168000,0.3545,0.4166,0.35,0.4079,21397892.8
1749254400,0.4078,0.4301,0.3997,0.4203,14451555.9
1749340800,0.4206,0.4288,0.3981,0.4033,7292768.4
1749427200,0.4033,0.4455,0.3879,0.4391,9932811.5
1749513600,0.4392,0.5003,0.4242,0.4876,23159342.2
1749600000,0.4873,0.5351,0.4766,0.4961,17319598.4
1749686400,0.4961,0.5319,0.4774,0.4805,17425826.3
1749772800,0.4809,0.5027,0.4516,0.4946,15153700.1
1749859200,0.4946,0.4959,0.4571,0.4677,10085893.3
1749945600,0.4678,0.5022,0.4561,0.498,6967431.8
1750032000,0.498,0.5559,0.481,0.5235,15900645.6
1750118400,0.5234,0.5551,0.4972,0.5083,18699610.9
1750204800,0.5086,0.5314,0.4863,0.5134,20310737.8
1750291200,0.5134,0.5289,0.4676,0.4787,14856056.6
1750377600,0.4787,0.5052,0.4469,0.4503,18014219.7
1750464000,0.4502,0.4562,0.4159,0.4307,10945106.3
1750550400,0.4308,0.4576,0.3887,0.4345,27406912.2
1750636800,0.4344,0.4986,0.424,0.4905,39539361.9
1750723200,0.4905,0.5697,0.4821,0.5627,21712211.6
1750809600,0.5628,0.6599,0.56,0.5785,37087093.1
1750896000,0.5783,0.6275,0.5722,0.5946,20967326.4
1750982400,0.5947,0.6276,0.5783,0.5846,21347281.4
1751068800,0.5848,0.6283,0.5563,0.625,13068257.1
1751155200,0.6254,0.6408,0.5868,0.6033,11989549.1
1751241600,0.6031,0.6038,0.5312,0.5435,19897360.3
1751328000,0.5435,0.55,0.4935,0.504,20821948.5
1751414400,0.5041,0.5753,0.4924,0.5396,22963819.5
1751500800,0.5395,0.5643,0.5097,0.5128,19824066.4
1751587200,0.5129,0.5557,0.51,0.538,15714769.9
1751673600,0.5382,0.5671,0.5241,0.5508,11501847.1
1751760000,0.551,0.5801,0.535,0.5583,10008931.4
1751846400,0.5582,0.5649,0.5132,0.516,12189221.7
1751932800,0.5159,0.5279,0.4916,0.5105,13971690.3
1752019200,0.5106,0.5351,0.5008,0.5234,11367387.9
1752105600,0.5235,0.5272,0.4632,0.4941,39403620.6
1752192000,0.4941,0.5837,0.4854,0.5346,33564395.7
1752278400,0.5347,0.543,0.4782,0.4976,18174752.8
1752364800,0.4976,0.5004,0.4787,0.4911,17349077.2
1752451200,0.4913,0.535,0.4312,0.4383,37526356.2
1752537600,0.4383,0.4657,0.4327,0.4593,19002563.2
1752624000,0.4593,0.5038,0.4487,0.4804,20863795
1752710400,0.4804,0.4942,0.4283,0.4356,20315006.3
1752796800,0.4355,0.466,0.4027,0.4233,23742394.4
1752883200,0.4234,0.4318,0.4121,0.4279,8061332.6
1752969600,0.4278,0.4524,0.4123,0.4157,14904439.7
1753056000,0.4157,0.4293,0.4014,0.421,17390312.9
1753142400,0.4208,0.4624,0.4146,0.4424,19563333.6
1753228800,0.4424,0.4705,0.4242,0.4431,14130201.3
1753315200,0.4435,0.55,0.4379,0.4822,33258528
1753401600,0.4828,0.6554,0.4702,0.5786,62041165.6
1753488000,0.5783,0.5787,0.5374,0.5541,14200473.5
1753574400,0.554,0.5793,0.5405,0.5617,8350691.1
1753660800,0.5616,0.5616,0.495,0.4978,9942134.2
1753747200,0.4977,0.5217,0.4583,0.4742,8869800.4
1753833600,0.4743,0.4746,0.431,0.4526,12395901.2
1753920000,0.4525,0.4661,0.4097,0.4141,9698189.5
1754006400,0.4142,0.4383,0.3974,0.4254,11717274.8
1754092800,0.4254,0.4299,0.3843,0.4041,5943403.2
1754179200,0.4042,0.4312,0.4,0.418,4827751.3
1754265600,0.4178,0.4647,0.4174,0.4419,10840530.1
1754352000,0.4417,0.4647,0.4187,0.4647,13759190.7
1754438400,0.4647,0.4917,0.4382,0.4744,17733181.3
1754524800,0.4743,0.5178,0.4673,0.4997,12727078.9
1754611200,0.4999,0.5158,0.4793,0.4969,6880978.3
1754697600,0.497,0.54,0.4801,0.5071,7025743.9
1754784000,0.5071,0.5181,0.4852,0.5092,5468287.7
1754870400,0.5093,0.5333,0.493,0.4932,8607347.5
1754956800,0.4931,0.5021,0.4618,0.4692,11360624.3
1755043200,0.4691,0.475,0.4468,0.4703,15278656.3
1755129600,0.4703,0.4707,0.4268,0.4311,7511717.6
1755216000,0.431,0.4432,0.4112,0.4245,3816538.4
1755302400,0.424,0.4419,0.4239,0.4354,1752217.5
1755388800,0.4355,0.451,0.4334,0.4347,3043020.9
1755475200,0.4346,0.4346,0.4051,0.4214,4742890.4
1755561600,0.4214,0.4277,0.3998,0.4029,4418266.4
1755648000,0.403,0.4294,0.4,0.4162,5591287.5
1755734400,0.416,0.4173,0.4,0.4085,4650975.6
1755820800,0.4086,0.4415,0.3908,0.4361,8540287.9
1755907200,0.4361,0.4655,0.4206,0.4655,7815500.9
1755993600,0.4654,0.4952,0.4382,0.4413,13746366.8
1756080000,0.4412,0.4423,0.3877,0.3957,12607998
1756166400,0.3959,0.4177,0.3894,0.4135,6527785.5
1756252800,0.4133,0.4708,0.4129,0.4421,16697627.7
1756339200,0.4422,0.4686,0.431,0.4432,5908870.4
1756425600,0.4433,0.47,0.4347,0.4567,12849187.4
1756512000,0.4567,0.4791,0.4461,0.4738,2853537.8
1756598400,0.4729,0.4765,0.4485,0.4485,2376236.9
1756684800,0.4488,0.4905,0.4415,0.4504,12142855.9
1756771200,0.4502,0.4655,0.4363,0.4566,5495057.9
1756857600,0.4563,0.5088,0.4534,0.4959,10498344.8
1756944000,0.496,0.5087,0.469,0.4764,8151556.8
1757030400,0.4764,0.5264,0.4754,0.501,17042541.9
1757116800,0.5011,0.5292,0.4918,0.4964,6022280.5
1757203200,0.4965,0.5049,0.4831,0.485,4243437.6
1757289600,0.4852,0.4984,0.4767,0.4884,7603400.9
1757376000,0.4885,0.4907,0.4566,0.4591,10920419.7
1757462400,0.4592,0.4665,0.434,0.4426,11398163
1757548800,0.4427,0.4683,0.4422,0.4657,5112520.2
1757635200,0.4659,0.4824,0.4544,0.4776,5899375.1
1757721600,0.4776,0.489,0.4649,0.4697,7555621.7
1757808000,0.4697,0.4776,0.4524,0.4582,4912149.2
1757894400,0.4585,0.4626,0.4261,0.4405,7515674.9
1757980800,0.4404,0.4427,0.4244,0.438,4824925.2
1758067200,0.438,0.4519,0.4271,0.4466,6343395.7
1758153600,0.4467,0.4619,0.4406,0.4458,5205770.8
1758240000,0.446,0.4501,0.4235,0.4265,3566465.3
1758326400,0.4264,0.4343,0.4232,0.4289,3952039.1
1758412800,0.4288,0.4327,0.4198,0.4202,1725993.9
1758499200,0.4201,0.4225,0.388,0.4067,9511919.4
1758585600,0.4066,0.4097,0.3957,0.4021,6645614
1758672000,0.4021,0.422,0.3935,0.4101,5001863.4
1758758400,0.4101,0.4101,0.3722,0.3745,8319851
1758844800,0.3746,0.3898,0.3714,0.3887,5508265.4
1758931200,0.3887,0.39,0.3746,0.3795,1736541.5
1759017600,0.3794,0.3917,0.3671,0.3908,5569906.1
1759104000,0.3908,0.4004,0.3791,0.3895,4142840.3
1759190400,0.3896,0.3907,0.3669,0.3788,5074216.8
1759276800,0.3789,0.4101,0.3703,0.4072,5150285.5
1759363200,0.4073,0.4173,0.4007,0.4086,6424901.6
1759449600,0.4085,0.4394,0.3979,0.4231,8304055.1
1759536000,0.4232,0.4284,0.4034,0.412,2483318.8
1759622400,0.412,0.4302,0.4064,0.4098,4709197.2
1759708800,0.4097,0.4275,0.4041,0.4186,5024003.1
1759795200,0.4184,0.4244,0.3885,0.3895,3919270.6
1759881600,0.3894,0.4133,0.3865,0.4061,2712709.8
1759968000,0.4062,0.4086,0.3832,0.3907,3372347.3
1760054400,0.3908,0.4045,0.2707,0.3377,20028551.9
1760140800,0.3372,0.3505,0.3197,0.3344,8645894.3
1760227200,0.3343,0.4,0.3277,0.3725,9405690.2
1760313600,0.3724,0.4105,0.3585,0.4053,8636837.5
1760400000,0.4055,0.4568,0.391,0.453,18355945.4
1760486400,0.4532,0.4641,0.4269,0.4314,12876211.1
1760572800,0.4311,0.4396,0.3921,0.4051,7633538.1
1760659200,0.405,0.4174,0.3628,0.3754,9842585.8
1760745600,0.3754,0.3852,0.3666,0.3689,2750856.5
1760832000,0.3689,0.3922,0.363,0.3764,5721455.7
1760918400,0.3763,0.3882,0.3555,0.3604,5450302.1
1761004800,0.3605,0.3863,0.35,0.3554,9381494.3
1761091200,0.3554,0.3578,0.3345,0.3474,6556536.2
1761177600,0.3474,0.3778,0.3463,0.3733,7101234.3
1761264000,0.3734,0.3875,0.3689,0.3762,5189825.4
1761350400,0.376,0.3956,0.3735,0.3873,2465849.7
1761436800,0.387,0.4066,0.3801,0.3987,5198623.4
1761523200,0.3981,0.4043,0.3809,0.3844,3776071.9
1761609600,0.3843,0.4053,0.3784,0.3884,4904927.1
1761696000,0.3883,0.4462,0.3833,0.4246,11219319.8
1761782400,0.4248,0.4437,0.3835,0.4125,19409931.8
1761868800,0.4126,0.4412,0.4123,0.4336,12746780.9
1761955200,0.4336,0.4601,0.4315,0.4573,7789314.9
1762041600,0.4571,0.5,0.4305,0.4411,10454799.9
1762128000,0.441,0.4429,0.3975,0.4076,11254691.6
1762214400,0.4074,0.4156,0.3411,0.3733,14232906.3
1762300800,0.3731,0.4334,0.3554,0.4166,18905792.8
1762387200,0.4166,0.4283,0.3943,0.3989,12876700
1762473600,0.399,0.4558,0.3904,0.4506,14926658.6
1762560000,0.4504,0.5048,0.4445,0.4551,14982117.7
1762646400,0.4549,0.4936,0.4342,0.4704,6773893.1
1762732800,0.4705,0.4976,0.4555,0.4661,11054009.4
1762819200,0.4663,0.475,0.43,0.435,6278367.6
1762905600,0.435,0.4613,0.4342,0.4385,4150446.1
1762992000,0.4384,0.4797,0.4318,0.4483,9108085.5
1763078400,0.4483,0.4899,0.4435,0.4482,16517578.5
1763164800,0.4481,0.4671,0.4411,0.4491,5212048.4
1763251200,0.4492,0.4839,0.4356,0.4412,11675333.1
1763337600,0.4413,0.4507,0.3596,0.3888,15685151.8
