ts,open,high,low,close,volume
1763424000,1.813,1.833,1.788,1.792,40964.21
1763510400,1.795,1.798,1.693,1.724,69377.7
1763596800,1.726,1.741,1.559,1.57,78770.83
1763683200,1.57,1.584,1.447,1.523,409924.11
1763769600,1.525,1.554,1.49,1.535,157057.2
1763856000,1.535,1.545,1.458,1.466,192488.15
1763942400,1.464,1.614,1.454,1.549,308150.39
1764028800,1.547,1.573,1.487,1.558,283638.42
1764115200,1.555,1.616,1.545,1.606,130992.77
1764201600,1.606,1.657,1.589,1.634,104179.12
1764288000,1.637,1.657,1.582,1.585,149566.7
1764374400,1.585,1.612,1.575,1.578,88551.58
1764460800,1.579,1.62,1.55,1.596,149526.61
1764547200,1.593,1.593,1.439,1.503,376027.68
1764633600,1.505,1.592,1.487,1.58,124858.48
1764720000,1.581,1.668,1.574,1.648,108302.99
1764806400,1.653,1.659,1.572,1.591,95692.5
1764892800,1.592,1.603,1.533,1.571,103404.19
1764979200,1.572,1.604,1.569,1.604,62395.89
1765065600,1.604,1.674,1.552,1.611,110591.86
1765152000,1.609,1.679,1.604,1.622,208161.54
1765238400,1.621,1.691,1.602,1.666,151409.94
1765324800,1.665,1.705,1.631,1.658,159631.41
1765411200,1.657,1.665,1.591,1.648,140349.89
1765497600,1.647,1.653,1.579,1.611,71350.5
1765584000,1.614,1.628,1.602,1.617,52301.44
1765670400,1.617,1.639,1.536,1.55,89106.6
1765756800,1.547,1.581,1.463,1.495,175682.72
1765843200,1.494,1.566,1.482,1.547,171520.83
1765929600,1.546,1.571,1.46,1.473,138597.68
1766016000,1.474,1.517,1.42,1.438,158696.12
1766102400,1.435,1.495,1.427,1.485,107858.62
1766188800,1.484,1.498,1.464,1.487,35160.7
1766275200,1.486,1.49,1.452,1.461,68493.04
1766361600,1.462,1.484,1.433,1.466,136307.78
1766448000,1.467,1.486,1.444,1.483,109960.83
1766534400,1.482,1.498,1.451,1.493,76698.97
1766620800,1.492,1.569,1.467,1.5,241872.19
1766707200,1.5,1.553,1.495,1.551,129605.03
1766793600,1.551,1.632,1.538,1.621,134026.26
1766880000,1.616,1.67,1.594,1.652,213988.13
1766966400,1.651,1.692,1.563,1.569,279763.15
1767052800,1.565,1.653,1.551,1.624,192206.47
1767139200,1.622,1.664,1.597,1.657,195881.94
1767225600,1.657,1.704,1.652,1.692,129041.52
1767312000,1.69,1.917,1.665,1.8,701719.9
1767398400,1.804,1.886,1.775,1.849,590087.41
1767484800,1.849,1.897,1.836,1.867,283229.79
1767571200,1.867,1.931,1.831,1.894,400772.43
1767657600,1.894,1.967,1.855,1.897,1249500.82
1767744000,1.895,1.912,1.846,1.87,327154.54
1767830400,1.869,1.898,1.817,1.859,450534.91
1767916800,1.859,1.86,1.726,1.743,424717.81
1768003200,1.742,1.79,1.717,1.738,163609.68
1768089600,1.737,1.772,1.727,1.747,270788.16
1768176000,1.744,1.774,1.704,1.727,300903.91
1768262400,1.728,1.818,1.718,1.799,322392.42
1768348800,1.799,1.809,1.733,1.761,351825.2
1768435200,1.762,1.8,1.667,1.671,467603.53
1768521600,1.673,1.741,1.667,1.72,420932.08
1768608000,1.72,1.745,1.699,1.737,188658.09
1768694400,1.736,1.747,1.663,1.664,246271.66
1768780800,1.664,1.664,1.534,1.586,526408.53
1768867200,1.584,1.587,1.504,1.515,433124
1768953600,1.519,1.595,1.514,1.562,607394.27
1769040000,1.563,1.587,1.53,1.541,274684.36
1769126400,1.541,1.555,1.515,1.531,292932.32
1769212800,1.533,1.546,1.51,1.534,114382.61
1769299200,1.534,1.549,1.483,1.505,248438.13
