ts,open,high,low,close,volume
1746576000,0.3922,0.4213,0.3909,0.4022,441461.9
1746662400,0.402,0.4428,0.4009,0.4345,942497.9
1746748800,0.4347,0.4789,0.4327,0.474,748168.6
1746835200,0.4763,0.489,0.463,0.487,496933.8
1746921600,0.4871,0.495,0.4583,0.464,530402.6
1747008000,0.4664,0.4842,0.4467,0.4522,558135.7
1747094400,0.4518,0.4846,0.4401,0.4833,411519.7
1747180800,0.4803,0.4827,0.4552,0.459,226916
1747267200,0.4603,0.473,0.438,0.4434,417531.5
1747353600,0.4446,0.4556,0.4371,0.4392,184543
1747440000,0.4394,0.4394,0.4212,0.4284,259192.3
1747526400,0.4282,0.4464,0.4054,0.4245,597556.6
1747612800,0.4246,0.4379,0.4081,0.436,283790.2
1747699200,0.4359,0.4451,0.4063,0.4139,417320.1
1747785600,0.413,0.4274,0.41,0.4176,587450.3
1747872000,0.4182,0.435,0.414,0.4252,556522.5
1747958400,0.425,0.5489,0.4248,0.4766,4219412.8
1748044800,0.4765,0.479,0.438,0.4552,2355782
1748131200,0.4577,0.4625,0.4402,0.4574,480077.6
1748217600,0.4584,0.5063,0.4531,0.4827,1108755.1
1748304000,0.4842,0.5038,0.4519,0.4719,752003.1
1748390400,0.4727,0.4758,0.4467,0.4665,400315.1
1748476800,0.465,0.4752,0.4376,0.4428,333610.5
1748563200,0.4389,0.4464,0.4126,0.4201,450362.9
1748649600,0.4202,0.436,0.4101,0.4352,239745.1
1748736000,0.4305,0.4367,0.4145,0.4259,252981
1748822400,0.423,0.426,0.4105,0.4209,140726.9
1748908800,0.4203,0.4316,0.4117,0.4152,203419.9
1748995200,0.415,0.4226,0.4029,0.4041,295821.2
1749081600,0.4029,0.4089,0.3601,0.3658,666137
1749168000,0.366,0.3871,0.3638,0.3766,470727.1
1749254400,0.3764,0.3888,0.3756,0.384,114426.9
1749340800,0.3838,0.3864,0.3695,0.3702,230736
1749427200,0.37,0.4036,0.3637,0.4021,345150.9
1749513600,0.4022,0.4105,0.3884,0.3988,445939.9
1749600000,0.3988,0.4027,0.3725,0.3756,329321.8
1749686400,0.3768,0.41,0.3653,0.3758,545509.2
1749772800,0.3774,0.3799,0.3434,0.3608,641270
1749859200,0.3608,0.3615,0.3485,0.3509,95000.9
1749945600,0.351,0.3581,0.3481,0.3564,64225.3
1750032000,0.3572,0.3749,0.3543,0.3667,186167.8
1750118400,0.3668,0.3675,0.3521,0.3547,214890.7
1750204800,0.3543,0.3606,0.3299,0.3448,410701.6
1750291200,0.3449,0.3503,0.3308,0.3383,307892.3
1750377600,0.3375,0.3437,0.3111,0.3152,577900
1750464000,0.3149,0.3275,0.2961,0.3035,635453.6
1750550400,0.3043,0.3228,0.2845,0.2967,603153.8
1750636800,0.298,0.3318,0.2958,0.3285,878075.2
1750723200,0.3289,0.3384,0.3254,0.3297,228348.1
1750809600,0.3306,0.3373,0.3173,0.319,529726.5
1750896000,0.3198,0.3374,0.311,0.3165,392331.4
1750982400,0.3161,0.3263,0.3097,0.3193,191449.2
1751068800,0.3183,0.3188,0.2992,0.302,310657.9
1751155200,0.3012,0.3269,0.3012,0.3269,457898
1751241600,0.3269,0.3524,0.3138,0.3146,1147913.8
1751328000,0.3142,0.3191,0.3033,0.3066,305757.6
1751414400,0.3074,0.342,0.3003,0.3231,830318.5
1751500800,0.3239,0.3317,0.316,0.3203,359781.2
1751587200,0.3209,0.325,0.3086,0.3179,477071.8
1751673600,0.316,0.3225,0.3011,0.3075,415523.8
1751760000,0.3076,0.329,0.3066,0.3249,182643.4
1751846400,0.3241,0.3553,0.3207,0.3302,551009.5
1751932800,0.3301,0.3345,0.3189,0.3243,239476.7
1752019200,0.323,0.3342,0.3139,0.3191,295893.7
1752105600,0.3186,0.3536,0.3149,0.3504,535628.3
1752192000,0.3508,0.3544,0.3362,0.3425,400822.5
1752278400,0.3421,0.3421,0.3247,0.3255,237392.9
1752364800,0.3277,0.35,0.3239,0.3347,510988.7
