ts,open,high,low,close,volume
1746576000,11.07,11.25,10.67,10.98,1344352.993
1746662400,10.99,12.76,10.96,12.59,4201192.307
1746748800,12.59,14.91,12.43,14.26,6715139.174
1746835200,14.27,15.24,13.75,14.91,2946899.325
1746921600,14.92,15.22,13.39,13.74,2007310.838
1747008000,13.75,14.71,12.19,13.07,4954529.58
1747094400,13.08,13.87,12.29,13.78,2905376.151
1747180800,13.77,13.98,12.92,13.38,2122997.705
1747267200,13.37,13.58,12.35,12.78,2619701.313
1747353600,12.78,13.15,12.45,12.64,1534372.349
1747440000,12.63,13.3,12.22,12.66,2140624.832
1747526400,12.67,13.6,12.61,13.25,1975089.656
1747612800,13.26,13.35,12.33,12.86,1501524.899
1747699200,12.87,14.66,12.71,14.44,2761591.874
1747785600,14.45,15.2,13.86,14.39,4469802.285
1747872000,14.39,15.93,13.96,14.72,5431966.46
1747958400,14.72,14.73,12.42,12.53,5123136.383
1748044800,12.53,13.15,12.45,12.92,1325063.209
1748131200,12.92,12.94,12.28,12.83,1371782.051
1748217600,12.83,13.27,12.56,12.73,1831918.466
1748304000,12.74,13.06,12.38,12.78,1146285.164
1748390400,12.78,12.91,12.07,12.48,986644.099
1748476800,12.48,12.76,11.85,11.95,1125601.008
1748563200,11.95,12.01,10.69,10.84,1620649.404
1748649600,10.84,11.4,10.43,11.25,1405124.891
1748736000,11.25,11.42,10.95,11.39,489002.937
1748822400,11.38,11.41,11.04,11.33,537700.749
1748908800,11.32,11.92,11.1,11.2,1967004.944
1748995200,11.19,11.26,10.74,10.81,848073.907
1749081600,10.8,10.99,9.37,9.73,2101894.631
1749168000,9.74,10.93,9.63,10.12,1650227.932
1749254400,10.13,10.55,10.05,10.38,578132.09
1749340800,10.39,10.56,10.19,10.4,325308.273
1749427200,10.41,10.89,10.26,10.85,711100.419
1749513600,10.85,11.03,10.6,10.97,748585.836
1749600000,10.97,11.15,10.54,10.7,955026.65
1749686400,10.7,10.73,9.9,10.13,672473.275
1749772800,10.13,10.28,9.69,10.22,830586.559
1749859200,10.22,10.7,9.87,10.03,676612.954
1749945600,10.03,10.11,9.81,9.97,304891.552
1750032000,9.97,10.18,9.58,9.66,714505.432
1750118400,9.66,9.84,9.32,9.53,569468.743
1750204800,9.52,9.6,9.11,9.38,641513.11
1750291200,9.39,9.45,9.21,9.36,230803.725
1750377600,9.37,9.46,8.9,9.19,609469.254
1750464000,9.19,9.37,8.59,8.98,438984.428
1750550400,8.98,9.06,8.31,8.74,757674.115
1750636800,8.74,9.34,8.51,9.3,821754.265
1750723200,9.3,9.51,9.15,9.31,808044.355
1750809600,9.31,9.32,8.89,8.95,522896.572
1750896000,8.94,9.1,8.76,8.97,732010.68
1750982400,8.97,9.07,8.85,9.01,578232.656
1751068800,9.02,9.13,8.96,9.12,292969.236
1751155200,9.12,9.3,8.99,9.24,194905.943
1751241600,9.25,9.25,8.82,8.89,382573.293
1751328000,8.89,9.02,8.52,8.58,479232.731
1751414400,8.58,8.98,8.5,8.83,874232.091
1751500800,8.84,9.06,8.81,8.92,344436.644
1751587200,8.92,8.94,8.46,8.5,378500.141
1751673600,8.5,8.64,8.44,8.54,232609.224
1751760000,8.54,8.74,8.47,8.63,353343.287
1751846400,8.64,8.71,8.51,8.58,316526.852
1751932800,8.58,8.68,8.45,8.62,274777.571
1752019200,8.63,9.09,8.56,9.07,1339580.401
1752105600,9.07,9.84,8.98,9.79,1052065.067
1752192000,9.8,10.42,9.65,9.92,2402538.648
1752278400,9.93,9.99,9.38,9.61,762291.802
1752364800,9.6,9.89,9.46,9.53,579715.243
1752451200,9.53,9.95,9.24,9.43,907626.593
1752537600,9.43,9.52,9.01,9.49,755254.122
1752624000,9.49,10.44,9.35,9.87,1493828.376
1752710400,9.86,10.29,9.6,10,1324389.233
1752796800,10,10.94,9.78,10.01,1576948.365
1752883200,10,10.24,9.76,10.17,499553.533
1752969600,10.18,10.91,10.1,10.74,1000054.733
1753056000,10.75,11.91,10.46,11.22,1947797.353
1753142400,11.22,11.34,10.55,11.16,1133686.234
1753228800,11.16,11.16,9.81,10.13,1097116.694
1753315200,10.13,10.26,9.5,9.99,1007238.641
1753401600,10,10.13,9.65,10.13,624864.848
1753488000,10.12,10.3,10,10.15,343728.413
1753574400,10.15,10.41,10.04,10.32,460230.836
1753660800,10.31,10.52,9.66,9.73,866636.809
1753747200,9.73,9.82,9.32,9.5,567895.318
1753833600,9.5,9.53,8.9,9.31,594175.972
1753920000,9.3,9.46,8.92,8.96,376727.751
1754006400,8.95,8.97,8.5,8.71,691990.702
1754092800,8.7,8.83,8.44,8.62,484648.899
1754179200,8.62,8.87,8.51,8.82,246524.534
1754265600,8.82,9.05,8.81,9.04,299052.879
1754352000,9.04,9.05,8.55,8.68,395310.212
1754438400,8.68,8.9,8.57,8.86,356115.61
1754524800,8.85,9.25,8.8,9.25,399920.74
1754611200,9.26,9.45,9.11,9.4,523910.457
1754697600,9.41,9.68,9.38,9.52,374898.532
1754784000,9.53,9.69,9.14,9.28,479985.645
1754870400,9.27,9.54,8.73,8.79,676773.305
1754956800,8.79,9.41,8.71,9.23,701237.15
1755043200,9.23,9.74,9.1,9.63,968745.78
1755129600,9.63,10.21,8.75,9.08,1585418.903
1755216000,9.08,9.66,8.85,9.25,963977.53
1755302400,9.25,9.34,9.02,9.11,380721.416
1755388800,9.12,9.56,9.07,9.24,752129.724
1755475200,9.24,9.26,8.89,9.08,531843.741
1755561600,9.07,9.14,8.59,8.62,657758.758
1755648000,8.61,8.94,8.57,8.9,435028.015
1755734400,8.91,8.96,8.31,8.41,700306.293
1755820800,8.4,9.03,8.21,9,893010.998
1755907200,9,9.01,8.7,8.91,548435.469
1755993600,8.92,8.95,8.54,8.67,710480.29
1756080000,8.68,8.77,8.03,8.18,668967.819
1756166400,8.18,8.53,8.11,8.45,596105.076
1756252800,8.44,8.5,8.36,8.42,387573.591
1756339200,8.42,8.68,8.35,8.56,456834.706
1756425600,8.56,8.59,8.21,8.37,683312.869
1756512000,8.37,8.42,8.23,8.37,225732.519
1756598400,8.38,8.94,8.36,8.63,733679.663
1756684800,8.62,9.24,8.23,8.34,2304214.166
1756771200,8.34,8.48,8.24,8.4,650405.751
1756857600,8.39,8.47,8.36,8.43,361238.738
1756944000,8.44,8.46,8.15,8.29,363123.69
1757030400,8.29,8.45,8.26,8.36,327285.243
1757116800,8.35,8.39,8.28,8.36,186304.5
1757203200,8.35,8.52,8.35,8.49,281864.627
1757289600,8.49,8.68,8.45,8.62,308390.699
1757376000,8.63,8.86,8.53,8.67,460870.738
1757462400,8.68,8.89,8.61,8.81,340007.488
1757548800,8.82,8.85,8.63,8.83,285907.523
1757635200,8.83,9.04,8.78,9,439119.608
1757721600,9,9.53,8.94,9.25,707199.336
1757808000,9.24,9.26,8.65,8.74,420127.021
1757894400,8.74,8.83,8.39,8.53,420640.937
1757980800,8.54,8.66,8.43,8.61,276978.657
1758067200,8.6,8.75,8.45,8.7,413987.84
1758153600,8.71,8.77,8.62,8.66,364124.48
1758240000,8.66,8.7,8.35,8.42,278091.324
1758326400,8.42,8.51,8.37,8.45,154653.905
1758412800,8.45,8.49,8.34,8.37,203806.979
1758499200,8.37,8.4,6.88,7.68,1590657.285
1758585600,7.68,7.75,7.56,7.63,408982.592
1758672000,7.64,7.78,7.5,7.7,441502.355
1758758400,7.7,7.71,7.32,7.42,794315.164
1758844800,7.42,7.62,7.4,7.59,556437.789
1758931200,7.59,7.63,7.49,7.57,259532.585
1759017600,7.57,7.67,7.43,7.65,408093.155
1759104000,7.65,7.67,7.49,7.58,307320.234
1759190400,7.57,7.59,7.23,7.38,492548.148
1759276800,7.39,7.6,7.32,7.59,449960.238
1759363200,7.59,7.85,7.58,7.83,393633.478
1759449600,7.82,7.91,7.68,7.86,407649.287
1759536000,7.86,7.89,7.63,7.75,288712.469
1759622400,7.76,7.98,7.7,7.79,294447.035
1759708800,7.78,8.04,7.73,7.95,309405.532
1759795200,7.96,7.99,7.51,7.52,443358.168
1759881600,7.52,7.94,7.49,7.73,1235822.53
1759968000,7.74,7.86,7.39,7.54,616367.549
1760054400,7.53,7.59,4.57,5.59,2089987.554
1760140800,5.58,6.19,5.23,5.86,1317512.116
1760227200,5.87,6.29,5.77,6.2,596690.015
1760313600,6.2,6.64,6.16,6.56,849588.403
1760400000,6.56,6.57,6.03,6.29,618498.067
1760486400,6.3,6.39,5.97,6.07,476140.531
1760572800,6.08,6.14,5.88,5.94,457858.446
1760659200,5.94,6,5.6,5.76,620600.437
1760745600,5.76,5.94,5.74,5.88,295770.033
1760832000,5.88,6,5.81,5.96,251265.278
1760918400,5.95,6.06,5.89,5.98,299396.431
1761004800,5.98,6.19,5.82,5.87,506331.807
1761091200,5.86,5.9,5.56,5.72,321780.478
1761177600,5.72,6.04,5.71,5.86,380494.44
1761264000,5.86,5.98,5.83,5.96,210527.918
1761350400,5.96,6.01,5.9,5.99,120088.36
1761436800,5.99,6.31,5.94,6.27,446136.198
1761523200,6.26,8.06,6.18,7.1,4277331.1
1761609600,7.09,7.78,6.71,7.18,3793450.738
1761696000,7.17,8.56,7.14,8.27,5625690.092
1761782400,8.26,8.69,7.11,7.52,4755491.945
