ts,open,high,low,close,volume
1746576000,0.00548,0.005858,0.00521,0.005391,1206054494
1746662400,0.005389,0.00634,0.005289,0.00595,1625252902
1746748800,0.00595,0.006582,0.005823,0.005957,1360212384
1746835200,0.005961,0.00624,0.005666,0.006092,822239272
1746921600,0.006094,0.006132,0.005685,0.005856,547810992
1747008000,0.005849,0.006417,0.00537,0.00567,960265908
1747094400,0.005675,0.006081,0.005432,0.005882,493137034
1747180800,0.005884,0.005941,0.005484,0.00562,538831585
1747267200,0.005628,0.005698,0.004956,0.00518,707164086
1747353600,0.005182,0.00568,0.005088,0.005275,712928725
1747440000,0.005275,0.005303,0.004823,0.004906,676068615
1747526400,0.004905,0.005858,0.004877,0.00532,795015022
1747612800,0.005323,0.005765,0.004874,0.005669,1046655943
1747699200,0.005672,0.005859,0.005222,0.005424,708697254
1747785600,0.005426,0.005687,0.005287,0.005485,510567752
1747872000,0.005491,0.005832,0.005471,0.005804,517318398
1747958400,0.005807,0.0061,0.00502,0.005067,1088397839
1748044800,0.005068,0.005625,0.005032,0.00522,432880621
1748131200,0.005218,0.005267,0.004837,0.005248,411076188
1748217600,0.005248,0.005506,0.005153,0.005227,355998513
1748304000,0.005226,0.005473,0.005076,0.005337,370727900
1748390400,0.005338,0.005444,0.005012,0.00527,283798671
1748476800,0.00527,0.005472,0.004995,0.005022,628761743
1748563200,0.005018,0.005033,0.004051,0.004112,777963101
1748649600,0.004113,0.00442,0.003912,0.004296,462204017
1748736000,0.004298,0.004451,0.004156,0.004442,251620590
1748822400,0.004443,0.004486,0.004172,0.004419,353133930
1748908800,0.004418,0.004586,0.004276,0.004323,307477774
1748995200,0.004325,0.004394,0.004022,0.004067,288206966
1749081600,0.004065,0.004197,0.003594,0.003737,454906066
1749168000,0.003737,0.004132,0.003737,0.003965,586474319
1749254400,0.003966,0.004275,0.00396,0.004095,373445252
1749340800,0.004095,0.004183,0.00394,0.004058,269766324
1749427200,0.004057,0.004471,0.003975,0.004398,402523826
1749513600,0.004398,0.004661,0.004313,0.00458,245726201
1749600000,0.004578,0.004641,0.004192,0.004268,368356186
1749686400,0.004267,0.004272,0.003824,0.003868,421391674
1749772800,0.003867,0.003868,0.003475,0.003814,589327340
1749859200,0.003816,0.003984,0.003606,0.003691,281934101
1749945600,0.003693,0.003784,0.003623,0.003713,145353942
1750032000,0.003707,0.004196,0.003651,0.003812,496417322
1750118400,0.003806,0.00392,0.003438,0.003615,335750500
1750204800,0.003617,0.00377,0.00354,0.003706,514438693
1750291200,0.003708,0.00379,0.003564,0.003674,254311725
1750377600,0.003674,0.003855,0.003443,0.003501,298239272
1750464000,0.003503,0.003606,0.003155,0.003317,256455555
1750550400,0.003316,0.003364,0.002903,0.003124,476490776
1750636800,0.003122,0.003663,0.003096,0.003649,481010278
