ts,open,high,low,close,volume
1660521600,8.882,9.17,8.278,8.475,1445292.117915
1660608000,8.467,8.571,8.188,8.34,1458916.537844
1660694400,8.342,8.676,7.865,7.961,1502705.904218
1660780800,7.961,8.207,7.426,7.574,1545951.095833
1660867200,7.572,7.693,6.803,6.895,2384361.694756
1660953600,6.892,7.196,6.734,7.009,1080212.185959
1661040000,7.014,7.321,6.976,7.211,732377.849326
1661126400,7.209,7.343,6.621,6.983,1087082.489684
1661212800,6.985,7.209,6.75,7.109,968495.37511
1661299200,7.118,7.286,6.871,7.045,615772.708309
1661385600,7.048,7.249,6.925,7.023,914877.698724
1661472000,7.023,7.023,6.074,6.154,2085765.62122
1661558400,6.153,6.207,5.95,6.057,846571.181775
1661644800,6.055,6.109,5.704,5.739,874912.882679
1661731200,5.735,6.4,5.68,6.339,997257.151485
1661817600,6.34,6.457,5.94,6.174,1124325.735074
1661904000,6.175,6.421,6.1,6.145,1071932.420882
1661990400,6.146,6.365,5.957,6.315,726148.378611
1662076800,6.315,6.693,6.2,6.406,1009509.450849
1662163200,6.403,6.41,6.223,6.305,462078.462758
1662249600,6.305,6.52,6.229,6.488,800224.805466
1662336000,6.488,6.668,6.192,6.576,1139729.631845
1662422400,6.583,6.754,5.782,5.829,1561532.828583
1662508800,5.831,6.232,5.707,6.116,1101496.046339
1662595200,6.116,6.259,5.953,6.173,1121141.789468
1662681600,6.173,6.712,6.169,6.505,1518208.263982
1662768000,6.51,6.726,6.439,6.674,1395400.039134
1662854400,6.679,6.736,6.37,6.491,1058762.136298
1662940800,6.491,6.968,6.373,6.657,1524264.718657
1663027200,6.66,6.77,5.994,6.034,1276332.489922
1663113600,6.035,6.236,5.958,6.182,903371.752759
1663200000,6.182,6.238,5.775,5.884,1230001.765104
1663286400,5.887,5.933,5.659,5.824,612395.701098
1663372800,5.821,6.04,5.814,6.014,444370.373648
1663459200,6.012,6.048,5.344,5.466,500097.895367
1663545600,5.465,5.525,5.206,5.479,984340.582785
1663632000,5.479,5.554,5.271,5.294,695172.15641
1663718400,5.289,5.753,5.14,5.338,1145779.588644
1663804800,5.329,5.856,5.324,5.734,960186.930134
1663891200,5.735,5.988,5.7,5.913,1103783.51588
1663977600,5.914,6.051,5.764,5.793,565809.83535
1664064000,5.794,5.954,5.607,5.659,415812.253953
1664150400,5.656,5.99,5.552,5.924,925898.305091
1664236800,5.928,6.707,5.914,6.366,1873008.293144
1664323200,6.371,6.629,6.005,6.555,1423508.851724
1664409600,6.556,6.57,6.12,6.379,1187057.303156
1664496000,6.379,6.756,6.267,6.464,1463193.463595
1664582400,6.465,6.657,6.382,6.395,857473.909583
1664668800,6.394,6.526,6.168,6.259,904723.037741
1664755200,6.264,6.81,6.186,6.628,1597289.766233
1664841600,6.636,6.849,6.569,6.649,1279373.446049
1664928000,6.648,6.826,6.471,6.815,767460.67707
1665014400,6.815,7,6.726,6.877,1040750.780289
1665100800,6.88,7.081,6.68,6.79,1031107.612388
1665187200,6.79,6.842,6.429,6.511,328640.462444
1665273600,6.51,6.649,6.486,6.633,244073.656987
1665360000,6.631,6.72,6.21,6.391,527017.569917
1665446400,6.39,6.508,5.942,5.992,1097784.655322
1665532800,5.994,6.17,5.96,6.053,510373.426981
1665619200,6.047,6.213,5.39,6.15,1992911.573339
1665705600,6.15,6.53,6.093,6.285,1197362.667819
1665792000,6.285,6.336,5.991,6.044,436473.491
1665878400,6.042,6.167,5.969,6.097,385422.665677
1665964800,6.103,6.455,6.038,6.4,846708.401496
1666051200,6.403,6.663,6.213,6.524,1102564.477964
1666137600,6.523,6.77,6.386,6.566,1237112.862252
1666224000,6.567,6.588,6.012,6.091,1296165.224793
1666310400,6.089,6.167,5.821,6.04,1513613.405154
1666396800,6.044,6.157,5.98,6.09,409105.913341
1666483200,6.092,6.295,5.974,6.286,473028.998827
1666569600,6.287,6.363,6.068,6.14,492149.89114
1666656000,6.141,6.789,6.076,6.579,1293836.645351
1666742400,6.579,6.899,6.52,6.688,621192.639815
1666828800,6.688,7.209,6.674,6.799,1120826.673169
1666915200,6.801,6.981,6.512,6.85,1129714.021955
1667001600,6.857,7.229,6.713,7.097,817408.291805
1667088000,7.098,7.369,6.792,6.89,637238.663229
1667174400,6.891,7.122,6.704,6.959,782966.505952
1667260800,6.959,7.45,6.906,7.117,963444.335888
1667347200,7.117,7.374,6.834,7.087,1067081.39085
1667433600,7.082,7.405,6.887,6.92,960390.966718
1667520000,6.918,7.76,6.817,7.556,1326266.312113
1667606400,7.56,7.791,7.523,7.677,856697.698028
1667692800,7.678,7.766,7.051,7.061,692267.049608
1667779200,7.055,7.696,6.878,7.011,1270926.24291
