ts,open,high,low,close,volume
1600300800,3.86,4.31,3.15,4.2101,1911653.36502
1600387200,4.26,8.6698,3.2935,6.9695,33210051.1528
1600473600,6.9695,7.4855,5.237,5.7302,12407869.607789
1600560000,5.715,6.0924,4.65,5.2077,8240101.786039
1600646400,5.209,5.6367,4.0111,4.2796,6393942.959587
1600732800,4.2778,4.5493,3.701,3.9126,6010281.710163
1600819200,3.9198,5.3933,3.9057,4.3683,12990410.991826
1600905600,4.374,5.2999,4.2647,5.1584,7881815.534944
1600992000,5.1584,5.5609,4.775,4.9219,6190773.397497
1601078400,4.9211,4.9899,4.5879,4.8653,3253496.189961
1601164800,4.8702,5.2111,4.7007,4.8506,2513935.287224
1601251200,4.8559,4.9462,4.1598,4.25,3882012.177204
1601337600,4.25,4.4524,4.122,4.3864,3351827.598891
1601424000,4.3864,4.3889,3.95,4.1567,2293174.170869
1601510400,4.1567,4.5176,3.9,4.2423,4540929.369988
1601596800,4.2378,4.2378,3.5777,3.8934,4375957.460596
1601683200,3.8922,4.1312,3.8312,3.9074,1774712.546717
1601769600,3.9074,3.9429,3.607,3.722,2960131.387707
1601856000,3.7271,3.7961,3.187,3.323,4588437.687001
1601942400,3.3175,3.353,2.628,2.7162,7685961.306441
1602028800,2.7148,3.0095,2.4794,2.962,8272119.293346
1602115200,2.9664,3.4676,2.6435,3.3558,7385517.002727
1602201600,3.3525,3.5998,3.175,3.3825,4343600.919879
1602288000,3.3825,3.6575,3.2729,3.296,2817946.690503
1602374400,3.2958,3.4512,3.1834,3.3633,1882781.950072
1602460800,3.3633,3.6167,3.286,3.4651,1772263.609751
1602547200,3.4642,3.499,3.2939,3.3612,944285.007201
1602633600,3.3603,3.437,2.9725,3.1114,2146854.313754
1602720000,3.1114,3.1841,2.9209,3.084,2349867.498495
1602806400,3.0837,3.3816,2.88,3.048,4030800.690074
1602892800,3.0485,3.1275,2.9804,3.0591,1178289.213335
1602979200,3.0572,3.29,3.0454,3.2884,1381248.988491
1603065600,3.2851,3.2899,3.11,3.1737,1077637.46384
1603152000,3.1717,3.1922,2.82,2.8608,2345332.199502
1603238400,2.8645,3.0931,2.8423,2.9435,2392147.514439
1603324800,2.9443,3.1538,2.9251,3.0438,1728198.175054
1603411200,3.0457,3.1256,2.9687,3.0179,1182871.146055
1603497600,3.0171,3.0872,2.93,2.9446,1303270.958384
1603584000,2.9417,2.97,2.7158,2.7793,1693471.157056
1603670400,2.7782,2.8766,2.5302,2.7159,2940886.572734
1603756800,2.718,2.9135,2.7055,2.8111,1892072.435801
1603843200,2.8054,2.8605,2.597,2.6714,1482003.808559
1603929600,2.6645,2.7405,2.4925,2.5426,1256678.267817
1604016000,2.5386,2.5652,2.2391,2.4163,3615176.243211
1604102400,2.4145,2.4157,2.2438,2.2692,1684984.012086
1604188800,2.267,2.4501,2.2177,2.3799,2104300.257708
1604275200,2.3812,2.4545,2.2258,2.2561,1512794.899665
1604361600,2.2518,2.2868,2.0563,2.1392,3299243.541598
1604448000,2.1374,2.1664,1.878,1.9336,3373260.61583
1604534400,1.9321,2.44,1.7606,2.1946,7723081.997493
1604620800,2.1949,2.6958,2.1771,2.5704,7501098.563206
1604707200,2.5743,3.0329,2.41,2.4797,10323675.512235
1604793600,2.4792,2.9209,2.4362,2.8665,3344188.738819
1604880000,2.8667,2.8807,2.5747,2.6805,3507096.679473
1604966400,2.6826,3.1772,2.6282,3.0784,3889073.002352
1605052800,3.0787,3.2206,2.886,2.9352,2941279.209144
1605139200,2.94,3.1399,2.842,2.9603,2563268.366491
1605225600,2.9622,3.9999,2.939,3.8624,6421410.074679
1605312000,3.8655,3.9735,3.5131,3.813,4891214.781021
1605398400,3.8157,4.2498,3.62,3.8497,6707344.581209
1605484800,3.8452,3.94,3.4489,3.5608,5405890.86146
1605571200,3.564,3.8666,3.4805,3.8132,5437014.32267
1605657600,3.8162,3.8533,3.2788,3.4624,4749261.201801
1605744000,3.4666,3.9163,3.231,3.7512,5123276.210027
1605830400,3.7482,4.0907,3.68,3.8619,5046910.938335
1605916800,3.8619,3.9407,3.5834,3.8341,3983775.081485
1606003200,3.8448,3.9552,3.4146,3.6819,4059552.855678
1606089600,3.6899,4.2333,3.633,4.1856,4722963.536916
1606176000,4.1914,4.4871,3.9342,4.0678,4768631.328794
1606262400,4.0686,4.204,3.5264,3.6676,4090723.652756
1606348800,3.6753,3.7702,3.1,3.435,6260376.440139
1606435200,3.435,3.538,3.1609,3.311,2867549.418889
1606521600,3.3081,3.5346,3.2578,3.4638,1967553.307781
1606608000,3.4605,3.5764,3.3651,3.5606,1009581.967483
1606694400,3.5634,3.8085,3.5366,3.7743,1804980.772576
1606780800,3.7664,3.986,3.4111,3.5541,3025587.620465
1606867200,3.5529,4.174,3.4982,3.9532,3000931.420849
1606953600,3.947,4.0263,3.8023,3.885,1742377.871678
1607040000,3.8808,3.9209,3.5,3.5232,1370089.974066
1607126400,3.52,3.698,3.45,3.6828,1202675.167239
1607212800,3.6837,3.7949,3.51,3.6534,894005.953865
1607299200,3.6534,3.878,3.564,3.7544,1448968.066042
1607385600,3.7576,3.7622,3.276,3.2977,2054518.103103
1607472000,3.2915,3.3986,3.1171,3.3577,2374531.803655
1607558400,3.3617,3.3715,3.19,3.2399,720400.916497
1607644800,3.2441,3.2489,2.9111,2.9631,2723845.080639
1607731200,2.9628,3.1861,2.9581,3.1231,1771690.225217
1607817600,3.123,3.3639,3.0726,3.3361,902807.49398
1607904000,3.3312,3.55,3.2366,3.4871,1580742.334762
1607990400,3.4869,3.518,3.3084,3.3296,1215359.624259
1608076800,3.3288,3.5436,3.2432,3.5403,1926324.216659
1608163200,3.5352,4,3.4387,3.6968,3340797.305379
1608249600,3.6975,3.8557,3.5466,3.7655,2474050.851394
1608336000,3.7736,4.2493,3.708,3.9606,4944046.340599
1608422400,3.96,4.0253,3.7091,3.7539,2076654.029073
1608508800,3.75,3.9242,3.4049,3.5113,2265985.239258
