ts,open,high,low,close,volume
1695146400,4.419,4.432,4.405,4.408,12974.303334
1695150000,4.407,4.407,4.387,4.402,23124.88254
1695153600,4.398,4.401,4.38,4.4,11291.38012
1695157200,4.401,4.411,4.385,4.408,6109.890792
1695160800,4.408,4.414,4.396,4.408,4858.422541
1695164400,4.407,4.416,4.404,4.406,5203.333118
1695168000,4.409,4.419,4.381,4.39,8134.563041
1695171600,4.397,4.427,4.397,4.425,3540.797303
1695175200,4.426,4.428,4.398,4.407,4052.810951
1695178800,4.408,4.414,4.385,4.396,1029.538667
1695182400,4.396,4.413,4.388,4.407,2075.233054
1695186000,4.405,4.411,4.399,4.403,10851.209406
1695189600,4.4,4.413,4.398,4.403,3270.424202
1695193200,4.402,4.413,4.4,4.402,7039.399548
1695196800,4.401,4.422,4.4,4.422,3833.241531
1695200400,4.422,4.423,4.363,4.382,11582.612474
1695204000,4.38,4.383,4.358,4.383,3924.111739
1695207600,4.377,4.389,4.369,4.379,6720.204896
1695211200,4.382,4.385,4.346,4.36,2985.283509
1695214800,4.359,4.402,4.358,4.396,11109.984709
1695218400,4.399,4.406,4.378,4.379,8252.398714
1695222000,4.383,4.389,4.376,4.389,3241.474469
1695225600,4.387,4.387,4.367,4.368,2691.561078
1695229200,4.367,4.377,4.357,4.371,4955.998418
1695232800,4.371,4.414,4.364,4.398,4015.217088
1695236400,4.393,4.402,4.313,4.353,21593.38166
1695240000,4.349,4.372,4.346,4.372,1893.795053
1695243600,4.375,4.395,4.366,4.378,23435.371416
1695247200,4.377,4.378,4.359,4.362,5768.206112
1695250800,4.361,4.376,4.354,4.364,2910.740053
1695254400,4.364,4.394,4.36,4.377,19670.100191
1695258000,4.376,4.38,4.339,4.361,4323.560031
1695261600,4.361,4.377,4.347,4.354,2848.563924
1695265200,4.361,4.367,4.35,4.362,1142.418938
1695268800,4.365,4.372,4.352,4.365,1422.417379
1695272400,4.362,4.364,4.337,4.349,6017.075999
1695276000,4.343,4.344,4.315,4.339,10767.680438
1695279600,4.338,4.338,4.313,4.316,6660.468767
1695283200,4.313,4.327,4.299,4.308,11294.031561
1695286800,4.309,4.316,4.279,4.292,12511.691394
1695290400,4.292,4.299,4.247,4.252,6557.866623
1695294000,4.248,4.275,4.248,4.27,5677.546853
1695297600,4.266,4.278,4.245,4.258,65898.100811
1695301200,4.262,4.265,4.211,4.229,15608.405763
1695304800,4.229,4.252,4.223,4.248,3074.830968
1695308400,4.25,4.259,4.235,4.236,2715.925879
1695312000,4.237,4.24,4.228,4.235,4517.33559
1695315600,4.233,4.49,4.233,4.245,42548.040864
1695319200,4.24,4.255,4.238,4.253,3625.953031
1695322800,4.252,4.254,4.242,4.25,2004.926228
1695326400,4.25,4.25,4.215,4.24,12448.409848
1695330000,4.237,4.244,4.22,4.244,2009.073506
1695333600,4.244,4.249,4.233,4.246,1686.41718
1695337200,4.245,4.259,4.242,4.244,2241.565112
1695340800,4.241,4.263,4.199,4.258,7524.725544
1695344400,4.255,4.276,4.241,4.266,3708.786403
1695348000,4.265,4.269,4.244,4.246,1962.275924
1695351600,4.246,4.264,4.238,4.244,3915.521125
1695355200,4.245,4.251,4.239,4.239,8121.618662
1695358800,4.239,4.252,4.234,4.251,3805.175619
1695362400,4.252,4.254,4.225,4.233,11855.528124
1695366000,4.231,4.246,4.22,4.245,2852.566488
1695369600,4.244,4.266,4.244,4.26,1478.77475
1695373200,4.263,4.269,4.254,4.267,1321.342138
1695376800,4.267,4.27,4.248,4.251,6476.083519
1695380400,4.251,4.269,4.251,4.269,1131.642471
1695384000,4.272,4.273,4.255,4.255,12238.945574
1695387600,4.254,4.259,4.238,4.245,13104.687833
1695391200,4.243,4.254,4.235,4.252,4014.135746
1695394800,4.252,4.252,4.23,4.23,12992.511231
1695398400,4.23,4.234,4.205,4.215,13412.285499
1695402000,4.215,4.233,4.207,4.23,5246.144638
1695405600,4.232,4.254,4.228,4.253,10432.915934
1695409200,4.255,4.261,4.229,4.232,7531.398442
1695412800,4.234,4.24,4.226,4.226,4839.29433
1695416400,4.229,4.256,4.22,4.254,2456.248138
1695420000,4.256,4.264,4.247,4.257,1853.028188
1695423600,4.261,4.267,4.255,4.261,1843.20589
1695427200,4.267,4.302,4.253,4.256,16959.229591
1695430800,4.257,4.271,4.242,4.266,4890.150005
1695434400,4.269,4.27,4.243,4.258,6802.069289
1695438000,4.258,4.258,4.241,4.25,4401.810617
1695441600,4.246,4.263,4.238,4.255,6024.271155
1695445200,4.257,4.27,4.257,4.257,1571.574363
1695448800,4.257,4.269,4.257,4.267,1811.844998
1695452400,4.265,4.273,4.258,4.27,892.953422
1695456000,4.276,4.28,4.266,4.276,2925.129227
1695459600,4.276,4.283,4.271,4.283,1864.384492
1695463200,4.283,4.284,4.269,4.269,2996.785781
1695466800,4.27,4.275,4.262,4.275,2444.747086
1695470400,4.275,4.281,4.269,4.273,2038.079046
1695474000,4.274,4.275,4.266,4.272,3206.16281
1695477600,4.274,4.291,4.269,4.27,2460.158421
1695481200,4.27,4.271,4.242,4.249,2091.209228
1695484800,4.242,4.267,4.238,4.267,4481.210537
1695488400,4.267,4.269,4.255,4.264,2588.022946
1695492000,4.264,4.269,4.259,4.259,2130.32026
1695495600,4.259,4.269,4.256,4.266,874.40514
1695499200,4.264,4.272,4.26,4.26,1298.426713
1695502800,4.261,4.266,4.258,4.259,1329.557748
1695506400,4.259,4.271,4.259,4.26,3136.735038
1695510000,4.26,4.279,4.258,4.279,2500.508594
1695513600,4.28,4.284,4.26,4.274,2956.915268
1695517200,4.272,4.289,4.266,4.288,2585.167767
