ts,open,high,low,close,volume
1757138400,9.294,9.331,9.246,9.315,31105.472213
1757160000,9.31,9.365,9.244,9.286,24347.892152
1757181600,9.287,9.345,9.232,9.339,30724.768847
1757203200,9.336,9.433,9.316,9.393,41439.040029
1757224800,9.393,9.42,9.336,9.411,14028.871957
1757246400,9.412,9.417,9.284,9.288,37731.974701
1757268000,9.287,9.447,9.261,9.397,38474.460699
1757289600,9.397,9.534,9.328,9.438,53374.686666
1757311200,9.438,9.703,9.385,9.624,115090.410876
1757332800,9.625,9.787,9.605,9.621,167771.785909
1757354400,9.622,9.648,9.468,9.552,286258.50877
1757376000,9.551,9.628,9.417,9.542,276936.186118
1757397600,9.541,9.925,9.532,9.762,334624.039524
1757419200,9.763,9.888,9.388,9.435,382869.494431
1757440800,9.435,9.553,9.419,9.539,129381.250813
1757462400,9.54,9.68,9.465,9.586,53910.304889
1757484000,9.582,9.697,9.545,9.597,69276.798416
1757505600,9.598,9.818,9.598,9.744,196540.944021
1757527200,9.747,9.777,9.574,9.74,61720.4099
1757548800,9.741,9.952,9.715,9.923,85631.307027
1757570400,9.921,9.979,9.812,9.827,79796.682852
1757592000,9.828,9.959,9.705,9.818,241397.507903
1757613600,9.815,10.05,9.777,10.003,141608.5547
1757635200,10.004,10.203,9.953,10.202,109706.631317
1757656800,10.204,10.231,9.95,9.96,152755.939023
1757678400,9.96,10.132,9.906,10.102,84880.649161
1757700000,10.098,10.23,10.069,10.183,133333.626067
1757721600,10.183,10.29,10.128,10.193,97599.556725
1757743200,10.195,10.357,10.154,10.318,76776.567063
1757764800,10.317,10.356,9.935,10.055,113678.486346
1757786400,10.059,10.141,10.011,10.129,45161.380008
1757808000,10.128,10.171,9.02,9.757,363648.726494
1757829600,9.758,9.773,9.5,9.517,140777.621179
1757851200,9.516,9.576,9.356,9.462,186347.014157
1757872800,9.464,9.531,9.4,9.416,109541.892263
1757894400,9.414,9.542,9.335,9.529,51972.402568
1757916000,9.528,9.528,9.024,9.154,120306.857812
1757937600,9.151,9.2,9.051,9.13,187129.150157
1757959200,9.129,9.179,9.068,9.163,75228.655223
1757980800,9.162,9.23,9.053,9.15,71649.468084
1758002400,9.151,9.345,9.085,9.279,111522.983163
1758024000,9.281,9.344,9.113,9.288,145814.796791
1758045600,9.289,9.399,9.235,9.329,74788.861705
1758067200,9.335,9.407,9.203,9.292,69403.244247
1758088800,9.293,9.375,9.215,9.259,35440.681987
1758110400,9.26,9.37,9.15,9.206,95125.974733
1758132000,9.201,9.626,9.137,9.56,159322.954154
1758153600,9.562,9.673,9.493,9.582,122333.232157
1758175200,9.587,9.639,9.475,9.52,97987.06095
1758196800,9.52,9.669,9.411,9.645,119501.266533
1758218400,9.64,9.669,9.551,9.608,84212.169755
1758240000,9.608,9.735,9.341,9.418,230675.99851
1758261600,9.415,9.415,9.242,9.279,97159.09467
1758283200,9.278,9.348,9.131,9.162,101649.249336
1758304800,9.161,9.191,9.023,9.167,116486.808362
1758326400,9.167,9.227,9.127,9.21,35452.301303
1758348000,9.21,9.275,9.11,9.182,59955.792221
1758369600,9.181,9.283,9.142,9.203,72940.730907
1758391200,9.202,9.247,9.157,9.192,46242.494039
1758412800,9.19,9.219,9.138,9.21,50627.509153
1758434400,9.212,9.224,9.037,9.097,37610.701547
1758456000,9.097,9.171,9.04,9.145,70142.99851
1758477600,9.146,9.176,9.04,9.044,76087.516035
1758499200,9.043,9.081,8.462,8.486,227550.946228
1758520800,8.488,8.502,7.556,8.15,328407.497265
1758542400,8.15,8.247,8.043,8.119,203498.273299
1758564000,8.113,8.244,8.062,8.228,91363.369006
1758585600,8.227,8.271,8.017,8.139,86426.476803
1758607200,8.14,8.241,8.114,8.162,63701.444677
1758628800,8.161,8.216,8.056,8.057,189115.474245
1758650400,8.055,8.143,8.024,8.063,59542.841822
1758672000,8.064,8.156,7.839,8.114,149229.794974
1758693600,8.113,8.189,8.081,8.137,68014.391053
1758715200,8.138,8.197,8.05,8.094,88559.274327
1758736800,8.09,8.091,7.892,7.903,77792.772655
1758758400,7.904,7.948,7.626,7.743,202113.983205
1758780000,7.745,7.814,7.657,7.68,108418.526092
1758801600,7.679,7.798,7.28,7.337,200121.147688
1758823200,7.334,7.606,7.294,7.458,132816.27066
1758844800,7.459,7.605,7.438,7.462,67365.21826
1758866400,7.462,7.515,7.329,7.446,98105.347305
1758888000,7.445,7.62,7.338,7.593,136165.563799
1758909600,7.593,7.641,7.528,7.621,106087.86945
1758931200,7.624,7.643,7.535,7.555,46406.035232
1758952800,7.554,7.588,7.469,7.579,38597.338804
1758974400,7.58,7.636,7.5,7.533,37373.646872
1758996000,7.535,7.662,7.507,7.62,19576.15502
1759017600,7.619,7.626,7.518,7.534,29345.079898
1759039200,7.535,7.542,7.454,7.495,16983.999171
1759060800,7.491,7.605,7.415,7.577,43201.50075
1759082400,7.578,7.774,7.568,7.757,44745.600089
1759104000,7.756,7.765,7.658,7.706,51900.61513
1759125600,7.705,7.763,7.635,7.669,57430.428085
1759147200,7.669,7.843,7.571,7.669,78802.070965
1759168800,7.67,7.84,7.635,7.747,71978.405001
1759190400,7.748,7.783,7.606,7.63,59589.735145
1759212000,7.628,7.674,7.54,7.609,52956.503246
1759233600,7.608,7.608,7.425,7.483,107111.520609
1759255200,7.482,7.733,7.458,7.646,61770.74282
1759276800,7.647,7.672,7.542,7.628,40160.625779
1759298400,7.63,7.953,7.563,7.873,165197.025371
1759320000,7.874,8.047,7.821,8.025,137611.294082
1759341600,8.025,8.103,7.989,8.081,122363.204267
1759363200,8.078,8.291,8.032,8.161,192193.587913
1759384800,8.16,8.23,8.148,8.171,86202.286793
1759406400,8.17,8.263,7.995,8.263,149204.503545
1759428000,8.264,8.398,8.26,8.356,88426.099219
1759449600,8.354,8.406,8.235,8.289,95870.774769
1759471200,8.288,8.299,8.155,8.218,56736.382131
1759492800,8.217,8.499,8.138,8.224,183900.87828
1759514400,8.221,8.353,8.169,8.185,98846.183789
1759536000,8.186,8.206,8.048,8.083,89981.402482
1759557600,8.086,8.133,7.931,7.953,79650.470922
1759579200,7.952,8.052,7.915,7.966,60072.153917
1759600800,7.965,8.035,7.946,8.028,35499.87231
1759622400,8.027,8.283,7.973,8.279,136357.220689
1759644000,8.278,8.45,8.238,8.329,185515.371997
1759665600,8.328,8.328,8.104,8.114,54158.578453
1759687200,8.116,8.134,7.997,8.05,68935.296798
1759708800,8.049,8.192,8.003,8.113,74946.423077
1759730400,8.114,8.305,8.114,8.236,92934.255839
1759752000,8.236,8.439,8.236,8.383,119898.534391
