ts,open,high,low,close,volume
1755648000,0.3,0.3049,0.2713,0.2728,5095228
1755734400,0.2723,0.281,0.2139,0.2145,18541127.9
1755820800,0.2144,0.2849,0.211,0.2825,20412121.2
1755907200,0.282,0.2958,0.2631,0.2804,14962944.7
1755993600,0.2806,0.2918,0.2528,0.2637,17292633.7
1756080000,0.2637,0.2913,0.2167,0.22,28810924.6
1756166400,0.2201,0.2421,0.2144,0.2314,9770026.1
1756252800,0.2314,0.246,0.2151,0.2158,9500531.6
1756339200,0.2169,0.2268,0.1984,0.2202,9474130.8
1756425600,0.2201,0.2266,0.1888,0.2224,11130225.6
1756512000,0.2223,0.2223,0.205,0.2123,4734057.2
1756598400,0.2123,0.218,0.1989,0.2001,2276169.9
1756684800,0.2,0.2005,0.1605,0.1705,14501499.1
1756771200,0.1703,0.1842,0.1673,0.1758,8209594.6
1756857600,0.1757,0.1822,0.1607,0.1634,9017739.4
1756944000,0.1633,0.1687,0.1528,0.1565,9547009.1
1757030400,0.1564,0.1919,0.1564,0.186,19343170.7
1757116800,0.1861,0.2264,0.185,0.2073,19053541.9
1757203200,0.2072,0.2269,0.2057,0.2217,12304789.2
1757289600,0.2221,0.2563,0.2141,0.2254,20072381.4
1757376000,0.2255,0.2416,0.2057,0.2079,14509307.6
1757462400,0.2079,0.2534,0.1926,0.2415,18762759.7
1757548800,0.2425,0.28,0.2369,0.2662,15139065.4
1757635200,0.2659,0.28,0.2435,0.2596,11098148.6
1757721600,0.2596,0.3096,0.2576,0.2893,16425785.4
1757808000,0.2893,0.2945,0.2561,0.2589,11008393.9
1757894400,0.2591,0.2654,0.2121,0.2357,10997763.7
1757980800,0.2355,0.2385,0.2187,0.2282,10304559.1
1758067200,0.228,0.2356,0.2091,0.2315,10017385.9
1758153600,0.2318,0.2638,0.2178,0.2508,15133590.3
1758240000,0.2504,0.251,0.2053,0.2094,10450849.4
1758326400,0.2093,0.21,0.185,0.1897,14663675
1758412800,0.1897,0.1936,0.1802,0.1814,6732406.6
1758499200,0.1815,0.1837,0.1415,0.1576,21621844.6
1758585600,0.1577,0.1639,0.1404,0.1434,15052206.1
1758672000,0.1433,0.1836,0.1408,0.1637,24697217.8
