ts,open,high,low,close,volume
1746576000,0.02488,0.02546,0.02428,0.02487,88794887
1746662400,0.02488,0.02871,0.0248,0.0287,161046216
1746748800,0.02869,0.0303,0.02848,0.03004,145265937
1746835200,0.03001,0.03238,0.02974,0.03233,136044578
1746921600,0.03231,0.03259,0.0301,0.03121,121538549
1747008000,0.03122,0.03398,0.02993,0.0309,193852945
1747094400,0.03088,0.0325,0.02926,0.03191,129797498
1747180800,0.03189,0.03301,0.03009,0.03032,153465751
1747267200,0.03032,0.03085,0.02801,0.02882,156780601
1747353600,0.02882,0.02995,0.02829,0.02855,91996616
1747440000,0.02854,0.02864,0.02725,0.02771,108683075
1747526400,0.02771,0.02948,0.02716,0.02902,103730000
1747612800,0.02905,0.0292,0.02675,0.02804,88858380
1747699200,0.02806,0.02895,0.02725,0.02853,136128012
1747785600,0.02856,0.02969,0.02795,0.02916,97141034
1747872000,0.02918,0.0307,0.02915,0.03067,107776347
1747958400,0.03066,0.03138,0.02778,0.02798,149660553
1748044800,0.02794,0.0284,0.02729,0.02748,67334265
1748131200,0.02746,0.02759,0.02611,0.02739,71369080
1748217600,0.02739,0.02825,0.02722,0.02749,83623791
1748304000,0.0275,0.02867,0.02679,0.02758,95264734
1748390400,0.02756,0.0282,0.0264,0.02722,64099557
1748476800,0.02723,0.02768,0.02592,0.02601,70743076
1748563200,0.026,0.02617,0.02375,0.02397,90787180
1748649600,0.02397,0.02447,0.02312,0.02418,73933612
1748736000,0.02419,0.02445,0.02359,0.02434,39823548
1748822400,0.02435,0.02489,0.02381,0.02484,49304900
1748908800,0.02486,0.02562,0.02449,0.02467,62651818
1748995200,0.02469,0.02512,0.02358,0.02372,55835343
1749081600,0.02372,0.02437,0.02227,0.02264,116238793
1749168000,0.02264,0.02404,0.02258,0.02353,60562861
1749254400,0.02354,0.02451,0.02346,0.02409,28458653
1749340800,0.0241,0.02453,0.02374,0.02411,30024705
1749427200,0.02411,0.02529,0.02363,0.02523,35005505
1749513600,0.02522,0.02627,0.02476,0.02627,52907675
1749600000,0.02628,0.0276,0.0247,0.02499,74024790
1749686400,0.02498,0.0251,0.02335,0.02344,58977740
1749772800,0.02342,0.02344,0.02183,0.02263,99309438
1749859200,0.02262,0.02263,0.02166,0.02206,39257935
1749945600,0.02208,0.0225,0.02187,0.02228,26473671
1750032000,0.02227,0.0233,0.02201,0.02221,41464153
1750118400,0.02215,0.02269,0.02105,0.02142,58279192
1750204800,0.02151,0.02199,0.02088,0.02181,46174501
1750291200,0.02182,0.02201,0.02124,0.02169,36546750
1750377600,0.02172,0.02208,0.02052,0.02083,49047045
1750464000,0.02083,0.02129,0.0195,0.02004,61890029
1750550400,0.02011,0.02021,0.01823,0.01933,122115962
1750636800,0.01932,0.02155,0.01913,0.02148,108292879
1750723200,0.02151,0.022,0.02101,0.02159,75625311
1750809600,0.02159,0.02166,0.02091,0.02104,54537615
1750896000,0.02104,0.02159,0.02034,0.02037,53226936
1750982400,0.02038,0.02069,0.0201,0.02045,54365050
1751068800,0.02046,0.02147,0.02034,0.02126,41892662
1751155200,0.02129,0.02205,0.02076,0.02181,61317900
1751241600,0.02183,0.02188,0.02084,0.02129,54753381
1751328000,0.02129,0.02139,0.02028,0.0204,69337976
1751414400,0.02035,0.02222,0.02007,0.02181,67201269
1751500800,0.02182,0.02247,0.02169,0.02197,68102944
1751587200,0.02197,0.02214,0.02064,0.02084,61350925
1751673600,0.02083,0.02105,0.02041,0.02071,36981102
1751760000,0.02072,0.02119,0.02035,0.02086,42708293
1751846400,0.02085,0.02114,0.02019,0.02042,47372132
1751932800,0.02041,0.02094,0.02016,0.02091,47382323
1752019200,0.02092,0.02256,0.02074,0.02241,81156107
1752105600,0.02244,0.02428,0.0222,0.02406,98986476
1752192000,0.02407,0.02577,0.02365,0.02405,179223560
1752278400,0.02406,0.02468,0.0231,0.02365,103199202
1752364800,0.02363,0.02525,0.02354,0.02466,115641626
1752451200,0.02467,0.02578,0.0237,0.02433,167236143
1752537600,0.02431,0.02521,0.02343,0.02521,142328601
1752624000,0.02522,0.02643,0.0247,0.0256,143332865
1752710400,0.02558,0.02681,0.02485,0.02643,182063960
1752796800,0.02644,0.02972,0.02618,0.02709,294944917
1752883200,0.02707,0.02805,0.02614,0.02786,120734503
1752969600,0.02785,0.02945,0.02759,0.02837,151532207
1753056000,0.02836,0.02958,0.02786,0.02839,154330341
