ts,open,high,low,close,volume
1695218400,0.0174,0.0175,0.01737,0.01744,871774
1695222000,0.01741,0.01751,0.01739,0.01751,683832
1695225600,0.01751,0.01756,0.0174,0.01741,1387928
1695229200,0.01742,0.01749,0.01739,0.01745,1479047
1695232800,0.01743,0.01772,0.0174,0.01765,1582885
1695236400,0.01764,0.01768,0.01738,0.01749,984682
1695240000,0.01748,0.0176,0.01748,0.0176,684693
1695243600,0.01759,0.01774,0.01757,0.01772,849766
1695247200,0.01772,0.01776,0.01767,0.01767,1135970
1695250800,0.01769,0.01775,0.01764,0.01774,800622
1695254400,0.01773,0.01799,0.01771,0.01794,1479620
1695258000,0.01794,0.01795,0.01777,0.01785,1087732
1695261600,0.01787,0.01795,0.0177,0.01777,801262
1695265200,0.01778,0.01779,0.01771,0.01779,353253
1695268800,0.01779,0.0178,0.01772,0.01776,392920
1695272400,0.01774,0.01774,0.0176,0.01769,524536
1695276000,0.01766,0.01766,0.01754,0.01758,398754
1695279600,0.01761,0.01761,0.01751,0.01756,833998
1695283200,0.01751,0.01754,0.01743,0.01743,140982
1695286800,0.01742,0.01745,0.01727,0.01729,691872
1695290400,0.01728,0.01735,0.01715,0.01715,575714
1695294000,0.01714,0.0173,0.01712,0.0173,397708
1695297600,0.01728,0.01732,0.01724,0.0173,828493
1695301200,0.01731,0.01731,0.01708,0.01721,855997
1695304800,0.01718,0.01729,0.01718,0.01725,831116
1695308400,0.01725,0.0173,0.0172,0.01728,1498817
1695312000,0.01724,0.01724,0.01717,0.01719,1106272
1695315600,0.01717,0.01724,0.01716,0.01718,833680
1695319200,0.01719,0.01725,0.01716,0.01721,490939
1695322800,0.01723,0.01728,0.01716,0.01719,1383646
1695326400,0.01717,0.01719,0.01707,0.01711,433517
1695330000,0.01712,0.01716,0.017,0.01715,662974
1695333600,0.01716,0.01718,0.01708,0.01717,968711
1695337200,0.01717,0.01721,0.01712,0.01713,905217
1695340800,0.0171,0.01715,0.01697,0.01714,781052
1695344400,0.01713,0.01717,0.01702,0.01714,692379
1695348000,0.01715,0.01718,0.01708,0.01713,728953
1695351600,0.01711,0.01723,0.01709,0.01722,829403
1695355200,0.0172,0.0172,0.01705,0.0171,3440575
1695358800,0.01709,0.01713,0.01705,0.01713,247355
1695362400,0.01713,0.01713,0.01705,0.0171,234009
1695366000,0.01709,0.01714,0.01704,0.01712,275515
1695369600,0.01714,0.01717,0.01712,0.01714,210664
1695373200,0.01713,0.01714,0.01707,0.01714,91112
1695376800,0.01711,0.01711,0.01704,0.01704,234072
1695380400,0.01705,0.01711,0.01704,0.01707,423941
1695384000,0.01705,0.01712,0.01703,0.01704,330672
1695387600,0.01705,0.01709,0.01703,0.01706,379854
1695391200,0.01709,0.01715,0.01706,0.01715,404419
1695394800,0.01713,0.01716,0.01709,0.01709,647062
1695398400,0.01707,0.01712,0.01704,0.01706,444389
1695402000,0.01704,0.01715,0.01704,0.01714,514487
1695405600,0.01714,0.01717,0.01712,0.01713,539460
1695409200,0.01716,0.01716,0.01704,0.01707,766961
1695412800,0.01705,0.01707,0.01695,0.01699,1326929
1695416400,0.017,0.01704,0.01696,0.01704,375143
1695420000,0.01704,0.01708,0.01702,0.01704,968607
1695423600,0.01707,0.01708,0.01699,0.01702,715980
1695427200,0.01702,0.01712,0.01702,0.0171,401528
1695430800,0.01708,0.0171,0.01702,0.01703,951208
1695434400,0.01704,0.01705,0.01696,0.01697,319786
1695438000,0.01698,0.01703,0.01694,0.01699,605366
1695441600,0.01697,0.01699,0.01693,0.01698,678238
