ts,open,high,low,close,volume
1777420800,0.7853,0.7853,0.665,0.6903,472455.63
1777507200,0.691,0.7113,0.6821,0.6882,472866.54
1777593600,0.6893,0.7146,0.6868,0.6991,253443.76
1777680000,0.7,0.773,0.6974,0.751,361102.31
1777766400,0.7551,0.765,0.7281,0.753,348877.45
1777852800,0.7523,0.7789,0.7348,0.7358,330729.71
1777939200,0.7376,0.8529,0.7361,0.8047,443077.33
1778025600,0.8057,0.8932,0.7975,0.8711,927073.7
1778112000,0.8699,0.973,0.8385,0.9098,858880.83
1778198400,0.9127,0.96,0.8961,0.9332,480012.08
1778284800,0.9335,0.9659,0.9187,0.9321,368583.4
1778371200,0.9308,0.9308,0.8821,0.9075,140993.2
1778457600,0.9065,0.9069,0.8501,0.8614,275177.61
1778544000,0.8612,0.8655,0.8006,0.8179,301221.28
1778630400,0.8168,0.8364,0.7644,0.7786,462450.71
1778716800,0.7785,0.8025,0.755,0.7832,467513.67
1778803200,0.7858,0.7961,0.7387,0.7481,467590.12
1778889600,0.7491,0.7521,0.7087,0.7221,166350.72
1778976000,0.7202,0.7354,0.6763,0.7011,179228.15
1779062400,0.6992,0.7295,0.6878,0.7231,211537.94
1779148800,0.7233,0.7307,0.7,0.7048,311295.02
1779235200,0.7046,0.7389,0.699,0.7262,173493.13
1779321600,0.728,0.7591,0.7166,0.7503,159552.28
1779408000,0.7515,0.8181,0.7077,0.7149,467332.03
1779494400,0.7149,0.779,0.6796,0.7674,522205.84
1779580800,0.7676,0.7746,0.7228,0.7404,403378.37
1779667200,0.7406,0.7976,0.7388,0.7753,480420.34
1779753600,0.7768,0.8575,0.7513,0.7946,1653358.08
1779840000,0.7952,0.8293,0.7342,0.744,963556.59
1779926400,0.7438,0.7467,0.6878,0.7148,618515.54
1780012800,0.715,0.7498,0.6922,0.7113,924097.26
1780099200,0.7112,0.7352,0.7016,0.7196,430247.63
1780185600,0.7198,0.739,0.6986,0.7208,315728.13
1780272000,0.721,0.76,0.6906,0.742,383159.01
1780358400,0.7428,0.7685,0.6834,0.7012,1361262.34
1780444800,0.7004,0.7568,0.6898,0.7264,1046832.18
1780531200,0.7272,0.74,0.6246,0.6379,1227070.65
1780617600,0.6377,0.6412,0.5252,0.56,1063962.6
1780704000,0.5596,0.571,0.5206,0.5454,374938.2
1780790400,0.5456,0.5929,0.5439,0.5802,992652.14
1780876800,0.5804,0.5999,0.5654,0.583,749932.31
1780963200,0.5831,0.588,0.5546,0.57,373466.22
1781049600,0.5701,0.5768,0.533,0.5422,366004.96
1781136000,0.542,0.5918,0.542,0.585,269207.39
1781222400,0.585,0.6319,0.5823,0.6062,335764.19
1781308800,0.6054,0.6568,0.6044,0.6423,348314.73
1781395200,0.6423,0.6474,0.6022,0.642,352321.28
1781481600,0.642,0.672,0.6247,0.6346,779318.1
1781568000,0.6344,0.6512,0.614,0.6262,300686.1
1781654400,0.6264,0.6456,0.592,0.6058,291813.99
1781740800,0.6062,0.6144,0.5702,0.6001,1185007.11
1781827200,0.6002,0.6176,0.5854,0.6166,554343.49
1781913600,0.6166,0.6247,0.5948,0.608,344705.23
1782000000,0.6078,0.6158,0.5833,0.5868,356689.3
1782086400,0.5871,0.6084,0.5802,0.5878,162105.58
1782172800,0.5849,0.5895,0.555,0.575,207254.32
1782259200,0.5759,0.5809,0.5191,0.5531,333600.12
1782345600,0.5548,0.5573,0.4981,0.5242,326010.9
1782432000,0.524,0.5382,0.502,0.5255,296792.75
1782518400,0.5236,0.5526,0.5235,0.5324,220098.97
1782604800,0.5297,0.5385,0.5234,0.5363,134882.7
1782691200,0.5326,0.5544,0.5269,0.5476,189883.77
1782777600,0.5461,0.5503,0.513,0.5245,202395.38
1782864000,0.5229,0.5675,0.515,0.5466,383817.97
1782950400,0.5459,0.5672,0.5391,0.5542,364544.97
1783036800,0.5531,0.5852,0.5511,0.5801,362684.55
1783123200,0.5798,0.5829,0.5623,0.5657,182250.55
1783209600,0.5652,0.574,0.5544,0.5682,172857.89
1783296000,0.5682,0.5696,0.5353,0.5513,271358.38
1783382400,0.5499,0.5536,0.531,0.5322,197710.56
1783468800,0.5334,0.537,0.5152,0.5273,278485.71
1783555200,0.5224,0.536,0.5173,0.5288,87680.95
1783641600,0.5265,0.6192,0.5265,0.6133,1206346.66
1783728000,0.6118,0.647,0.5914,0.593,1379118.5
1783814400,0.5933,0.6166,0.5711,0.5711,595538.46
1783900800,0.5725,0.5833,0.5409,0.5487,639076.53
1783987200,0.5487,0.5961,0.5422,0.5937,479150.28
1784073600,0.5933,0.6357,0.5815,0.6148,980823.8
1784160000,0.6148,0.6644,0.6074,0.6249,781385.55
1784246400,0.6243,0.6449,0.61,0.6236,1430466.98
1784332800,0.6243,0.65,0.6034,0.6182,494738.66
1784419200,0.6168,0.6209,0.5967,0.6154,535115.57
1784505600,0.616,0.6595,0.5959,0.6401,1177480.23
1784592000,0.6403,0.6804,0.6395,0.6613,959569.59
1784678400,0.6601,0.6669,0.6253,0.6274,730394.01
1784764800,0.6268,0.6322,0.6038,0.6129,807459.86
1784851200,0.612,0.6151,0.5833,0.588,574949.49
1784937600,0.588,0.5887,0.575,0.5821,561621.16
1785024000,0.5831,0.6023,0.5781,0.5983,443858.55
1785110400,0.5974,0.6126,0.5651,0.5692,623409.8
1785196800,0.5681,0.5781,0.5545,0.5684,843841
1785283200,0.5684,0.57,0.5463,0.5625,1936308.97
1785369600,0.5625,0.5792,0.5556,0.5716,904652.03
1785456000,0.572,0.5804,0.5429,0.5451,530520.27
1785542400,0.5456,0.5516,0.5377,0.5509,138254.57
1785628800,0.551,0.5707,0.5487,0.5645,185257.43
1785715200,0.5644,0.5694,0.5521,0.564,263668.46
1785801600,0.5639,0.5666,0.5524,0.5555,230787.42
1785888000,0.5556,0.5756,0.549,0.5706,392557.1
1785974400,0.5698,0.5813,0.5617,0.5673,515071.93
1786060800,0.5672,0.5712,0.5537,0.5599,420419.01
1786147200,0.5615,0.575,0.5609,0.5683,113421.69
1786233600,0.5695,0.5707,0.5561,0.5575,119782.65
1786320000,0.5564,0.5697,0.5536,0.5536,301024.1
1786406400,0.5538,0.5575,0.5147,0.5372,368592.18
1786492800,0.5374,0.6149,0.5341,0.594,1353467.31
1786579200,0.5943,0.6003,0.5603,0.5783,770419.46
1786665600,0.5789,0.5868,0.5558,0.558,401396.62
1786752000,0.5581,0.5691,0.558,0.5597,171905.32
1786838400,0.5593,0.5621,0.5495,0.5518,141351.72
1786924800,0.5521,0.5905,0.5498,0.5824,339975.51
1787011200,0.5822,0.5935,0.5669,0.5736,261968.16
1787097600,0.5738,0.6161,0.5684,0.6072,578113.18
1787184000,0.6076,0.6587,0.6007,0.6458,1507126.86
1787270400,0.6459,0.734,0.6396,0.7256,2068523.57
1787356800,0.7244,0.768,0.6302,0.6894,1346012.69
1787443200,0.6892,0.7412,0.6507,0.7316,1432607.29
1787529600,0.7317,0.8364,0.6945,0.792,3366560.24
1787616000,0.7924,0.8338,0.724,0.7386,1476417.62
1787702400,0.7384,0.7758,0.7115,0.751,1493688.65
1787788800,0.7508,0.7828,0.7198,0.7332,921664.75
1787875200,0.732,0.7476,0.6759,0.698,899679.32
1787961600,0.6978,0.7049,0.6767,0.6929,442732.22
1788048000,0.6929,0.713,0.6545,0.6665,451022.3
1788134400,0.6649,0.701,0.6624,0.6968,357783.31
1788220800,0.6972,0.728,0.6674,0.6812,381025.02
1788307200,0.6808,0.705,0.6648,0.675,479068.6
1788393600,0.6755,0.7182,0.6703,0.6972,386810.82
1788480000,0.6967,0.7016,0.6552,0.6604,533248.16
1788566400,0.6601,0.7007,0.6595,0.6886,284088.35
1788652800,0.6879,0.7333,0.6741,0.7289,574836.76
1788739200,0.7283,0.7412,0.7082,0.7317,1106654.01
1788825600,0.7289,0.7592,0.7023,0.715,649547.46
1788912000,0.7198,0.7298,0.6433,0.661,610738.88
1788998400,0.6608,0.661,0.624,0.6256,466104.57
1789084800,0.6273,0.6708,0.6214,0.6313,382160.7
1789171200,0.6304,0.641,0.6175,0.6195,172808.68
1789257600,0.6195,0.623,0.6034,0.6061,845636.72
1789344000,0.61,0.6363,0.6025,0.6147,354611.79
1789430400,0.6144,0.6162,0.5766,0.5844,523816.51
1789516800,0.5849,0.602,0.575,0.602,523409.05
1789603200,0.6028,0.6179,0.5971,0.6123,530723.6
1789689600,0.6132,0.6642,0.6091,0.6602,614205.73
