ts,open,high,low,close,volume
1751414400,0.0751,0.0762,0.07295,0.07402,18265931.53
1751500800,0.07402,0.0763,0.07022,0.07143,23638896.96
1751587200,0.07141,0.07199,0.06536,0.0662,8733744.62
1751673600,0.06622,0.06751,0.06483,0.06638,8830404.78
1751760000,0.0664,0.06797,0.06458,0.06675,7183906.22
1751846400,0.06665,0.06724,0.06334,0.06461,4236560.04
1751932800,0.0646,0.066,0.06317,0.06522,3612142.6
1752019200,0.0653,0.06906,0.06449,0.06812,6364459.91
1752105600,0.06815,0.07435,0.06693,0.0736,5942255.92
1752192000,0.07364,0.08409,0.07248,0.07734,14135372.55
1752278400,0.07736,0.07864,0.07234,0.07521,6406782.17
1752364800,0.0752,0.08532,0.07502,0.0803,21650110.77
1752451200,0.08028,0.08484,0.07933,0.08086,11370112.15
1752537600,0.08086,0.08651,0.07642,0.08546,14325305.32
1752624000,0.08548,0.09008,0.08195,0.08681,7094142.37
1752710400,0.08674,0.10022,0.08477,0.09243,26322757.53
1752796800,0.09246,0.09649,0.08594,0.0886,7728908.48
1752883200,0.08858,0.09115,0.08583,0.09048,8358523.01
1752969600,0.09048,0.09589,0.08968,0.09456,5927662.04
1753056000,0.09454,0.104,0.09228,0.09816,7038510.96
1753142400,0.0982,0.10012,0.09146,0.09477,7664717.66
1753228800,0.09478,0.09478,0.08112,0.08335,13048529.17
1753315200,0.08334,0.08472,0.07692,0.08056,7160850.05
1753401600,0.08052,0.08445,0.07862,0.08445,8709382.22
1753488000,0.0843,0.08585,0.08371,0.08436,3548175.13
1753574400,0.08443,0.08954,0.08442,0.08888,5220401.07
1753660800,0.08886,0.09053,0.08132,0.08206,5679793.18
1753747200,0.08197,0.08706,0.08018,0.08329,9839280.54
1753833600,0.08324,0.08332,0.07738,0.08161,17069877.28
1753920000,0.08158,0.08556,0.07688,0.07703,10161560.56
1754006400,0.07706,0.07882,0.07147,0.07392,10599782.59
1754092800,0.0739,0.07554,0.07054,0.07214,3351302.37
1754179200,0.07218,0.07612,0.07119,0.07552,1954212.89
1754265600,0.0755,0.08047,0.07544,0.07984,2816225.93
1754352000,0.07986,0.08046,0.07481,0.07725,4574591.63
1754438400,0.07712,0.08263,0.07428,0.07886,3673683.37
1754524800,0.07886,0.08346,0.07792,0.08262,3215717.58
1754611200,0.08261,0.0989,0.08013,0.09128,17215015.63
1754697600,0.09128,0.0955,0.09012,0.09085,11517907.18
1754784000,0.09084,0.09262,0.08589,0.08948,7999720.34
1754870400,0.08946,0.09188,0.08356,0.08418,9580103.79
1754956800,0.08416,0.08978,0.08168,0.08812,3911359.77
1755043200,0.08814,0.09209,0.08701,0.09141,8626380.15
1755129600,0.09143,0.09282,0.07899,0.08052,12719596.4
1755216000,0.0805,0.08414,0.07772,0.0803,4149341.75
1755302400,0.08034,0.08291,0.0793,0.08232,1771013.21
1755388800,0.08234,0.08618,0.082,0.08326,2032989.54
1755475200,0.08328,0.08337,0.07784,0.07952,3080491.95
1755561600,0.07951,0.0808,0.07508,0.07532,4186662.96
1755648000,0.07531,0.08205,0.075,0.0809,6232773.31
1755734400,0.08086,0.08114,0.0781,0.07862,7639824.73
1755820800,0.07864,0.086,0.07531,0.08515,6879364.36
1755907200,0.08516,0.08558,0.08186,0.08403,3387487.97
1755993600,0.08404,0.08548,0.07962,0.08164,5702878.54
1756080000,0.08166,0.08296,0.07016,0.07166,4992939.4
1756166400,0.07164,0.07388,0.07116,0.073,2955130.22
1756252800,0.07298,0.07552,0.07187,0.07224,6063906.26
1756339200,0.07228,0.08561,0.07156,0.08181,32547546.72
1756425600,0.0818,0.10635,0.07941,0.08451,87901336.48
1756512000,0.0845,0.09083,0.08006,0.08868,14230712.28
1756598400,0.08885,0.08916,0.08286,0.08321,7562333.93
1756684800,0.08319,0.08361,0.07604,0.07789,8167993.99
1756771200,0.07784,0.08002,0.07625,0.07846,3865392.9
1756857600,0.07848,0.08166,0.07732,0.07968,4940068.59
1756944000,0.07966,0.08006,0.07502,0.07519,6724757.5
1757030400,0.07521,0.07842,0.0749,0.07804,3728764.81
1757116800,0.07802,0.07996,0.07677,0.07872,3403302.41
1757203200,0.0787,0.07975,0.07696,0.07804,3094557.73
1757289600,0.07806,0.0827,0.0777,0.08212,5257475.92
1757376000,0.08214,0.09378,0.0818,0.08556,22374894.64
1757462400,0.0855,0.1074,0.08417,0.0948,39022203.28
1757548800,0.09466,0.09674,0.08951,0.09544,12177798.31
1757635200,0.09542,0.0987,0.09252,0.09458,19071922.7
1757721600,0.09456,0.09696,0.09172,0.09434,12452826.09
1757808000,0.09433,0.09457,0.0889,0.09081,9828121.84
1757894400,0.09086,0.09318,0.08507,0.08764,17400665.02
1757980800,0.08762,0.08955,0.08562,0.08948,8928488.4
1758067200,0.08944,0.10299,0.08736,0.0995,53570940.67
1758153600,0.09964,0.12809,0.0995,0.12115,97409142.8
1758240000,0.12105,0.12243,0.10757,0.11097,25930272.06
1758326400,0.11089,0.12936,0.1089,0.11986,49376033.43
1758412800,0.11984,0.12168,0.1121,0.11222,27746263.73
1758499200,0.11218,0.11221,0.09806,0.10328,34318946.09
1758585600,0.10327,0.10815,0.09922,0.09971,26713762.63
1758672000,0.09971,0.11117,0.09652,0.10586,35563245.83
1758758400,0.10585,0.10856,0.0961,0.10226,39400801.7
1758844800,0.10228,0.10701,0.09954,0.10414,37121790.11
1758931200,0.10408,0.1122,0.10388,0.10556,26992537.21
1759017600,0.10558,0.10991,0.10032,0.10942,16759215.04
1759104000,0.1094,0.10998,0.10195,0.10354,12510376.34
1759190400,0.10354,0.10412,0.09761,0.10048,11178817.26
1759276800,0.1005,0.11486,0.09868,0.11276,19105064.84
1759363200,0.1128,0.117,0.11057,0.11228,15223154.79
1759449600,0.1122,0.12448,0.10868,0.12139,24452072.35
1759536000,0.1213,0.12228,0.11307,0.11608,14130109
1759622400,0.11604,0.12541,0.11392,0.11866,17456591.73
