ts,open,high,low,close,volume
1746576000,0.562,0.59,0.533,0.575,11245257.97
1746662400,0.576,0.71,0.574,0.692,24822310.6
1746748800,0.691,0.77,0.653,0.75,35008518.07
1746835200,0.75,0.98,0.75,0.946,51512356.33
1746921600,0.945,0.95,0.862,0.911,23891412.41
1747008000,0.912,1.323,0.909,1.148,83398910.51
1747094400,1.148,1.234,1.059,1.175,39282246.94
1747180800,1.176,1.19,1.032,1.131,29070396.55
1747267200,1.133,1.149,0.946,0.986,30034037.06
1747353600,0.987,1.147,0.969,1.005,25759678.3
1747440000,1.006,1.013,0.922,0.932,13632364.36
1747526400,0.932,1.099,0.926,1.071,34299762.84
1747612800,1.069,1.08,0.929,0.992,18620258.89
1747699200,0.994,1.021,0.931,0.973,20320541.44
1747785600,0.975,1.19,0.959,1.117,35378484.3
1747872000,1.117,1.203,1.101,1.202,25549210.14
1747958400,1.202,1.393,1.103,1.113,49208758.56
1748044800,1.113,1.173,1.084,1.119,14802779.12
1748131200,1.118,1.136,1.011,1.104,15892127.04
1748217600,1.105,1.201,1.103,1.126,14562450.63
1748304000,1.127,1.164,1.079,1.109,11245216.77
1748390400,1.108,1.136,1.062,1.124,9976682.46
1748476800,1.125,1.184,1.046,1.055,13936681.29
1748563200,1.055,1.064,0.885,0.888,13323923.74
1748649600,0.888,0.891,0.786,0.852,15928271.73
1748736000,0.852,0.889,0.814,0.874,7029117.08
1748822400,0.875,0.967,0.84,0.949,12032685.96
1748908800,0.949,1.049,0.94,0.974,20718339.46
1748995200,0.973,0.997,0.879,0.882,11115785.1
1749081600,0.881,0.902,0.795,0.826,16519991.1
1749168000,0.827,0.884,0.812,0.815,8496441.56
1749254400,0.815,0.926,0.813,0.872,6107011.35
1749340800,0.873,0.933,0.841,0.889,8520824.72
1749427200,0.889,1.031,0.871,1.028,16163402.4
1749513600,1.027,1.078,0.99,1.028,13791784.4
1749600000,1.027,1.048,0.929,0.956,15921768.61
1749686400,0.954,0.963,0.874,0.886,9942176.88
1749772800,0.887,0.887,0.793,0.853,16921466.94
1749859200,0.853,0.865,0.818,0.833,5858906.14
1749945600,0.834,0.867,0.825,0.851,4112755.72
1750032000,0.85,0.905,0.832,0.834,8435830.12
1750118400,0.834,0.865,0.749,0.771,12913156.07
1750204800,0.771,0.806,0.735,0.792,8149070.83
1750291200,0.793,0.813,0.773,0.793,6771167.95
1750377600,0.794,0.82,0.734,0.761,7146767.52
1750464000,0.761,0.781,0.675,0.7,5928729.47
1750550400,0.7,0.717,0.635,0.689,12419523.34
1750636800,0.689,0.847,0.674,0.831,20276260.98
1750723200,0.832,0.884,0.825,0.869,22612495.92
1750809600,0.87,0.895,0.785,0.795,15267540.97
1750896000,0.795,0.826,0.746,0.756,17851628.63
1750982400,0.757,0.825,0.749,0.773,12673707.26
1751068800,0.774,0.847,0.771,0.83,7993413.31
1751155200,0.831,0.906,0.808,0.87,15718201.08
1751241600,0.871,0.904,0.83,0.868,10310739.11
1751328000,0.867,0.869,0.78,0.784,10652263.43
1751414400,0.783,0.934,0.779,0.909,19163101.43
1751500800,0.909,0.956,0.878,0.923,14410182.9
1751587200,0.923,0.94,0.822,0.848,15049304.55
1751673600,0.848,0.865,0.814,0.848,11982461.32
1751760000,0.848,0.907,0.833,0.877,10015850.57
1751846400,0.878,0.905,0.824,0.841,14724112.97
