ts,open,high,low,close,volume
1746043200,1.171,1.2,1.171,1.2,13790.58
1746046800,1.201,1.206,1.12,1.14,84003.32
1746050400,1.14,1.172,1.136,1.143,93599.72
1746054000,1.142,1.153,1.119,1.133,39080.26
1746057600,1.13,1.16,1.124,1.153,28407.35
1746061200,1.152,1.171,1.11,1.114,85078.52
1746064800,1.114,1.114,1.02,1.059,221440.06
1746068400,1.061,1.075,1.031,1.038,385163.12
1746072000,1.036,1.044,1.015,1.032,105148.64
1746075600,1.032,1.052,1.031,1.048,59547.87
1746079200,1.05,1.054,1.029,1.046,38176.65
1746082800,1.046,1.06,1.046,1.056,20590.38
1746086400,1.056,1.078,1.05,1.074,33421.82
1746090000,1.073,1.091,1.073,1.091,31701.62
1746093600,1.09,1.105,1.074,1.082,55539.16
1746097200,1.086,1.097,1.076,1.095,53274.22
1746100800,1.094,1.098,1.078,1.086,65913.71
1746104400,1.087,1.089,1.051,1.053,122697.16
1746108000,1.056,1.086,1.053,1.077,65163.45
1746111600,1.076,1.092,1.071,1.079,82015.48
1746115200,1.079,1.091,1.067,1.067,117911.62
1746118800,1.068,1.092,1.059,1.068,105834.9
1746122400,1.07,1.073,1.051,1.068,66270.21
1746126000,1.069,1.07,1.061,1.064,42184.05
1746129600,1.062,1.074,1.05,1.057,36945.16
1746133200,1.056,1.064,1.054,1.057,61849.83
1746136800,1.058,1.062,1.051,1.059,34411.2
1746140400,1.06,1.061,1.04,1.052,133019.81
1746144000,1.052,1.067,1.042,1.062,137543.59
1746147600,1.061,1.067,1.053,1.062,75052.91
1746151200,1.06,1.068,1.055,1.066,30937.56
1746154800,1.066,1.066,1.042,1.051,63201.45
1746158400,1.05,1.05,1.039,1.042,46761.56
1746162000,1.041,1.048,1.038,1.047,24663.03
1746165600,1.048,1.049,1.033,1.041,8569.73
1746169200,1.042,1.047,1.032,1.032,25996.6
1746172800,1.035,1.054,1.035,1.049,27532.35
1746176400,1.049,1.049,1.036,1.04,9891.26
1746180000,1.038,1.04,1.022,1.023,41171.69
1746183600,1.023,1.036,1.023,1.024,48092.56
1746187200,1.025,1.039,1.023,1.038,30626.74
1746190800,1.038,1.038,1.026,1.035,67207.47
1746194400,1.036,1.049,1.032,1.044,73163.07
1746198000,1.046,1.049,1.02,1.03,77354.98
1746201600,1.03,1.047,1.03,1.034,28972.09
1746205200,1.035,1.04,1.026,1.029,83469.42
1746208800,1.028,1.034,1.023,1.024,17445.77
1746212400,1.026,1.039,1.015,1.017,96639.54
1746216000,1.018,1.027,1.018,1.024,14463.49
1746219600,1.025,1.029,1.017,1.022,22891.91
1746223200,1.022,1.027,1.018,1.025,14581.79
1746226800,1.025,1.036,1.025,1.033,18040.4
1746230400,1.032,1.034,1.019,1.025,24852.37
1746234000,1.026,1.026,1.009,1.01,17760.06
1746237600,1.01,1.038,1.008,1.021,140248.47
1746241200,1.021,1.031,1.021,1.023,29351.52
1746244800,1.024,1.028,1.02,1.025,27680.21
1746248400,1.026,1.026,1.014,1.02,16490.24
1746252000,1.018,1.018,1.012,1.013,13457.66
1746255600,1.014,1.019,1.009,1.014,19310.09
1746259200,1.012,1.021,1.01,1.016,14609.98
1746262800,1.017,1.021,0.995,0.998,40174.86
1746266400,0.999,1,0.985,0.986,29032.97
1746270000,0.986,0.992,0.986,0.987,12938.95
1746273600,0.986,0.999,0.985,0.995,26222.26
1746277200,0.994,0.997,0.985,0.989,27480.24
1746280800,0.991,0.992,0.985,0.987,72984.36
1746284400,0.989,0.992,0.985,0.985,24725.14
1746288000,0.985,0.989,0.97,0.976,67625.89
1746291600,0.976,0.982,0.954,0.967,134859.08
1746295200,0.967,0.971,0.955,0.961,23387.75
1746298800,0.961,0.97,0.957,0.969,47389.11
1746302400,0.971,0.972,0.959,0.964,72603.6
1746306000,0.964,0.972,0.958,0.962,58013.4
1746309600,0.961,0.967,0.954,0.964,46035.27
1746313200,0.963,0.966,0.956,0.956,34866.47
1746316800,0.958,0.962,0.943,0.947,30679.17
1746320400,0.946,0.954,0.939,0.954,36580.11
1746324000,0.954,0.969,0.954,0.962,88089.19
1746327600,0.96,0.963,0.951,0.958,11738.68
1746331200,0.957,0.964,0.95,0.952,25829.15
1746334800,0.956,0.966,0.949,0.966,22313.13
1746338400,0.961,0.965,0.951,0.958,13255.02
1746342000,0.957,0.957,0.948,0.952,9363.61
1746345600,0.953,0.954,0.942,0.945,50301.21
1746349200,0.946,0.948,0.931,0.935,19117.66
1746352800,0.938,0.942,0.936,0.94,18662.43
1746356400,0.941,0.948,0.941,0.944,14713.65
1746360000,0.945,0.949,0.94,0.943,10437.61
1746363600,0.945,0.945,0.928,0.939,27127.47
1746367200,0.939,0.95,0.938,0.949,25553.3
1746370800,0.95,0.952,0.939,0.946,20829.77
1746374400,0.947,0.949,0.934,0.936,43608.47
1746378000,0.936,0.941,0.926,0.937,35533.02
1746381600,0.938,0.941,0.924,0.924,14192.92
1746385200,0.927,0.934,0.926,0.93,25099.84
1746388800,0.931,0.941,0.93,0.938,26196.26
1746392400,0.938,0.941,0.929,0.939,27911.14
1746396000,0.938,0.938,0.916,0.927,42745.56
1746399600,0.927,0.927,0.918,0.923,35075.84
1746403200,0.922,0.933,0.921,0.933,22339.29
1746406800,0.929,0.934,0.918,0.92,46825.64
1746410400,0.918,0.945,0.917,0.939,31261.25
1746414000,0.941,0.946,0.939,0.941,14253.12
1746417600,0.941,0.959,0.94,0.959,30279.7
1746421200,0.959,0.959,0.948,0.956,46744.47
1746424800,0.957,0.957,0.946,0.954,43184.59
1746428400,0.953,0.958,0.948,0.957,18242.54
1746432000,0.958,0.965,0.955,0.956,12342.57
1746435600,0.956,0.958,0.942,0.942,53164.44
1746439200,0.945,0.945,0.916,0.923,23516.48
1746442800,0.924,0.929,0.906,0.92,49668.41
1746446400,0.918,0.925,0.91,0.914,47541.51
1746450000,0.914,0.917,0.904,0.913,43199.23
1746453600,0.915,0.92,0.906,0.91,120906.45
1746457200,0.909,0.91,0.884,0.89,64378.67
1746460800,0.888,0.895,0.876,0.878,37895.4
1746464400,0.878,0.884,0.867,0.882,90113
1746468000,0.881,0.89,0.877,0.885,87895.63
1746471600,0.883,0.888,0.869,0.872,43656.3
1746475200,0.87,0.871,0.853,0.863,80062.65
1746478800,0.864,0.877,0.863,0.873,57197.36
1746482400,0.871,0.884,0.871,0.879,11533.89
1746486000,0.879,0.88,0.87,0.872,36932.86
1746489600,0.873,0.873,0.862,0.867,23203.87
1746493200,0.868,0.881,0.868,0.874,29258.35
1746496800,0.873,0.877,0.865,0.876,22667.84
1746500400,0.877,0.89,0.875,0.888,44279.58
1746504000,0.887,0.892,0.887,0.889,16755.02
1746507600,0.89,0.89,0.879,0.882,12995.44
1746511200,0.883,0.893,0.883,0.893,6486.23
1746514800,0.894,0.9,0.884,0.884,23700.83
1746518400,0.886,0.887,0.873,0.885,11558.61
1746522000,0.885,0.886,0.876,0.879,7857.68
1746525600,0.877,0.878,0.868,0.872,21826.03
1746529200,0.875,0.879,0.862,0.868,62567.69
1746532800,0.867,0.879,0.866,0.879,47411.29
1746536400,0.879,0.879,0.865,0.873,48610.05
1746540000,0.874,0.892,0.874,0.883,89546.63
1746543600,0.883,0.902,0.878,0.881,168063.81
1746547200,0.881,0.892,0.876,0.884,55164.33
1746550800,0.883,0.9,0.883,0.898,17978.69
1746554400,0.899,0.914,0.897,0.912,191787.89
1746558000,0.91,0.912,0.894,0.899,47260.71
1746561600,0.9,0.905,0.888,0.889,23196.23
1746565200,0.892,0.893,0.876,0.892,90762.28
1746568800,0.89,0.917,0.89,0.916,149295.13
1746572400,0.916,0.939,0.915,0.929,151225.46
1746576000,0.93,0.946,0.927,0.946,236163.34
1746579600,0.946,0.958,0.945,0.949,116707.4
1746583200,0.951,0.952,0.936,0.939,83577.51
1746586800,0.938,0.956,0.932,0.955,35579.53
1746590400,0.955,0.963,0.945,0.951,37576.36
1746594000,0.949,0.954,0.94,0.942,40138.62
1746597600,0.942,0.951,0.94,0.949,40725
1746601200,0.949,0.973,0.949,0.966,34841.1
1746604800,0.968,0.968,0.949,0.961,116508.08
1746608400,0.958,0.96,0.953,0.956,24225.13
1746612000,0.956,0.956,0.941,0.941,26368.43
1746615600,0.939,0.939,0.929,0.936,134556.55
1746619200,0.936,0.936,0.927,0.93,22194.68
1746622800,0.929,0.945,0.918,0.933,133784.98
1746626400,0.932,0.951,0.924,0.928,178707.56
1746630000,0.929,0.939,0.917,0.919,139298.6
1746633600,0.915,0.922,0.909,0.921,61255.49
1746637200,0.923,0.924,0.912,0.918,13091.21
1746640800,0.921,0.934,0.913,0.922,39165.89
1746644400,0.922,0.924,0.91,0.914,15864.3
1746648000,0.914,0.918,0.906,0.913,9907.46
1746651600,0.914,0.923,0.909,0.92,28886.73
1746655200,0.919,0.936,0.918,0.93,88695.28
1746658800,0.928,0.939,0.926,0.931,68841.65
1746662400,0.932,0.945,0.927,0.944,82877.92
1746666000,0.944,0.954,0.941,0.944,36562.98
1746669600,0.945,0.962,0.943,0.954,110988.44
1746673200,0.953,0.973,0.953,0.973,27367.85
1746676800,0.973,0.987,0.969,0.973,95025.46
1746680400,0.974,0.977,0.965,0.967,80880.71
1746684000,0.967,0.975,0.965,0.974,16138.53
1746687600,0.976,0.991,0.976,0.985,124604.5
1746691200,0.984,1,0.984,0.996,48682.43
1746694800,0.996,1.012,0.993,1.012,17983.28
1746698400,1.013,1.019,0.995,1.011,74974.5
1746702000,1.01,1.01,0.998,1,26300.37
1746705600,0.999,1.014,0.997,1.002,50950.62
1746709200,1.001,1.006,0.996,0.998,53129.54
1746712800,0.999,1.012,0.99,1.002,63040.02
1746716400,1.001,1.046,1.001,1.026,105623.91
1746720000,1.024,1.033,1.019,1.033,63514.94
1746723600,1.033,1.037,1.019,1.023,73146.18
1746727200,1.024,1.039,1.024,1.031,48395.24
1746730800,1.029,1.043,1.021,1.037,204230.86
1746734400,1.038,1.072,1.036,1.062,299278.12
1746738000,1.063,1.085,1.048,1.049,400046.04
1746741600,1.05,1.055,1.042,1.049,48526.26
1746745200,1.049,1.066,1.044,1.066,28759.25
1746748800,1.066,1.079,1.054,1.069,81884.98
1746752400,1.074,1.109,1.072,1.087,140382.54
1746756000,1.088,1.093,1.079,1.092,60221.95
1746759600,1.093,1.108,1.075,1.078,65231.39
1746763200,1.078,1.089,1.076,1.085,30443.84
1746766800,1.084,1.104,1.081,1.101,37783.19
1746770400,1.103,1.111,1.098,1.111,123169.82
1746774000,1.109,1.151,1.109,1.127,35179.16
1746777600,1.125,1.17,1.121,1.131,99376.38
1746781200,1.129,1.144,1.105,1.122,30741.1
1746784800,1.121,1.152,1.116,1.15,65222.36
1746788400,1.151,1.164,1.125,1.126,129723.29
1746792000,1.127,1.138,1.113,1.134,74812.44
1746795600,1.136,1.158,1.131,1.153,101487.29
1746799200,1.154,1.155,1.111,1.125,107736.74
1746802800,1.126,1.146,1.118,1.142,116772.62
1746806400,1.141,1.171,1.119,1.128,236616.98
1746810000,1.125,2.13,1.125,1.172,1234260.14
1746813600,1.172,1.175,1.147,1.15,267625.41
1746817200,1.149,1.169,1.131,1.134,243580.29
1746820800,1.132,1.16,1.13,1.157,92255.33
1746824400,1.159,1.17,1.138,1.149,69464.43
1746828000,1.147,1.156,1.135,1.135,104791.1
1746831600,1.137,1.143,1.136,1.141,34901.73
1746835200,1.14,1.17,1.134,1.141,75286.94
1746838800,1.14,1.165,1.14,1.154,53374
1746842400,1.15,1.171,1.145,1.166,36981.75
