ts,open,high,low,close,volume
1756684800,0.275,0.32,0.2076,0.2336,353437762.2
1756771200,0.2337,0.26,0.2157,0.2272,415536787.2
1756857600,0.227,0.2346,0.2097,0.2176,259862659.9
1756944000,0.2175,0.2188,0.1616,0.1868,628316784.7
1757030400,0.1867,0.1929,0.174,0.1808,291997214.6
1757116800,0.1809,0.2192,0.1802,0.2162,297310762.6
1757203200,0.2162,0.2446,0.2146,0.2253,327834451.3
1757289600,0.2253,0.2334,0.2019,0.2112,277172473.5
1757376000,0.2112,0.2234,0.1912,0.2008,189255943.4
1757462400,0.2007,0.2123,0.1953,0.2019,107955229.1
1757548800,0.2018,0.2058,0.1864,0.2,99737073.6
1757635200,0.1999,0.2126,0.1942,0.2077,99110163.6
1757721600,0.2075,0.2263,0.2025,0.2252,114417069.4
1757808000,0.2255,0.24,0.2055,0.2109,176435655.5
1757894400,0.2107,0.2227,0.2041,0.2167,110495107
1757980800,0.2167,0.2259,0.2133,0.2237,80756584.1
1758067200,0.224,0.2246,0.2073,0.2208,63801143.4
1758153600,0.2208,0.2258,0.2178,0.2201,47650407.6
1758240000,0.2201,0.2381,0.2137,0.2235,110904982.9
1758326400,0.2235,0.2278,0.2177,0.2249,42803508.9
1758412800,0.2249,0.2565,0.2243,0.2437,162056913.6
1758499200,0.2435,0.2451,0.202,0.2125,129896793.6
1758585600,0.2123,0.2147,0.193,0.197,95043308
1758672000,0.197,0.2059,0.191,0.1979,47457282.1
1758758400,0.1979,0.2048,0.1817,0.1925,111317546.3
1758844800,0.1925,0.2153,0.19,0.2108,67803073.1
1758931200,0.2108,0.2117,0.2026,0.2067,31991000.3
1759017600,0.2068,0.2229,0.2032,0.2204,60217800.1
1759104000,0.2204,0.2208,0.2005,0.2017,56398955.8
1759190400,0.2016,0.2039,0.1922,0.1963,39837483.1
1759276800,0.1962,0.2094,0.1942,0.2061,46661764.5
1759363200,0.2061,0.2098,0.2011,0.2084,37218764
1759449600,0.2084,0.2118,0.1983,0.2014,60259615.7
1759536000,0.2015,0.2039,0.1968,0.2009,25241150.9
1759622400,0.2008,0.2042,0.1967,0.1998,27110286.8
1759708800,0.1997,0.202,0.1976,0.1992,34582745.5
1759795200,0.1992,0.2001,0.1802,0.1823,87044790.2
1759881600,0.1822,0.18903,0.1725,0.18623,75800521.6
1759968000,0.1862,0.1868,0.17276,0.17965,47050127.8
1760054400,0.17954,0.18091,0.0867,0.12507,242703442.1
1760140800,0.12507,0.14493,0.11857,0.1228,100991167
1760227200,0.12274,0.1452,0.11621,0.14124,132074584.9
1760313600,0.14132,0.15276,0.1363,0.15226,88210636.3
1760400000,0.1522,0.1522,0.13364,0.14427,93430923.6
1760486400,0.14427,0.14808,0.13599,0.13857,54466209.7
