ts,open,high,low,close,volume
1552521600,0.122699,0.122699,0.106,0.1062,2327610
1552608000,0.106453,0.10723,0.102878,0.105989,4207842
1552694400,0.105968,0.109249,0.10575,0.1081,4492969
1552780800,0.108,0.108586,0.10625,0.108545,1421125
1552867200,0.108545,0.12,0.1057,0.115505,19930302
1552953600,0.115505,0.118775,0.109623,0.111822,23309633
1553040000,0.111822,0.112969,0.106831,0.108801,14627323
1553126400,0.108989,0.109726,0.10014,0.105622,14609359
1553212800,0.105617,0.11,0.10395,0.108345,11790983
1553299200,0.108286,0.109984,0.105542,0.106601,12660438
1553385600,0.106601,0.10813,0.103,0.104027,9152075
1553472000,0.103771,0.104399,0.098247,0.099667,12564055
1553558400,0.099699,0.105499,0.096,0.102149,12065388
1553644800,0.102149,0.108,0.101521,0.107447,14733946
1553731200,0.107446,0.1079,0.103,0.106298,10364384
1553817600,0.106052,0.1086,0.105217,0.107355,11820348
1553904000,0.107355,0.1075,0.1042,0.106863,6436140
1553990400,0.106863,0.108474,0.106,0.108371,5014271
1554076800,0.107992,0.1145,0.107203,0.110335,11864962
1554163200,0.110335,0.1241,0.11,0.122508,31943211
1554249600,0.122878,0.13899,0.11,0.121,45090799
1554336000,0.121,0.125763,0.113845,0.117699,17625048
1554422400,0.1177,0.131031,0.1177,0.127893,22363968
1554508800,0.127893,0.13,0.121655,0.125201,13269359
1554595200,0.124813,0.13572,0.123513,0.133466,20090314
1554681600,0.13294,0.136945,0.125393,0.131338,17520654
1554768000,0.131228,0.132127,0.124801,0.125078,10647635
1554854400,0.125096,0.13,0.12425,0.126564,10398298
1554940800,0.126302,0.12685,0.111111,0.115517,14721892
1555027200,0.115439,0.118982,0.110182,0.114,13724620
1555113600,0.114,0.11795,0.113176,0.11594,6781468
1555200000,0.11594,0.119097,0.11371,0.118175,6440430
1555286400,0.118175,0.120269,0.11,0.112492,12145708
1555372800,0.11269,0.116864,0.111,0.115368,7957069
1555459200,0.115366,0.117432,0.114259,0.117432,8430004
1555545600,0.11735,0.120326,0.116338,0.117718,13083605
1555632000,0.117671,0.117926,0.114,0.115855,8272418
1555718400,0.115645,0.119255,0.11395,0.115736,10331005
1555804800,0.115737,0.116179,0.108679,0.111877,10531352
1555891200,0.111825,0.115423,0.109293,0.11301,8393855
1555977600,0.11301,0.113977,0.109312,0.10957,10086171
1556064000,0.10957,0.109987,0.099002,0.103249,19488493
1556150400,0.1031,0.106,0.0936,0.096924,14802680
1556236800,0.097177,0.099994,0.094647,0.097319,16012833
1556323200,0.096991,0.100355,0.096364,0.09808,9731176
1556409600,0.09808,0.099605,0.095045,0.095898,5261651
1556496000,0.095978,0.097513,0.093001,0.09405,8689108
1556582400,0.094068,0.100194,0.093513,0.099704,12950914
1556668800,0.099997,0.102918,0.09873,0.099802,10027566
1556755200,0.099802,0.100604,0.097219,0.097796,6685188
1556841600,0.097713,0.10223,0.096771,0.100222,11494991
1556928000,0.100222,0.103,0.09521,0.097615,8269838
1557014400,0.097549,0.099248,0.0955,0.096,6676329
1557100800,0.096,0.09816,0.092556,0.096061,8958654
1557187200,0.096167,0.098922,0.092001,0.092369,10877971
1557273600,0.092001,0.092924,0.09077,0.0917,11031792
1557360000,0.091742,0.093299,0.086255,0.08889,17794296
1557446400,0.088882,0.093301,0.0869,0.092891,15514482
1557532800,0.092298,0.11,0.092001,0.104705,34063257
1557619200,0.105354,0.106499,0.095034,0.099018,20944476
1557705600,0.099001,0.1042,0.098316,0.100011,20601038
1557792000,0.100224,0.117479,0.098517,0.114922,58922993
1557878400,0.113923,0.1468,0.113603,0.144999,65792404
1557964800,0.144999,0.1699,0.130348,0.138693,129366290
1558051200,0.138362,0.141,0.114832,0.132844,71449552
1558137600,0.132849,0.142,0.12848,0.131519,42747365
1558224000,0.13116,0.145799,0.12957,0.143,38988790
1558310400,0.142805,0.143485,0.128944,0.135999,24912047
1558396800,0.135797,0.137,0.132002,0.134878,17120443
1558483200,0.134802,0.138922,0.12,0.122022,30626581
1558569600,0.12202,0.12692,0.117606,0.125551,19884300
1558656000,0.125651,0.12999,0.121363,0.125584,20855512
1558742400,0.125624,0.128769,0.124121,0.125646,11145666
1558828800,0.125524,0.134998,0.12152,0.134052,22594461
1558915200,0.134052,0.1449,0.13209,0.138466,35005518
1559001600,0.137957,0.142233,0.131857,0.139454,29111305
1559088000,0.139103,0.139998,0.130632,0.135532,26193809
1559174400,0.135622,0.14415,0.122561,0.129198,47709899
1559260800,0.1292,0.134999,0.124,0.133472,20259153
1559347200,0.133471,0.134949,0.128906,0.1325,12051978
1559433600,0.1325,0.138789,0.1321,0.136886,15436568
1559520000,0.136701,0.14,0.127101,0.127534,19463982
1559606400,0.1275,0.1275,0.1168,0.120849,30256335
1559692800,0.12084,0.125575,0.118712,0.121399,14026355
1559779200,0.121387,0.126099,0.118,0.124948,16044503
1559865600,0.125298,0.130511,0.123987,0.127777,16809417
1559952000,0.127228,0.12869,0.122801,0.124308,7395320
1560038400,0.124308,0.125197,0.1168,0.11909,10378373
1560124800,0.118998,0.124463,0.117273,0.123412,11112601
1560211200,0.123413,0.123853,0.118853,0.123056,12362931
1560297600,0.123056,0.127997,0.120909,0.127504,16572512
1560384000,0.127506,0.128499,0.124244,0.124663,12407578
1560470400,0.124663,0.125985,0.120703,0.125678,14873123
1560556800,0.125678,0.128897,0.124408,0.127399,15258383
1560643200,0.127021,0.133749,0.1265,0.1299,23175967
1560729600,0.129674,0.132,0.126594,0.130899,20972435
1560816000,0.130899,0.131325,0.122,0.123754,20285452
1560902400,0.123754,0.126381,0.123002,0.124457,11188123
1560988800,0.124416,0.124623,0.120123,0.12139,13355757
1561075200,0.121445,0.124894,0.121206,0.12382,21658285
1561161600,0.123819,0.13499,0.123302,0.129189,42840217
1561248000,0.128912,0.1325,0.126509,0.12709,19721953
1561334400,0.127321,0.128499,0.124104,0.1278,13624731
1561420800,0.127792,0.129,0.12185,0.123293,19465602
1561507200,0.123295,0.132,0.118603,0.121731,56576175
1561593600,0.121353,0.122945,0.102243,0.107696,53948801
1561680000,0.107596,0.112205,0.1066,0.111232,22655719
1561766400,0.111388,0.118568,0.105289,0.114358,33274201
1561852800,0.114358,0.115137,0.103401,0.104099,17639726
1561939200,0.104099,0.109498,0.100101,0.105447,25768975
1562025600,0.105469,0.106359,0.0993,0.102981,22857060
1562112000,0.102971,0.106249,0.102351,0.106051,18468547
1562198400,0.106049,0.106539,0.098501,0.0993,16612093
1562284800,0.099326,0.101807,0.097402,0.100002,14494694
1562371200,0.100097,0.106586,0.100097,0.103783,13281074
1562457600,0.103801,0.106248,0.10242,0.106235,10316424
1562544000,0.10625,0.10643,0.103611,0.104527,11541115
1562630400,0.104602,0.105149,0.100493,0.101336,14046496
1562716800,0.101739,0.102499,0.0907,0.094713,31289654
1562803200,0.094712,0.095203,0.085012,0.087316,28788224
1562889600,0.087172,0.10222,0.086284,0.098245,31025255
1562976000,0.098245,0.100997,0.0914,0.096341,16473975
1563062400,0.096249,0.096864,0.084538,0.085616,20004377
