ts,open,high,low,close,volume
1689206400,0.89,0.95,0.779,0.8177,54123524.592355
1689292800,0.8173,0.8279,0.668,0.7186,162348091.722546
1689379200,0.7185,0.736,0.693,0.715,48787802.086676
1689465600,0.7146,0.7903,0.7028,0.7475,64739565.969793
1689552000,0.7474,0.765,0.7131,0.7377,55109403.535135
1689638400,0.7377,0.7845,0.729,0.7787,58775206.442334
1689724800,0.7787,0.8526,0.7701,0.8201,135746303.640794
1689811200,0.8201,0.8498,0.7669,0.7946,94985079.453898
1689897600,0.7946,0.7989,0.76,0.7716,44396759.006894
1689984000,0.7716,0.7799,0.725,0.7329,42711287.461957
1690070400,0.7329,0.7522,0.7152,0.7382,32411892.77195
1690156800,0.7385,0.7428,0.6808,0.7022,52682590.807688
1690243200,0.7022,0.716,0.6746,0.7088,32416399.430141
1690329600,0.7091,0.7325,0.6929,0.7162,38689158.675953
1690416000,0.716,0.7324,0.7065,0.7136,25443734.400561
1690502400,0.7137,0.7191,0.7025,0.712,19997281.759593
1690588800,0.712,0.7157,0.7042,0.7123,12121440.221361
1690675200,0.7122,0.7353,0.685,0.7049,19732899.782842
1690761600,0.7049,0.73,0.6856,0.6977,39567805.587943
1690848000,0.6976,0.708,0.674,0.7066,30935857.675107
1690934400,0.7067,0.7079,0.6761,0.6847,25799181.954048
1691020800,0.6846,0.6873,0.6531,0.6626,34001856.781314
1691107200,0.6625,0.6676,0.6265,0.6349,33950093.091654
1691193600,0.6347,0.6348,0.61,0.6283,34228291.758676
1691280000,0.6283,0.6383,0.6204,0.6229,22964170.068132
1691366400,0.6232,0.6287,0.599,0.623,39699118.636103
1691452800,0.623,0.648,0.6133,0.6418,41302414.068866
1691539200,0.6417,0.6661,0.6307,0.6431,59030925.828074
1691625600,0.6429,0.6442,0.6237,0.6324,25719381.487273
1691712000,0.6323,0.6402,0.6251,0.6309,23218558.979016
1691798400,0.631,0.6327,0.6228,0.6272,12836281.96139
1691884800,0.6272,0.6381,0.6231,0.6251,15794039.26402
1691971200,0.625,0.6364,0.6236,0.6336,23417999.151347
1692057600,0.6338,0.6343,0.59,0.6097,44954800.989826
1692144000,0.6097,0.6159,0.575,0.5883,74134581.056737
1692230400,0.5885,0.5942,0.444,0.5067,116884727.703896
1692316800,0.5064,0.5231,0.483,0.5062,122308328.175409
1692403200,0.5062,0.5245,0.5005,0.5199,49518111.365592
1692489600,0.52,0.5581,0.5159,0.5383,80147084.662856
1692576000,0.5384,0.5398,0.5025,0.5245,67494061.548288
1692662400,0.5244,0.5253,0.5034,0.5208,56789764.426385
1692748800,0.5208,0.5364,0.5156,0.5303,49315974.397427
1692835200,0.5302,0.5319,0.511,0.5185,32609604.926308
1692921600,0.5184,0.5313,0.5074,0.5256,39397456.021099
1693008000,0.5256,0.5279,0.5175,0.523,15681831.178931
1693094400,0.5228,0.5299,0.5177,0.5234,16366279.490132
1693180800,0.5234,0.5245,0.51,0.5227,39869533.179343
1693267200,0.5228,0.5498,0.5126,0.5398,60510101.383605
1693353600,0.5397,0.5405,0.5216,0.5284,44769727.753029
1693440000,0.5283,0.5287,0.4961,0.511,48975779.96397
1693526400,0.5109,0.5116,0.4865,0.4979,44544579.726192
1693612800,0.4979,0.5027,0.4942,0.4989,16911321.548088
1693699200,0.4991,0.5107,0.4972,0.5047,19002759.871263
1693785600,0.5046,0.5125,0.4965,0.5085,39227364.078224
1693872000,0.5085,0.5085,0.4988,0.5054,33121370.096905
1693958400,0.5054,0.5057,0.4909,0.5032,44266872.750371
1694044800,0.5031,0.5066,0.4962,0.5049,46862855.769349
1694131200,0.5048,0.5074,0.4942,0.5049,38775065.990334
1694217600,0.5048,0.5049,0.5012,0.5039,14569568.472386
1694304000,0.5038,0.5039,0.4924,0.4968,24716579.886538
1694390400,0.4968,0.498,0.4595,0.4743,91387927.782709
1694476800,0.4743,0.4867,0.4699,0.4803,63450608.073003
1694563200,0.4804,0.4895,0.4724,0.4834,53724870.428656
1694649600,0.4833,0.4941,0.4799,0.4892,41382872.751803
1694736000,0.4892,0.5085,0.4876,0.5006,55536765.802702
1694822400,0.5005,0.5035,0.4972,0.4999,20540213.050899
1694908800,0.5,0.5006,0.4898,0.4927,23557547.361337
1694995200,0.4927,0.5075,0.4869,0.5032,46406686.123096
1695081600,0.5032,0.5167,0.5006,0.5141,45662934.349977
1695168000,0.5141,0.5256,0.5068,0.5213,70017566.973074
1695254400,0.5215,0.5215,0.5,0.5073,49691768.651278
1695340800,0.5071,0.5169,0.5039,0.5122,40515466.776451
1695427200,0.5123,0.5137,0.5056,0.5077,15849606.653812
1695513600,0.5077,0.5117,0.4992,0.502,22701369.935455
1695600000,0.502,0.5071,0.4912,0.5054,54900478.515679
1695686400,0.5053,0.5072,0.4963,0.5016,41201733.095178
1695772800,0.5016,0.5067,0.4965,0.4989,47397605.734636
1695859200,0.4988,0.51,0.4947,0.5098,44352950.452852
1695945600,0.5099,0.5494,0.506,0.5214,101366463.357384
1696032000,0.5213,0.5216,0.5134,0.5151,20249021.804141
1696118400,0.5151,0.526,0.5138,0.524,17836739.379583
1696204800,0.5241,0.5266,0.507,0.5123,43624545.044907
1696291200,0.5124,0.5489,0.5056,0.5391,68537516.006733
1696377600,0.5391,0.5427,0.5196,0.5329,107996487.759577
1696464000,0.5327,0.5328,0.5159,0.523,54235290.997984
1696550400,0.5229,0.5299,0.517,0.5257,30247895.786475
1696636800,0.5257,0.5261,0.5201,0.5221,12676952.47368
1696723200,0.522,0.5238,0.5156,0.5177,11428777.312028
